baseline,candidate_count,candidate_amplification,delta,layer_pairs,requests,forecasts_per_request,bootstrap_resamples,confidence_level,selection_coverage,selection_coverage_ci_low,selection_coverage_ci_high,routed_mass_coverage,routed_mass_coverage_ci_low,routed_mass_coverage_ci_high,complete_route_coverage,complete_route_coverage_ci_low,complete_route_coverage_ci_high
learned,4,1.0,1,23,64,368,5000,0.95,0.7666652513586957,0.7620050844938858,0.7711555812669836,0.8041552668437362,0.7993910333141685,0.8088200356811285,0.3669327445652174,0.35971467391304357,0.3738546620244565
learned,4,1.0,2,22,64,352,5000,0.95,0.7596768465909092,0.7544608376242897,0.7648040771484376,0.7970634400844574,0.7917927985079587,0.8020495150471106,0.3623046875,0.35546875,0.3691850142045454
learned,4,1.0,3,21,64,336,5000,0.95,0.74072265625,0.735618663969494,0.7455479213169642,0.7749558174982667,0.7701668832683936,0.7796233602799475,0.3486328125,0.34170270647321427,0.3554222470238095
learned,4,1.0,4,20,64,320,5000,0.95,0.73519287109375,0.7299676513671873,0.7402346801757812,0.7697408683598042,0.764349561650306,0.7751171292271465,0.33598632812499996,0.329833984375,0.34165039062499997
learned,4,1.0,5,19,64,304,5000,0.95,0.7252903988486843,0.719495271381579,0.7307389108758223,0.7588935140520334,0.7533339469926432,0.7645399182336405,0.3291529605263158,0.3225226151315789,0.3355777138157895
learned,4,1.0,6,18,64,288,5000,0.95,0.7276882595486112,0.7207438151041667,0.7341718885633681,0.7610009238123894,0.753957351250574,0.7677780587458983,0.33127170138888895,0.32389322916666663,0.33794623480902775
learned,4,1.0,7,17,64,272,5000,0.95,0.7195829503676471,0.7141533346737132,0.724752987132353,0.7513242354616523,0.7456407400313765,0.7567372820107267,0.32174862132352944,0.31531479779411764,0.328125
learned,4,1.0,8,16,64,256,5000,0.95,0.7138519287109375,0.7075347900390625,0.7201084136962891,0.7429134547710419,0.7363734766840935,0.7491560004651546,0.3248291015625,0.31842041015625,0.33081207275390623
learned,4,1.0,9,15,64,240,5000,0.95,0.70419921875,0.6978515624999999,0.71012451171875,0.7342913961037993,0.7279181916965172,0.740569869801402,0.3143229166666667,0.30755208333333334,0.3208333333333333
learned,4,1.0,10,14,64,224,5000,0.95,0.6975272042410714,0.6906036376953125,0.7042236328125,0.7278548665344715,0.7208364055491984,0.7347019604872912,0.3092912946428572,0.30196707589285715,0.3164760044642857
learned,4,1.0,11,13,64,208,5000,0.95,0.7013596754807693,0.6942415677584135,0.708233173076923,0.7301688184961677,0.7229408365907147,0.7374204525025562,0.3147536057692308,0.3074669471153846,0.32181490384615385
learned,4,1.0,12,12,64,192,5000,0.95,0.7083333333333334,0.7000722249348958,0.7159632364908853,0.739302322268486,0.7310374891385436,0.7470728634623811,0.32283528645833326,0.315185546875,0.3301595052083333
learned,4,1.0,13,11,64,176,5000,0.95,0.7164195667613636,0.7074074485085228,0.7248762650923295,0.7453660564497113,0.736200983193703,0.7540039910469204,0.3354936079545454,0.3279474431818182,0.34268465909090906
learned,4,1.0,14,10,64,160,5000,0.95,0.7220214843749999,0.7131591796875,0.7304443359374999,0.752261252142489,0.7430284692207352,0.7603911582380534,0.35546875,0.34628906249999997,0.36435546875
learned,4,1.0,15,9,64,144,5000,0.95,0.7195909288194445,0.7106648763020833,0.7276204427083333,0.7500064661726356,0.7412341996561735,0.7579169879434631,0.34450954861111116,0.33484971788194434,0.35394965277777773
learned,4,1.0,16,8,64,128,5000,0.95,0.7069091796875,0.6978759765625,0.71484375,0.7342463135719299,0.7250990077853203,0.7426532223820687,0.34521484375,0.337158203125,0.352783203125
