request_id,sample_id,domain,phase,baseline,delta,layer_pairs,candidate_count,candidate_amplification,forecasts,selection_coverage,routed_mass_coverage,complete_route_coverage
0,wikitext2-00044,general,decode,learned,1,23,4,1.0,368,0.8783967391304348,0.9047307372093201,0.5978260869565217
0,wikitext2-00044,general,decode,learned,2,22,4,1.0,352,0.8586647727272727,0.8870419859886169,0.5539772727272727
0,wikitext2-00044,general,decode,learned,3,21,4,1.0,336,0.8571428571428571,0.8844807744026184,0.5476190476190477
0,wikitext2-00044,general,decode,learned,4,20,4,1.0,320,0.8546875,0.8829757571220398,0.521875
0,wikitext2-00044,general,decode,learned,5,19,4,1.0,304,0.8495065789473685,0.8790684938430786,0.5164473684210527
0,wikitext2-00044,general,decode,learned,6,18,4,1.0,288,0.8524305555555556,0.8803303837776184,0.5173611111111112
0,wikitext2-00044,general,decode,learned,7,17,4,1.0,272,0.8446691176470589,0.8701494932174683,0.5073529411764706
0,wikitext2-00044,general,decode,learned,8,16,4,1.0,256,0.84765625,0.8699512481689453,0.5078125
0,wikitext2-00044,general,decode,learned,9,15,4,1.0,240,0.8333333333333334,0.8593119382858276,0.48333333333333334
0,wikitext2-00044,general,decode,learned,10,14,4,1.0,224,0.8337053571428571,0.8589804768562317,0.4955357142857143
0,wikitext2-00044,general,decode,learned,11,13,4,1.0,208,0.8317307692307693,0.854201078414917,0.47115384615384615
0,wikitext2-00044,general,decode,learned,12,12,4,1.0,192,0.84765625,0.8715083003044128,0.5260416666666666
0,wikitext2-00044,general,decode,learned,13,11,4,1.0,176,0.8565340909090909,0.8823880553245544,0.5511363636363636
0,wikitext2-00044,general,decode,learned,14,10,4,1.0,160,0.85625,0.8846374750137329,0.54375
0,wikitext2-00044,general,decode,learned,15,9,4,1.0,144,0.8680555555555556,0.89617919921875,0.5625
0,wikitext2-00044,general,decode,learned,16,8,4,1.0,128,0.861328125,0.8794326782226562,0.578125
0,wikitext2-00044,general,decode,learned,17,7,4,1.0,112,0.8794642857142857,0.9072396159172058,0.5714285714285714
0,wikitext2-00044,general,decode,learned,18,6,4,1.0,96,0.8671875,0.8941701054573059,0.5833333333333334
0,wikitext2-00044,general,decode,learned,19,5,4,1.0,80,0.884375,0.917755126953125,0.55
0,wikitext2-00044,general,decode,learned,20,4,4,1.0,64,0.8984375,0.9240646362304688,0.65625
0,wikitext2-00044,general,decode,learned,21,3,4,1.0,48,0.8854166666666666,0.9125264286994934,0.625
0,wikitext2-00044,general,decode,learned,22,2,4,1.0,32,0.9140625,0.94329833984375,0.6875
0,wikitext2-00044,general,decode,learned,23,1,4,1.0,16,0.96875,0.98333740234375,0.875
1,wikitext2-00032,general,decode,learned,1,23,4,1.0,368,0.8654891304347826,0.8949107527732849,0.5543478260869565
1,wikitext2-00032,general,decode,learned,2,22,4,1.0,352,0.8544034090909091,0.8838362097740173,0.5340909090909091
1,wikitext2-00032,general,decode,learned,3,21,4,1.0,336,0.8526785714285714,0.8795253038406372,0.5297619047619048
1,wikitext2-00032,general,decode,learned,4,20,4,1.0,320,0.8421875,0.8729492425918579,0.5
1,wikitext2-00032,general,decode,learned,5,19,4,1.0,304,0.8404605263157895,0.8711788654327393,0.48026315789473684
1,wikitext2-00032,general,decode,learned,6,18,4,1.0,288,0.8532986111111112,0.8803609013557434,0.5347222222222222
1,wikitext2-00032,general,decode,learned,7,17,4,1.0,272,0.8446691176470589,0.8724275231361389,0.4963235294117647
1,wikitext2-00032,general,decode,learned,8,16,4,1.0,256,0.84375,0.8698329925537109,0.49609375
1,wikitext2-00032,general,decode,learned,9,15,4,1.0,240,0.8302083333333333,0.8570414185523987,0.48333333333333334
1,wikitext2-00032,general,decode,learned,10,14,4,1.0,224,0.8348214285714286,0.8556169867515564,0.5089285714285714
1,wikitext2-00032,general,decode,learned,11,13,4,1.0,208,0.8293269230769231,0.8541377186775208,0.4855769230769231
1,wikitext2-00032,general,decode,learned,12,12,4,1.0,192,0.84765625,0.8701884150505066,0.546875
1,wikitext2-00032,general,decode,learned,13,11,4,1.0,176,0.8551136363636364,0.8812283873558044,0.5511363636363636
1,wikitext2-00032,general,decode,learned,14,10,4,1.0,160,0.8515625,0.8810882568359375,0.5375
1,wikitext2-00032,general,decode,learned,15,9,4,1.0,144,0.8628472222222222,0.8930732011795044,0.5416666666666666
1,wikitext2-00032,general,decode,learned,16,8,4,1.0,128,0.8515625,0.87744140625,0.5390625
1,wikitext2-00032,general,decode,learned,17,7,4,1.0,112,0.8816964285714286,0.9118782877922058,0.5535714285714286
1,wikitext2-00032,general,decode,learned,18,6,4,1.0,96,0.8645833333333334,0.895263671875,0.5625
1,wikitext2-00032,general,decode,learned,19,5,4,1.0,80,0.871875,0.9070678949356079,0.5
1,wikitext2-00032,general,decode,learned,20,4,4,1.0,64,0.8984375,0.9261093139648438,0.625
1,wikitext2-00032,general,decode,learned,21,3,4,1.0,48,0.8802083333333334,0.9123331904411316,0.6041666666666666
1,wikitext2-00032,general,decode,learned,22,2,4,1.0,32,0.9140625,0.9446868896484375,0.6875
1,wikitext2-00032,general,decode,learned,23,1,4,1.0,16,0.96875,0.98370361328125,0.875
2,gsm8k-00041,math,decode,learned,1,23,4,1.0,368,0.7438858695652174,0.784163773059845,0.3342391304347826
2,gsm8k-00041,math,decode,learned,2,22,4,1.0,352,0.7421875,0.7769428491592407,0.36079545454545453
2,gsm8k-00041,math,decode,learned,3,21,4,1.0,336,0.7165178571428571,0.7531258463859558,0.31547619047619047
2,gsm8k-00041,math,decode,learned,4,20,4,1.0,320,0.7109375,0.7483123540878296,0.2875
2,gsm8k-00041,math,decode,learned,5,19,4,1.0,304,0.6981907894736842,0.7349275350570679,0.29276315789473684
2,gsm8k-00041,math,decode,learned,6,18,4,1.0,288,0.7100694444444444,0.7463650107383728,0.2916666666666667
2,gsm8k-00041,math,decode,learned,7,17,4,1.0,272,0.7058823529411765,0.7352115511894226,0.29411764705882354
2,gsm8k-00041,math,decode,learned,8,16,4,1.0,256,0.7099609375,0.7364997863769531,0.3203125
2,gsm8k-00041,math,decode,learned,9,15,4,1.0,240,0.6833333333333333,0.7161926031112671,0.2791666666666667
2,gsm8k-00041,math,decode,learned,10,14,4,1.0,224,0.6640625,0.6955326795578003,0.2544642857142857
2,gsm8k-00041,math,decode,learned,11,13,4,1.0,208,0.6742788461538461,0.7014394998550415,0.2932692307692308
2,gsm8k-00041,math,decode,learned,12,12,4,1.0,192,0.67578125,0.7064158320426941,0.28125
2,gsm8k-00041,math,decode,learned,13,11,4,1.0,176,0.6647727272727273,0.6980257630348206,0.2556818181818182
2,gsm8k-00041,math,decode,learned,14,10,4,1.0,160,0.6859375,0.7149078249931335,0.275
2,gsm8k-00041,math,decode,learned,15,9,4,1.0,144,0.6822916666666666,0.7057936191558838,0.25
2,gsm8k-00041,math,decode,learned,16,8,4,1.0,128,0.646484375,0.6725921630859375,0.234375
2,gsm8k-00041,math,decode,learned,17,7,4,1.0,112,0.6450892857142857,0.6745213270187378,0.25
2,gsm8k-00041,math,decode,learned,18,6,4,1.0,96,0.6744791666666666,0.7014007568359375,0.2604166666666667
2,gsm8k-00041,math,decode,learned,19,5,4,1.0,80,0.68125,0.7080138921737671,0.325
2,gsm8k-00041,math,decode,learned,20,4,4,1.0,64,0.69140625,0.725799560546875,0.3125
2,gsm8k-00041,math,decode,learned,21,3,4,1.0,48,0.6770833333333334,0.7058207392692566,0.3125
2,gsm8k-00041,math,decode,learned,22,2,4,1.0,32,0.7109375,0.7320404052734375,0.34375
2,gsm8k-00041,math,decode,learned,23,1,4,1.0,16,0.671875,0.706878662109375,0.3125
3,mt_bench-35264271,conversation,decode,learned,1,23,4,1.0,368,0.6936141304347826,0.7333453893661499,0.25
3,mt_bench-35264271,conversation,decode,learned,2,22,4,1.0,352,0.6931818181818182,0.7317712903022766,0.24431818181818182
3,mt_bench-35264271,conversation,decode,learned,3,21,4,1.0,336,0.6770833333333334,0.707403302192688,0.25297619047619047
3,mt_bench-35264271,conversation,decode,learned,4,20,4,1.0,320,0.67109375,0.701123058795929,0.25
3,mt_bench-35264271,conversation,decode,learned,5,19,4,1.0,304,0.6504934210526315,0.6860833168029785,0.21710526315789475
3,mt_bench-35264271,conversation,decode,learned,6,18,4,1.0,288,0.6527777777777778,0.6889546513557434,0.22569444444444445
3,mt_bench-35264271,conversation,decode,learned,7,17,4,1.0,272,0.6461397058823529,0.6806981563568115,0.18382352941176472
3,mt_bench-35264271,conversation,decode,learned,8,16,4,1.0,256,0.6318359375,0.6633167266845703,0.20703125
3,mt_bench-35264271,conversation,decode,learned,9,15,4,1.0,240,0.6208333333333333,0.6439453363418579,0.21666666666666667
3,mt_bench-35264271,conversation,decode,learned,10,14,4,1.0,224,0.6049107142857143,0.6337868571281433,0.17410714285714285
3,mt_bench-35264271,conversation,decode,learned,11,13,4,1.0,208,0.6213942307692307,0.6465688943862915,0.21153846153846154
3,mt_bench-35264271,conversation,decode,learned,12,12,4,1.0,192,0.6080729166666666,0.6379547119140625,0.20833333333333334
3,mt_bench-35264271,conversation,decode,learned,13,11,4,1.0,176,0.6022727272727273,0.6301130652427673,0.19318181818181818
3,mt_bench-35264271,conversation,decode,learned,14,10,4,1.0,160,0.6125,0.6413940191268921,0.23125
3,mt_bench-35264271,conversation,decode,learned,15,9,4,1.0,144,0.6059027777777778,0.6326565146446228,0.2152777777777778
3,mt_bench-35264271,conversation,decode,learned,16,8,4,1.0,128,0.58203125,0.6072006225585938,0.203125
3,mt_bench-35264271,conversation,decode,learned,17,7,4,1.0,112,0.6116071428571429,0.6441563367843628,0.1875
3,mt_bench-35264271,conversation,decode,learned,18,6,4,1.0,96,0.609375,0.6326954960823059,0.1875
3,mt_bench-35264271,conversation,decode,learned,19,5,4,1.0,80,0.6125,0.643908679485321,0.15
3,mt_bench-35264271,conversation,decode,learned,20,4,4,1.0,64,0.59375,0.61090087890625,0.171875
3,mt_bench-35264271,conversation,decode,learned,21,3,4,1.0,48,0.5833333333333334,0.6070048213005066,0.125
3,mt_bench-35264271,conversation,decode,learned,22,2,4,1.0,32,0.5703125,0.5825347900390625,0.09375
3,mt_bench-35264271,conversation,decode,learned,23,1,4,1.0,16,0.46875,0.466705322265625,0.0625
4,wikitext2-00037,general,decode,learned,1,23,4,1.0,368,0.8648097826086957,0.8927479386329651,0.5625
4,wikitext2-00037,general,decode,learned,2,22,4,1.0,352,0.8515625,0.8829748034477234,0.5142045454545454
4,wikitext2-00037,general,decode,learned,3,21,4,1.0,336,0.8586309523809523,0.884942889213562,0.5386904761904762
4,wikitext2-00037,general,decode,learned,4,20,4,1.0,320,0.8375,0.8704681396484375,0.49375
4,wikitext2-00037,general,decode,learned,5,19,4,1.0,304,0.8421052631578947,0.8716301918029785,0.5032894736842105
