phase,layer,tokens,selections,unique_experts,top_expert,top_expert_count,top_expert_share,mean_selected_entropy,mean_max_selected_weight
decode,0,16,64,26,4,6,0.09375,1.270759873496462,0.4130859375
decode,1,16,64,20,29,7,0.109375,1.2697772052051752,0.4278564453125
decode,2,16,64,15,21,14,0.21875,1.2708456995214623,0.441162109375
decode,3,16,64,13,7,16,0.25,1.3440311259902125,0.3411865234375
decode,4,16,64,9,6,16,0.25,1.2786258168987747,0.4161376953125
decode,5,16,64,11,10,13,0.203125,1.3376103691512657,0.354736328125
decode,6,16,64,12,9,15,0.234375,1.3202695222488263,0.3837890625
decode,7,16,64,15,14,12,0.1875,1.3027368695156685,0.389892578125
decode,8,16,64,15,3,10,0.15625,1.3349662974694192,0.36572265625
decode,9,16,64,12,8,16,0.25,1.3469003906878694,0.330322265625
decode,10,16,64,7,10,16,0.25,1.3199852530175888,0.3726806640625
decode,11,16,64,11,30,16,0.25,1.3578840033437205,0.33154296875
decode,12,16,64,10,23,16,0.25,1.3338693567132793,0.3629150390625
decode,13,16,64,9,15,14,0.21875,1.3402159847799557,0.3673095703125
decode,14,16,64,14,9,9,0.140625,1.3340310844144494,0.3685302734375
decode,15,16,64,14,13,16,0.25,1.3212103329427742,0.3665771484375
decode,16,16,64,17,24,9,0.140625,1.3394526665122106,0.3594970703125
decode,17,16,64,13,4,11,0.171875,1.3455333191977954,0.329833984375
decode,18,16,64,16,18,9,0.140625,1.3383530085115805,0.3631591796875
decode,19,16,64,15,19,15,0.234375,1.346696885566806,0.341064453125
decode,20,16,64,14,30,13,0.203125,1.3216444888765306,0.364990234375
decode,21,16,64,16,3,16,0.25,1.3239767237082263,0.37451171875
decode,22,16,64,16,25,12,0.1875,1.3384783498499124,0.3572998046875
decode,23,16,64,16,31,11,0.171875,1.2989134244631197,0.3946533203125
prefill,0,161,644,31,9,48,0.07453416149068323,1.2666803720570088,0.42556288819875776
prefill,1,161,644,31,28,60,0.09316770186335403,1.3003604859881863,0.3978794642857143
prefill,2,161,644,31,21,100,0.15527950310559005,1.293901490522237,0.40536442158385094
prefill,3,161,644,30,0,112,0.17391304347826086,1.3381928596048878,0.3560874417701863
prefill,4,161,644,28,15,131,0.20341614906832298,1.311919135520774,0.38834433229813664
prefill,5,161,644,29,24,150,0.2329192546583851,1.3369674821574093,0.360842876552795
prefill,6,161,644,30,9,77,0.11956521739130435,1.3001939147308745,0.39101319875776397
prefill,7,161,644,29,5,83,0.12888198757763975,1.3286528834331908,0.3612189440993789
prefill,8,161,644,28,17,136,0.2111801242236025,1.328932043020362,0.36540421195652173
prefill,9,161,644,25,8,140,0.21739130434782608,1.304049636871481,0.3908312305900621
prefill,10,161,644,26,10,138,0.21428571428571427,1.2904049686566907,0.3991047166149068
prefill,11,161,644,25,30,123,0.19099378881987578,1.3482919956598343,0.3449631211180124
prefill,12,161,644,25,23,144,0.2236024844720497,1.335398595580424,0.3585864712732919
prefill,13,161,644,30,1,109,0.16925465838509315,1.331788544274489,0.361425174689441
prefill,14,161,644,27,18,102,0.15838509316770186,1.3277789606040857,0.35623301630434784
prefill,15,161,644,29,12,99,0.15372670807453417,1.307138524388505,0.37977969720496896
prefill,16,161,644,24,31,97,0.15062111801242237,1.3297560122682723,0.35864712732919257
prefill,17,161,644,24,11,116,0.18012422360248448,1.3254461235502881,0.36921341226708076
prefill,18,161,644,29,1,123,0.19099378881987578,1.3286888984819862,0.3655861801242236
prefill,19,161,644,27,19,121,0.18788819875776397,1.322995469624101,0.3817206909937888
prefill,20,161,644,26,2,126,0.1956521739130435,1.3237458389399857,0.37461180124223603
prefill,21,161,644,27,23,138,0.21428571428571427,1.24055563396229,0.45004367236024845
prefill,22,161,644,27,11,104,0.16149068322981366,1.3231434083851663,0.3792701863354037
prefill,23,161,644,25,19,99,0.15372670807453417,1.3652694463333042,0.31771642080745344
