phase,layer,tokens,selections,unique_experts,top_expert,top_expert_count,top_expert_share,mean_selected_entropy,mean_max_selected_weight
decode,0,2048,8192,32,9,594,0.072509765625,1.2525649057700539,0.43540382385253906
decode,1,2048,8192,32,12,795,0.0970458984375,1.2719254257240322,0.42238903045654297
decode,2,2048,8192,32,21,1390,0.169677734375,1.3014065712906089,0.39754199981689453
decode,3,2048,8192,32,7,1112,0.1357421875,1.3393480645475897,0.3515968322753906
decode,4,2048,8192,32,6,1512,0.1845703125,1.304827804853289,0.3884572982788086
decode,5,2048,8192,32,24,1047,0.1278076171875,1.330464098551772,0.3591651916503906
decode,6,2048,8192,32,9,986,0.120361328125,1.3286252539875099,0.37245655059814453
decode,7,2048,8192,32,14,1053,0.1285400390625,1.321621555285418,0.3720550537109375
decode,8,2048,8192,32,17,1152,0.140625,1.3378681456728432,0.3562650680541992
decode,9,2048,8192,32,8,1432,0.1748046875,1.3465992030800482,0.34064292907714844
decode,10,2048,8192,32,10,1501,0.1832275390625,1.3371273494353586,0.35685253143310547
decode,11,2048,8192,32,30,1451,0.1771240234375,1.3548646450028998,0.3338479995727539
decode,12,2048,8192,32,23,1601,0.1954345703125,1.3439395425823837,0.34360313415527344
decode,13,2048,8192,32,15,1464,0.1787109375,1.3455351945636118,0.3513660430908203
decode,14,2048,8192,32,9,920,0.1123046875,1.3403694161519746,0.3493185043334961
decode,15,2048,8192,32,13,1186,0.144775390625,1.3291406764772988,0.3571910858154297
decode,16,2048,8192,32,5,1006,0.122802734375,1.338921268466838,0.35765838623046875
decode,17,2048,8192,31,28,1109,0.1353759765625,1.354425146923409,0.33038806915283203
decode,18,2048,8192,32,23,674,0.082275390625,1.332782722745439,0.3562793731689453
decode,19,2048,8192,32,19,1032,0.1259765625,1.3534637028361056,0.33408451080322266
decode,20,2048,8192,32,30,843,0.1029052734375,1.3399075551449353,0.34563350677490234
decode,21,2048,8192,32,3,1367,0.1668701171875,1.3447362639247185,0.34317684173583984
decode,22,2048,8192,32,25,1220,0.14892578125,1.344773155186477,0.3405170440673828
decode,23,2048,8192,32,31,1200,0.146484375,1.327607973989156,0.35985755920410156
prefill,0,22152,88608,32,11,5746,0.06484741784037559,1.2516282845080398,0.4397881681112315
prefill,1,22152,88608,32,28,6518,0.07355994944023113,1.2902011596408733,0.4070028771386331
prefill,2,22152,88608,32,21,7206,0.08132448537378115,1.3076323366363438,0.3906845142368635
prefill,3,22152,88608,32,31,9449,0.1066382267966775,1.3330839902603946,0.3601085680751174
prefill,4,22152,88608,32,6,11529,0.13011240520043338,1.3191353908307724,0.3773866531520856
prefill,5,22152,88608,32,24,13751,0.15518914770675335,1.3354623101128897,0.35706223267086495
prefill,6,22152,88608,32,9,6934,0.0782547851209823,1.3123597380234768,0.3812444982394366
prefill,7,22152,88608,32,5,8227,0.09284714698447093,1.330197313022557,0.36185052774580173
prefill,8,22152,88608,32,17,9765,0.11020449620801734,1.3367997910337408,0.3554882354019953
prefill,9,22152,88608,32,8,10917,0.12320557963163598,1.325583368978744,0.3673595181868454
prefill,10,22152,88608,32,10,12181,0.1374706572769953,1.3211221142836285,0.36865419530403576
prefill,11,22152,88608,32,30,12447,0.14047264355362946,1.3463913616878875,0.3468026835895179
prefill,12,22152,88608,32,23,10369,0.11702103647526182,1.341221482318659,0.3526888620384164
prefill,13,22152,88608,32,1,9252,0.10441495124593717,1.3419609706462534,0.3488687533856988
prefill,14,22152,88608,32,6,12944,0.14608161791260382,1.3364010696516684,0.3541933819463254
prefill,15,22152,88608,32,28,9919,0.1119424882629108,1.329161154112548,0.35924336332498197
prefill,16,22152,88608,29,27,9175,0.10354595521849043,1.3341443558505468,0.36149820346356987
prefill,17,22152,88608,30,24,14187,0.16010969664138677,1.333278479090141,0.36353896868792884
prefill,18,22152,88608,30,1,14521,0.16387910798122066,1.3266244175696182,0.3688248027830444
prefill,19,22152,88608,31,7,12498,0.14104821235102924,1.331726005170149,0.36776906430570605
prefill,20,22152,88608,31,2,15185,0.17137278801011196,1.3375258435978203,0.35806639214292163
prefill,21,22152,88608,28,23,19393,0.21886285662694113,1.288541713988781,0.4035480536463976
prefill,22,22152,88608,30,11,17834,0.20126850848681835,1.296274991516303,0.4108126699902943
prefill,23,22152,88608,26,24,17231,0.19446325388226796,1.371314594312615,0.30437511638339654
