phase,domain,delta,bin,bin_low,bin_high,predictions,mean_score,empirical_frequency
prefill,code,1,0,0.0,0.1,638436,0.04123055189847946,0.05168098290196668
prefill,code,1,1,0.1,0.2,248344,0.14143744111061096,0.1356586025835132
prefill,code,1,2,0.2,0.30000000000000004,101095,0.24341560900211334,0.22130669172560463
prefill,code,1,3,0.30000000000000004,0.4,49171,0.345509797334671,0.30581033536027336
prefill,code,1,4,0.4,0.5,27370,0.444692462682724,0.37139203507489954
prefill,code,1,5,0.5,0.6000000000000001,14503,0.5447181463241577,0.4861752740812246
prefill,code,1,6,0.6000000000000001,0.7000000000000001,10022,0.6474014520645142,0.6583516264218718
prefill,code,1,7,0.7000000000000001,0.8,6112,0.7401909828186035,0.7791230366492147
prefill,code,1,8,0.8,0.9,4571,0.855895459651947,0.9168672063005907
prefill,code,1,9,0.9,1.0,696,0.9202691316604614,0.9741379310344828
prefill,code,2,0,0.0,0.1,618787,0.04045071080327034,0.05034204015275046
prefill,code,2,1,0.1,0.2,223705,0.14223712682724,0.1371717216870432
prefill,code,2,2,0.2,0.30000000000000004,100257,0.2438342422246933,0.20914250376532312
prefill,code,2,3,0.30000000000000004,0.4,47929,0.34471073746681213,0.3206618122639738
prefill,code,2,4,0.4,0.5,26723,0.4442562758922577,0.4193765670022078
prefill,code,2,5,0.5,0.6000000000000001,14041,0.5454294681549072,0.4993946300121074
prefill,code,2,6,0.6000000000000001,0.7000000000000001,10358,0.6468684077262878,0.6366093840509751
prefill,code,2,7,0.7000000000000001,0.8,6270,0.7436255812644958,0.7848484848484848
prefill,code,2,8,0.8,0.9,4066,0.8451957702636719,0.8303000491883915
prefill,code,2,9,0.9,1.0,344,0.9091678857803345,0.8023255813953488
prefill,code,3,0,0.0,0.1,595063,0.040278706699609756,0.05051229869778494
prefill,code,3,1,0.1,0.2,213943,0.14167341589927673,0.13605025637669846
prefill,code,3,2,0.2,0.30000000000000004,90037,0.24354644119739532,0.21868787276341947
prefill,code,3,3,0.30000000000000004,0.4,43918,0.34537437558174133,0.2979871578851496
prefill,code,3,4,0.4,0.5,25909,0.4459937512874603,0.43475240264000925
prefill,code,3,5,0.5,0.6000000000000001,15832,0.5474672913551331,0.5161066195048004
prefill,code,3,6,0.6000000000000001,0.7000000000000001,9548,0.6450154185295105,0.6229576874738165
prefill,code,3,7,0.7000000000000001,0.8,5686,0.7445560693740845,0.7455153007386564
prefill,code,3,8,0.8,0.9,4250,0.8522617220878601,0.8512941176470589
prefill,code,3,9,0.9,1.0,454,0.9112476706504822,0.8766519823788547
prefill,code,4,0,0.0,0.1,567672,0.03951399773359299,0.049472230442931836
prefill,code,4,1,0.1,0.2,204439,0.14266273379325867,0.13817813626558534
prefill,code,4,2,0.2,0.30000000000000004,83391,0.24308741092681885,0.2111498842800782
prefill,code,4,3,0.30000000000000004,0.4,41373,0.3448498547077179,0.3089454475140792
prefill,code,4,4,0.4,0.5,24341,0.44586992263793945,0.4403270202538926
prefill,code,4,5,0.5,0.6000000000000001,15505,0.5467549562454224,0.5153176394711383
prefill,code,4,6,0.6000000000000001,0.7000000000000001,9155,0.64600670337677,0.5996723102129984
prefill,code,4,7,0.7000000000000001,0.8,5718,0.7478976249694824,0.7294508569429871
prefill,code,4,8,0.8,0.9,4721,0.8499118089675903,0.8710019063757678
prefill,code,4,9,0.9,1.0,485,0.9098892211914062,0.8164948453608247
prefill,code,5,0,0.0,0.1,544989,0.03955927863717079,0.04923952593538585
prefill,code,5,1,0.1,0.2,184740,0.141792431473732,0.13698170401645557
prefill,code,5,2,0.2,0.30000000000000004,81131,0.24415355920791626,0.21780823606266408
prefill,code,5,3,0.30000000000000004,0.4,42208,0.34537947177886963,0.3051317285822593
prefill,code,5,4,0.4,0.5,23272,0.44527390599250793,0.4282399449982812
prefill,code,5,5,0.5,0.6000000000000001,13623,0.5470268130302429,0.5514937972546429
prefill,code,5,6,0.6000000000000001,0.7000000000000001,8540,0.6483173370361328,0.6003512880562061
prefill,code,5,7,0.7000000000000001,0.8,6039,0.7440065145492554,0.7370425567146879
prefill,code,5,8,0.8,0.9,3812,0.8433629274368286,0.8628016789087093
prefill,code,5,9,0.9,1.0,606,0.9095410704612732,0.9620462046204621
prefill,code,6,0,0.0,0.1,516762,0.03965933620929718,0.04897612440543229
prefill,code,6,1,0.1,0.2,172973,0.14203739166259766,0.13696357234944181
prefill,code,6,2,0.2,0.30000000000000004,77628,0.2440246343612671,0.219006028752512
prefill,code,6,3,0.30000000000000004,0.4,40240,0.3461345136165619,0.3080268389662028
prefill,code,6,4,0.4,0.5,22685,0.44480636715888977,0.4283447211813974
prefill,code,6,5,0.5,0.6000000000000001,12871,0.5466796159744263,0.5061766762489317
prefill,code,6,6,0.6000000000000001,0.7000000000000001,7867,0.6458449363708496,0.6252701156730647
prefill,code,6,7,0.7000000000000001,0.8,6110,0.7460694313049316,0.7615384615384615
prefill,code,6,8,0.8,0.9,3685,0.8495326042175293,0.8654002713704206
prefill,code,6,9,0.9,1.0,299,0.9121561050415039,0.8394648829431438
prefill,code,7,0,0.0,0.1,489564,0.03879891335964203,0.048077473016806795
prefill,code,7,1,0.1,0.2,165566,0.1421981006860733,0.13719000277834822
prefill,code,7,2,0.2,0.30000000000000004,69699,0.24380382895469666,0.22511083372788707
prefill,code,7,3,0.30000000000000004,0.4,36473,0.3457740247249603,0.32341732240287335
prefill,code,7,4,0.4,0.5,20769,0.44496482610702515,0.40054889498772206
prefill,code,7,5,0.5,0.6000000000000001,12528,0.5464587807655334,0.48986270753512134
prefill,code,7,6,0.6000000000000001,0.7000000000000001,9073,0.6463726758956909,0.623167640251295
prefill,code,7,7,0.7000000000000001,0.8,5720,0.7463421821594238,0.7708041958041958
prefill,code,7,8,0.8,0.9,3258,0.8446733355522156,0.8695518723143032
prefill,code,7,9,0.9,1.0,630,0.9112164974212646,0.9063492063492063
prefill,code,8,0,0.0,0.1,465523,0.037843309342861176,0.0480728127289092
prefill,code,8,1,0.1,0.2,149100,0.14223361015319824,0.14147551978537895
prefill,code,8,2,0.2,0.30000000000000004,65439,0.2441858947277069,0.21933403627806047
prefill,code,8,3,0.30000000000000004,0.4,35191,0.34565138816833496,0.30888579466340826
prefill,code,8,4,0.4,0.5,19602,0.44401735067367554,0.40128558310376494
prefill,code,8,5,0.5,0.6000000000000001,11864,0.5495070219039917,0.5166891436277815
prefill,code,8,6,0.6000000000000001,0.7000000000000001,8841,0.6457111239433289,0.599366587490103
prefill,code,8,7,0.7000000000000001,0.8,5988,0.7472662329673767,0.7416499665998664
prefill,code,8,8,0.8,0.9,3581,0.849057674407959,0.8279810108908127
prefill,code,8,9,0.9,1.0,311,0.9069282412528992,0.909967845659164
prefill,code,9,0,0.0,0.1,439381,0.036830611526966095,0.046438057175890626
prefill,code,9,1,0.1,0.2,134313,0.14237290620803833,0.14005345722305362
prefill,code,9,2,0.2,0.30000000000000004,61890,0.2440900355577469,0.22194215543706577
prefill,code,9,3,0.30000000000000004,0.4,30780,0.3462558686733246,0.31523716699155296
prefill,code,9,4,0.4,0.5,20691,0.44602450728416443,0.4045720361509835
prefill,code,9,5,0.5,0.6000000000000001,13388,0.5464180111885071,0.49783388108754106
prefill,code,9,6,0.6000000000000001,0.7000000000000001,8096,0.648447573184967,0.6256175889328063
prefill,code,9,7,0.7000000000000001,0.8,4973,0.7471153140068054,0.7263221395535894
prefill,code,9,8,0.8,0.9,3669,0.8437683582305908,0.8075769964568003
prefill,code,9,9,0.9,1.0,419,0.9113753437995911,0.883054892601432
prefill,code,10,0,0.0,0.1,410927,0.036407068371772766,0.04474760723924201
prefill,code,10,1,0.1,0.2,125855,0.1419520229101181,0.14039966628262684
prefill,code,10,2,0.2,0.30000000000000004,53395,0.2446652203798294,0.22384118363142616
prefill,code,10,3,0.30000000000000004,0.4,31143,0.3464481234550476,0.30417750377291847
prefill,code,10,4,0.4,0.5,18959,0.4449285566806793,0.4163721715280342
prefill,code,10,5,0.5,0.6000000000000001,12585,0.5449613332748413,0.5075089392133493
prefill,code,10,6,0.6000000000000001,0.7000000000000001,7519,0.6497054100036621,0.6167043489825774
prefill,code,10,7,0.7000000000000001,0.8,5528,0.7432089447975159,0.7331765557163531
prefill,code,10,8,0.8,0.9,3537,0.8482449650764465,0.8495900480633305
prefill,code,10,9,0.9,1.0,312,0.9078662395477295,0.8365384615384616
prefill,code,11,0,0.0,0.1,386875,0.03619644045829773,0.045195476575121164
prefill,code,11,1,0.1,0.2,111046,0.1418399214744568,0.13603371575743387
prefill,code,11,2,0.2,0.30000000000000004,49609,0.24438691139221191,0.2258058013666875
prefill,code,11,3,0.30000000000000004,0.4,29542,0.34576618671417236,0.3255026741588247
prefill,code,11,4,0.4,0.5,18392,0.4455447494983673,0.41371248368856023
prefill,code,11,5,0.5,0.6000000000000001,11190,0.546421468257904,0.532975871313673
prefill,code,11,6,0.6000000000000001,0.7000000000000001,7692,0.6482900977134705,0.6212948517940717
prefill,code,11,7,0.7000000000000001,0.8,4366,0.7459455728530884,0.7377462207970683
prefill,code,11,8,0.8,0.9,3076,0.8487225770950317,0.8624837451235371
prefill,code,11,9,0.9,1.0,132,0.9049808382987976,0.7954545454545454
prefill,code,12,0,0.0,0.1,359072,0.03598589822649956,0.043548369129311114
prefill,code,12,1,0.1,0.2,100255,0.14136847853660583,0.13238242481671736
prefill,code,12,2,0.2,0.30000000000000004,43936,0.2448728084564209,0.22564639475600873
prefill,code,12,3,0.30000000000000004,0.4,26976,0.3475402295589447,0.339449881376038
prefill,code,12,4,0.4,0.5,18191,0.4460523724555969,0.4253202132922874
prefill,code,12,5,0.5,0.6000000000000001,9903,0.543610155582428,0.495607391699485
prefill,code,12,6,0.6000000000000001,0.7000000000000001,6912,0.649242639541626,0.6083622685185185
prefill,code,12,7,0.7000000000000001,0.8,5058,0.7464076280593872,0.7522736259391064
prefill,code,12,8,0.8,0.9,3615,0.8503823280334473,0.8265560165975103
prefill,code,12,9,0.9,1.0,162,0.9058466553688049,0.845679012345679
prefill,code,13,0,0.0,0.1,330434,0.03485696390271187,0.04264694311118105
prefill,code,13,1,0.1,0.2,91044,0.14182768762111664,0.13771363296867448
prefill,code,13,2,0.2,0.30000000000000004,43037,0.24592140316963196,0.23259056160977765
prefill,code,13,3,0.30000000000000004,0.4,22792,0.34512585401535034,0.3463057213057213
prefill,code,13,4,0.4,0.5,14663,0.4471258223056793,0.4049648775830321
prefill,code,13,5,0.5,0.6000000000000001,8737,0.5480536222457886,0.4776238983632826
prefill,code,13,6,0.6000000000000001,0.7000000000000001,7341,0.6499224901199341,0.636016891431685
prefill,code,13,7,0.7000000000000001,0.8,4209,0.7464777827262878,0.770016631028748
prefill,code,13,8,0.8,0.9,3833,0.8459296226501465,0.8061570571354031
prefill,code,13,9,0.9,1.0,150,0.9063296318054199,0.9066666666666666
prefill,code,14,0,0.0,0.1,302963,0.03391014412045479,0.038899139498882705
prefill,code,14,1,0.1,0.2,79701,0.14162634313106537,0.1402617282091818
prefill,code,14,2,0.2,0.30000000000000004,36566,0.24509193003177643,0.2347809440463819
prefill,code,14,3,0.30000000000000004,0.4,22677,0.34533604979515076,0.34431362173126956
prefill,code,14,4,0.4,0.5,13831,0.44599011540412903,0.40539368086183214
prefill,code,14,5,0.5,0.6000000000000001,8270,0.5471333861351013,0.5326481257557436
prefill,code,14,6,0.6000000000000001,0.7000000000000001,5932,0.6504918932914734,0.6213755900202292
prefill,code,14,7,0.7000000000000001,0.8,4862,0.7455775737762451,0.7531879884821061
prefill,code,14,8,0.8,0.9,3287,0.8475683927536011,0.854578643139641
prefill,code,14,9,0.9,1.0,311,0.9091520309448242,0.8810289389067524
prefill,code,15,0,0.0,0.1,273794,0.03205506503582001,0.03742960035647239
prefill,code,15,1,0.1,0.2,69989,0.1421874314546585,0.13239223306519596
prefill,code,15,2,0.2,0.30000000000000004,32597,0.24437294900417328,0.2394392121974415
prefill,code,15,3,0.30000000000000004,0.4,18644,0.3479241728782654,0.3448294357434027
prefill,code,15,4,0.4,0.5,13191,0.44689705967903137,0.43385641725418844
prefill,code,15,5,0.5,0.6000000000000001,7763,0.5458028316497803,0.47301301043411054
prefill,code,15,6,0.6000000000000001,0.7000000000000001,5921,0.6488185524940491,0.6188143894612397
prefill,code,15,7,0.7000000000000001,0.8,4897,0.7461100220680237,0.7635286910353277
prefill,code,15,8,0.8,0.9,3288,0.8475649356842041,0.8604014598540146
prefill,code,15,9,0.9,1.0,476,0.913927435874939,0.9348739495798319
prefill,code,16,0,0.0,0.1,248340,0.03090069442987442,0.03446484658129983
prefill,code,16,1,0.1,0.2,57075,0.14184188842773438,0.12637757336837493
prefill,code,16,2,0.2,0.30000000000000004,28111,0.24538318812847137,0.2474476183700331
prefill,code,16,3,0.30000000000000004,0.4,16631,0.3455111086368561,0.3634778425831279
prefill,code,16,4,0.4,0.5,10127,0.4461485743522644,0.4389256443171719
prefill,code,16,5,0.5,0.6000000000000001,7211,0.5489987730979919,0.5079739287200111
prefill,code,16,6,0.6000000000000001,0.7000000000000001,6527,0.6491786241531372,0.6198866247893366
prefill,code,16,7,0.7000000000000001,0.8,5041,0.7445468902587891,0.7526284467367585
prefill,code,16,8,0.8,0.9,3532,0.8459357023239136,0.8513590033975085
prefill,code,16,9,0.9,1.0,125,0.9063409566879272,0.896
prefill,code,17,0,0.0,0.1,224180,0.030990175902843475,0.03253635471496119
prefill,code,17,1,0.1,0.2,43657,0.14088532328605652,0.1238289392308221
prefill,code,17,2,0.2,0.30000000000000004,22057,0.247238427400589,0.24527360928503422
prefill,code,17,3,0.30000000000000004,0.4,13778,0.3474780023097992,0.36347800841921907
prefill,code,17,4,0.4,0.5,9702,0.4460676312446594,0.46959389816532676
prefill,code,17,5,0.5,0.6000000000000001,7394,0.5470401644706726,0.5054097917230187
prefill,code,17,6,0.6000000000000001,0.7000000000000001,5686,0.6484896540641785,0.614315863524446
prefill,code,17,7,0.7000000000000001,0.8,4947,0.7495100498199463,0.7814837275116232
prefill,code,17,8,0.8,0.9,3338,0.8471302390098572,0.8909526662672259
prefill,code,17,9,0.9,1.0,141,0.9030156135559082,0.8226950354609929
prefill,code,18,0,0.0,0.1,195188,0.031221849843859673,0.032573723794495565
prefill,code,18,1,0.1,0.2,35355,0.14068681001663208,0.13336161787583087
prefill,code,18,2,0.2,0.30000000000000004,16877,0.2473789006471634,0.24246015287077088
prefill,code,18,3,0.30000000000000004,0.4,13277,0.34800824522972107,0.35286585825111094
prefill,code,18,4,0.4,0.5,8086,0.4433220326900482,0.47229779866435817
prefill,code,18,5,0.5,0.6000000000000001,5654,0.5495375990867615,0.5162716660771135
prefill,code,18,6,0.6000000000000001,0.7000000000000001,4612,0.6485825181007385,0.6058109280138768
prefill,code,18,7,0.7000000000000001,0.8,4304,0.748341977596283,0.7569702602230484
prefill,code,18,8,0.8,0.9,3507,0.8486746549606323,0.8788138009694896
prefill,code,18,9,0.9,1.0,180,0.9077611565589905,0.8777777777777778
prefill,code,19,0,0.0,0.1,162689,0.029061518609523773,0.029104610637473955
prefill,code,19,1,0.1,0.2,29848,0.14070068299770355,0.11645671401768963
prefill,code,19,2,0.2,0.30000000000000004,14259,0.24701353907585144,0.24454730345746545
prefill,code,19,3,0.30000000000000004,0.4,8715,0.3496745824813843,0.3670682730923695
prefill,code,19,4,0.4,0.5,6999,0.44794827699661255,0.46335190741534504
prefill,code,19,5,0.5,0.6000000000000001,5034,0.5473110675811768,0.5744934445768772
prefill,code,19,6,0.6000000000000001,0.7000000000000001,4445,0.6496259570121765,0.661867266591676
prefill,code,19,7,0.7000000000000001,0.8,3895,0.7446853518486023,0.7735558408215661
prefill,code,19,8,0.8,0.9,3122,0.8559249043464661,0.8757206918641897
prefill,code,19,9,0.9,1.0,194,0.9096453189849854,0.9226804123711341
prefill,code,20,0,0.0,0.1,136496,0.028582943603396416,0.026704079240417303
prefill,code,20,1,0.1,0.2,18406,0.13914166390895844,0.11414756057807236
prefill,code,20,2,0.2,0.30000000000000004,8707,0.2485038936138153,0.24531985758585045
prefill,code,20,3,0.30000000000000004,0.4,7177,0.34903407096862793,0.36630904277553294
prefill,code,20,4,0.4,0.5,5450,0.44837772846221924,0.4763302752293578
prefill,code,20,5,0.5,0.6000000000000001,4377,0.5471158027648926,0.5588302490290153
prefill,code,20,6,0.6000000000000001,0.7000000000000001,3407,0.6491890549659729,0.6557088347519812
prefill,code,20,7,0.7000000000000001,0.8,3752,0.7497706413269043,0.7990405117270789
prefill,code,20,8,0.8,0.9,3265,0.8493816256523132,0.8716692189892803
prefill,code,20,9,0.9,1.0,323,0.9084036350250244,0.8947368421052632
prefill,code,21,0,0.0,0.1,103053,0.02661537379026413,0.02323076475211784
prefill,code,21,1,0.1,0.2,13090,0.14182138442993164,0.11512605042016806
prefill,code,21,2,0.2,0.30000000000000004,6649,0.24782948195934296,0.26530305309069036
prefill,code,21,3,0.30000000000000004,0.4,5006,0.3488519489765167,0.34658409908110266
prefill,code,21,4,0.4,0.5,4597,0.44600608944892883,0.5014139656297585
prefill,code,21,5,0.5,0.6000000000000001,3029,0.5462859869003296,0.6104324859689667
prefill,code,21,6,0.6000000000000001,0.7000000000000001,2078,0.6488853693008423,0.7040423484119346
prefill,code,21,7,0.7000000000000001,0.8,2429,0.7509123682975769,0.7661589131329766
prefill,code,21,8,0.8,0.9,3233,0.8488747477531433,0.8400866068666872
prefill,code,21,9,0.9,1.0,356,0.9104055166244507,0.9719101123595506
prefill,code,22,0,0.0,0.1,67703,0.02611006610095501,0.02289411104382376
prefill,code,22,1,0.1,0.2,7757,0.1424321085214615,0.10957844527523528
prefill,code,22,2,0.2,0.30000000000000004,5410,0.25057610869407654,0.26839186691312383
prefill,code,22,3,0.30000000000000004,0.4,5074,0.34863296151161194,0.3630271974773354
prefill,code,22,4,0.4,0.5,3010,0.4445748031139374,0.5205980066445183
prefill,code,22,5,0.5,0.6000000000000001,2223,0.5477983951568604,0.581646423751687
prefill,code,22,6,0.6000000000000001,0.7000000000000001,1363,0.6533588171005249,0.6903888481291269
prefill,code,22,7,0.7000000000000001,0.8,1380,0.7518805861473083,0.731159420289855
prefill,code,22,8,0.8,0.9,1712,0.8452693819999695,0.822429906542056
prefill,code,22,9,0.9,1.0,48,0.9078763127326965,1.0
prefill,code,23,0,0.0,0.1,35164,0.025813912972807884,0.022124900466386075
prefill,code,23,1,0.1,0.2,3381,0.13897603750228882,0.09671694764862467
prefill,code,23,2,0.2,0.30000000000000004,1845,0.25973448157310486,0.2775067750677507
prefill,code,23,3,0.30000000000000004,0.4,1654,0.34773463010787964,0.38694074969770254
prefill,code,23,4,0.4,0.5,1608,0.4544949531555176,0.49502487562189057
prefill,code,23,5,0.5,0.6000000000000001,1397,0.5448184013366699,0.58840372226199
prefill,code,23,6,0.6000000000000001,0.7000000000000001,1118,0.6537214517593384,0.6869409660107334
prefill,code,23,7,0.7000000000000001,0.8,1053,0.7439689040184021,0.7996201329534662
prefill,code,23,8,0.8,0.9,612,0.8357039093971252,0.795751633986928
prefill,code,23,9,0.9,1.0,8,0.9069223403930664,1.0
prefill,conversation,1,0,0.0,0.1,412130,0.0408916175365448,0.03835440273700046
