phase,domain,delta,predictions,positive_frequency,mean_score,brier_score,expected_calibration_error
prefill,code,1,1100320,0.125,0.12603765726089478,0.09223782271146774,0.014371641303085018
prefill,code,2,1052480,0.125,0.1258547604084015,0.09188937395811081,0.012976777687143962
prefill,code,3,1004640,0.125,0.12544341385364532,0.09146490693092346,0.012577286143978543
prefill,code,4,956800,0.125,0.12553338706493378,0.09097979962825775,0.012558005675798076
prefill,code,5,908960,0.125,0.12514370679855347,0.0905652791261673,0.012118721770059857
prefill,code,6,861120,0.125,0.12553885579109192,0.09064388275146484,0.012076277044106484
prefill,code,7,813280,0.125,0.1250358521938324,0.09014174342155457,0.011749964769502371
prefill,code,8,765440,0.125,0.1250208169221878,0.09028530865907669,0.012465982518988554
prefill,code,9,717600,0.125,0.12549708783626556,0.0896330177783966,0.012262228212226906
prefill,code,10,669760,0.125,0.12579159438610077,0.08861695975065231,0.011040376470349923
prefill,code,11,621920,0.125,0.12441335618495941,0.08801441639661789,0.010745467072444292
prefill,code,12,574080,0.125,0.12578332424163818,0.08676739782094955,0.010346937720345102
prefill,code,13,526240,0.125,0.12449883669614792,0.08648497611284256,0.009760660889316954
prefill,code,14,478400,0.125,0.12458235025405884,0.0844806432723999,0.006152279278657474
prefill,code,15,430560,0.125,0.1254873424768448,0.0827469453215599,0.007961288464004028
prefill,code,16,382720,0.125,0.12537163496017456,0.08000092208385468,0.0071747955904703535
prefill,code,17,334880,0.125,0.1256021410226822,0.07679706811904907,0.007170318442895631
prefill,code,18,287040,0.125,0.12509490549564362,0.0762316957116127,0.005010581449159074
prefill,code,19,239200,0.125,0.12551991641521454,0.07197561115026474,0.005824570150011811
prefill,code,20,191360,0.125,0.12573784589767456,0.06679370254278183,0.007086523470739806
prefill,code,21,143520,0.125,0.12499486654996872,0.06434575468301773,0.010289424306525123
prefill,code,22,95680,0.125,0.12512421607971191,0.06874839961528778,0.011169100612776517
prefill,code,23,47840,0.125,0.12451645731925964,0.06403174996376038,0.012901998439766343
prefill,conversation,1,702144,0.125,0.12554527819156647,0.08561230450868607,0.009233568735899821
prefill,conversation,2,671616,0.125,0.12604515254497528,0.08508806675672531,0.010693142166813295
prefill,conversation,3,641088,0.125,0.12560808658599854,0.08496066182851791,0.01035304399950749
prefill,conversation,4,610560,0.125,0.1254590004682541,0.0845087394118309,0.009701301439922008
prefill,conversation,5,580032,0.125,0.1255306601524353,0.0851060003042221,0.008580310005908321
prefill,conversation,6,549504,0.125,0.12577660381793976,0.08551962673664093,0.0075638969172848345
prefill,conversation,7,518976,0.125,0.12554435431957245,0.08507903665304184,0.006841357857530028
prefill,conversation,8,488448,0.125,0.1257588118314743,0.08452444523572922,0.0060804590744352495
prefill,conversation,9,457920,0.125,0.12592419981956482,0.08412136137485504,0.0056838847916270046
prefill,conversation,10,427392,0.125,0.12588606774806976,0.08384670317173004,0.005787648615801344
prefill,conversation,11,396864,0.125,0.12478891015052795,0.08399440348148346,0.0042293445692233
prefill,conversation,12,366336,0.125,0.12534889578819275,0.08421947062015533,0.005093208033198416
prefill,conversation,13,335808,0.125,0.125172957777977,0.08436337858438492,0.004236975417563655
prefill,conversation,14,305280,0.125,0.12494256347417831,0.08380403369665146,0.004351572540602829
prefill,conversation,15,274752,0.125,0.12549622356891632,0.08237647265195847,0.0036616337854626013
prefill,conversation,16,244224,0.125,0.12498520314693451,0.08112037926912308,0.004790523080209554
prefill,conversation,17,213696,0.125,0.1250392496585846,0.07825758308172226,0.0025310922385405068
prefill,conversation,18,183168,0.125,0.1248372420668602,0.07847697287797928,0.0055316659332544146
prefill,conversation,19,152640,0.125,0.12454842031002045,0.07706767320632935,0.006424667564195343
prefill,conversation,20,122112,0.125,0.1249942034482956,0.07413455843925476,0.007777789595563246
prefill,conversation,21,91584,0.125,0.12401646375656128,0.0752793475985527,0.012120152592443739
prefill,conversation,22,61056,0.125,0.12462861835956573,0.07974217087030411,0.014670419561397478
prefill,conversation,23,30528,0.125,0.12356963008642197,0.0767122134566307,0.01509341899773196
prefill,general,1,1519104,0.125,0.1254500448703766,0.08460482954978943,0.012473180327531872
prefill,general,2,1453056,0.125,0.12652195990085602,0.08390665799379349,0.013636661433713896
prefill,general,3,1387008,0.125,0.12583784759044647,0.08395162969827652,0.012606357903337381
prefill,general,4,1320960,0.125,0.12596789002418518,0.08336324989795685,0.01232162267543015
prefill,general,5,1254912,0.125,0.12567752599716187,0.0835779458284378,0.00975071696242359
prefill,general,6,1188864,0.125,0.12558488547801971,0.0836796835064888,0.010753143512792199
prefill,general,7,1122816,0.125,0.12521900236606598,0.08295465260744095,0.011034789795166512
prefill,general,8,1056768,0.125,0.12564599514007568,0.08192326873540878,0.010357882200113558
prefill,general,9,990720,0.125,0.12571881711483002,0.08129268884658813,0.009778190909425225
prefill,general,10,924672,0.125,0.12553627789020538,0.08081501722335815,0.011020849892727428
prefill,general,11,858624,0.125,0.12493115663528442,0.0805145725607872,0.009392941149212533
prefill,general,12,792576,0.125,0.12559035420417786,0.08012991398572922,0.008828731183164499
prefill,general,13,726528,0.125,0.12555038928985596,0.07953289151191711,0.008776984295832064
prefill,general,14,660480,0.125,0.1254429817199707,0.07816901803016663,0.00814957336156923
prefill,general,15,594432,0.125,0.12601199746131897,0.07725857198238373,0.006501308748916494
prefill,general,16,528384,0.125,0.12524612247943878,0.07492801547050476,0.007193215610070268
prefill,general,17,462336,0.125,0.1255260854959488,0.07217427343130112,0.008256188344375663
prefill,general,18,396288,0.125,0.1248817965388298,0.07190996408462524,0.00898797223891176
prefill,general,19,330240,0.125,0.12471132725477219,0.07069272547960281,0.0068249769244422475
prefill,general,20,264192,0.125,0.12516477704048157,0.06707481294870377,0.007653508223759057
prefill,general,21,198144,0.125,0.12416298687458038,0.06675397604703903,0.0066950912344624705
prefill,general,22,132096,0.125,0.12460897862911224,0.06928647309541702,0.0072471665511992505
prefill,general,23,66048,0.125,0.12447070330381393,0.06485557556152344,0.007439310101269025
prefill,math,1,772064,0.125,0.12571218609809875,0.08638288825750351,0.005931552601183194
prefill,math,2,738496,0.125,0.1256626397371292,0.0862080529332161,0.00756755031066843
prefill,math,3,704928,0.125,0.12563790380954742,0.08621443063020706,0.0060222178717170925
prefill,math,4,671360,0.125,0.12542036175727844,0.08593696355819702,0.0059054767358932714
prefill,math,5,637792,0.125,0.12521375715732574,0.08619876950979233,0.004784115516004683
prefill,math,6,604224,0.125,0.12559781968593597,0.0860304981470108,0.004916106863941212
prefill,math,7,570656,0.125,0.1251516342163086,0.08565785735845566,0.0037129028926790515
prefill,math,8,537088,0.125,0.12556113302707672,0.08503036201000214,0.002588132310610304
prefill,math,9,503520,0.125,0.12584762275218964,0.0848715752363205,0.00265360941235473
prefill,math,10,469952,0.125,0.1260831505060196,0.08431738615036011,0.004893322723661655
prefill,math,11,436384,0.125,0.1249089315533638,0.08413128554821014,0.001916786551763653
prefill,math,12,402816,0.125,0.12544205784797668,0.08366573601961136,0.0028755352597659685
prefill,math,13,369248,0.125,0.12545964121818542,0.08362302929162979,0.00242980055563702
prefill,math,14,335680,0.125,0.1251508891582489,0.08264926075935364,0.004838871958668215
prefill,math,15,302112,0.125,0.12552492320537567,0.08134039491415024,0.0032248604723722238
prefill,math,16,268544,0.125,0.12519581615924835,0.07936558127403259,0.003970265051713891
prefill,math,17,234976,0.125,0.1251327246427536,0.07659871131181717,0.00337222338262097
prefill,math,18,201408,0.125,0.12510356307029724,0.07591360807418823,0.004999979841509925
prefill,math,19,167840,0.125,0.12459410727024078,0.07371856272220612,0.004630555879261196
prefill,math,20,134272,0.125,0.12513886392116547,0.07016891241073608,0.002828585292767329
prefill,math,21,100704,0.125,0.12426935136318207,0.0706007331609726,0.0056855557423157775
prefill,math,22,67136,0.125,0.12468373775482178,0.07459204643964767,0.006378501883893939
prefill,math,23,33568,0.125,0.12374326586723328,0.07054968923330307,0.008215155945895499
decode,code,1,94208,0.125,0.12734989821910858,0.09532210975885391,0.01857146968173449
decode,code,2,90112,0.125,0.12526142597198486,0.09480056166648865,0.016525634432499905
decode,code,3,86016,0.125,0.12670589983463287,0.09379737079143524,0.01539694958514052
decode,code,4,81920,0.125,0.12569241225719452,0.09347297251224518,0.012462121386215585
decode,code,5,77824,0.125,0.12528643012046814,0.09417586773633957,0.011396619304976319
decode,code,6,73728,0.125,0.12659388780593872,0.09389349073171616,0.011353342638257248
decode,code,7,69632,0.125,0.12400655448436737,0.0936412662267685,0.010956606063540248
decode,code,8,65536,0.125,0.12361481785774231,0.0944380983710289,0.014962439117994109
decode,code,9,61440,0.125,0.12554848194122314,0.0941791757941246,0.011370556186557221
decode,code,10,57344,0.125,0.1260826736688614,0.09568451344966888,0.014645164908090794
decode,code,11,53248,0.125,0.1253386288881302,0.0946652814745903,0.011654098804753562
decode,code,12,49152,0.125,0.12514550983905792,0.09555846452713013,0.01311730722666956
decode,code,13,45056,0.125,0.12665289640426636,0.09780078381299973,0.01570630987134791
decode,code,14,40960,0.125,0.12437167018651962,0.09871437400579453,0.01925138327915192
decode,code,15,36864,0.125,0.12446166574954987,0.09911106526851654,0.017030920877813414
decode,code,16,32768,0.125,0.12436549365520477,0.10219082236289978,0.027125436552978496
decode,code,17,28672,0.125,0.12693928182125092,0.10238571465015411,0.024113728025570574
decode,code,18,24576,0.125,0.12598977982997894,0.10310092568397522,0.025553820351584974
decode,code,19,20480,0.125,0.1276841014623642,0.10366977751255035,0.03362446125120186
decode,code,20,16384,0.125,0.12738466262817383,0.10534898936748505,0.03435102916955657
decode,code,21,12288,0.125,0.1272425353527069,0.10684014111757278,0.04721297575815697
