phase,delta,candidate_count,baseline,requests,domains,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,candidate_amplification,candidate_set_fraction,useful_candidate_amplification,brier_score
decode,1,4,domain_static,32,4,0.45246688179347827,0.45246688179347827,0.478207132090693,0.05035665760869565,1.0,0.125,2.2424069636045796,
decode,1,4,global_static,32,4,0.42826511548913043,0.42826511548913043,0.45315373462179437,0.054942255434782615,1.0,0.125,2.382725463315039,
decode,1,4,learned,32,4,0.4255689538043478,0.4255689538043478,0.45097411197164783,0.04653532608695651,1.0,0.125,2.3969080832076006,0.08947054666224058
decode,1,4,source_copy,32,4,0.11863111413043477,0.11863111413043477,0.11858324382616126,8.491847826086956e-05,1.0,0.125,8.4826907783475,
decode,1,4,transition,32,4,0.6671832540760869,0.6671832540760869,0.7058029174804686,0.19930366847826084,1.0,0.125,1.5079261272161983,
decode,1,8,domain_static,32,4,0.681067425271739,0.3405337126358695,0.7044783467831819,0.28464673913043476,2.0,0.25,2.963880358315863,
decode,1,8,global_static,32,4,0.6338315217391305,0.31691576086956524,0.6540399634319802,0.23386548913043478,2.0,0.25,3.20161743843164,
decode,1,8,learned,32,4,0.6256368885869565,0.31281844429347827,0.6462065447931704,0.22868546195652173,2.0,0.25,3.2377740687192995,0.08947054666224058
decode,1,8,source_copy,32,4,0.5249872622282609,0.26249363111413043,0.546759667603866,0.09587296195652174,2.0,0.25,3.8531074601932307,
decode,1,8,transition,32,4,0.8626019021739131,0.43130095108695654,0.8819336061892302,0.6072520380434782,2.0,0.25,2.3251069821778736,
decode,1,12,domain_static,32,4,0.8229025135869565,0.27430083786231885,0.8405618874923043,0.5174932065217391,3.0,0.375,3.6613297431520095,
decode,1,12,global_static,32,4,0.7767917798913043,0.25893059329710144,0.7958312863888948,0.4494735054347826,3.0,0.375,3.887990835671167,
decode,1,12,learned,32,4,0.7530782948369565,0.2510260982789855,0.7699331615282141,0.4125339673913043,3.0,0.375,4.01115250075841,0.08947054666224058
decode,1,12,source_copy,32,4,0.7166270380434783,0.23887567934782608,0.7346853380617888,0.3200577445652174,3.0,0.375,4.219299408840824,
decode,1,12,transition,32,4,0.9283288043478262,0.30944293478260876,0.9399297755697499,0.7696161684782608,3.0,0.375,3.2361188161517696,
decode,1,16,domain_static,32,4,0.9102199388586956,0.2275549847146739,0.9217385209125022,0.7193444293478262,4.0,0.5,4.404882612514865,
decode,1,16,global_static,32,4,0.872664741847826,0.2181661854619565,0.8852296704831331,0.6362941576086957,4.0,0.5,4.59659970966404,
decode,1,16,learned,32,4,0.8435164741847826,0.21087911854619565,0.8568853710008704,0.5711616847826086,4.0,0.5,4.75749107161272,0.08947054666224058
decode,1,16,source_copy,32,4,0.8418817934782609,0.21047044836956522,0.8550800862519639,0.5517153532608696,4.0,0.5,4.768333152084642,
decode,1,16,transition,32,4,0.9635487432065217,0.24088718580163043,0.9698912786400836,0.8734714673913043,4.0,0.5,4.153826642659329,
decode,2,4,domain_static,32,4,0.4592950994318181,0.4592950994318181,0.485017559745095,0.052645596590909095,1.0,0.125,2.209788452205593,
decode,2,4,global_static,32,4,0.4343039772727273,0.4343039772727273,0.4590268135070801,0.057350852272727265,1.0,0.125,2.350833387451817,
decode,2,4,learned,32,4,0.4320845170454546,0.4320845170454546,0.4562712582674893,0.044477982954545456,1.0,0.125,2.3613258591109747,0.08880587087547942
decode,2,4,source_copy,32,4,0.11754261363636365,0.11754261363636365,0.11883458224209871,0.0,1.0,0.125,8.584625430370263,
decode,2,4,transition,32,4,0.6532981178977273,0.6532981178977273,0.693543694236062,0.18306107954545453,1.0,0.125,1.5401671780383526,
decode,2,8,domain_static,32,4,0.6878995028409092,0.3439497514204546,0.7098937901583585,0.29456676136363635,2.0,0.25,2.9351283946825406,
decode,2,8,global_static,32,4,0.6398259943181819,0.31991299715909094,0.6589238426902078,0.24129971590909088,2.0,0.25,3.173158104975009,
decode,2,8,learned,32,4,0.6309925426136365,0.31549627130681823,0.6511849490079014,0.21360085227272727,2.0,0.25,3.210877156205771,0.08880587087547942
decode,2,8,source_copy,32,4,0.5231045809659091,0.26155229048295453,0.5455291487953879,0.11168323863636362,2.0,0.25,3.8703179055347348,
decode,2,8,transition,32,4,0.8552911931818181,0.42764559659090906,0.8747953501614657,0.5941938920454546,2.0,0.25,2.34568797196615,
decode,2,12,domain_static,32,4,0.8288352272727273,0.27627840909090906,0.8454587242820046,0.5307173295454546,3.0,0.375,3.6355470415002435,
decode,2,12,global_static,32,4,0.7819158380681817,0.2606386126893939,0.7995470653880726,0.46049360795454547,3.0,0.375,3.863357544276379,
decode,2,12,learned,32,4,0.7698863636363636,0.2566287878787879,0.7848148345947266,0.42480468749999994,3.0,0.375,3.9222113586946534,0.08880587087547942
