phase,domain,delta,bin,bin_low,bin_high,predictions,mean_score,empirical_frequency
decode,code,1,0,0.0,0.1,143988,0.02200828306376934,0.013112203794760675
decode,code,1,1,0.1,0.2,12202,0.1424543559551239,0.12375020488444517
decode,code,1,2,0.2,0.30000000000000004,5980,0.24463491141796112,0.2583612040133779
decode,code,1,3,0.30000000000000004,0.4,3983,0.34633636474609375,0.3319106201355762
decode,code,1,4,0.4,0.5,3199,0.44656023383140564,0.4673335417317912
decode,code,1,5,0.5,0.6000000000000001,3033,0.5464531779289246,0.5628090999010881
decode,code,1,6,0.6000000000000001,0.7000000000000001,2422,0.647250235080719,0.6548307184145334
decode,code,1,7,0.7000000000000001,0.8,2792,0.7539884448051453,0.7987106017191977
decode,code,1,8,0.8,0.9,4106,0.8537288904190063,0.899171943497321
decode,code,1,9,0.9,1.0,6711,0.9529086947441101,0.980032781999702
decode,code,2,0,0.0,0.1,137503,0.022674856707453728,0.014065147669505392
decode,code,2,1,0.1,0.2,12010,0.1414259523153305,0.12731057452123232
decode,code,2,2,0.2,0.30000000000000004,5553,0.24657917022705078,0.2233027192508554
decode,code,2,3,0.30000000000000004,0.4,3979,0.34823378920555115,0.3470721286755466
decode,code,2,4,0.4,0.5,3149,0.4492550194263458,0.46617973959987297
decode,code,2,5,0.5,0.6000000000000001,2658,0.5485764741897583,0.6057185854025583
decode,code,2,6,0.6000000000000001,0.7000000000000001,2559,0.6502876877784729,0.6561156701836655
decode,code,2,7,0.7000000000000001,0.8,2955,0.7516591548919678,0.8115059221658206
decode,code,2,8,0.8,0.9,3679,0.851453423500061,0.8956238108181571
decode,code,2,9,0.9,1.0,6179,0.9516861438751221,0.9700598802395209
decode,code,3,0,0.0,0.1,130159,0.023318197578191757,0.015189114851835063
decode,code,3,1,0.1,0.2,11958,0.14165782928466797,0.1335507609968222
decode,code,3,2,0.2,0.30000000000000004,5998,0.244901642203331,0.24491497165721907
decode,code,3,3,0.30000000000000004,0.4,3780,0.3470619022846222,0.36243386243386244
decode,code,3,4,0.4,0.5,3178,0.4470621347427368,0.47230962869729387
decode,code,3,5,0.5,0.6000000000000001,2478,0.5507365465164185,0.5334947538337369
decode,code,3,6,0.6000000000000001,0.7000000000000001,2631,0.6487486362457275,0.6472824021284682
decode,code,3,7,0.7000000000000001,0.8,2923,0.7529274225234985,0.7731782415326719
decode,code,3,8,0.8,0.9,3672,0.8519233465194702,0.8766339869281046
decode,code,3,9,0.9,1.0,5255,0.9485830068588257,0.9678401522359658
decode,conversation,1,0,0.0,0.1,143470,0.02250918373465538,0.01916080016728236
decode,conversation,1,1,0.1,0.2,12819,0.14253173768520355,0.14260082689757392
decode,conversation,1,2,0.2,0.30000000000000004,6303,0.24534466862678528,0.2371886403300016
decode,conversation,1,3,0.30000000000000004,0.4,4372,0.3460949659347534,0.3167886550777676
decode,conversation,1,4,0.4,0.5,3136,0.4499504566192627,0.4451530612244898
decode,conversation,1,5,0.5,0.6000000000000001,2900,0.547672688961029,0.5444827586206896
decode,conversation,1,6,0.6000000000000001,0.7000000000000001,2463,0.6481617093086243,0.6366220056841251
decode,conversation,1,7,0.7000000000000001,0.8,2751,0.7519208192825317,0.7640857869865504
decode,conversation,1,8,0.8,0.9,3882,0.8532899022102356,0.8637300360638845
decode,conversation,1,9,0.9,1.0,6320,0.9521074891090393,0.9647151898734178
decode,conversation,2,0,0.0,0.1,136746,0.022860676050186157,0.019759261696868646
decode,conversation,2,1,0.1,0.2,12794,0.14162208139896393,0.1395185243082695
decode,conversation,2,2,0.2,0.30000000000000004,5941,0.24608772993087769,0.23767042585423329
