phase,domain,delta,predictions,positive_frequency,mean_score,brier_score,expected_calibration_error
decode,code,1,188416,0.125,0.12954646348953247,0.04360407218337059,0.012082849254946505
decode,code,2,180224,0.125,0.12951821088790894,0.04466214030981064,0.011986404365178383
decode,code,3,172032,0.125,0.12972034513950348,0.048378974199295044,0.009249150362220031
decode,conversation,1,188416,0.125,0.12796197831630707,0.050302568823099136,0.004602611758143567
decode,conversation,2,180224,0.125,0.12789177894592285,0.05147574841976166,0.004398804060573722
decode,conversation,3,172032,0.125,0.12788379192352295,0.0553833432495594,0.003972946438374321
decode,general,1,188416,0.125,0.13115283846855164,0.027629846706986427,0.03167655705038155
decode,general,2,180224,0.125,0.13088007271289825,0.028723997995257378,0.029882238540556664
decode,general,3,172032,0.125,0.13099834322929382,0.030584534630179405,0.03378556117229978
decode,math,1,188416,0.125,0.12826478481292725,0.04487405717372894,0.012701267745431165
decode,math,2,180224,0.125,0.12818966805934906,0.04649009555578232,0.01202950309652806
decode,math,3,172032,0.125,0.12808096408843994,0.05012708157300949,0.01044099864291292
