phase,delta,candidate_count,baseline,requests,candidate_amplification,candidate_set_fraction,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,useful_candidate_amplification
decode,1,4,domain_static,64,1.0,0.125,0.44015370244565216,0.44015370244565216,0.46436432133550226,0.04695991847826087,2.271933632373511
decode,1,4,global_static,64,1.0,0.125,0.41950789741847827,0.41950789741847827,0.4436748338782269,0.053880774456521736,2.383745350573113
decode,1,4,learned,64,1.0,0.125,0.7666652513586957,0.7666652513586957,0.8041552668032439,0.3669327445652174,1.3043502339877606
decode,1,4,source_copy,64,1.0,0.125,0.11822775135869565,0.11822775135869565,0.1185545195703921,0.0,8.458251032501346
decode,1,4,transition,64,1.0,0.125,0.663659137228261,0.663659137228261,0.7015782439190408,0.19756283967391303,1.5067976072422504
decode,1,8,domain_static,64,2.0,0.25,0.6615574048913044,0.3307787024456522,0.6837826189787493,0.26838485054347827,3.023169244592773
decode,1,8,global_static,64,2.0,0.25,0.6209663722826086,0.3104831861413043,0.6407707463140073,0.22698709239130435,3.220786324786325
decode,1,8,learned,64,2.0,0.25,0.9167692764945652,0.4583846382472826,0.9306732882624087,0.7410411005434783,2.181573980802853
decode,1,8,source_copy,64,2.0,0.25,0.5160177479619565,0.25800887398097827,0.537446633629177,0.09158457880434782,3.8758356818135065
decode,1,8,transition,64,2.0,0.25,0.8596722146739131,0.42983610733695654,0.8792296596195387,0.6000339673913043,2.3264681187336396
decode,1,12,domain_static,64,3.0,0.375,0.8029679008152173,0.26765596693840576,0.8196904866591743,0.49375849184782605,3.7361393860878307
decode,1,12,global_static,64,3.0,0.375,0.769860309103261,0.2566201030344203,0.788327807965486,0.4431470788043479,3.896810842858521
decode,1,12,learned,64,3.0,0.375,0.9584324048913043,0.31947746829710144,0.9660273634869119,0.8587381114130435,3.1301111947902363
decode,1,12,source_copy,64,3.0,0.375,0.705078125,0.23502604166666669,0.7224278139031453,0.31046195652173914,4.254847645429363
decode,1,12,transition,64,3.0,0.375,0.9282014266304348,0.30940047554347827,0.9400144452634065,0.7687245244565217,3.232057087964869
decode,1,16,domain_static,64,4.0,0.5,0.8963994565217391,0.22409986413043478,0.9077944548233696,0.6939962635869565,4.46229632436529
decode,1,16,global_static,64,4.0,0.5,0.8687054177989131,0.21717635444972827,0.881165359331214,0.6319208559782609,4.60455284155476
decode,1,16,learned,64,4.0,0.5,0.978112262228261,0.24452806555706524,0.9822926935942276,0.9206436820652174,4.089510125236038
decode,1,16,source_copy,64,4.0,0.5,0.8361285665760869,0.20903214164402173,0.8495923850847327,0.5441576086956521,4.783953281706234
decode,1,16,transition,64,4.0,0.5,0.962349269701087,0.24058731742527176,0.9691528444704802,0.8683763586956522,4.156495075059838
decode,2,4,domain_static,64,1.0,0.125,0.44667746803977276,0.44667746803977276,0.4709356698122891,0.049094460227272735,2.2387518322526145
decode,2,4,global_static,64,1.0,0.125,0.4253151633522727,0.4253151633522727,0.44944024085998535,0.056196732954545456,2.3511976204143403
decode,2,4,learned,64,1.0,0.125,0.7596768465909092,0.7596768465909092,0.7970634373751553,0.3623046875,1.3163491877994622
decode,2,4,source_copy,64,1.0,0.125,0.1160000887784091,0.1160000887784091,0.11681487343528055,0.0,8.620683057495455
decode,2,4,transition,64,1.0,0.125,0.6475053267045454,0.6475053267045454,0.6870227293534712,0.18070845170454544,1.544388839377528
decode,2,8,domain_static,64,2.0,0.25,0.6680131392045454,0.3340065696022727,0.6889656023545698,0.2775656960227273,2.993953086583826
decode,2,8,global_static,64,2.0,0.25,0.62646484375,0.313232421875,0.6451986703005704,0.23388671875,3.1925175370226033
decode,2,8,learned,64,2.0,0.25,0.9111772017045454,0.4555886008522727,0.9244974093003706,0.7327325994318182,2.194962732011497
decode,2,8,source_copy,64,2.0,0.25,0.5132501775568181,0.25662508877840906,0.5349146669561213,0.10569069602272727,3.8967351351351356
decode,2,8,transition,64,2.0,0.25,0.8536709872159092,0.4268354936079546,0.8726329586722633,0.5957919034090909,2.342822972727036
decode,2,12,domain_static,64,3.0,0.375,0.8082719282670454,0.26942397608901514,0.8240523988550359,0.5058149857954546,3.71162215967598
decode,2,12,global_static,64,3.0,0.375,0.7748246626420454,0.2582748875473485,0.7918622493743896,0.45374644886363635,3.871843714641727
decode,2,12,learned,64,3.0,0.375,0.955322265625,0.3184407552083333,0.9627627676183528,0.8505859375,3.14030155890621
decode,2,12,source_copy,64,3.0,0.375,0.7075417258522727,0.23584724195075757,0.7255484841086648,0.33194247159090906,4.240032623357069
decode,2,12,transition,64,3.0,0.375,0.9245827414772728,0.3081942471590909,0.9361284646120939,0.7628284801136365,3.2447068990349988
decode,2,16,domain_static,64,4.0,0.5,0.9006236683238635,0.22515591708096588,0.9110771525989878,0.7063654119318182,4.441366733615093
decode,2,16,global_static,64,4.0,0.5,0.8731800426136364,0.2182950106534091,0.8843114159323953,0.6439985795454545,4.5809567383457885
decode,2,16,learned,64,4.0,0.5,0.9762073863636364,0.2440518465909091,0.9803033525293524,0.9149502840909091,4.097489996362314
decode,2,16,source_copy,64,4.0,0.5,0.8372358842329546,0.20930897105823865,0.8505020358345725,0.5583718039772727,4.777626085227649
decode,2,16,transition,64,4.0,0.5,0.9607488458806819,0.24018721147017047,0.9675583189184016,0.863370028409091,4.163419000866301
decode,3,4,domain_static,64,1.0,0.125,0.4474051339285714,0.4474051339285714,0.4696354638962518,0.051432291666666664,2.2351106953539133
decode,3,4,global_static,64,1.0,0.125,0.425048828125,0.425048828125,0.4466258230663481,0.05887276785714286,2.3526708788052844
decode,3,4,learned,64,1.0,0.125,0.74072265625,0.74072265625,0.7749558176313128,0.3486328125,1.3500329597890572
decode,3,4,source_copy,64,1.0,0.125,0.1215239025297619,0.1215239025297619,0.12437936237880162,0.0,8.228833827609298
decode,3,4,transition,64,1.0,0.125,0.6287202380952381,0.6287202380952381,0.6628285135541645,0.18243117559523808,1.5905325443786982
decode,3,8,domain_static,64,2.0,0.25,0.6687825520833334,0.3343912760416667,0.6886004266284761,0.2815755208333333,2.990508639571672
decode,3,8,global_static,64,2.0,0.25,0.625918433779762,0.312959216889881,0.6436001459757488,0.2335379464285714,3.1953045190289564
decode,3,8,learned,64,2.0,0.25,0.9001813616071429,0.45009068080357145,0.914552506946382,0.7084263392857143,2.221774506005424
decode,3,8,source_copy,64,2.0,0.25,0.5300409226190477,0.26502046130952384,0.549950395311628,0.12248883928571427,3.7732935602737316
decode,3,8,transition,64,2.0,0.25,0.8409481956845238,0.4204740978422619,0.8608622550964355,0.5678013392857143,2.3782677818483444
decode,3,12,domain_static,64,3.0,0.375,0.8087216331845237,0.26957387772817465,0.824085553487142,0.5092075892857142,3.7095582421689697
decode,3,12,global_static,64,3.0,0.375,0.7751348586309524,0.25837828621031744,0.7923202287583124,0.4553106398809524,3.8702942676305603
decode,3,12,learned,64,3.0,0.375,0.9486607142857142,0.3162202380952381,0.9570859954470681,0.8314732142857142,3.162352941176471
decode,3,12,source_copy,64,3.0,0.375,0.7151925223214286,0.23839750744047616,0.7309414772760301,0.34030877976190477,4.194674729347508
decode,3,12,transition,64,3.0,0.375,0.9178524925595238,0.3059508308531746,0.9303268932160876,0.7445126488095238,3.2684990500316653
decode,3,16,domain_static,64,4.0,0.5,0.9002511160714287,0.22506277901785718,0.910884766351609,0.7055896577380952,4.443204710987137
decode,3,16,global_static,64,4.0,0.5,0.8737444196428571,0.21843610491071427,0.8851642608642578,0.6472749255952381,4.577997764649529
decode,3,16,learned,64,4.0,0.5,0.9726097470238095,0.24315243675595238,0.9776108151390439,0.9026227678571429,4.11264642601004
decode,3,16,source_copy,64,4.0,0.5,0.8414364769345238,0.21035911923363096,0.8540809040977841,0.5686383928571428,4.753775370628791
decode,3,16,transition,64,4.0,0.5,0.9552757626488095,0.23881894066220238,0.962911878313337,0.8474702380952381,4.187272572381311
