phase,layer,tokens,selections,unique_experts,top_expert,top_expert_count,top_expert_share,mean_selected_entropy,mean_max_selected_weight
decode,0,1024,4096,32,9,278,0.06787109375,1.2542126868074637,0.43483543395996094
decode,1,1024,4096,32,12,403,0.098388671875,1.2719595909907524,0.4224891662597656
decode,2,1024,4096,32,21,691,0.168701171875,1.2988008616398823,0.39994049072265625
decode,3,1024,4096,32,7,574,0.14013671875,1.3405727805045646,0.3513984680175781
decode,4,1024,4096,32,15,753,0.183837890625,1.3056515230961656,0.38721656799316406
decode,5,1024,4096,32,10,542,0.13232421875,1.3294486309283746,0.3605194091796875
decode,6,1024,4096,32,9,501,0.122314453125,1.3287127861452308,0.3724803924560547
decode,7,1024,4096,31,14,543,0.132568359375,1.3212665842962679,0.3732013702392578
decode,8,1024,4096,32,17,546,0.13330078125,1.3367085004335064,0.3578529357910156
decode,9,1024,4096,31,8,683,0.166748046875,1.348030905856188,0.33872413635253906
decode,10,1024,4096,31,10,757,0.184814453125,1.33610385574209,0.3578758239746094
decode,11,1024,4096,31,30,710,0.17333984375,1.3555739344315534,0.3320178985595703
decode,12,1024,4096,32,23,797,0.194580078125,1.3429187395381048,0.34513282775878906
decode,13,1024,4096,31,15,741,0.180908203125,1.3449160330720347,0.3516998291015625
decode,14,1024,4096,32,9,486,0.11865234375,1.3402523325604203,0.3479766845703125
decode,15,1024,4096,32,13,602,0.14697265625,1.3283942956631511,0.35892677307128906
decode,16,1024,4096,32,5,515,0.125732421875,1.3391473407782042,0.3575172424316406
decode,17,1024,4096,31,28,544,0.1328125,1.3537288286768798,0.3317909240722656
decode,18,1024,4096,31,23,365,0.089111328125,1.3326448188595619,0.35680580139160156
decode,19,1024,4096,32,19,528,0.12890625,1.351448712387614,0.3360576629638672
decode,20,1024,4096,32,30,436,0.1064453125,1.338816434342169,0.3473167419433594
decode,21,1024,4096,32,3,683,0.166748046875,1.3445289609910285,0.344512939453125
decode,22,1024,4096,32,25,596,0.1455078125,1.343928113904528,0.3427600860595703
decode,23,1024,4096,31,31,602,0.14697265625,1.3266705293043073,0.36180686950683594
prefill,0,11868,47472,32,11,3062,0.06450117964273677,1.251593210214193,0.4402070233506067
prefill,1,11868,47472,32,28,3459,0.07286400404448938,1.291723704069705,0.4051666311193967
prefill,2,11868,47472,32,5,3828,0.08063700707785643,1.3097881494631147,0.3873587654301483
prefill,3,11868,47472,32,31,5113,0.10770559487698012,1.3346945137019302,0.3595884481905123
prefill,4,11868,47472,32,6,5902,0.12432591843613078,1.3214694937841498,0.3744898308476576
prefill,5,11868,47472,32,24,7023,0.14793983822042467,1.3360869771679968,0.3556084705194641
prefill,6,11868,47472,32,9,3409,0.07181075160094372,1.31492943538328,0.3786001485085945
prefill,7,11868,47472,32,5,4193,0.0883257499157398,1.3303665490148895,0.3622788499009943
prefill,8,11868,47472,32,17,4886,0.10292382878328278,1.3379031917722015,0.3535936315091001
prefill,9,11868,47472,32,8,5479,0.11541540276373441,1.3287774350728667,0.3636701305506404
prefill,10,11868,47472,32,10,6173,0.1300345466801483,1.3234098365723101,0.3657475064248399
prefill,11,11868,47472,32,30,6417,0.13517441860465115,1.3473283801788658,0.3450532353281935
prefill,12,11868,47472,32,21,5573,0.11739551735760027,1.3429093986255494,0.35101003617922144
prefill,13,11868,47472,32,1,5019,0.10572548028311425,1.3423761760680877,0.34752837857052576
prefill,14,11868,47472,32,6,6940,0.14619143916413885,1.3386610082909065,0.35117872114088305
prefill,15,11868,47472,32,28,5062,0.10663127738456353,1.3283915950689689,0.3588087122408999
prefill,16,11868,47472,28,27,4960,0.10448264239973036,1.3347014045535481,0.3611788593802663
prefill,17,11868,47472,30,24,7678,0.16173744523087294,1.3342263034753885,0.36284135253412536
prefill,18,11868,47472,29,1,7650,0.16114762386248735,1.3261869043665364,0.3691035965937816
prefill,19,11868,47472,31,7,6585,0.1387133468149646,1.3332674615607127,0.36551414518031683
prefill,20,11868,47472,31,1,7985,0.16820441523424334,1.3381697707516458,0.356980167256488
prefill,21,11868,47472,28,23,10291,0.2167804179305696,1.2926430705693261,0.39997837541076847
prefill,22,11868,47472,30,11,9545,0.2010658914728682,1.2970899951701083,0.40972836619480957
prefill,23,11868,47472,26,24,9277,0.19542045837546343,1.371220388767169,0.30430141715116277
