fold,training_requests,training_tokens,feature_mode,baseline,domain,delta,evaluation_tokens,selection_coverage,complete_route_coverage
final,96,1536,weighted_binary,pairwise_head,code,1,128,0.9113451086956522,0.7231657608695652
final,96,1536,weighted_binary,pairwise_head,conversation,1,128,0.8817085597826086,0.639266304347826
final,96,1536,weighted_binary,pairwise_head,general,1,128,0.9766474184782609,0.9137228260869565
final,96,1536,weighted_binary,pairwise_head,math,1,128,0.9071841032608695,0.7143342391304348
final,96,1536,weighted_binary,pairwise_head,ALL,1,512,0.9192212975543478,0.7476222826086957
final,96,1536,weighted_binary,pairwise_head,code,2,128,0.9106889204545454,0.7254971590909091
final,96,1536,weighted_binary,pairwise_head,conversation,2,128,0.8728693181818182,0.6285511363636364
final,96,1536,weighted_binary,pairwise_head,general,2,128,0.9778053977272727,0.9165482954545454
final,96,1536,weighted_binary,pairwise_head,math,2,128,0.9038529829545454,0.7063210227272727
final,96,1536,weighted_binary,pairwise_head,ALL,2,512,0.9163041548295454,0.7442294034090909
final,96,1536,weighted_binary,pairwise_head,code,3,128,0.9005766369047619,0.7008928571428571
final,96,1536,weighted_binary,pairwise_head,conversation,3,128,0.8568638392857143,0.5911458333333334
final,96,1536,weighted_binary,pairwise_head,general,3,128,0.97265625,0.8995535714285714
final,96,1536,weighted_binary,pairwise_head,math,3,128,0.8902529761904762,0.6815476190476191
final,96,1536,weighted_binary,pairwise_head,ALL,3,512,0.9050874255952381,0.7182849702380952
final,96,1536,table,transition,code,1,128,0.8502887228260869,0.5771059782608695
final,96,1536,table,transition,conversation,1,128,0.8289741847826086,0.5251358695652174
final,96,1536,table,transition,general,1,128,0.9287533967391305,0.7622282608695652
final,96,1536,table,transition,math,1,128,0.842391304347826,0.5645380434782609
final,96,1536,table,transition,ALL,1,512,0.8626019021739131,0.6072520380434783
final,96,1536,table,transition,code,2,128,0.8357599431818182,0.5504261363636364
final,96,1536,table,transition,conversation,2,128,0.8212890625,0.5213068181818182
final,96,1536,table,transition,general,2,128,0.9263139204545454,0.7496448863636364
final,96,1536,table,transition,math,2,128,0.8378018465909091,0.5553977272727273
final,96,1536,table,transition,ALL,2,512,0.8552911931818182,0.5941938920454546
final,96,1536,table,transition,code,3,128,0.8292410714285714,0.5319940476190477
final,96,1536,table,transition,conversation,3,128,0.8087797619047619,0.5011160714285714
final,96,1536,table,transition,general,3,128,0.9159226190476191,0.7239583333333334
final,96,1536,table,transition,math,3,128,0.8217075892857143,0.5141369047619048
final,96,1536,table,transition,ALL,3,512,0.8439127604166666,0.5678013392857143
