fold,training_requests,training_tokens,feature_mode,baseline,domain,delta,evaluation_tokens,selection_coverage,complete_route_coverage
0,8,128,table,transition,code,1,96,0.8058197463768116,0.5040760869565217
0,8,128,table,transition,conversation,1,96,0.7977807971014492,0.4723731884057971
0,8,128,table,transition,general,1,96,0.9223278985507246,0.7355072463768116
0,8,128,table,transition,math,1,96,0.8275588768115942,0.5240036231884058
0,8,128,table,transition,ALL,1,384,0.8383718297101449,0.558990036231884
0,8,128,table,transition,code,2,96,0.7998342803030303,0.5009469696969697
0,8,128,table,transition,conversation,2,96,0.7885890151515151,0.4583333333333333
0,8,128,table,transition,general,2,96,0.9144176136363636,0.7130681818181818
0,8,128,table,transition,math,2,96,0.8252840909090909,0.5397727272727273
0,8,128,table,transition,ALL,2,384,0.83203125,0.553030303030303
0,8,128,table,transition,code,3,96,0.7936507936507936,0.49950396825396826
0,8,128,table,transition,conversation,3,96,0.7715773809523809,0.4384920634920635
0,8,128,table,transition,general,3,96,0.9098462301587301,0.7053571428571429
0,8,128,table,transition,math,3,96,0.8060515873015873,0.49107142857142855
0,8,128,table,transition,ALL,3,384,0.820281498015873,0.5336061507936508
0,8,128,weighted,pairwise_head,code,1,96,0.7964221014492754,0.48596014492753625
0,8,128,weighted,pairwise_head,conversation,1,96,0.7898550724637681,0.4533514492753623
0,8,128,weighted,pairwise_head,general,1,96,0.9081748188405797,0.6961050724637681
0,8,128,weighted,pairwise_head,math,1,96,0.816802536231884,0.4990942028985507
0,8,128,weighted,pairwise_head,ALL,1,384,0.8278136322463768,0.5336277173913043
0,8,128,weighted,pairwise_head,code,2,96,0.7840909090909091,0.4512310606060606
0,8,128,weighted,pairwise_head,conversation,2,96,0.7810132575757576,0.44554924242424243
0,8,128,weighted,pairwise_head,general,2,96,0.9037642045454546,0.6794507575757576
0,8,128,weighted,pairwise_head,math,2,96,0.8151041666666666,0.5037878787878788
0,8,128,weighted,pairwise_head,ALL,2,384,0.820993134469697,0.5200047348484849
