fold,training_requests,training_tokens,feature_mode,initial_loss,final_loss
0,8,128,weighted,0.6952640414237976,0.3135412633419037
0,8,128,binary,0.70051109790802,0.19125370681285858
0,8,128,weighted_binary,0.6964804530143738,0.17242085933685303
0,16,256,weighted,0.695240318775177,0.3185120224952698
0,16,256,binary,0.7004839777946472,0.20182231068611145
0,16,256,weighted_binary,0.6965184211730957,0.18428346514701843
0,32,512,weighted,0.6952326893806458,0.32156315445899963
0,32,512,binary,0.7004833817481995,0.209787517786026
0,32,512,weighted_binary,0.6964877843856812,0.19331909716129303
0,48,768,weighted,0.6926556626955668,0.24997482200463614
0,48,768,binary,0.6940453847249349,0.18086822827657065
0,48,768,weighted_binary,0.6887945532798767,0.16942521433035532
0,72,1152,weighted,0.6900875171025594,0.221587296989229
0,72,1152,binary,0.6876382695304023,0.17098280621899498
0,72,1152,weighted_binary,0.6811715298228793,0.161223527457979
1,8,128,weighted,0.6952410936355591,0.3165503442287445
1,8,128,binary,0.7005030512809753,0.19430890679359436
1,8,128,weighted_binary,0.6963716745376587,0.1755504161119461
1,16,256,weighted,0.695224940776825,0.3204086720943451
1,16,256,binary,0.700471043586731,0.20530202984809875
1,16,256,weighted_binary,0.6964098215103149,0.1879417598247528
1,32,512,weighted,0.6952074766159058,0.3228943645954132
1,32,512,binary,0.7004334926605225,0.21292102336883545
1,32,512,weighted_binary,0.6964342594146729,0.1967194676399231
1,48,768,weighted,0.6926303108533224,0.25165751576423645
1,48,768,binary,0.6939891775449117,0.18345805505911508
1,48,768,weighted_binary,0.688733438650767,0.1720922589302063
1,72,1152,weighted,0.6900642845365736,0.2231934501065148
1,72,1152,binary,0.6875859830114577,0.1732566538784239
1,72,1152,weighted_binary,0.6811126603020562,0.16353965302308401
2,8,128,weighted,0.6952410936355591,0.3165503442287445
2,8,128,binary,0.7005030512809753,0.19430890679359436
2,8,128,weighted_binary,0.6963716745376587,0.1755504161119461
2,16,256,weighted,0.695224940776825,0.3204086720943451
2,16,256,binary,0.700471043586731,0.20530202984809875
2,16,256,weighted_binary,0.6964098215103149,0.1879417598247528
2,32,512,weighted,0.695222020149231,0.32163846492767334
2,32,512,binary,0.7004449367523193,0.21100959181785583
2,32,512,weighted_binary,0.6964430212974548,0.194771870970726
2,48,768,weighted,0.6926422516504923,0.24872239430745444
2,48,768,binary,0.6939841310183207,0.1797794202963511
2,48,768,weighted_binary,0.6887269020080566,0.16850334405899048
2,72,1152,weighted,0.6900666024949815,0.22104661332236397
2,72,1152,binary,0.6875701480441623,0.17059694727261862
2,72,1152,weighted_binary,0.6810924212137858,0.16090882983472612
3,8,128,weighted,0.6952410936355591,0.3165503442287445
3,8,128,binary,0.7005030512809753,0.19430890679359436
3,8,128,weighted_binary,0.6963716745376587,0.1755504161119461
3,16,256,weighted,0.695224940776825,0.3204086720943451
3,16,256,binary,0.700471043586731,0.20530202984809875
3,16,256,weighted_binary,0.6964098215103149,0.1879417598247528
3,32,512,weighted,0.695222020149231,0.32163846492767334
3,32,512,binary,0.7004449367523193,0.21100959181785583
3,32,512,weighted_binary,0.6964430212974548,0.194771870970726
3,48,768,weighted,0.6926422516504923,0.24872239430745444
3,48,768,binary,0.6939841310183207,0.1797794202963511
3,48,768,weighted_binary,0.6887269020080566,0.16850334405899048
3,72,1152,weighted,0.6900771988762749,0.22197941773467594
3,72,1152,binary,0.6876066790686713,0.17207771042982736
3,72,1152,weighted_binary,0.6811192896631029,0.16240992645422617
