track,capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,requested_amplification,realized_amplification,bandwidth_gbps,startup_latency_us,transfer_concurrency,expert_size_mib,expert_transfer_ms,fast_tier_expert_gib,offloaded_expert_gib,eligible_cold_demand_objects,useful_predicted_objects,false_predicted_objects,cold_demand_bytes,useful_predicted_bytes,false_predicted_bytes,candidate_movement_bytes,deadline_feasible_useful_bytes,late_useful_bytes,missed_or_unpredictable_bytes,mean_eligible_cold_objects_per_wave,cold_service_headroom,cold_service_pressure_with_amplification,mean_reactive_stall_ms,p50_reactive_stall_ms,p95_reactive_stall_ms,p99_reactive_stall_ms,mean_predictive_stall_ms,p50_predictive_stall_ms,p95_predictive_stall_ms,p99_predictive_stall_ms,mean_oracle_stall_ms,p50_oracle_stall_ms,p95_oracle_stall_ms,p99_oracle_stall_ms,mean_stall_reduction_vs_reactive,p99_stall_reduction_vs_reactive,mean_oracle_stall_reduction,mean_oracle_recovery,modeled_p99_tpot_ms,reactive_p99_tpot_ms,oracle_p99_tpot_ms,p99_tpot_ratio_vs_reactive,p99_tpot_slowdown_vs_all_resident,deadline_feasible_predicted_wave_fraction,deadline_feasible_useful_objects,late_useful_objects,missed_or_unpredictable_objects,tail_model,evidence_expert_and_timing,evidence_demand,evidence_predictor,evidence_hardware
AX1,8,1,0.5,0.5,1.0,1.0,16.0,2.755010047474471,1,12.0,0.7891870100474745,1.5,10.5,585911,293589,0,7372466552832,3694204551168,0,3694204551168,0,3694204551168,4266928373760,4.571144363999501,0.1778386092722476,5.623075911874294,62.32853403257731,62.34577379375049,87.59975811526968,93.91325419564946,57.5552886596045,57.720720868881386,83.12458121464445,89.58795331926811,52.78204328663169,52.75610900669642,78.01009332821562,84.3235894085954,0.07658202534457126,0.04605634117810942,0.15316405068914252,0.5,99.81692909212578,104.14222996850712,94.55256518145306,0.9584673683510586,9.758252566888224,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.0,1.0,24.1354255944,2.755010047474471,1,12.0,0.5241011926861406,1.5,10.5,585911,293589,0,7372466552832,3694204551168,0,3694204551168,25367150592,3668837400576,4266928373760,4.571144363999501,0.2682631576188691,3.7276829545887,41.392545250950576,41.403994222205114,58.17523238816161,62.36804192965073,36.64829288046494,36.698397735344955,54.04568486688877,58.48022824192793,31.902242828773513,31.81432943515105,48.58556760110755,52.77837714259667,0.1146161063960347,0.06233663215061547,0.22927564286371394,0.4999052885184355,68.7092040147856,72.5970177025084,63.007352915454334,0.9464466473863365,6.717114747412324,0.03370561091419782,2016,291573,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,measured_anchor
AX1,8,1,0.5,0.5,1.0,1.0,32.0,2.755010047474471,1,12.0,0.3959710100474745,1.5,10.5,585911,293589,0,7372466552832,3694204551168,0,3694204551168,25367150592,3668837400576,4266928373760,4.571144363999501,0.3556772185444952,2.811537955937147,31.273059821617377,31.281709793750487,43.95278211526967,47.12055019564946,26.561051921010613,26.501270824542566,39.87357622469192,43.43731531511918,21.845247054111304,21.692045006696425,34.36311732821561,37.530885408595395,0.15067306900841237,0.07816621124407719,0.3014675513455557,0.499798629523826,53.666291087976845,57.34952596850712,47.75986118145306,0.9357756700107184,5.246497037404176,0.03370561091419782,2016,291573,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.0,1.0,64.0,2.755010047474471,1,12.0,0.19936301004747448,1.5,10.5,585911,293589,0,7372466552832,3694204551168,0,3694204551168,439508533248,3254696017920,4266928373760,4.571144363999501,0.7113544370889904,1.4057689779685736,15.745322716137414,15.749677793750484,22.129294115269666,23.724198195649464,11.26836823939646,11.07513788307778,18.57523512181788,20.96759124238757,6.789252887186832,6.483041883727438,12.539629328215605,14.1345334085954,0.28433551712169824,0.11619389327844176,0.5688082734418323,0.49987936251559306,31.196567015245236,33.95317396850713,24.363509181453068,0.9188115091738183,3.049823140457968,0.244181769544573,34929,258660,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.0,1.0,128.0,2.755010047474471,1,12.0,0.10105901004747447,1.5,10.5,585911,293589,0,7372466552832,3694204551168,0,3694204551168,2423556931584,1270647619584,4266928373760,4.571144363999501,1.4227088741779808,0.7028844889842868,7.981454163397431,7.983661793750484,11.217550115269667,12.026022195649462,4.454324202843283,4.211521496475171,8.4559999184691,10.105901004747448,0.9394597362582698,0.7777033883522413,1.9288741248668257,2.469314334114158,0.4419157071313393,0.15966386554621848,0.8822946649788973,0.5008708821127339,20.334876777605114,22.254997968507126,12.698290106971823,0.9137217988687683,1.9879680262380919,0.7700963017454692,192607,100982,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.0,1.0,256.0,2.755010047474471,1,12.0,0.05190701004747447,1.5,10.5,585911,293589,0,7372466552832,3694204551168,0,3694204551168,3694204551168,0,4266928373760,4.571144363999501,2.8454177483559615,0.3514422444921434,4.099519887027439,4.1006537937504834,5.7616781152696666,6.176934195649462,2.197219653245391,2.0762804018989787,4.256374823892907,5.1907010047474476,0.3031289041381848,0.31144206028484683,0.4152560803797958,0.4152560803797958,0.46403000502612646,0.15966386554621848,0.9260574622171224,0.5010812222334109,15.419676777605114,16.405909968507128,10.644231853237462,0.9398854929232702,1.5074507086546087,1.0,293589,0,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.0,1.0,512.0,2.755010047474471,1,12.0,0.02733101004747447,1.5,10.5,585911,293589,0,7372466552832,3694204551168,0,3694204551168,3694204551168,0,4266928373760,4.571144363999501,5.690835496711923,0.1757211222460717,2.158552748842443,2.1591497937504833,3.0337421152696664,3.252390195649462,1.1569195059479251,1.0932404018989788,2.2411428238929068,2.7331010047474473,0.1596088681876168,0.16398606028484683,0.21864808037979577,0.21864808037979577,0.46403000502612646,0.15966386554621848,0.9260574622171224,0.5010812222334109,12.962076777605112,13.481365968507127,10.447623853237461,0.9614809662377618,1.2671920498628673,1.0,293589,0,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.25,1.249999148469459,16.0,2.755010047474471,1,12.0,0.7891870100474745,1.5,10.5,585911,293589,73397,7372466552832,3694204551168,923547992064,4617752543232,0,3694204551168,4266928373760,4.571144363999501,0.1778386092722476,7.028844889842868,62.32853403257731,62.34577379375049,87.59975811526968,93.91325419564946,64.78584152147624,64.82340395930865,93.34420545643349,100.63657145993275,52.78204328663169,52.75610900669642,78.01009332821562,84.3235894085954,-0.039425080776239296,-0.07159071764542002,0.15316405068914252,-0.2574042707727503,110.86554723279042,104.14222996850712,94.55256518145306,1.0645589907794029,10.838382033025184,0.0,0,293589,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
AX1,8,1,0.5,0.5,1.25,1.249999148469459,24.1354255944,2.755010047474471,1,12.0,0.5241011926861406,1.5,10.5,585911,293589,73397,7372466552832,3694204551168,923547992064,4617752543232,19126026240,3675078524928,4266928373760,4.571144363999501,0.2682631576188691,4.659603693235875,41.392545250950576,41.403994222205114,58.17523238816161,62.36804192965073,41.442989070977795,41.53051826263768,60.33489917912246,64.76944255416163,31.902242828773513,31.81432943515105,48.58556760110755,52.77837714259667,-0.0012186692004898525,-0.03850370398383851,0.22927564286371394,-0.00531530163984429,74.9984183270193,72.5970177025084,63.007352915454334,1.0330785024028326,7.331957763163907,0.025412960609911054,1520,292069,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,measured_anchor
AX1,8,1,0.5,0.5,1.25,1.249999148469459,32.0,2.755010047474471,1,12.0,0.3959710100474745,1.5,10.5,585911,293589,73397,7372466552832,3694204551168,923547992064,4617752543232,19126026240,3675078524928,4266928373760,4.571144363999501,0.3556772185444952,3.514422444921434,31.273059821617377,31.281709793750487,43.95278211526967,47.12055019564946,30.173882728210643,30.308349890725964,44.381888369505475,47.669152239988286,21.845247054111304,21.692045006696425,34.36311732821561,37.530885408595395,0.03514773097600554,-0.011642522043163295,0.3014675513455557,0.11658876989954262,57.89812801284595,57.34952596850712,47.75986118145306,1.0095659386032256,5.660207756721568,0.025412960609911054,1520,292069,339105,trace_ordered_per_token_wave_local,measured,trace_derived,assumed,hypothetical
