capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,eligible_cold_waves,incomplete_cold_waves,correlation_block_waves,mean_incomplete_run_waves,max_incomplete_run_waves,requested_predicted_to_useful_amplification,realized_predicted_to_useful_amplification,useful_predicted_objects,false_predicted_objects,predicted_objects,miss_generation,evidence_coverage,evidence_demand
8,1,0.5,0.5,119624,59812,4,7.9887805529584615,60,1.0,1.0,293589,0,293589,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.5,0.5,119624,59812,4,7.9887805529584615,60,1.25,1.249999148469459,293589,73397,366986,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.5,0.5,119624,59812,4,7.9887805529584615,60,1.5,1.499998296938918,293589,146794,440383,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.5,0.5,119624,59812,4,7.9887805529584615,60,2.0,2.0,293589,293589,587178,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.5,0.5,119624,59812,4,7.9887805529584615,60,4.0,4.0,293589,880767,1174356,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.5,0.5,119624,59812,4,7.9887805529584615,60,8.0,8.0,293589,2055123,2348712,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.75,0.75,119624,29906,4,5.335593220338983,24,1.0,1.0,439840,0,439840,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.75,0.75,119624,29906,4,5.335593220338983,24,1.25,1.25,439840,109960,549800,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.75,0.75,119624,29906,4,5.335593220338983,24,1.5,1.5,439840,219920,659760,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.75,0.75,119624,29906,4,5.335593220338983,24,2.0,2.0,439840,439840,879680,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.75,0.75,119624,29906,4,5.335593220338983,24,4.0,4.0,439840,1319520,1759360,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
