scenario_id,source_local_scenario_id,tail_model,capacity_experts_per_layer,resident_fraction,fast_tier_expert_gib,offloaded_expert_gib,lookahead_layers,requested_complete_coverage,requested_amplification,importance_order,bandwidth_gbps,transfer_concurrency,commit_slack_layer_intervals,bounded_p99_tpot_ms,bounded_batch1_tokens_per_second,reactive_p99_tpot_ms,exact_wait_wave_local_p99_tpot_ms,mean_missing_routed_mass,p50_missing_routed_mass,p95_missing_routed_mass,p99_missing_routed_mass,worst_missing_routed_mass,mean_raw_missing_router_probability,p99_raw_missing_router_probability,full_fallback_wave_fraction,renormalization_fallback_wave_fraction,degraded_wave_fraction,p50_token_mean_missing_mass,p95_token_mean_missing_mass,p99_token_mean_missing_mass,p99_token_max_layer_missing_mass,maximum_consecutive_degraded_layers,predicted_useful_experts,predicted_false_experts,candidate_experts,realized_candidate_amplification,useful_movement_bytes,wasted_false_movement_bytes,late_inflight_bytes,cancelled_before_start_bytes,candidate_movement_bytes,zero_post_commit_transfer_wait,transfer_induced_post_commit_stall_ms,p99_tpot_improvement_vs_reactive,throughput_improvement_vs_reactive,passing_domains,passing_layer_bands,gate_resident_capacity,gate_latency_or_throughput,gate_local_tpot_ratio,gate_p99_missing_mass,gate_full_fallback,gate_domains,gate_layer_bands,gate_pass,evidence
ax4-fcfs-00032,ax4-local-00032,trace_ordered_per_token_fcfs_hard_deadline,8,0.125,1.5,10.5,1,0.99,1.5,mass_priority_oracle,24.1354255944,1,1.0,11.251873350143434,88.87408957435984,72.5970177025084,91.83291851319207,0.5458484340864079,0.5519957983193278,1.0,1.0,1.0,0.21977814650687366,0.562255859375,0.059309075021844966,0.06058076394956934,0.9851688303582574,0.5462576805928154,0.82321535526423,0.8813328546384558,1.0,16,631498,292358,923856,1.462959502642922,416909623296,1157627904,1596041723904,9610689773568,11624798748672,True,0.0,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,False,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00036,ax4-local-00036,trace_ordered_per_token_fcfs_hard_deadline,8,0.125,1.5,10.5,1,0.99,1.5,mass_priority_oracle,64.0,1,1.0,11.251873350143434,88.87408957435984,33.95317396850713,35.328474734064166,0.25167565376629036,0.23636363636363633,0.5772488906817266,0.6628895184135977,0.7375314861460958,0.10072890031562437,0.328369140625,0.0,0.0,0.8360847584571215,0.2432311976936652,0.47017081844864717,0.5225438522000343,0.7018295056442195,16,631498,292358,923856,1.462959502642922,3594195566592,121286688768,1460360183808,6448956309504,11624798748672,True,0.0,0.6686061408992285,3.0175574246109256,0,0,True,True,True,False,True,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00040,ax4-local-00040,trace_ordered_per_token_fcfs_hard_deadline,8,0.125,1.5,10.5,1,0.99,1.5,mass_priority_oracle,128.0,1,1.0,11.251873350143434,88.87408957435984,22.254997968507126,18.35540643613919,0.03743569579049085,0.0,0.19118428040361124,0.27233782129742967,0.3586901763224182,0.015205414490728934,0.12158203125,0.0,0.0,0.2957027836724504,0.021237732886311214,0.12383754381942091,0.15726093326436838,0.3163960188580408,16,631498,292358,923856,1.462959502642922,7167679660032,1361722736640,851825393664,2243570958336,11624798748672,True,0.0,0.4944113962146448,1.9778926829302987,1,0,True,True,True,False,True,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00044,ax4-local-00044,trace_ordered_per_token_fcfs_hard_deadline,8,0.125,1.5,10.5,1,0.99,1.5,mass_priority_oracle,256.0,1,1.0,11.251873350143434,88.87408957435984,16.405909968507128,11.7861860742819,0.0006970846931820475,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.27444956477214544,0.00028130380480257614,0.0,0.0,0.0,0.009330919985020596,6.938893903907228e-18,2.7755575615628914e-17,0.019937099486206637,0.09800796812748991,8,631498,292358,923856,1.462959502642922,7946083762176,3678714986496,0,0,11624798748672,True,0.0,0.31415731454441786,1.4580603120899858,4,3,True,True,True,True,True,True,True,True,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00047,ax4-local-00047,trace_ordered_per_token_fcfs_hard_deadline,8,0.125,1.5,10.5,1,0.99,1.0,random_within_route,24.1354255944,1,0.5,11.251873350143434,88.87408957435984,72.5970177025084,63.007352915454334,0.5709391199559607,0.5833835039133053,1.0,1.0,1.0,0.2303415409650506,0.576904296875,0.06764916989139932,0.06989608038946449,0.9860270253401573,0.5749989433429867,0.849799932584139,0.9095580966176117,1.0,16,631498,0,631498,1.0,322676195328,0,1589360197632,6034047369216,7946083762176,True,0.0,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,False,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00024,ax4-local-00024,trace_ordered_per_token_fcfs_hard_deadline,8,0.125,1.5,10.5,1,0.99,1.0,mass_adversarial,24.1354255944,1,0.5,11.251873350143434,88.87408957435984,72.5970177025084,63.007352915454334,0.5792279282872184,0.5928698752228164,1.0,1.0,1.0,0.23366274052144823,0.57763671875,0.06764916989139932,0.0706138434652353,0.9860270253401573,0.5834411287741741,0.8601029760587829,0.9196250421960706,1.0,16,631498,0,631498,1.0,322676195328,0,1589360197632,6034047369216,7946083762176,True,0.0,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,False,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00347,ax4-local-00347,trace_ordered_per_token_fcfs_hard_deadline,16,0.25,3.0,9.0,3,0.99,1.5,mass_priority_oracle,24.1354255944,1,1.0,11.251873350143434,88.87408957435984,66.83190458296085,65.48332980749663,0.37139336569073156,0.34782608695652173,0.8544620517097581,1.0,1.0,0.1507197043047819,0.513427734375,0.01521345649731619,0.01611066034202971,0.8724098115091748,0.36728288627176153,0.6885319349486134,0.7805691225694713,1.0,16,464092,179634,643726,1.3870654956344863,693368782848,32728154112,1254138839040,6119711834112,8099947610112,True,0.0,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,False,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00288,ax4-local-00288,trace_ordered_per_token_fcfs_hard_deadline,16,0.25,3.0,9.0,1,0.99,1.5,mass_priority_oracle,64.0,1,1.0,11.251873350143434,88.87408957435984,31.76018085798491,32.338029583352046,0.14346894151608391,0.08242220353238006,0.4822929936305733,0.6057201225740552,0.7282608695652174,0.05790214862378256,0.2957763671875,0.0,0.0,0.5904693546373736,0.118375567201158,0.37036509281490954,0.4557619540707024,0.6892071068682047,16,463933,213344,677277,1.4598595055751584,3348023476224,329810706432,1121137459200,3723145248768,8522116890624,True,0.0,0.6457238892795987,2.82265715847042,0,0,True,True,True,False,True,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00292,ax4-local-00292,trace_ordered_per_token_fcfs_hard_deadline,16,0.25,3.0,9.0,1,0.99,1.5,mass_priority_oracle,128.0,1,1.0,11.251873350143434,88.87408957435984,21.14334885798491,16.909811603446993,0.012109129812081539,0.0,0.09150943396226419,0.20379676158570625,0.34375,0.0051267947943495415,0.09326171875,0.0,0.0,0.10561259518162526,1.3877787807814457e-17,0.06479933718323466,0.10832961614063744,0.29658385093167705,16,463933,213344,677277,1.4598595055751584,5593305710592,1743601532928,376505892864,808703754240,8522116890624,True,0.0,0.46782917759529385,1.87909588030649,1,2,True,True,True,False,True,False,True,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00296,ax4-local-00296,trace_ordered_per_token_fcfs_hard_deadline,16,0.25,3.0,9.0,1,0.99,1.5,mass_priority_oracle,256.0,1,1.0,11.251873350143434,88.87408957435984,15.83493285798491,11.422837003949578,0.0007074077137794831,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.27479845776375744,0.00028030286938223614,0.0,0.0,0.0,0.008878417176382474,6.938893903907228e-18,2.7755575615628914e-17,0.021284086847943938,0.10801591813530409,8,463933,213344,677277,1.4598595055751584,5837628112896,2684488777728,0,0,8522116890624,True,0.0,0.28942715128283136,1.407315241224525,4,3,True,True,True,True,True,True,True,True,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00362,ax4-local-00362,trace_ordered_per_token_fcfs_hard_deadline,16,0.25,3.0,9.0,3,0.99,1.0,random_within_route,24.1354255944,1,0.5,11.251873350143434,88.87408957435984,66.83190458296085,42.42287732930643,0.38922728519213434,0.37698566447113524,0.8832826747720365,1.0,1.0,0.15798311753749789,0.52734375,0.017889464486331295,0.019332792410435652,0.8330498689302209,0.38847728492182254,0.7224989968716086,0.8150210695195846,1.0,16,464092,0,464092,1.0,709638488064,0,1146705936384,3983284371456,5839628795904,True,0.0,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,False,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00339,ax4-local-00339,trace_ordered_per_token_fcfs_hard_deadline,16,0.25,3.0,9.0,3,0.99,1.0,mass_adversarial,24.1354255944,1,0.5,11.251873350143434,88.87408957435984,66.83190458296085,42.42287732930643,0.39777284056575735,0.38916256157635476,0.8861538461538462,1.0,1.0,0.16137338259026376,0.529541015625,0.017889464486331295,0.01952003495194108,0.8330498689302209,0.39643191832011765,0.7339487166161376,0.8314189820944102,1.0,16,464092,0,464092,1.0,709638488064,0,1146705936384,3983284371456,5839628795904,True,0.0,0.8316391935804242,5.9396246743311325,0,0,True,True,True,False,False,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00599,ax4-local-00599,trace_ordered_per_token_fcfs_hard_deadline,32,0.5,6.0,6.0,3,0.99,1.5,mass_priority_oracle,24.1354255944,1,1.0,11.251873350143434,88.87408957435984,50.584767609690495,43.816709094031104,0.15120743019921445,0.05909264201296227,0.5964383561643836,0.8143976493633692,1.0,0.061141280761269234,0.40869140625,0.001396517288727999,0.0017475970540506804,0.5154631132193235,0.10479448424792738,0.42677906485678196,0.5555780533691619,1.0,16,230240,84610,314850,1.3674861014593467,793163857920,141255770112,755037634560,2272272580608,3961729843200,True,0.0,0.7775640003535784,4.49567516764181,0,0,True,True,True,False,True,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00540,ax4-local-00540,trace_ordered_per_token_fcfs_hard_deadline,32,0.5,6.0,6.0,1,0.99,1.5,mass_priority_oracle,64.0,1,1.0,11.251873350143434,88.87408957435984,25.5799275465132,23.60727909692435,0.032218672013107956,0.0,0.22471374045801518,0.42876254180602,0.7030105777054516,0.013441959848238457,0.201416015625,0.0,0.0,0.1803067656971664,0.009300761990138968,0.15175162704579576,0.2529081967070327,0.6083129584352078,16,230093,104271,334364,1.453168936038906,2330757955584,574347018240,419023552512,883144261632,4207272787968,True,0.0,0.5601288029575684,2.273392772074449,0,0,True,True,True,False,True,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00544,ax4-local-00544,trace_ordered_per_token_fcfs_hard_deadline,32,0.5,6.0,6.0,1,0.99,1.5,mass_priority_oracle,128.0,1,1.0,11.251873350143434,88.87408957435984,18.0105195465132,13.267310774755508,0.001443510770149606,0.0,1.1102230246251565e-16,0.07172995780590719,0.31233421750663126,0.0006513713436200518,0.0284423828125,0.0,0.0,0.014331856197728124,6.938893903907228e-18,0.011087361250934923,0.030612009568896946,0.1996615905245347,16,230093,104271,334364,1.453168936038906,2876642426880,1224002764800,37559992320,69067603968,4207272787968,True,0.0,0.37526103447017034,1.6006685274575732,4,3,True,True,True,True,True,True,True,True,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00547,ax4-local-00547,trace_ordered_per_token_fcfs_hard_deadline,32,0.5,6.0,6.0,1,0.99,1.5,mass_priority_oracle,256.0,1,0.5,11.251873350143434,88.87408957435984,14.2258155465132,10.903766903474834,0.0006457350120923391,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.2692778457772338,0.00025738611484404255,0.0,0.0,0.0,0.007107414804643615,6.938893903907228e-18,2.7755575615628914e-17,0.022651848873890046,0.12861415752741767,6,230093,104271,334364,1.453168936038906,2894786985984,1312007651328,440401920,37748736,4207272787968,True,0.0,0.2090524923963808,1.264306405149135,4,3,True,False,True,True,True,True,True,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
ax4-fcfs-00626,ax4-local-00626,trace_ordered_per_token_fcfs_hard_deadline,32,0.5,6.0,6.0,3,0.999,1.0,random_within_route,24.1354255944,1,0.5,11.251873350143434,88.87408957435984,50.584767609690495,27.391100307426996,0.15556260435656152,1.1102230246251565e-16,0.6286293045239703,0.8352272727272727,1.0,0.06267202398985636,0.4208984375,0.0015681562851079765,0.002075271501685183,0.46257489701660215,0.09564606916801341,0.45005373971447205,0.584121131446727,1.0,16,230898,0,230898,1.0,867050717184,0,601815515136,1436502982656,2905369214976,True,0.0,0.7775640003535784,4.49567516764181,0,0,True,True,True,False,True,False,False,False,trace_ordered_fcfs_plus_assumed_predictor_and_robustness
