capacity_experts_per_layer,lookahead_layers,bandwidth_gbps,requested_amplification,commit_slack_layer_intervals,transfer_concurrency,expert_transfer_ms,lead_time_ms,complete_expert_objects_before_deadline,complete_payload_mib_before_deadline,zero_post_commit_wait_required,evidence
8,1,24.1354255944,1.0,0.0,1,0.5241011926861662,0.6393109858036041,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.0,2,0.5241011926861662,0.6393109858036041,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.0,4,0.5241011926861662,0.6393109858036041,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.25,1,0.5241011926861662,0.7991387322545052,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.25,2,0.5241011926861662,0.7991387322545052,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.25,4,0.5241011926861662,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.5,1,0.5241011926861662,0.9589664787054062,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.5,2,0.5241011926861662,0.9589664787054062,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,0.5,4,0.5241011926861662,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,1.0,1,0.5241011926861662,1.2786219716072083,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,1.0,2,0.5241011926861662,1.2786219716072083,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.0,1.0,4,0.5241011926861662,1.2786219716072083,8,96.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.0,1,0.5241011926861662,0.6393109858036041,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.0,2,0.5241011926861662,0.6393109858036041,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.0,4,0.5241011926861662,0.6393109858036041,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.25,1,0.5241011926861662,0.7991387322545052,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.25,2,0.5241011926861662,0.7991387322545052,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.25,4,0.5241011926861662,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.5,1,0.5241011926861662,0.9589664787054062,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.5,2,0.5241011926861662,0.9589664787054062,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,0.5,4,0.5241011926861662,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,1.0,1,0.5241011926861662,1.2786219716072083,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,1.0,2,0.5241011926861662,1.2786219716072083,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,1.5,1.0,4,0.5241011926861662,1.2786219716072083,8,96.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.0,1,0.5241011926861662,0.6393109858036041,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.0,2,0.5241011926861662,0.6393109858036041,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.0,4,0.5241011926861662,0.6393109858036041,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.25,1,0.5241011926861662,0.7991387322545052,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.25,2,0.5241011926861662,0.7991387322545052,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.25,4,0.5241011926861662,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.5,1,0.5241011926861662,0.9589664787054062,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.5,2,0.5241011926861662,0.9589664787054062,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,0.5,4,0.5241011926861662,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,1.0,1,0.5241011926861662,1.2786219716072083,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,1.0,2,0.5241011926861662,1.2786219716072083,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,2.0,1.0,4,0.5241011926861662,1.2786219716072083,8,96.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.0,1,0.5241011926861662,0.6393109858036041,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.0,2,0.5241011926861662,0.6393109858036041,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.0,4,0.5241011926861662,0.6393109858036041,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.25,1,0.5241011926861662,0.7991387322545052,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.25,2,0.5241011926861662,0.7991387322545052,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.25,4,0.5241011926861662,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.5,1,0.5241011926861662,0.9589664787054062,1,12.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.5,2,0.5241011926861662,0.9589664787054062,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,0.5,4,0.5241011926861662,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,1.0,1,0.5241011926861662,1.2786219716072083,2,24.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,1.0,2,0.5241011926861662,1.2786219716072083,4,48.0,True,analytical_hypothetical_hardware
8,1,24.1354255944,4.0,1.0,4,0.5241011926861662,1.2786219716072083,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.0,1,0.1993630100475,0.6393109858036041,3,36.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.0,2,0.1993630100475,0.6393109858036041,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.0,4,0.1993630100475,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.25,1,0.1993630100475,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.25,2,0.1993630100475,0.7991387322545052,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.25,4,0.1993630100475,0.7991387322545052,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.5,1,0.1993630100475,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.5,2,0.1993630100475,0.9589664787054062,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,0.5,4,0.1993630100475,0.9589664787054062,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,1.0,1,0.1993630100475,1.2786219716072083,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,1.0,2,0.1993630100475,1.2786219716072083,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,1.0,1.0,4,0.1993630100475,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.0,1,0.1993630100475,0.6393109858036041,3,36.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.0,2,0.1993630100475,0.6393109858036041,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.0,4,0.1993630100475,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.25,1,0.1993630100475,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.25,2,0.1993630100475,0.7991387322545052,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.25,4,0.1993630100475,0.7991387322545052,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.5,1,0.1993630100475,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.5,2,0.1993630100475,0.9589664787054062,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,0.5,4,0.1993630100475,0.9589664787054062,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,1.0,1,0.1993630100475,1.2786219716072083,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,1.0,2,0.1993630100475,1.2786219716072083,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,1.5,1.0,4,0.1993630100475,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.0,1,0.1993630100475,0.6393109858036041,3,36.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.0,2,0.1993630100475,0.6393109858036041,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.0,4,0.1993630100475,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.25,1,0.1993630100475,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.25,2,0.1993630100475,0.7991387322545052,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.25,4,0.1993630100475,0.7991387322545052,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.5,1,0.1993630100475,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.5,2,0.1993630100475,0.9589664787054062,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,0.5,4,0.1993630100475,0.9589664787054062,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,1.0,1,0.1993630100475,1.2786219716072083,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,1.0,2,0.1993630100475,1.2786219716072083,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,2.0,1.0,4,0.1993630100475,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.0,1,0.1993630100475,0.6393109858036041,3,36.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.0,2,0.1993630100475,0.6393109858036041,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.0,4,0.1993630100475,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.25,1,0.1993630100475,0.7991387322545052,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.25,2,0.1993630100475,0.7991387322545052,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.25,4,0.1993630100475,0.7991387322545052,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.5,1,0.1993630100475,0.9589664787054062,4,48.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.5,2,0.1993630100475,0.9589664787054062,8,96.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,0.5,4,0.1993630100475,0.9589664787054062,16,192.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,1.0,1,0.1993630100475,1.2786219716072083,6,72.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,1.0,2,0.1993630100475,1.2786219716072083,12,144.0,True,analytical_hypothetical_hardware
8,1,64.0,4.0,1.0,4,0.1993630100475,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.0,1,0.10105901004750001,0.6393109858036041,6,72.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.0,2,0.10105901004750001,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.0,4,0.10105901004750001,0.6393109858036041,24,288.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.25,1,0.10105901004750001,0.7991387322545052,7,84.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.25,2,0.10105901004750001,0.7991387322545052,14,168.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.25,4,0.10105901004750001,0.7991387322545052,28,336.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.5,1,0.10105901004750001,0.9589664787054062,9,108.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.5,2,0.10105901004750001,0.9589664787054062,18,216.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,0.5,4,0.10105901004750001,0.9589664787054062,36,432.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,1.0,1,0.10105901004750001,1.2786219716072083,12,144.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,1.0,2,0.10105901004750001,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,128.0,1.0,1.0,4,0.10105901004750001,1.2786219716072083,48,576.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.0,1,0.10105901004750001,0.6393109858036041,6,72.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.0,2,0.10105901004750001,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.0,4,0.10105901004750001,0.6393109858036041,24,288.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.25,1,0.10105901004750001,0.7991387322545052,7,84.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.25,2,0.10105901004750001,0.7991387322545052,14,168.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.25,4,0.10105901004750001,0.7991387322545052,28,336.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.5,1,0.10105901004750001,0.9589664787054062,9,108.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.5,2,0.10105901004750001,0.9589664787054062,18,216.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,0.5,4,0.10105901004750001,0.9589664787054062,36,432.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,1.0,1,0.10105901004750001,1.2786219716072083,12,144.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,1.0,2,0.10105901004750001,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,128.0,1.5,1.0,4,0.10105901004750001,1.2786219716072083,48,576.0,True,analytical_hypothetical_hardware
8,1,128.0,2.0,0.0,1,0.10105901004750001,0.6393109858036041,6,72.0,True,analytical_hypothetical_hardware
8,1,128.0,2.0,0.0,2,0.10105901004750001,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,128.0,2.0,0.0,4,0.10105901004750001,0.6393109858036041,24,288.0,True,analytical_hypothetical_hardware
