experts_per_layer,resident_fraction,resident_experts_per_layer,route_width,moe_layers,expert_size_mib,batch_size,bounded_tpot_target_ms,projected_tokens_per_second,total_expert_capacity_gib,resident_expert_plus_fallback_gib,offloaded_expert_capacity_gib,ideal_capacity_expansion_before_fallback,projected_p99_missing_mass,projected_full_fallback_wave_fraction,olmoe_top8_rank_sensitivity_only,batch_compute_scaling_measured,source_expert_size_mib,evidence
64,0.125,8,1,32,4.0,1,10.0,100.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,1,20.0,50.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,1,30.0,33.333333333333336,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,1,50.0,20.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,2,10.0,200.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,2,20.0,100.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,2,30.0,66.66666666666667,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,2,50.0,40.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,4,10.0,400.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,4,20.0,200.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,4,30.0,133.33333333333334,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,4,50.0,80.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,8,10.0,800.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,8,20.0,400.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,8,30.0,266.6666666666667,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,4.0,8,50.0,160.0,8.0,1.125,7.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,1,10.0,100.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,1,20.0,50.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,1,30.0,33.333333333333336,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,1,50.0,20.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,2,10.0,200.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,2,20.0,100.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,2,30.0,66.66666666666667,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,2,50.0,40.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,4,10.0,400.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,4,20.0,200.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,4,30.0,133.33333333333334,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,4,50.0,80.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,8,10.0,800.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,8,20.0,400.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,8,30.0,266.6666666666667,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,12.0,8,50.0,160.0,24.0,3.375,21.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,32.0,1,10.0,100.0,64.0,9.0,56.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,32.0,1,20.0,50.0,64.0,9.0,56.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
64,0.125,8,1,32,32.0,1,30.0,33.333333333333336,64.0,9.0,56.0,8.0,3.1401849173675503e-16,0.0,True,False,12.0,normalized_hypothetical_geometry_using_olmoe_workload_shape
