scenario_id,threshold,p99_mass_within_threshold,domains_within_threshold,layer_bands_within_threshold
ax4-fcfs-00032,0.0,False,0,0
ax4-fcfs-00032,0.05,False,0,0
ax4-fcfs-00032,0.1,False,0,0
ax4-fcfs-00032,0.2,False,0,0
ax4-fcfs-00032,0.4,False,0,0
ax4-fcfs-00032,1.0,True,4,3
ax4-fcfs-00036,0.0,False,0,0
ax4-fcfs-00036,0.05,False,0,0
ax4-fcfs-00036,0.1,False,0,0
ax4-fcfs-00036,0.2,False,0,0
ax4-fcfs-00036,0.4,False,0,0
ax4-fcfs-00036,1.0,True,4,3
ax4-fcfs-00040,0.0,False,0,0
ax4-fcfs-00040,0.05,False,0,0
ax4-fcfs-00040,0.1,False,0,0
ax4-fcfs-00040,0.2,False,1,0
ax4-fcfs-00040,0.4,True,4,3
ax4-fcfs-00040,1.0,True,4,3
ax4-fcfs-00044,0.0,False,0,0
ax4-fcfs-00044,0.05,True,4,2
ax4-fcfs-00044,0.1,True,4,3
ax4-fcfs-00044,0.2,True,4,3
ax4-fcfs-00044,0.4,True,4,3
ax4-fcfs-00044,1.0,True,4,3
ax4-fcfs-00047,0.0,False,0,0
ax4-fcfs-00047,0.05,False,0,0
ax4-fcfs-00047,0.1,False,0,0
ax4-fcfs-00047,0.2,False,0,0
ax4-fcfs-00047,0.4,False,0,0
ax4-fcfs-00047,1.0,True,4,3
ax4-fcfs-00024,0.0,False,0,0
ax4-fcfs-00024,0.05,False,0,0
ax4-fcfs-00024,0.1,False,0,0
ax4-fcfs-00024,0.2,False,0,0
ax4-fcfs-00024,0.4,False,0,0
ax4-fcfs-00024,1.0,True,4,3
ax4-fcfs-00347,0.0,False,0,0
ax4-fcfs-00347,0.05,False,0,0
ax4-fcfs-00347,0.1,False,0,0
ax4-fcfs-00347,0.2,False,0,0
ax4-fcfs-00347,0.4,False,0,0
ax4-fcfs-00347,1.0,True,4,3
ax4-fcfs-00288,0.0,False,0,0
ax4-fcfs-00288,0.05,False,0,0
ax4-fcfs-00288,0.1,False,0,0
ax4-fcfs-00288,0.2,False,0,0
ax4-fcfs-00288,0.4,False,0,0
ax4-fcfs-00288,1.0,True,4,3
ax4-fcfs-00292,0.0,False,0,0
ax4-fcfs-00292,0.05,False,0,0
ax4-fcfs-00292,0.1,False,0,0
ax4-fcfs-00292,0.2,False,1,2
ax4-fcfs-00292,0.4,True,4,3
ax4-fcfs-00292,1.0,True,4,3
ax4-fcfs-00296,0.0,False,0,0
ax4-fcfs-00296,0.05,True,4,3
ax4-fcfs-00296,0.1,True,4,3
ax4-fcfs-00296,0.2,True,4,3
ax4-fcfs-00296,0.4,True,4,3
ax4-fcfs-00296,1.0,True,4,3
ax4-fcfs-00362,0.0,False,0,0
ax4-fcfs-00362,0.05,False,0,0
ax4-fcfs-00362,0.1,False,0,0
ax4-fcfs-00362,0.2,False,0,0
ax4-fcfs-00362,0.4,False,0,0
ax4-fcfs-00362,1.0,True,4,3
ax4-fcfs-00339,0.0,False,0,0
ax4-fcfs-00339,0.05,False,0,0
ax4-fcfs-00339,0.1,False,0,0
ax4-fcfs-00339,0.2,False,0,0
ax4-fcfs-00339,0.4,False,0,0
ax4-fcfs-00339,1.0,True,4,3
ax4-fcfs-00599,0.0,False,0,0
ax4-fcfs-00599,0.05,False,0,0
ax4-fcfs-00599,0.1,False,0,0
ax4-fcfs-00599,0.2,False,0,0
ax4-fcfs-00599,0.4,False,0,0
ax4-fcfs-00599,1.0,True,4,3
ax4-fcfs-00540,0.0,False,0,0
ax4-fcfs-00540,0.05,False,0,0
ax4-fcfs-00540,0.1,False,0,0
ax4-fcfs-00540,0.2,False,0,0
ax4-fcfs-00540,0.4,False,1,1
ax4-fcfs-00540,1.0,True,4,3
ax4-fcfs-00544,0.0,False,0,0
ax4-fcfs-00544,0.05,False,1,1
ax4-fcfs-00544,0.1,True,4,3
ax4-fcfs-00544,0.2,True,4,3
ax4-fcfs-00544,0.4,True,4,3
ax4-fcfs-00544,1.0,True,4,3
ax4-fcfs-00547,0.0,False,0,0
ax4-fcfs-00547,0.05,True,4,3
ax4-fcfs-00547,0.1,True,4,3
ax4-fcfs-00547,0.2,True,4,3
ax4-fcfs-00547,0.4,True,4,3
ax4-fcfs-00547,1.0,True,4,3
ax4-fcfs-00626,0.0,False,0,0
ax4-fcfs-00626,0.05,False,0,0
ax4-fcfs-00626,0.1,False,0,0
ax4-fcfs-00626,0.2,False,0,0
ax4-fcfs-00626,0.4,False,0,0
ax4-fcfs-00626,1.0,True,4,3
ax4-fcfs-00591,0.0,False,0,0
ax4-fcfs-00591,0.05,False,0,0
ax4-fcfs-00591,0.1,False,0,0
ax4-fcfs-00591,0.2,False,0,0
ax4-fcfs-00591,0.4,False,0,0
ax4-fcfs-00591,1.0,True,4,3
ax4-fcfs-00472,0.0,False,0,0
ax4-fcfs-00472,0.05,False,0,0
ax4-fcfs-00472,0.1,False,0,0
ax4-fcfs-00472,0.2,False,0,0
ax4-fcfs-00472,0.4,False,0,0
ax4-fcfs-00472,1.0,True,4,3
