phase,layer_id,left_domain,right_domain,jensen_shannon_divergence,hotset_jaccard
decode,0,code,conversation,0.04431134460662753,0.3333333333333333
decode,0,code,general,0.09916938491809957,0.06666666666666667
decode,0,code,math,0.06191587588581435,0.23076923076923078
decode,0,conversation,general,0.030037469574077512,0.23076923076923078
decode,0,conversation,math,0.017209903384478958,0.45454545454545453
decode,0,general,math,0.04754255474250893,0.23076923076923078
decode,1,code,conversation,0.05433583319794495,0.3333333333333333
decode,1,code,general,0.12072386251713091,0.0
decode,1,code,math,0.05237793920705247,0.23076923076923078
decode,1,conversation,general,0.027337529111218867,0.14285714285714285
decode,1,conversation,math,0.01306098392440393,0.3333333333333333
decode,1,general,math,0.04503059860585059,0.0
decode,2,code,conversation,0.0811673447375171,0.14285714285714285
decode,2,code,general,0.1791085675697432,0.0
decode,2,code,math,0.08347341086808024,0.23076923076923078
decode,2,conversation,general,0.050145429264129585,0.06666666666666667
decode,2,conversation,math,0.021486126357502695,0.06666666666666667
decode,2,general,math,0.0925466968507382,0.0
decode,3,code,conversation,0.08132319034830487,0.23076923076923078
decode,3,code,general,0.17489460991147668,0.06666666666666667
decode,3,code,math,0.0682575278257194,0.3333333333333333
decode,3,conversation,general,0.04667284561243855,0.06666666666666667
decode,3,conversation,math,0.022107434784780586,0.45454545454545453
decode,3,general,math,0.08025267702097721,0.06666666666666667
decode,4,code,conversation,0.11910942178721344,0.14285714285714285
decode,4,code,general,0.24607228301309228,0.0
decode,4,code,math,0.11498221836316375,0.23076923076923078
decode,4,conversation,general,0.06940810024086287,0.14285714285714285
decode,4,conversation,math,0.04813117499723771,0.3333333333333333
decode,4,general,math,0.126269399086205,0.06666666666666667
decode,5,code,conversation,0.13607680889569373,0.45454545454545453
decode,5,code,general,0.29029631062822375,0.0
decode,5,code,math,0.12151312471682837,0.14285714285714285
decode,5,conversation,general,0.09645106982040917,0.06666666666666667
decode,5,conversation,math,0.05849426669087378,0.23076923076923078
decode,5,general,math,0.16801689397430583,0.06666666666666667
decode,6,code,conversation,0.11612178963333551,0.3333333333333333
decode,6,code,general,0.27945485910496765,0.06666666666666667
decode,6,code,math,0.08941009346141915,0.6
decode,6,conversation,general,0.09447812281165927,0.06666666666666667
decode,6,conversation,math,0.07167376762480684,0.3333333333333333
decode,6,general,math,0.1921758336431818,0.06666666666666667
decode,7,code,conversation,0.12164786395494864,0.14285714285714285
decode,7,code,general,0.2602116773254548,0.06666666666666667
decode,7,code,math,0.07257121497596936,0.14285714285714285
decode,7,conversation,general,0.08615994862742465,0.23076923076923078
decode,7,conversation,math,0.045440051399730785,0.45454545454545453
decode,7,general,math,0.15940004554530163,0.06666666666666667
decode,8,code,conversation,0.12241832213495449,0.06666666666666667
decode,8,code,general,0.23706471952271202,0.06666666666666667
decode,8,code,math,0.09769375215809839,0.14285714285714285
decode,8,conversation,general,0.06770591919788088,0.06666666666666667
decode,8,conversation,math,0.0608442435434139,0.23076923076923078
decode,8,general,math,0.14979227964126018,0.06666666666666667
decode,9,code,conversation,0.12578731365755452,0.23076923076923078
decode,9,code,general,0.26657925203253235,0.06666666666666667
decode,9,code,math,0.10523208499568909,0.3333333333333333
decode,9,conversation,general,0.06056548311812046,0.23076923076923078
decode,9,conversation,math,0.04031530048561815,0.45454545454545453
decode,9,general,math,0.1204112138464166,0.14285714285714285
decode,10,code,conversation,0.10199087933904963,0.06666666666666667
decode,10,code,general,0.2255768960229827,0.0
decode,10,code,math,0.074804994738274,0.3333333333333333
decode,10,conversation,general,0.06170928088937931,0.14285714285714285
decode,10,conversation,math,0.026151458785428808,0.23076923076923078
decode,10,general,math,0.12617020012237534,0.0
decode,11,code,conversation,0.1288906178454357,0.23076923076923078
decode,11,code,general,0.27786454213929956,0.0
decode,11,code,math,0.1190617396100272,0.23076923076923078
decode,11,conversation,general,0.0729540727915337,0.06666666666666667
decode,11,conversation,math,0.04433027137569191,0.3333333333333333
decode,11,general,math,0.12284378921955502,0.06666666666666667
decode,12,code,conversation,0.13732138528698432,0.14285714285714285
decode,12,code,general,0.2913134270671695,0.0
decode,12,code,math,0.1492008489699133,0.14285714285714285
decode,12,conversation,general,0.08615257526171893,0.23076923076923078
decode,12,conversation,math,0.05617048798697345,0.14285714285714285
decode,12,general,math,0.14831963793449854,0.06666666666666667
decode,13,code,conversation,0.1441253378878655,0.23076923076923078
decode,13,code,general,0.3006699932112836,0.0
decode,13,code,math,0.16612552433223365,0.06666666666666667
decode,13,conversation,general,0.08531688182817222,0.0
decode,13,conversation,math,0.04680552865398082,0.14285714285714285
decode,13,general,math,0.13191588075235666,0.0
decode,14,code,conversation,0.11708473457378313,0.3333333333333333
decode,14,code,general,0.29231571360287095,0.0
decode,14,code,math,0.14502444111028798,0.14285714285714285
decode,14,conversation,general,0.08526721316274072,0.06666666666666667
decode,14,conversation,math,0.03348399009269835,0.06666666666666667
decode,14,general,math,0.11595164803779091,0.0
