phase,domain,layer_id,rank,expert_id,selections,probability
decode,__all__,0,1,41,2724,0.04250405692173262
decode,__all__,0,2,6,2504,0.03907127699413307
decode,__all__,0,3,21,1866,0.02911621520409437
decode,__all__,0,4,58,1770,0.02761827487205093
decode,__all__,0,5,40,1428,0.022281862439146174
decode,__all__,0,6,23,1412,0.022032205717138934
decode,__all__,0,7,53,1336,0.020846336287604544
decode,__all__,0,8,8,1333,0.020799525652228187
decode,__all__,0,9,52,1272,0.019847709399575583
decode,__all__,0,10,18,1255,0.019582449132442892
decode,__all__,0,11,13,1225,0.019114342778679315
decode,__all__,0,12,20,1164,0.018162526526026714
decode,__all__,0,13,0,1137,0.017741230807639497
decode,__all__,0,14,60,1137,0.017741230807639497
decode,__all__,0,15,55,1109,0.017304331544126826
decode,__all__,0,16,22,1098,0.01713269254774685
decode,__all__,0,17,38,1090,0.01700786418674323
decode,__all__,0,18,61,1075,0.01677381100986144
decode,__all__,0,19,46,1065,0.016617775558606915
decode,__all__,0,20,25,1053,0.016430533017101484
decode,__all__,0,21,49,1049,0.016368118836599676
decode,__all__,0,22,24,1016,0.015853201847459742
decode,__all__,0,23,42,1007,0.01571276994133067
decode,__all__,0,24,5,1006,0.015697166396205216
decode,__all__,0,25,43,985,0.015369491948570716
decode,__all__,0,26,33,975,0.01521345649731619
decode,__all__,0,27,7,963,0.01502621395581076
decode,__all__,0,28,12,961,0.014995006865559855
decode,__all__,0,29,9,952,0.014854574959430782
decode,__all__,0,30,19,943,0.014714143053301711
decode,__all__,0,31,36,939,0.0146517288727999
decode,__all__,0,32,59,929,0.014495693421545375
decode,__all__,0,33,54,925,0.014433279241043566
decode,__all__,0,34,44,924,0.014417675695918113
decode,__all__,0,35,17,910,0.014199226064161777
decode,__all__,0,36,30,909,0.014183622519036324
decode,__all__,0,37,31,905,0.014121208338534514
decode,__all__,0,38,32,894,0.013949569342154538
decode,__all__,0,39,26,892,0.013918362251903632
decode,__all__,0,40,39,878,0.013699912620147298
decode,__all__,0,41,47,865,0.013497066533516415
decode,__all__,0,42,37,851,0.01327861690176008
decode,__all__,0,43,10,847,0.01321620272125827
decode,__all__,0,44,51,838,0.013075770815129197
decode,__all__,0,45,29,823,0.01284171763824741
decode,__all__,0,46,48,796,0.012420421919860192
decode,__all__,0,47,27,791,0.01234240419423293
decode,__all__,0,48,45,787,0.01227999001373112
decode,__all__,0,49,50,774,0.012077143927100237
decode,__all__,0,50,16,770,0.012014729746598427
decode,__all__,0,51,62,754,0.011765073024591188
decode,__all__,0,52,28,749,0.011687055298963925
decode,__all__,0,53,2,738,0.011515416302583946
decode,__all__,0,54,63,724,0.011296966670827613
decode,__all__,0,55,14,720,0.011234552490325803
decode,__all__,0,56,3,695,0.01084446386218949
decode,__all__,0,57,1,694,0.010828860317064037
decode,__all__,0,58,15,693,0.010813256771938584
decode,__all__,0,59,56,663,0.01034515041817501
decode,__all__,0,60,4,628,0.009799026338784171
decode,__all__,0,61,11,626,0.009767819248533267
decode,__all__,0,62,35,625,0.009752215703407814
decode,__all__,0,63,57,376,0.005866932967170141
decode,__all__,0,64,34,246,0.0038384721008613157
decode,__all__,1,1,47,2418,0.03772937211334415
decode,__all__,1,2,25,2335,0.036434277867931596
decode,__all__,1,3,18,1988,0.031019847709399577
decode,__all__,1,4,15,1958,0.030551741355636
decode,__all__,1,5,42,1431,0.02232867307452253
decode,__all__,1,6,37,1353,0.021111596554737235
decode,__all__,1,7,12,1276,0.019910123580077394
decode,__all__,1,8,21,1256,0.019598052677568343
decode,__all__,1,9,62,1252,0.019535638497066535
decode,__all__,1,10,11,1235,0.01927037822993384
decode,__all__,1,11,40,1228,0.019161153414055672
decode,__all__,1,12,53,1191,0.01858382224441393
decode,__all__,1,13,32,1181,0.018427786793159404
decode,__all__,1,14,5,1178,0.018380976157783047
decode,__all__,1,15,29,1151,0.01795968043939583
decode,__all__,1,16,20,1139,0.0177724378978904
decode,__all__,1,17,45,1131,0.01764760953688678
decode,__all__,1,18,9,1064,0.016602172013481464
decode,__all__,1,19,35,1056,0.016477343652477845
decode,__all__,1,20,31,1040,0.0162276869304706
decode,__all__,1,21,60,1033,0.016118462114592436
decode,__all__,1,22,14,1024,0.015978030208463362
decode,__all__,1,23,3,1007,0.01571276994133067
decode,__all__,1,24,52,1004,0.015665959305954314
decode,__all__,1,25,23,1001,0.015619148670577955
decode,__all__,1,26,16,983,0.01533828485831981
decode,__all__,1,27,27,983,0.01533828485831981
decode,__all__,1,28,36,974,0.015197852952190737
decode,__all__,1,29,39,971,0.01515104231681438
decode,__all__,1,30,17,964,0.015041817500936213
decode,__all__,1,31,59,961,0.014995006865559855
decode,__all__,1,32,49,955,0.01490138559480714
decode,__all__,1,33,48,952,0.014854574959430782
decode,__all__,1,34,24,942,0.014698539508176258
decode,__all__,1,35,19,904,0.014105604793409063
decode,__all__,1,36,30,903,0.01409000124828361
decode,__all__,1,37,7,901,0.014058794158032704
decode,__all__,1,38,55,895,0.01396517288727999
decode,__all__,1,39,44,890,0.013887155161652728
decode,__all__,1,40,57,885,0.013809137436025465
decode,__all__,1,41,34,875,0.01365310198477094
decode,__all__,1,42,6,860,0.013419048807889153
decode,__all__,1,43,63,860,0.013419048807889153
decode,__all__,1,44,51,852,0.013294220446885533
decode,__all__,1,45,1,831,0.01296654599925103
decode,__all__,1,46,13,827,0.01290413181874922
decode,__all__,1,47,0,815,0.012716889277243789
decode,__all__,1,48,58,810,0.012638871551616528
decode,__all__,1,49,2,790,0.012326800649107477
decode,__all__,1,50,54,766,0.011952315566096617
decode,__all__,1,51,61,758,0.011827487205092998
decode,__all__,1,52,41,756,0.011796280114842092
decode,__all__,1,53,8,725,0.011312570215953064
decode,__all__,1,54,22,713,0.011125327674447634
decode,__all__,1,55,50,708,0.011047309948820371
decode,__all__,1,56,33,707,0.01103170640369492
decode,__all__,1,57,4,671,0.01046997877917863
decode,__all__,1,58,26,644,0.010048683060791411
decode,__all__,1,59,46,639,0.00997066533516415
decode,__all__,1,60,28,602,0.009393334165522406
decode,__all__,1,61,56,576,0.008987641992260641
decode,__all__,1,62,38,546,0.008519535638497066
decode,__all__,1,63,43,439,0.006849956310073649
decode,__all__,1,64,10,325,0.005071152165772063
decode,__all__,2,1,40,2460,0.038384721008613155
decode,__all__,2,2,60,1945,0.030348895269005118
decode,__all__,2,3,5,1694,0.02643240544251654
decode,__all__,2,4,16,1435,0.022391087255024342
decode,__all__,2,5,45,1409,0.021985395081762577
decode,__all__,2,6,15,1395,0.02176694545000624
decode,__all__,2,7,34,1360,0.021220821370615404
decode,__all__,2,8,63,1350,0.021064785919360878
decode,__all__,2,9,14,1305,0.020362626388715516
decode,__all__,2,10,23,1270,0.01981650230932468
decode,__all__,2,11,26,1230,0.019192360504306578
decode,__all__,2,12,30,1222,0.019067532143302958
decode,__all__,2,13,35,1215,0.01895830732742479
decode,__all__,2,14,27,1214,0.018942703782299338
decode,__all__,2,15,41,1184,0.018474597428535765
decode,__all__,2,16,22,1165,0.018178130071152165
decode,__all__,2,17,58,1157,0.018053301710148545
decode,__all__,2,18,24,1148,0.017912869804019474
decode,__all__,2,19,19,1146,0.017881662713768568
decode,__all__,2,20,29,1132,0.017663213082012234
decode,__all__,2,21,8,1124,0.017538384721008615
decode,__all__,2,22,61,1110,0.017319935089252277
decode,__all__,2,23,46,1083,0.01689863937086506
decode,__all__,2,24,4,1079,0.01683622519036325
decode,__all__,2,25,1,1078,0.016820621645237798
decode,__all__,2,26,33,1054,0.01644613656222694
decode,__all__,2,27,39,1050,0.016383722381725127
decode,__all__,2,28,54,1017,0.015868805392585197
decode,__all__,2,29,13,1002,0.01563475221570341
decode,__all__,2,30,21,994,0.015509923854699788
decode,__all__,2,31,38,968,0.015104231681438023
decode,__all__,2,32,47,952,0.014854574959430782
decode,__all__,2,33,36,949,0.014807764324054425
decode,__all__,2,34,11,941,0.014682935963050805
decode,__all__,2,35,57,935,0.01458931469229809
decode,__all__,2,36,48,933,0.014558107602047185
decode,__all__,2,37,44,931,0.01452690051179628
decode,__all__,2,38,28,922,0.014386468605667207
decode,__all__,2,39,37,921,0.014370865060541756
decode,__all__,2,40,20,915,0.01427724378978904
decode,__all__,2,41,50,883,0.01377793034577456
decode,__all__,2,42,0,868,0.013543877168892772
decode,__all__,2,43,56,860,0.013419048807889153
decode,__all__,2,44,32,850,0.013263013356634627
decode,__all__,2,45,62,822,0.012826114093121958
decode,__all__,2,46,7,784,0.012233179378354763
decode,__all__,2,47,53,780,0.012170765197852953
decode,__all__,2,48,6,771,0.01203033329172388
decode,__all__,2,49,3,767,0.01196791911122207
decode,__all__,2,50,9,759,0.01184309075021845
decode,__all__,2,51,31,752,0.011733865934340282
decode,__all__,2,52,59,749,0.011687055298963925
decode,__all__,2,53,12,739,0.0115310198477094
decode,__all__,2,54,18,739,0.0115310198477094
decode,__all__,2,55,25,716,0.011172138309823993
decode,__all__,2,56,49,713,0.011125327674447634
decode,__all__,2,57,10,703,0.01096929222319311
decode,__all__,2,58,17,610,0.009518162526526026
decode,__all__,2,59,43,566,0.008831606541006117
decode,__all__,2,60,52,563,0.008784795905629758
decode,__all__,2,61,42,480,0.007489701660217202
decode,__all__,2,62,55,477,0.007442891024840844
decode,__all__,2,63,2,422,0.0065846960429409565
decode,__all__,2,64,51,321,0.0050087379852702535
decode,__all__,3,1,15,2338,0.03648108850330795
decode,__all__,3,2,31,2141,0.03340719011359381
decode,__all__,3,3,62,1980,0.030895019348395957
decode,__all__,3,4,61,1775,0.027696292597678192
decode,__all__,3,5,43,1764,0.027524653601298216
decode,__all__,3,6,9,1744,0.027212582698789164
decode,__all__,3,7,52,1738,0.02711896142803645
decode,__all__,3,8,56,1681,0.026229559355885657
decode,__all__,3,9,30,1585,0.024731619023842216
decode,__all__,3,10,45,1527,0.023826613406565972
decode,__all__,3,11,19,1473,0.022984021969791536
decode,__all__,3,12,59,1439,0.02245350143552615
decode,__all__,3,13,49,1433,0.022359880164773437
decode,__all__,3,14,38,1408,0.021969791536637123
decode,__all__,3,15,57,1372,0.021408063912120835
decode,__all__,3,16,20,1311,0.02045624765946823
decode,__all__,3,17,54,1283,0.020019348395955563
decode,__all__,3,18,18,1264,0.019722881038571963
decode,__all__,3,19,12,1238,0.019317188865310198
decode,__all__,3,20,40,1232,0.019223567594557484
decode,__all__,3,21,37,1170,0.018256147796779428
decode,__all__,3,22,28,1078,0.016820621645237798
decode,__all__,3,23,39,1075,0.01677381100986144
decode,__all__,3,24,58,1073,0.016742603919610535
decode,__all__,3,25,11,1048,0.01635251529147422
