phase,domain,layer_id,window_size,hotset_size,n_windows,mean_jaccard,min_jaccard,mean_static_coverage,mean_lagged_coverage,mean_oracle_coverage,mean_lagged_oracle_ratio
decode,__all__,0,256,8,31,0.3104317904317904,0.14285714285714285,0.22547200520833333,0.20255533854166666,0.24900716145833332,0.8151742547356362
decode,__all__,0,512,8,15,0.41312021312021313,0.23076923076923078,0.22649274553571427,0.20999581473214285,0.23794991629464285,0.8836352400532902
decode,__all__,1,256,8,31,0.307037407037407,0.0,0.220263671875,0.19752604166666668,0.24415690104166668,0.8095273006562732
decode,__all__,1,512,8,15,0.4481518481518481,0.23076923076923078,0.22134835379464285,0.21147809709821427,0.232421875,0.9072813529573207
decode,__all__,2,256,8,31,0.22146076146076146,0.0,0.204931640625,0.17395833333333333,0.24788411458333334,0.7002978375694576
decode,__all__,2,512,8,15,0.33847105275676703,0.14285714285714285,0.20668247767857142,0.19114467075892858,0.22645786830357142,0.843986219824602
decode,__all__,3,256,8,31,0.3729093129093129,0.0,0.237646484375,0.2111328125,0.26630859375,0.7931890133257886
decode,__all__,3,512,8,15,0.49617049617049613,0.23076923076923078,0.23904854910714285,0.2296142578125,0.25211007254464285,0.9091479211895039
decode,__all__,4,256,8,31,0.35491619491619486,0.06666666666666667,0.26337890625,0.229248046875,0.30179036458333336,0.7618042443844028
decode,__all__,4,512,8,15,0.4595182595182595,0.23076923076923078,0.26426478794642855,0.24928501674107142,0.2836216517857143,0.8797199743240967
decode,__all__,5,256,8,31,0.34877418877418875,0.0,0.27288411458333334,0.22698567708333334,0.30730794270833334,0.7407666678537684
decode,__all__,5,512,8,15,0.48935508935508937,0.23076923076923078,0.27537318638392855,0.25796944754464285,0.28749302455357145,0.8939691953671273
decode,__all__,6,256,8,31,0.432046472046472,0.06666666666666667,0.3013509114583333,0.26315104166666664,0.33173828125,0.7931884731913527
decode,__all__,6,512,8,15,0.5774891774891774,0.3333333333333333,0.30467006138392855,0.2855224609375,0.31640625,0.9018886819146943
decode,__all__,7,256,8,31,0.3422074222074222,0.06666666666666667,0.276171875,0.240234375,0.30914713541666666,0.7742943578371285
decode,__all__,7,512,8,15,0.43643023643023643,0.23076923076923078,0.27755301339285715,0.26156180245535715,0.2927943638392857,0.8915254581366104
decode,__all__,8,256,8,31,0.3082088282088282,0.06666666666666667,0.25729166666666664,0.223828125,0.29640299479166665,0.7546634106507157
decode,__all__,8,512,8,15,0.3754245754245754,0.23076923076923078,0.25857979910714285,0.24422781808035715,0.2753208705357143,0.8856995172910532
decode,__all__,9,256,8,31,0.3604070004070004,0.0,0.26809895833333336,0.23922526041666667,0.293701171875,0.813518340575412
decode,__all__,9,512,8,15,0.5157287157287157,0.3333333333333333,0.27049037388392855,0.2610560825892857,0.28053501674107145,0.9305123002842516
decode,__all__,10,256,8,31,0.2788211788211788,0.0,0.23167317708333332,0.19855143229166666,0.2642578125,0.757593100003995
decode,__all__,10,512,8,15,0.41463615749330035,0.14285714285714285,0.23404366629464285,0.21473911830357142,0.2481689453125,0.8656109419451372
decode,__all__,11,256,8,31,0.2930980130980131,0.0,0.25703125,0.22263997395833332,0.29547526041666666,0.7520031389140082
decode,__all__,11,512,8,15,0.40684077826934967,0.14285714285714285,0.25980050223214285,0.25136021205357145,0.27784946986607145,0.901648912546463
decode,__all__,12,256,8,31,0.31233951233951235,0.0,0.240869140625,0.21131184895833333,0.28738606770833336,0.7428292747970768
decode,__all__,12,512,8,15,0.38011195154052296,0.14285714285714285,0.24337332589285715,0.22746930803571427,0.26871163504464285,0.8461291678902748
decode,__all__,13,256,8,31,0.2664964664964665,0.0,0.22561848958333333,0.19173177083333334,0.28030598958333336,0.6884330839890749
decode,__all__,13,512,8,15,0.3354455068740783,0.06666666666666667,0.22896902901785715,0.20790318080357142,0.25634765625,0.8086997530440289
decode,__all__,14,256,8,31,0.1927072927072927,0.0,0.20439453125,0.17037760416666667,0.25826822916666664,0.6674535675205154
decode,__all__,14,512,8,15,0.2750868179439608,0.06666666666666667,0.20659528459821427,0.18399483816964285,0.23381696428571427,0.7879274993360869
decode,__all__,15,256,8,31,0.22683316683316684,0.0,0.20896809895833332,0.178857421875,0.26474609375,0.6830241113630806
decode,__all__,15,512,8,15,0.2927326641612356,0.06666666666666667,0.21224539620535715,0.18866838727678573,0.24393136160714285,0.7747235864529929
decode,code,0,256,8,7,0.6074074074074074,0.3333333333333333,0.2896321614583333,0.2794596354166667,0.3046061197916667,0.9182858934892127
decode,code,0,512,8,3,0.5272727272727272,0.45454545454545453,0.29150390625,0.27001953125,0.2989501953125,0.9023442294453843
decode,code,1,256,8,7,0.6962962962962963,0.6,0.3846842447916667,0.37890625,0.3880208333333333,0.9772097111989834
decode,code,1,512,8,3,0.6888888888888889,0.6,0.381591796875,0.3782958984375,0.3837890625,0.985702318974884
decode,code,2,256,8,7,0.8962962962962964,0.6,0.4205729166666667,0.4189453125,0.4213053385416667,0.994341946469606
decode,code,2,512,8,3,0.8888888888888888,0.7777777777777778,0.4239501953125,0.416259765625,0.4239501953125,0.982421875
decode,code,3,256,8,7,0.7185185185185184,0.6,0.41796875,0.4134928385416667,0.4242350260416667,0.9751711812635402
decode,code,3,512,8,3,0.6,0.6,0.4200439453125,0.4097900390625,0.4224853515625,0.9700304617618398
decode,code,4,256,8,7,0.9629629629629629,0.7777777777777778,0.5264485677083334,0.527099609375,0.5279947916666666,0.998233782915864
decode,code,4,512,8,3,0.8888888888888888,0.7777777777777778,0.5260009765625,0.5260009765625,0.52783203125,0.9963994239078253
decode,code,5,256,8,7,0.9629629629629629,0.7777777777777778,0.5428059895833334,0.5404459635416666,0.5428873697916666,0.9953917050691244
decode,code,5,512,8,3,0.8888888888888888,0.7777777777777778,0.5458984375,0.5369873046875,0.5458984375,0.984144222415291
decode,code,6,256,8,7,0.7851851851851852,0.6,0.5128580729166666,0.5087890625,0.5164388020833334,0.9854374891061887
decode,code,6,512,8,3,0.7777777777777778,0.7777777777777778,0.5096435546875,0.499755859375,0.512451171875,0.9755655666682187
decode,code,7,256,8,7,0.7851851851851852,0.6,0.5126139322916666,0.510009765625,0.5157063802083334,0.9885026458943281
decode,code,7,512,8,3,0.7777777777777778,0.7777777777777778,0.512451171875,0.510498046875,0.5162353515625,0.9886788954044246
decode,code,8,256,8,7,0.7609427609427609,0.45454545454545453,0.4969889322916667,0.494140625,0.5043131510416666,0.9804720113696809
decode,code,8,512,8,3,0.6888888888888889,0.6,0.5013427734375,0.4951171875,0.5081787109375,0.9741138680176693
decode,code,9,256,8,7,0.6478114478114478,0.45454545454545453,0.5301920572916666,0.5188802083333334,0.5340983072916666,0.9714849499807673
decode,code,9,512,8,3,0.7777777777777778,0.7777777777777778,0.5299072265625,0.5252685546875,0.533447265625,0.984590551762194
decode,code,10,256,8,7,0.7313131313131312,0.45454545454545453,0.4302571614583333,0.4229329427083333,0.4371744791666667,0.9663212116746142
decode,code,10,512,8,3,0.6161616161616161,0.45454545454545453,0.4267578125,0.4095458984375,0.4351806640625,0.9397893184952679
decode,code,11,256,8,7,0.6646464646464646,0.45454545454545453,0.5071614583333334,0.4965006510416667,0.51318359375,0.9668871384286858
decode,code,11,512,8,3,0.6888888888888889,0.6,0.5001220703125,0.4969482421875,0.5030517578125,0.9876515544596962
decode,code,12,256,8,7,0.8518518518518517,0.7777777777777778,0.4857584635416667,0.4820963541666667,0.48876953125,0.9855734446241247
decode,code,12,512,8,3,0.7777777777777778,0.7777777777777778,0.48095703125,0.4703369140625,0.484619140625,0.9697986474762835
decode,code,13,256,8,7,0.7185185185185184,0.6,0.5401204427083334,0.5275065104166666,0.545654296875,0.966348353581962
decode,code,13,512,8,3,1.0,1.0,0.53662109375,0.53662109375,0.53662109375,1.0
decode,code,14,256,8,7,0.8222222222222223,0.6,0.4546712239583333,0.446533203125,0.462158203125,0.9652621036071222
decode,code,14,512,8,3,0.6,0.6,0.4461669921875,0.428466796875,0.451416015625,0.9491766116766117
decode,code,15,256,8,7,0.8296296296296296,0.6,0.4456380208333333,0.4452311197916667,0.4518229166666667,0.9847618603803244
decode,code,15,512,8,3,0.8888888888888888,0.7777777777777778,0.4345703125,0.4345703125,0.439208984375,0.9891614375356532
decode,conversation,0,256,8,7,0.2503052503052503,0.14285714285714285,0.225830078125,0.19498697916666666,0.256591796875,0.7609031639584011
decode,conversation,0,512,8,3,0.2987012987012987,0.14285714285714285,0.2047119140625,0.1956787109375,0.225830078125,0.863333142045368
decode,conversation,1,256,8,7,0.2332112332112332,0.14285714285714285,0.20475260416666666,0.175537109375,0.23697916666666666,0.7382452766599914
decode,conversation,1,512,8,3,0.28205128205128205,0.23076923076923078,0.1846923828125,0.1611328125,0.2010498046875,0.7993545584310805
decode,conversation,2,256,8,7,0.14676434676434677,0.06666666666666667,0.180908203125,0.14078776041666666,0.23518880208333334,0.601841817756569
decode,conversation,2,512,8,3,0.14871794871794872,0.06666666666666667,0.171875,0.145751953125,0.202392578125,0.7164259328314727
decode,conversation,3,256,8,7,0.24315684315684316,0.06666666666666667,0.22249348958333334,0.182861328125,0.2608235677083333,0.6981361775320826
decode,conversation,3,512,8,3,0.3333333333333333,0.3333333333333333,0.216796875,0.1953125,0.2294921875,0.8513222108727727
decode,conversation,4,256,8,7,0.11184371184371185,0.0,0.22721354166666666,0.15486653645833334,0.284423828125,0.5443444045790434
decode,conversation,4,512,8,3,0.34265734265734266,0.23076923076923078,0.2044677734375,0.1824951171875,0.22265625,0.8148479815906303
decode,conversation,5,256,8,7,0.1492063492063492,0.06666666666666667,0.22957356770833334,0.14957682291666666,0.2858072916666667,0.522600546732476
decode,conversation,5,512,8,3,0.18681318681318682,0.14285714285714285,0.19775390625,0.1776123046875,0.2236328125,0.7938081849870182
decode,conversation,6,256,8,7,0.32893772893772893,0.14285714285714285,0.2721354166666667,0.22062174479166666,0.3243001302083333,0.6753767703121883
decode,conversation,6,512,8,3,0.3939393939393939,0.3333333333333333,0.24853515625,0.224853515625,0.2681884765625,0.8345300261096606
decode,conversation,7,256,8,7,0.26775446775446776,0.06666666666666667,0.229248046875,0.18440755208333334,0.2652994791666667,0.6952008312288903
decode,conversation,7,512,8,3,0.28205128205128205,0.23076923076923078,0.2137451171875,0.1978759765625,0.2314453125,0.8553422211522064
decode,conversation,8,256,8,7,0.20945720945720944,0.14285714285714285,0.216796875,0.17805989583333334,0.270263671875,0.6545963544927589
decode,conversation,8,512,8,3,0.28205128205128205,0.23076923076923078,0.1983642578125,0.1871337890625,0.231689453125,0.8070083780737649
decode,conversation,9,256,8,7,0.24315684315684316,0.06666666666666667,0.22452799479166666,0.17789713541666666,0.26513671875,0.6686032724026926
decode,conversation,9,512,8,3,0.28205128205128205,0.23076923076923078,0.205322265625,0.17626953125,0.2220458984375,0.7976141415806494
decode,conversation,10,256,8,7,0.17851037851037851,0.06666666666666667,0.20947265625,0.17561848958333334,0.24796549479166666,0.7031333429219023
decode,conversation,10,512,8,3,0.5555555555555556,0.3333333333333333,0.19873046875,0.1973876953125,0.209716796875,0.939236224234921
decode,conversation,11,256,8,7,0.1808857808857809,0.0,0.21492513020833334,0.15535481770833334,0.2710774739583333,0.5645595921153638
decode,conversation,11,512,8,3,0.23076923076923078,0.23076923076923078,0.1900634765625,0.1634521484375,0.2119140625,0.7712062148354908
decode,conversation,12,256,8,7,0.2673992673992674,0.06666666666666667,0.21744791666666666,0.19026692708333334,0.264892578125,0.7060608837572092
decode,conversation,12,512,8,3,0.2606060606060606,0.06666666666666667,0.201171875,0.178955078125,0.2188720703125,0.8155094499787781
decode,conversation,13,256,8,7,0.14676434676434677,0.06666666666666667,0.2001953125,0.16007486979166666,0.2683919270833333,0.5887799542671011
decode,conversation,13,512,8,3,0.23076923076923078,0.23076923076923078,0.1839599609375,0.16357421875,0.21484375,0.7577666289043534
decode,conversation,14,256,8,7,0.15946275946275948,0.06666666666666667,0.19344075520833334,0.16446940104166666,0.2633463541666667,0.6189743800407811
decode,conversation,14,512,8,3,0.10476190476190475,0.06666666666666667,0.1695556640625,0.1484375,0.2105712890625,0.7065835858742038
decode,conversation,15,256,8,7,0.1673992673992674,0.0,0.20231119791666666,0.15535481770833334,0.2677408854166667,0.5805183141772673
decode,conversation,15,512,8,3,0.14285714285714285,0.14285714285714285,0.1768798828125,0.153076171875,0.20361328125,0.7521618814526921
decode,general,0,256,8,7,0.5070707070707071,0.3333333333333333,0.2517903645833333,0.23917643229166666,0.2596842447916667,0.9210580015887158
decode,general,0,512,8,3,0.6888888888888889,0.6,0.249755859375,0.2474365234375,0.253173828125,0.9774181129359383
decode,general,1,256,8,7,0.4307174307174307,0.23076923076923078,0.23225911458333334,0.21736653645833334,0.24324544270833334,0.8934414520913035
decode,general,1,512,8,3,0.4666666666666667,0.3333333333333333,0.230712890625,0.22265625,0.237548828125,0.9362089157217388
decode,general,2,256,8,7,0.31934731934731936,0.23076923076923078,0.22444661458333334,0.19962565104166666,0.2508951822916667,0.7988485374244204
decode,general,2,512,8,3,0.3939393939393939,0.3333333333333333,0.21923828125,0.193359375,0.2303466796875,0.8401272789817682
decode,general,3,256,8,7,0.31184371184371185,0.14285714285714285,0.23933919270833334,0.21826171875,0.2548828125,0.855681813496885
decode,general,3,512,8,3,0.4666666666666667,0.3333333333333333,0.2401123046875,0.2286376953125,0.2506103515625,0.9121065019123271
decode,general,4,256,8,7,0.37684537684537683,0.23076923076923078,0.265380859375,0.24479166666666666,0.28369140625,0.8639714298121416
decode,general,4,512,8,3,0.4666666666666667,0.3333333333333333,0.259765625,0.2474365234375,0.2672119140625,0.9253510587299918
decode,general,5,256,8,7,0.30225330225330227,0.23076923076923078,0.2842610677083333,0.2431640625,0.3106282552083333,0.782001220598065
