phase,domain,layer_id,tokens_per_half,split_half_jensen_shannon_divergence,split_half_hotset_jaccard
decode,code,0,1008,0.00752720037362831,0.7777777777777778
decode,conversation,0,982,0.008767583383353707,0.23076923076923078
decode,general,0,1008,0.00399690163602948,0.7777777777777778
decode,math,0,1007,0.003380698681947412,0.7777777777777778
decode,code,1,1008,0.003753362053718696,0.6
decode,conversation,1,982,0.004544883390271565,0.45454545454545453
decode,general,1,1008,0.003384498328247441,0.45454545454545453
decode,math,1,1007,0.002632788032623576,0.3333333333333333
decode,code,2,1008,0.005227810470888706,1.0
decode,conversation,2,982,0.011058079284381316,0.23076923076923078
decode,general,2,1008,0.004090571838134672,1.0
decode,math,2,1007,0.004129498902129129,0.7777777777777778
decode,code,3,1008,0.00553379571507564,0.7777777777777778
decode,conversation,3,982,0.008319178418759923,0.45454545454545453
decode,general,3,1008,0.004874932570145798,0.45454545454545453
decode,math,3,1007,0.0021104883264841875,0.6
decode,code,4,1008,0.0055761888257361645,0.7777777777777778
decode,conversation,4,982,0.013952847961761368,0.45454545454545453
decode,general,4,1008,0.007671052512609581,0.45454545454545453
decode,math,4,1007,0.003146850201750718,0.7777777777777778
decode,code,5,1008,0.006772495254757498,1.0
decode,conversation,5,982,0.014592438585185346,0.45454545454545453
decode,general,5,1008,0.013054887555367161,0.6
decode,math,5,1007,0.0039338992581102,1.0
decode,code,6,1008,0.006900868644251203,0.7777777777777778
decode,conversation,6,982,0.0137995279740361,0.3333333333333333
decode,general,6,1008,0.007045444613621088,1.0
decode,math,6,1007,0.004676647220112568,1.0
decode,code,7,1008,0.005649832805976225,0.7777777777777778
decode,conversation,7,982,0.016241534623164328,0.3333333333333333
decode,general,7,1008,0.01052656376982172,0.7777777777777778
decode,math,7,1007,0.003508625970515584,1.0
decode,code,8,1008,0.005899626368425512,0.7777777777777778
decode,conversation,8,982,0.0125585739791892,0.23076923076923078
decode,general,8,1008,0.009799577842683682,0.6
decode,math,8,1007,0.0016236210554510999,1.0
decode,code,9,1008,0.006177749443292818,0.7777777777777778
decode,conversation,9,982,0.010481013585449844,0.3333333333333333
decode,general,9,1008,0.004133260798569616,0.6
decode,math,9,1007,0.0016156386980006366,0.7777777777777778
decode,code,10,1008,0.007081107806940882,0.7777777777777778
decode,conversation,10,982,0.008811825551240588,0.45454545454545453
decode,general,10,1008,0.0039724320832531905,0.7777777777777778
decode,math,10,1007,0.0017340539379368841,0.6
decode,code,11,1008,0.008098946675782828,1.0
decode,conversation,11,982,0.014699302903470032,0.3333333333333333
decode,general,11,1008,0.010596309247337975,0.6
decode,math,11,1007,0.0033593861394869747,0.7777777777777778
decode,code,12,1008,0.0070294294783264455,0.7777777777777778
decode,conversation,12,982,0.0153495278277017,0.7777777777777778
decode,general,12,1008,0.012527817503175158,0.6
decode,math,12,1007,0.0023069512645707774,0.7777777777777778
decode,code,13,1008,0.007046180846678792,0.7777777777777778
decode,conversation,13,982,0.01930975397945266,0.3333333333333333
decode,general,13,1008,0.009761256712747711,0.6
decode,math,13,1007,0.0036237447877728018,0.6
decode,code,14,1008,0.00652128740776408,0.7777777777777778
decode,conversation,14,982,0.016270182138886792,0.23076923076923078
decode,general,14,1008,0.010092931898824733,0.45454545454545453
decode,math,14,1007,0.0052539897831461145,0.6
decode,code,15,1008,0.0054151760348899285,0.7777777777777778
decode,conversation,15,982,0.01339704244979057,0.23076923076923078
decode,general,15,1008,0.0074284898498138425,0.6
decode,math,15,1007,0.0038042606917939445,0.7777777777777778
prefill,code,0,2421,0.003346271394511768,0.7777777777777778
prefill,conversation,0,1159,0.013436118328825433,0.6
prefill,general,0,2991,0.002152786924146794,0.7777777777777778
prefill,math,0,1219,0.0013978035629636188,1.0
prefill,code,1,2421,0.002683018018382359,0.7777777777777778
prefill,conversation,1,1159,0.011293560916407307,0.45454545454545453
prefill,general,1,2991,0.001733608032488032,1.0
prefill,math,1,1219,0.001994786107727947,0.7777777777777778
prefill,code,2,2421,0.0019968744799105315,0.7777777777777778
prefill,conversation,2,1159,0.016470092010122846,0.6
prefill,general,2,2991,0.0023504825853842923,0.6
prefill,math,2,1219,0.0026283152378015913,0.7777777777777778
prefill,code,3,2421,0.0028931651917473585,1.0
prefill,conversation,3,1159,0.019068294603099334,0.6
prefill,general,3,2991,0.002734423878657935,0.45454545454545453
prefill,math,3,1219,0.0028508260045606755,0.6
prefill,code,4,2421,0.002825106437304204,0.7777777777777778
prefill,conversation,4,1159,0.022496216180096687,0.23076923076923078
prefill,general,4,2991,0.0038141076114547095,0.6
prefill,math,4,1219,0.00275849128672945,0.7777777777777778
prefill,code,5,2421,0.004014400140168926,0.7777777777777778
prefill,conversation,5,1159,0.02578895901419285,0.14285714285714285
prefill,general,5,2991,0.0044018422213252875,1.0
prefill,math,5,1219,0.004477388064886363,0.7777777777777778
prefill,code,6,2421,0.002336744371977191,1.0
prefill,conversation,6,1159,0.033789072892386245,0.23076923076923078
prefill,general,6,2991,0.004556192338066826,0.7777777777777778
prefill,math,6,1219,0.0052960877954039195,1.0
prefill,code,7,2421,0.002948060493219639,1.0
prefill,conversation,7,1159,0.025647396249987024,0.3333333333333333
prefill,general,7,2991,0.003725893537007317,0.7777777777777778
prefill,math,7,1219,0.003655865828085256,0.6
