phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
decode,0,1,1,4.096884630210108,3.9624488091706516,0.13443582103945673,0.03281415836026659,383680
decode,0,2,2,4.104231390889042,3.98549466425535,0.1187367266336925,0.028930319790759218,383680
decode,0,3,3,4.054144498998015,3.9164674059111024,0.1376770930869129,0.033959591998001026,383680
decode,1,2,1,4.104231390889042,3.9449807705424016,0.15925062034664084,0.03880156969223526,383680
decode,1,3,2,4.054144498998015,3.881777946467668,0.1723665525303475,0.04251613443303464,383680
decode,1,4,3,4.036209577722008,3.87276746062035,0.16344211710165846,0.040493961959701646,383680
decode,2,3,1,4.054144498998015,3.790231496927985,0.26391300207003043,0.06509708821065868,383680
decode,2,4,2,4.036209577722008,3.7873843665511466,0.24882521117086176,0.061648238620774475,383680
decode,2,5,3,4.031733994586273,3.776018984892556,0.25571500969371685,0.06342556578313092,383680
decode,3,4,1,4.036209577722008,3.7166091978353677,0.3196003798866407,0.079183296539081,383680
decode,3,5,2,4.031733994586273,3.7045850387193684,0.3271489558669045,0.08114348722068301,383680
decode,3,6,3,3.9790498275217048,3.6457671282440702,0.33328269927763454,0.08375936812161384,383680
decode,4,5,1,4.031733994586273,3.690963561982745,0.34077043260352813,0.08452205256128194,383680
decode,4,6,2,3.9790498275217048,3.638090704797532,0.34095912272417284,0.08568857830476942,383680
decode,4,7,3,3.9963901945243,3.644482952828018,0.3519072416962823,0.08805627693173004,383680
decode,5,6,1,3.9790498275217048,3.5925211847006757,0.38652864282102906,0.09714094057016949,383680
decode,5,7,2,3.9963901945243,3.5988491035569385,0.39754109096736157,0.09947504413159082,383680
decode,5,8,3,4.023025273208876,3.607984591088263,0.41504068212061274,0.10316631239792458,383680
decode,6,7,1,3.9963901945243,3.57742910932687,0.4189610851974299,0.10483487968003581,383680
decode,6,8,2,4.023025273208876,3.5785459872270318,0.44447928598184383,0.11048384133747062,383680
decode,6,9,3,4.024443115800016,3.5829353848109275,0.441507730989088,0.10970654032994602,383680
decode,7,8,1,4.023025273208876,3.533256303679416,0.4897689695294596,0.12174145978924124,383680
decode,7,9,2,4.024443115800016,3.530908056930267,0.4935350588697487,0.12263437317131498,383680
decode,7,10,3,4.071849456576792,3.589759774214312,0.4820896823624796,0.11839575296277602,383680
decode,8,9,1,4.024443115800016,3.4561493368967295,0.568293778903286,0.14121053834061098,383680
decode,8,10,2,4.071849456576792,3.5133553502374286,0.5584941063393631,0.13715981209405756,383680
decode,8,11,3,4.0329250342158804,3.5538565263285764,0.47906850788730404,0.1187893411910269,383680
decode,9,10,1,4.071849456576792,3.444587292547848,0.6272621640289437,0.1540484663586467,383680
decode,9,11,2,4.0329250342158804,3.4950687163069447,0.5378563179089357,0.13336630692256615,383680
decode,9,12,3,4.057454913078045,3.562063763050887,0.49539115002715794,0.12209406158289185,383680
decode,10,11,1,4.0329250342158804,3.4283425605660427,0.6045824736498377,0.1499116568050431,383680
decode,10,12,2,4.057454913078045,3.4848384051128303,0.5726165079652148,0.1411270168695034,383680
decode,10,13,3,4.073883294683398,3.5867303445425063,0.48715295014089177,0.11957950557313421,383680
decode,11,12,1,4.057454913078045,3.510021507128875,0.5474334059491701,0.13492039164370628,383680
decode,11,13,2,4.073883294683398,3.593693505806022,0.48018978887737607,0.11787028595150123,383680
decode,11,14,3,4.092040394554133,3.58771507981582,0.5043253147383133,0.12324543897696894,383680
decode,12,13,1,4.073883294683398,3.5614654906959644,0.5124178039874336,0.12578116919946186,383680
decode,12,14,2,4.092040394554133,3.5585251327615337,0.5335152617925996,0.1303787867056799,383680
decode,12,15,3,4.093319481960383,3.6374365365516854,0.45588294540869745,0.11137243193887345,383680
decode,13,14,1,4.092040394554133,3.5684394621229387,0.5236009324311945,0.12795595398521128,383680
decode,13,15,2,4.093319481960383,3.6325557986836614,0.46076368327672146,0.1125647986450477,383680
decode,14,15,1,4.093319481960383,3.5824294695983263,0.5108900123620566,0.12481068595148596,383680
prefill,0,1,1,4.045985922571114,3.911690137658013,0.13429578491310057,0.03319235100742992,748544
prefill,0,2,2,4.052746137416266,3.938424109477593,0.11432202793867274,0.028208534179630627,748544
prefill,0,3,3,4.033207118446763,3.8933508232408753,0.13985629520588727,0.03467619963433657,748544
prefill,1,2,1,4.052746137416266,3.8926286142246376,0.1601175231916283,0.039508401898991755,748544
prefill,1,3,2,4.033207118446763,3.85817826557995,0.17502885286681247,0.04339694137359804,748544
prefill,1,4,3,4.015131763733652,3.8470916073599035,0.16804015637374814,0.04185171652187285,748544
prefill,2,3,1,4.033207118446763,3.7447672835863646,0.28843983486039804,0.07151624659719429,748544
prefill,2,4,2,4.015131763733652,3.7396620696074234,0.27546969412622824,0.06860788395897381,748544
prefill,2,5,3,4.001756421195209,3.7281625556024447,0.2735938655927641,0.06836844545152239,748544
prefill,3,4,1,4.015131763733652,3.6633035295037337,0.35182823422991794,0.08762557617853979,748544
prefill,3,5,2,4.001756421195209,3.650864970635603,0.3508914505596059,0.08768435997281533,748544
prefill,3,6,3,3.9653331661080875,3.606575846860991,0.35875731924709653,0.09047343671230815,748544
prefill,4,5,1,4.001756421195209,3.633526748356984,0.3682296728382246,0.09201701305154526,748544
prefill,4,6,2,3.9653331661080875,3.591726985032036,0.3736061810760516,0.09421810612769776,748544
prefill,4,7,3,3.9921405365377356,3.6145406177282355,0.37759991880950006,0.09458582816750766,748544
prefill,5,6,1,3.9653331661080875,3.5569282828961346,0.4084048832119529,0.10299383837469472,748544
prefill,5,7,2,3.9921405365377356,3.576618034246705,0.4155225022910307,0.1040851389093133,748544
prefill,5,8,3,4.00406994140833,3.579977607715545,0.4240923336927853,0.10591531614046222,748544
prefill,6,7,1,3.9921405365377356,3.5558690390291474,0.4362714975085882,0.10928260002764167,748544
prefill,6,8,2,4.00406994140833,3.5537482879180398,0.4503216534902905,0.11246598088441515,748544
prefill,6,9,3,4.035738764185873,3.5745356964909143,0.4612030676949588,0.11427971299524808,748544
prefill,7,8,1,4.00406994140833,3.506661294770388,0.4974086466379424,0.12422576376450394,748544
prefill,7,9,2,4.035738764185873,3.5186327779320306,0.5171059862538425,0.12813167959303182,748544
prefill,7,10,3,4.060347235230734,3.559016543984788,0.5013306912459456,0.12346990594696194,748544
prefill,8,9,1,4.035738764185873,3.4527521549663107,0.5829866092195624,0.14445598272938953,748544
prefill,8,10,2,4.060347235230734,3.4948564753689233,0.5654907598618104,0.1392715270642797,748544
prefill,8,11,3,4.0152088523642036,3.5136754704056266,0.501533381958577,0.12490841707107417,748544
prefill,9,10,1,4.060347235230734,3.4092708035668076,0.6510764316639261,0.1603499390433114,748544
prefill,9,11,2,4.0152088523642036,3.4482093899845876,0.566999462379616,0.14121294389101574,748544
prefill,9,12,3,4.0125612848698475,3.491865465610894,0.5206958192589535,0.12976644648951272,748544
prefill,10,11,1,4.0152088523642036,3.3988561265617965,0.6163527258024071,0.15350452453786834,748544
prefill,10,12,2,4.0125612848698475,3.434137627100982,0.5784236577688655,0.14415322700488734,748544
prefill,10,13,3,4.016836764729424,3.5333063755511716,0.48353038917825275,0.12037591206692302,748544
prefill,11,12,1,4.0125612848698475,3.4533993207873523,0.5591619640824952,0.1393528782204338,748544
prefill,11,13,2,4.016836764729424,3.5377708811311996,0.47906588359822466,0.11926446396944754,748544
prefill,11,14,3,4.031181069387455,3.5034171094384874,0.5277639599489676,0.13092043023241381,748544
prefill,12,13,1,4.016836764729424,3.5118033994878415,0.5050333652415828,0.12572912339284517,748544
prefill,12,14,2,4.031181069387455,3.4770189666231763,0.5541621027642787,0.1374689187177803,748544
prefill,12,15,3,4.03657863006471,3.5593276646148606,0.4772509654498496,0.11823155429086707,748544
prefill,13,14,1,4.031181069387455,3.5128147210354324,0.5183663483520227,0.1285891998968901,748544
prefill,13,15,2,4.03657863006471,3.5780857523076683,0.45849287775704184,0.11358452783309012,748544
prefill,14,15,1,4.03657863006471,3.5088738533586334,0.5277047767060767,0.13073070663747163,748544
