phase,domain,source_layer,target_layer,delta,capacity,baseline,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
decode,code,0,1,1,8,domain_oracle,504,8,0.3712797619047619,0.0,1.0,2.693386773547094,0.0,1.0
decode,code,0,1,1,8,previous_window,504,8,0.3685515873015873,0.0,1.0,2.7133243606998656,0.001242544731610338,0.9981203686969095
decode,code,0,1,1,8,static,504,8,0.35267857142857145,0.0,1.0,2.8354430379746836,0.0,1.0
decode,code,0,1,1,8,transition,504,8,0.4851190476190476,0.0,1.0,2.061349693251534,0.3836978131212724,0.46305049048587876
decode,code,0,1,1,16,domain_oracle,504,8,0.519593253968254,0.015873015873015872,2.0,3.849164677804296,0.0,1.0
decode,code,0,1,1,16,previous_window,504,8,0.5074404761904762,0.00992063492063492,2.0,3.941348973607038,0.0009940357852882703,0.9984095427435389
decode,code,0,1,1,16,static,504,8,0.45014880952380953,0.0,2.0,4.44297520661157,0.0,1.0
decode,code,0,1,1,16,transition,504,8,0.6488095238095238,0.06349206349206349,2.0,3.0825688073394497,0.4258200795228628,0.4162528081955076
decode,code,0,1,1,32,domain_oracle,504,8,0.7189980158730159,0.09722222222222222,4.0,5.563297688858227,0.0,1.0
decode,code,0,1,1,32,previous_window,504,8,0.7251984126984127,0.10714285714285714,4.0,5.515731874145007,0.0006833996023856859,0.9988348712843848
decode,code,0,1,1,32,static,504,8,0.6428571428571429,0.025793650793650792,4.0,6.222222222222222,0.0,1.0
decode,code,0,1,1,32,transition,504,8,0.8000992063492064,0.23214285714285715,4.0,4.999380037197768,0.2911903578528827,0.5578669653360465
decode,code,0,2,2,8,domain_oracle,504,8,0.40947420634920634,0.0,1.0,2.4421562689279224,0.0,1.0
decode,code,0,2,2,8,previous_window,504,8,0.4020337301587302,0.0,1.0,2.487353485502776,0.0007455268389662028,0.9987629776894191
decode,code,0,2,2,8,static,504,8,0.37028769841269843,0.0,1.0,2.7006028131279303,0.0,1.0
decode,code,0,2,2,8,transition,504,8,0.4888392857142857,0.005952380952380952,1.0,2.045662100456621,0.3717693836978131,0.48487509839398535
decode,code,0,2,2,16,domain_oracle,504,8,0.5622519841269841,0.001984126984126984,2.0,3.557123952359947,0.0,1.0
decode,code,0,2,2,16,previous_window,504,8,0.5548115079365079,0.001984126984126984,2.0,3.6048278945015646,0.0011182902584493041,0.9982580706238758
decode,code,0,2,2,16,static,504,8,0.5181051587301587,0.0,2.0,3.8602202010531355,0.0,1.0
decode,code,0,2,2,16,transition,504,8,0.6440972222222222,0.04563492063492063,2.0,3.105121293800539,0.33548707753479123,0.514403536910423
decode,code,0,2,2,32,domain_oracle,504,8,0.7914186507936508,0.15873015873015872,4.0,5.05421497963021,0.0,1.0
decode,code,0,2,2,32,previous_window,504,8,0.7770337301587301,0.1626984126984127,4.0,5.147781678902011,0.0008076540755467197,0.9986674547310731
decode,code,0,2,2,32,static,504,8,0.7140376984126984,0.0496031746031746,4.0,5.6019451198332755,0.0,1.0
decode,code,0,2,2,32,transition,504,8,0.8149801587301587,0.2123015873015873,4.0,4.908094948265369,0.22403081510934394,0.6419661909382397
decode,code,0,3,3,8,domain_oracle,504,8,0.4149305555555556,0.0,1.0,2.410041841004184,0.0,1.0
decode,code,0,3,3,8,previous_window,504,8,0.41121031746031744,0.0,1.0,2.4318455971049455,0.00024850894632206757,0.9995582063176497
decode,code,0,3,3,8,static,504,8,0.3732638888888889,0.0,1.0,2.6790697674418604,0.0,1.0
decode,code,0,3,3,8,transition,504,8,0.4801587301587302,0.0,1.0,2.0826446280991737,0.34443339960238567,0.512147847734329
decode,code,0,3,3,16,domain_oracle,504,8,0.5756448412698413,0.005952380952380952,2.0,3.4743644980611803,0.0,1.0
decode,code,0,3,3,16,previous_window,504,8,0.5724206349206349,0.007936507936507936,2.0,3.4939341421143846,0.0007455268389662028,0.9988194084790973
decode,code,0,3,3,16,static,504,8,0.5334821428571429,0.001984126984126984,2.0,3.7489539748953975,0.0,1.0
decode,code,0,3,3,16,transition,504,8,0.6498015873015873,0.04365079365079365,2.0,3.0778625954198473,0.2668986083499006,0.5912117739259382
decode,code,0,3,3,32,domain_oracle,504,8,0.8236607142857143,0.1884920634920635,4.0,4.856368563685637,0.0,1.0
decode,code,0,3,3,32,previous_window,504,8,0.8167162698412699,0.19246031746031747,4.0,4.897661706650471,0.0005591451292246521,0.9990208896769533
decode,code,0,3,3,32,static,504,8,0.7529761904761905,0.10912698412698413,4.0,5.312252964426878,0.0,1.0
decode,code,0,3,3,32,transition,504,8,0.8474702380952381,0.31547619047619047,4.0,4.719929762949956,0.1683026838966203,0.7186151996769905
decode,code,1,2,1,8,domain_oracle,504,8,0.40947420634920634,0.0,1.0,2.4421562689279224,0.0,1.0
decode,code,1,2,1,8,previous_window,504,8,0.4020337301587302,0.0,1.0,2.487353485502776,0.0007455268389662028,0.9987629776894191
decode,code,1,2,1,8,static,504,8,0.37028769841269843,0.0,1.0,2.7006028131279303,0.0,1.0
decode,code,1,2,1,8,transition,504,8,0.5119047619047619,0.00992063492063492,1.0,1.9534883720930232,0.3682902584493042,0.48787417574693914
decode,code,1,2,1,16,domain_oracle,504,8,0.5622519841269841,0.001984126984126984,2.0,3.557123952359947,0.0,1.0
decode,code,1,2,1,16,previous_window,504,8,0.5548115079365079,0.001984126984126984,2.0,3.6048278945015646,0.0011182902584493041,0.9982580706238758
decode,code,1,2,1,16,static,504,8,0.5181051587301587,0.0,2.0,3.8602202010531355,0.0,1.0
decode,code,1,2,1,16,transition,504,8,0.6817956349206349,0.05952380952380952,2.0,2.933430338304838,0.31759443339960236,0.5365126532012943
decode,code,1,2,1,32,domain_oracle,504,8,0.7914186507936508,0.15873015873015872,4.0,5.05421497963021,0.0,1.0
decode,code,1,2,1,32,previous_window,504,8,0.7770337301587301,0.1626984126984127,4.0,5.147781678902011,0.0008076540755467197,0.9986674547310731
