phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,8,1,0.5,0.6393109858036041,1.0454370141834826,120165,119624,961320,375409,585911,960,584951,0,585911,12096204963840,4723738411008,7372466552832,12079595520,7360386957312,0,7372466552832,0.39051408480006655,0.0,1.0,612533.0464170229,536056.1090571384,0.12485356962735639,0.9954978571131361,632694,1024,631670,1025408
decode,8,2,0.5,0.6393109858036041,1.0454370141834826,112154,111374,897232,356732,540500,896,539604,8471,532029,11289791299584,4488727363584,6801063936000,11274289152,6789789646848,106589847552,6694474088448,0.39759170426378015,0.015672525439407954,0.984327474560592,565058.706165991,488295.3808556063,0.13585017711033165,0.9930452770297983,632694,1024,631670,1025408
decode,8,3,0.5,0.6393109858036041,1.0454370141834826,104143,103266,833144,333344,499800,832,498968,8615,491185,10483377635328,4194438217728,6288939417600,10468982784,6278470434816,108401786880,6180537630720,0.40010370356144914,0.017236894757903163,0.9827631052420969,522509.4196887714,445728.25391411147,0.14694695039257677,0.9915788867230635,632694,1024,631670,1025408
decode,8,6,0.5,0.6393109858036041,1.0454370141834826,80110,75546,640880,249734,391146,640,390506,27395,363751,8064136642560,3142380945408,4921755697152,8053063680,4913702633472,344708874240,4577046822912,0.3896735738359755,0.07003778640200846,0.9299622135979916,408918.5063497469,332173.3383016976,0.18767839277591758,0.9430283360379478,632694,1024,631670,1025408
decode,8,9,0.5,0.6393109858036041,1.0454370141834826,56077,48661,448616,164216,284400,448,283952,45349,239051,5644895649792,2066315476992,3578580172800,5637144576,3572943028224,570622476288,3007957696512,0.3660502523316155,0.1594549929676512,0.8405450070323488,297322.2868337779,220664.36320158065,0.25782770759816576,0.8677532678281649,632694,1024,631670,1025408
decode,8,12,0.5,0.6393109858036041,1.0454370141834826,32044,20569,256352,93814,162538,256,162282,57958,104580,3225654657024,1180453306368,2045201350656,3221225472,2041980125184,729280413696,1315920936960,0.36595774559980027,0.3565812302353911,0.6434187697646089,169923.24141137334,94729.38890937605,0.4425165850029765,0.6418986393708651,632694,1024,631670,1025408
decode,8,15,0.5,0.6393109858036041,1.0454370141834826,8011,0,64088,21973,42115,64,42051,42115,0,806413664256,276484325376,529929338880,805306368,529124032512,529929338880,0,0.34285669704156785,1.0,0.0,44028.57985233813,0.0,1.0,0.0,632694,1024,631670,1025408
decode,8,1,1.0,0.6393109858036041,0.5240960121154785,120165,115717,961320,375409,585911,960,584951,119624,466287,12096204963840,4723738411008,7372466552832,12079595520,7360386957312,1505218265088,5867248287744,0.39051408480006655,0.2041675271500279,0.795832472849972,307073.61855459213,231046.8260910213,0.24758490430220614,0.9629842300170599,632694,1024,631670,1025408
decode,8,2,1.0,0.6393109858036041,0.5240960121154785,112154,107080,897232,356732,540500,896,539604,120095,420405,11289791299584,4488727363584,6801063936000,11274289152,6789789646848,1511144816640,5289919119360,0.39759170426378015,0.22219241443108234,0.7778075855689177,283273.89454841614,206669.2505237162,0.27042606289866555,0.954758635447688,632694,1024,631670,1025408
decode,8,3,1.0,0.6393109858036041,0.5240960121154785,104143,97386,833144,333344,499800,832,498968,120515,379285,10483377635328,4194438217728,6288939417600,10468982784,6278470434816,1516429639680,4772509777920,0.40010370356144914,0.2411264505802321,0.7588735494197679,261943.18685531616,185321.05795386434,0.29251430365995323,0.9351180588229646,632694,1024,631670,1025408
decode,8,6,1.0,0.6393109858036041,0.5240960121154785,80110,61875,640880,249734,391146,640,390506,128712,262434,8064136642560,3142380945408,4921755697152,8053063680,4913702633472,1619571769344,3302183927808,0.3896735738359755,0.3290638278289948,0.6709361721710052,204998.05875492096,128644.94888994098,0.3724577214473117,0.7723754837098988,632694,1024,631670,1025408
decode,8,9,1.0,0.6393109858036041,0.5240960121154785,56077,34892,448616,164216,284400,448,283952,134410,149990,5644895649792,2066315476992,3578580172800,5637144576,3572943028224,1691269201920,1887310970880,0.3660502523316155,0.4726090014064698,0.5273909985935302,149052.9058456421,73953.35831445456,0.5038449073174056,0.6222158817340443,632694,1024,631670,1025408
decode,8,12,1.0,0.6393109858036041,0.5240960121154785,32044,8246,256352,93814,162538,256,162282,128417,34121,3225654657024,1180453306368,2045201350656,3221225472,2041980125184,1615859810304,429341540352,0.36595774559980027,0.7900737058410956,0.20992629415890438,85185.51761722565,17001.130496919155,0.8004222904025496,0.2573336662089627,632694,1024,631670,1025408
decode,8,15,1.0,0.6393109858036041,0.5240960121154785,8011,0,64088,21973,42115,64,42051,42115,0,806413664256,276484325376,529929338880,805306368,529124032512,529929338880,0,0.34285669704156785,1.0,0.0,22072.303550243378,0.0,1.0,0.0,632694,1024,631670,1025408
decode,8,1,2.0,0.6393109858036041,0.2634255110814765,120165,105906,961320,375409,585911,960,584951,235341,350570,12096204963840,4723738411008,7372466552832,12079595520,7360386957312,2961275092992,4411191459840,0.39051408480006655,0.40166680605074834,0.5983331939492517,154343.90462327274,80438.89650854803,0.4788333448937572,0.8813381600299588,632694,1024,631670,1025408
decode,8,2,2.0,0.6393109858036041,0.2634255110814765,112154,90459,897232,356732,540500,896,539604,243356,297144,11289791299584,4488727363584,6801063936000,11274289152,6789789646848,3062127132672,3738936803328,0.39759170426378015,0.4502423681776133,0.5497576318223867,142381.4887395327,67188.77651489146,0.5281073606569456,0.8065606220018903,632694,1024,631670,1025408
decode,8,3,2.0,0.6393109858036041,0.2634255110814765,104143,71773,833144,333344,499800,832,498968,251659,248141,10483377635328,4194438217728,6288939417600,10468982784,6278470434816,3166603051008,3122336366592,0.40010370356144914,0.5035194077631052,0.4964805922368948,131660.070438503,56789.72166798072,0.5686640491772592,0.6891773811009861,632694,1024,631670,1025408
decode,8,6,2.0,0.6393109858036041,0.2634255110814765,80110,34320,640880,249734,391146,640,390506,259286,131860,8064136642560,3142380945408,4921755697152,8053063680,4913702633472,3262572920832,1659182776320,0.3896735738359755,0.6628880264658209,0.33711197353417904,103037.83495745652,30627.78336936285,0.7027520678980803,0.4284109349644239,632694,1024,631670,1025408
