phase,resident_capacity,lookahead,policy,candidate_class,bin_left,bin_right,bin_center,count,density
decode,32,3,transition,useful_cold,-4.0,-3.8875,-3.94375,0,0.0
decode,32,3,transition,useful_cold,-3.8875,-3.775,-3.83125,0,0.0
decode,32,3,transition,useful_cold,-3.775,-3.6625,-3.71875,0,0.0
decode,32,3,transition,useful_cold,-3.6625,-3.55,-3.60625,0,0.0
decode,32,3,transition,useful_cold,-3.55,-3.4375,-3.49375,0,0.0
decode,32,3,transition,useful_cold,-3.4375,-3.325,-3.38125,0,0.0
decode,32,3,transition,useful_cold,-3.325,-3.2125,-3.26875,0,0.0
decode,32,3,transition,useful_cold,-3.2125,-3.1,-3.15625,0,0.0
decode,32,3,transition,useful_cold,-3.1,-2.9875,-3.04375,0,0.0
decode,32,3,transition,useful_cold,-2.9875,-2.875,-2.93125,0,0.0
decode,32,3,transition,useful_cold,-2.875,-2.7625,-2.81875,0,0.0
decode,32,3,transition,useful_cold,-2.7625,-2.65,-2.70625,0,0.0
decode,32,3,transition,useful_cold,-2.65,-2.5374999999999996,-2.59375,0,0.0
decode,32,3,transition,useful_cold,-2.5374999999999996,-2.425,-2.4812499999999997,0,0.0
decode,32,3,transition,useful_cold,-2.425,-2.3125,-2.36875,0,0.0
decode,32,3,transition,useful_cold,-2.3125,-2.2,-2.25625,0,0.0
decode,32,3,transition,useful_cold,-2.2,-2.0875,-2.14375,0,0.0
decode,32,3,transition,useful_cold,-2.0875,-1.975,-2.03125,0,0.0
decode,32,3,transition,useful_cold,-1.975,-1.8624999999999998,-1.91875,0,0.0
decode,32,3,transition,useful_cold,-1.8624999999999998,-1.75,-1.80625,1,0.0002034303441787139
decode,32,3,transition,useful_cold,-1.75,-1.6374999999999997,-1.6937499999999999,2,0.0004068606883574261
decode,32,3,transition,useful_cold,-1.6374999999999997,-1.525,-1.5812499999999998,9,0.001830873097608425
decode,32,3,transition,useful_cold,-1.525,-1.4125,-1.46875,30,0.006102910325361417
decode,32,3,transition,useful_cold,-1.4125,-1.2999999999999998,-1.35625,45,0.009154365488042089
decode,32,3,transition,useful_cold,-1.2999999999999998,-1.1875,-1.24375,104,0.021156755794586247
decode,32,3,transition,useful_cold,-1.1875,-1.0749999999999997,-1.1312499999999999,155,0.03153170334770052
decode,32,3,transition,useful_cold,-1.0749999999999997,-0.9624999999999999,-1.0187499999999998,225,0.045771827440210626
decode,32,3,transition,useful_cold,-0.9624999999999999,-0.8500000000000001,-0.90625,301,0.06123253359779288
decode,32,3,transition,useful_cold,-0.8500000000000001,-0.7374999999999998,-0.79375,469,0.09540883141981643
decode,32,3,transition,useful_cold,-0.7374999999999998,-0.625,-0.6812499999999999,736,0.14972473331553343
