capacity,bandwidth_scale,candidate_transfer_amplification,complete_cold_set_coverage,profitable_lookahead_count,minimum_profitable_lookahead,maximum_profitable_lookahead,profitable_lookaheads,window_exists
8,0.25,1.0,0.0,0,,,,False
8,0.25,1.0,0.01,0,,,,False
8,0.25,1.0,0.02,0,,,,False
8,0.25,1.0,0.03,0,,,,False
8,0.25,1.0,0.04,0,,,,False
8,0.25,1.0,0.05,0,,,,False
8,0.25,1.0,0.06,0,,,,False
8,0.25,1.0,0.07,0,,,,False
8,0.25,1.0,0.08,0,,,,False
8,0.25,1.0,0.09,0,,,,False
8,0.25,1.0,0.1,0,,,,False
8,0.25,1.0,0.11,0,,,,False
8,0.25,1.0,0.12,0,,,,False
8,0.25,1.0,0.13,0,,,,False
8,0.25,1.0,0.14,0,,,,False
8,0.25,1.0,0.15,0,,,,False
8,0.25,1.0,0.16,0,,,,False
8,0.25,1.0,0.17,0,,,,False
8,0.25,1.0,0.18,0,,,,False
8,0.25,1.0,0.19,0,,,,False
8,0.25,1.0,0.2,0,,,,False
8,0.25,1.0,0.21,0,,,,False
8,0.25,1.0,0.22,0,,,,False
8,0.25,1.0,0.23,0,,,,False
8,0.25,1.0,0.24,0,,,,False
8,0.25,1.0,0.25,5,4,8,"4,5,6,7,8",True
8,0.25,1.0,0.26,5,4,8,"4,5,6,7,8",True
8,0.25,1.0,0.27,5,4,8,"4,5,6,7,8",True
8,0.25,1.0,0.28,6,4,9,"4,5,6,7,8,9",True
8,0.25,1.0,0.29,6,4,9,"4,5,6,7,8,9",True
8,0.25,1.0,0.3,7,4,10,"4,5,6,7,8,9,10",True
8,0.25,1.0,0.31,7,4,10,"4,5,6,7,8,9,10",True
8,0.25,1.0,0.32,7,4,10,"4,5,6,7,8,9,10",True
8,0.25,1.0,0.33,7,4,10,"4,5,6,7,8,9,10",True
8,0.25,1.0,0.34,8,4,11,"4,5,6,7,8,9,10,11",True
8,0.25,1.0,0.35000000000000003,8,4,11,"4,5,6,7,8,9,10,11",True
8,0.25,1.0,0.36,8,4,11,"4,5,6,7,8,9,10,11",True
8,0.25,1.0,0.37,9,4,12,"4,5,6,7,8,9,10,11,12",True
8,0.25,1.0,0.38,9,4,12,"4,5,6,7,8,9,10,11,12",True
8,0.25,1.0,0.39,10,4,13,"4,5,6,7,8,9,10,11,12,13",True
8,0.25,1.0,0.4,10,4,13,"4,5,6,7,8,9,10,11,12,13",True
8,0.25,1.0,0.41000000000000003,11,4,14,"4,5,6,7,8,9,10,11,12,13,14",True
8,0.25,1.0,0.42,11,4,14,"4,5,6,7,8,9,10,11,12,13,14",True
8,0.25,1.0,0.43,11,4,14,"4,5,6,7,8,9,10,11,12,13,14",True
8,0.25,1.0,0.44,12,4,15,"4,5,6,7,8,9,10,11,12,13,14,15",True
