phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
decode,__domain_balanced__,1,8,domain_oracle,60,0.3074694113756614,0.000496031746031746,1.0,3.667012490072597,0.0
decode,__domain_balanced__,1,8,linear,60,0.6043113425925927,0.038525132275132275,1.0,1.6958318537704407,0.6264247846255799
decode,__domain_balanced__,1,8,static,60,0.24243138227513228,0.0,1.0,5.371586497559958,0.0
decode,__domain_balanced__,1,8,transition,60,0.5803819444444444,0.012003968253968255,1.0,1.7906789742054792,0.5125952617627568
decode,__domain_balanced__,1,16,domain_oracle,60,0.49335317460317457,0.029629629629629627,2.0,4.270138259578465,0.0
decode,__domain_balanced__,1,16,linear,60,0.7940145502645504,0.2873015873015873,2.0,2.5462672840430662,0.5278682074221339
decode,__domain_balanced__,1,16,static,60,0.40988756613756616,0.005919312169312169,2.0,5.35712048506991,0.0
decode,__domain_balanced__,1,16,transition,60,0.7898602843915344,0.24067460317460315,2.0,2.5774315080378187,0.4275617130550033
decode,__domain_balanced__,1,32,domain_oracle,60,0.7538442460317459,0.19937169312169312,4.0,5.369767865480421,0.0
decode,__domain_balanced__,1,32,linear,60,0.9286375661375661,0.6319444444444444,4.0,4.3147553950440285,0.3617410122597747
decode,__domain_balanced__,1,32,static,60,0.672151951058201,0.09837962962962962,4.0,6.054833384875454,0.0
decode,__domain_balanced__,1,32,transition,60,0.9314732142857143,0.6405753968253969,4.0,4.3105898232953175,0.28582152915838305
decode,__domain_balanced__,2,8,domain_oracle,56,0.3116540887188209,0.0005314625850340135,1.0,3.6205031259167875,0.0
decode,__domain_balanced__,2,8,linear,56,0.6026830002834468,0.037450396825396824,1.0,1.6988162541365182,0.6234379437659756
decode,__domain_balanced__,2,8,static,56,0.24391032454648526,0.0,1.0,5.393280890792889,0.0
decode,__domain_balanced__,2,8,transition,56,0.5680272108843537,0.009920634920634922,1.0,1.8391225016209913,0.5020590741266686
decode,__domain_balanced__,2,16,domain_oracle,56,0.4991230867346939,0.03139172335600907,2.0,4.220894336114898,0.0
decode,__domain_balanced__,2,16,linear,56,0.793327487244898,0.2884070294784581,2.0,2.547510302381324,0.5255653578528827
decode,__domain_balanced__,2,16,static,56,0.4127161281179138,0.006342120181405895,2.0,5.348330600335468,0.0
decode,__domain_balanced__,2,16,transition,56,0.7791950113378684,0.2354733560090703,2.0,2.6242592850331596,0.4143287595853451
decode,__domain_balanced__,2,32,domain_oracle,56,0.7602749433106576,0.209608843537415,4.0,5.3216437190298915,0.0
decode,__domain_balanced__,2,32,linear,56,0.9288238732993197,0.6319090136054422,4.0,4.313331570697343,0.3605720587191139
decode,__domain_balanced__,2,32,static,56,0.6759274022108844,0.10267857142857142,4.0,6.025747352787437,0.0
decode,__domain_balanced__,2,32,transition,56,0.9267733134920635,0.6249291383219955,4.0,4.335057087068023,0.27686115450156207
decode,__domain_balanced__,3,8,domain_oracle,52,0.31556681166056166,0.0005723443223443223,1.0,3.570361262048265,0.0
decode,__domain_balanced__,3,8,linear,52,0.6004655067155067,0.03815628815628815,1.0,1.7041577163962036,0.6198625554366111
decode,__domain_balanced__,3,8,static,52,0.24697134462759462,0.0,1.0,5.331592153785279,0.0
decode,__domain_balanced__,3,8,transition,52,0.5550118284493284,0.009386446886446886,1.0,1.8709422961229525,0.4916510552072182
decode,__domain_balanced__,3,16,domain_oracle,52,0.5049984737484737,0.033768315018315016,2.0,4.165968848273955,0.0
decode,__domain_balanced__,3,16,linear,52,0.7931929181929183,0.2876221001221001,2.0,2.54705018547767,0.5223060674415048
decode,__domain_balanced__,3,16,static,52,0.4167954441391941,0.006791819291819291,2.0,5.288906709637652,0.0
decode,__domain_balanced__,3,16,transition,52,0.7681385454822955,0.2216498778998779,2.0,2.656057740855351,0.40368366722740484
decode,__domain_balanced__,3,32,domain_oracle,52,0.7649668040293041,0.2196657509157509,4.0,5.288282739511462,0.0
decode,__domain_balanced__,3,32,linear,52,0.9283424908424909,0.6299221611721612,4.0,4.315236636383748,0.35962828796452057
decode,__domain_balanced__,3,32,static,52,0.6796875,0.1082493894993895,4.0,5.991775194723703,0.0
decode,__domain_balanced__,3,32,transition,52,0.9228956807081807,0.6071047008547008,4.0,4.350066830237879,0.2688890694295764
decode,__domain_balanced__,4,8,domain_oracle,48,0.3176359953703704,0.0006200396825396825,1.0,3.562446071055947,0.0
decode,__domain_balanced__,4,8,linear,48,0.5937758349867724,0.03695436507936508,1.0,1.7241210878977145,0.6183886265738899
decode,__domain_balanced__,4,8,static,48,0.24765418320105823,0.0,1.0,5.350578532828949,0.0
decode,__domain_balanced__,4,8,transition,48,0.5368613591269841,0.006861772486772486,1.0,1.9549972028113285,0.4756668323392976
decode,__domain_balanced__,4,16,domain_oracle,48,0.5078383349867724,0.036458333333333336,2.0,4.151966556063025,0.0
decode,__domain_balanced__,4,16,linear,48,0.7868768601190476,0.2855076058201058,2.0,2.5686069373413094,0.5189798707753479
decode,__domain_balanced__,4,16,static,48,0.4161499669312169,0.007275132275132275,2.0,5.315669846915331,0.0
decode,__domain_balanced__,4,16,transition,48,0.7550739914021164,0.21234292328042328,2.0,2.711277157232654,0.4016111663353214
decode,__domain_balanced__,4,32,domain_oracle,48,0.767257771164021,0.2278852513227513,4.0,5.273871676278124,0.0
decode,__domain_balanced__,4,32,linear,48,0.9263547867063492,0.6258267195767196,4.0,4.324757658714033,0.3589944706759443
decode,__domain_balanced__,4,32,static,48,0.6786437665343915,0.111317791005291,4.0,6.005723704210372,0.0
decode,__domain_balanced__,4,32,transition,48,0.9166201636904762,0.5877976190476191,4.0,4.3825550095686046,0.2655758159377071
decode,__domain_balanced__,5,8,domain_oracle,44,0.31653025793650796,0.0005411255411255411,1.0,3.575817563197302,0.0
decode,__domain_balanced__,5,8,linear,44,0.5873748647186147,0.03783369408369408,1.0,1.7437397866750297,0.6220687240195193
decode,__domain_balanced__,5,8,static,44,0.24645450036075037,0.0,1.0,5.394780744789274,0.0
decode,__domain_balanced__,5,8,transition,44,0.5221579635642135,0.006809163059163059,1.0,2.015038861833102,0.46866528104102656
decode,__domain_balanced__,5,16,domain_oracle,44,0.5096387987012987,0.03792388167388167,2.0,4.133302002740204,0.0
decode,__domain_balanced__,5,16,linear,44,0.783989448051948,0.2844065656565657,2.0,2.578846769401268,0.5214169528284837
decode,__domain_balanced__,5,16,static,44,0.41509402056277056,0.006403318903318903,2.0,5.319274001154345,0.0
decode,__domain_balanced__,5,16,transition,44,0.7410094246031746,0.1991341991341991,2.0,2.7634084729577655,0.3973093258630038
decode,__domain_balanced__,5,32,domain_oracle,44,0.7695537968975469,0.23556998556998557,4.0,5.255366173434033,0.0
decode,__domain_balanced__,5,32,linear,44,0.9249470147907648,0.6249549062049062,4.0,4.331587530038888,0.3605723612868245
decode,__domain_balanced__,5,32,static,44,0.6779175685425686,0.11413239538239539,4.0,6.014425507125193,0.0
decode,__domain_balanced__,5,32,transition,44,0.9100209686147186,0.566017316017316,4.0,4.41653708365694,0.26036818859569855
decode,__domain_balanced__,6,8,domain_oracle,40,0.3145027281746032,0.0005952380952380952,1.0,3.590807427433101,0.0
decode,__domain_balanced__,6,8,linear,40,0.581857638888889,0.03774801587301587,1.0,1.7597981252559047,0.6232790755467197
decode,__domain_balanced__,6,8,static,40,0.24389880952380955,0.0,1.0,5.400688074240027,0.0
decode,__domain_balanced__,6,8,transition,40,0.5095052083333333,0.007638888888888888,1.0,2.061230630094964,0.46026341948310134
decode,__domain_balanced__,6,16,domain_oracle,40,0.5085875496031746,0.03829365079365079,2.0,4.138323946784002,0.0
decode,__domain_balanced__,6,16,linear,40,0.7784722222222222,0.2791666666666667,2.0,2.595838441633595,0.5229870775347913
decode,__domain_balanced__,6,16,static,40,0.41334945436507936,0.005555555555555555,2.0,5.318366133306496,0.0
decode,__domain_balanced__,6,16,transition,40,0.7291418650793651,0.18834325396825397,2.0,2.796446141427883,0.3874471918489065
decode,__domain_balanced__,6,32,domain_oracle,40,0.769469246031746,0.23501984126984127,4.0,5.25287318115293,0.0
decode,__domain_balanced__,6,32,linear,40,0.921875,0.6208333333333333,4.0,4.345711520156896,0.3614640283300199
decode,__domain_balanced__,6,32,static,40,0.6769965277777777,0.11001984126984128,4.0,6.017830995372462,0.0
decode,__domain_balanced__,6,32,transition,40,0.9068514384920634,0.5554563492063492,4.0,4.426767330714148,0.2584493041749503
decode,__domain_balanced__,7,8,domain_oracle,36,0.310543430335097,0.0006613756613756613,1.0,3.6370631346526707,0.0
decode,__domain_balanced__,7,8,linear,36,0.5769331459435626,0.03791887125220458,1.0,1.7745051839603454,0.6307640269494147
decode,__domain_balanced__,7,8,static,36,0.23862571649029984,0.0,1.0,5.4751612986329725,0.0
decode,__domain_balanced__,7,8,transition,36,0.5015569885361553,0.006062610229276896,1.0,2.054492664654102,0.46618897724762537
decode,__domain_balanced__,7,16,domain_oracle,36,0.5023492614638447,0.03940696649029982,2.0,4.188316286055932,0.0
decode,__domain_balanced__,7,16,linear,36,0.7708333333333334,0.2736441798941799,2.0,2.621215089418612,0.5276328142257566
decode,__domain_balanced__,7,16,static,36,0.40628444664902996,0.005621693121693121,2.0,5.386110052499523,0.0
decode,__domain_balanced__,7,16,transition,36,0.7204930004409171,0.1775242504409171,2.0,2.8205379135922586,0.3883884194831014
decode,__domain_balanced__,7,32,domain_oracle,36,0.7663828262786596,0.23208774250440914,4.0,5.271598564352133,0.0
decode,__domain_balanced__,7,32,linear,36,0.9185750110229277,0.6121031746031745,4.0,4.361133233037813,0.3636773111332008
decode,__domain_balanced__,7,32,static,36,0.6726741622574957,0.10295414462081129,4.0,6.04030415416055,0.0
decode,__domain_balanced__,7,32,transition,36,0.9009658840388006,0.5338955026455027,4.0,4.453552237177438,0.2548735365584272
decode,__domain_balanced__,8,8,domain_oracle,32,0.3071676587301587,0.000744047619047619,1.0,3.6787909237115355,0.0
decode,__domain_balanced__,8,8,linear,32,0.5662589905753969,0.03720238095238095,1.0,1.8087048000411983,0.6377283175944334
decode,__domain_balanced__,8,8,static,32,0.2338712177579365,0.0,1.0,5.602476125119334,0.0
decode,__domain_balanced__,8,8,transition,32,0.4854600694444445,0.004712301587301587,1.0,2.117582049781959,0.4580408175944334
decode,__domain_balanced__,8,16,domain_oracle,32,0.49758184523809523,0.039868551587301584,2.0,4.2272896057574165,0.0
decode,__domain_balanced__,8,16,linear,32,0.7645709325396826,0.2739955357142857,2.0,2.6432565363920544,0.5337506212723658
decode,__domain_balanced__,8,16,static,32,0.39927455357142855,0.004464285714285714,2.0,5.448880544926875,0.0
decode,__domain_balanced__,8,16,transition,32,0.7068064856150793,0.15904017857142858,2.0,2.8624489238921846,0.38718470427435386
decode,__domain_balanced__,8,32,domain_oracle,32,0.7631138392857143,0.23071676587301587,4.0,5.292296588604547,0.0
decode,__domain_balanced__,8,32,linear,32,0.9149305555555556,0.6031746031746031,4.0,4.378849434827911,0.36728069085487075
decode,__domain_balanced__,8,32,static,32,0.6670386904761905,0.09257192460317461,4.0,6.081555278304157,0.0
decode,__domain_balanced__,8,32,transition,32,0.89306640625,0.5062003968253969,4.0,4.490307681398218,0.25257439736580517
decode,__domain_balanced__,9,8,domain_oracle,28,0.30501523526077096,0.0008503401360544217,1.0,3.7127637115388583,0.0
decode,__domain_balanced__,9,8,linear,28,0.5583545918367346,0.03493480725623583,1.0,1.8362321594646727,0.6432920335132064
