phase,source_layer,target_layer,delta,n_train,feature_dimension,output_dimension,epochs,final_bce_loss
prefill,0,1,1,11696,128,64,30,0.7505195181607874
prefill,0,2,2,11696,128,64,30,0.7193917870195391
prefill,0,3,3,11696,128,64,30,0.6790931475146198
prefill,0,4,4,11696,128,64,30,0.6867075500507851
prefill,0,5,5,11696,128,64,30,0.6784146014708011
prefill,0,6,6,11696,128,64,30,0.647066196974586
prefill,0,7,7,11696,128,64,30,0.6551818245086722
prefill,0,8,8,11696,128,64,30,0.6375744879327296
prefill,0,9,9,11696,128,64,30,0.6188428715870253
prefill,0,10,10,11696,128,64,30,0.6327335323256768
prefill,0,11,11,11696,128,64,30,0.6437166202736945
prefill,0,12,12,11696,128,64,30,0.6636914103693251
prefill,0,13,13,11696,128,64,30,0.7311306940710169
prefill,0,14,14,11696,128,64,30,0.707243611972407
prefill,0,15,15,11696,128,64,30,0.7472898472513285
prefill,1,2,1,11696,128,64,30,0.7266493187720408
prefill,1,3,2,11696,128,64,30,0.6776277285920286
prefill,1,4,3,11696,128,64,30,0.680060602816283
prefill,1,5,4,11696,128,64,30,0.6772046076126202
prefill,1,6,5,11696,128,64,30,0.6527427271028876
prefill,1,7,6,11696,128,64,30,0.6577386135278747
prefill,1,8,7,11696,128,64,30,0.6438414032090705
prefill,1,9,8,11696,128,64,30,0.628070240878537
prefill,1,10,9,11696,128,64,30,0.6504276787859633
prefill,1,11,10,11696,128,64,30,0.6642088680521734
prefill,1,12,11,11696,128,64,30,0.6892421996544552
prefill,1,13,12,11696,128,64,30,0.748173874070315
prefill,1,14,13,11696,128,64,30,0.7333375489499762
prefill,1,15,14,11696,128,64,30,0.7649305629991148
prefill,2,3,1,11696,128,64,30,0.6621717818784648
prefill,2,4,2,11696,128,64,30,0.6504886645298813
prefill,2,5,3,11696,128,64,30,0.6536185138039647
prefill,2,6,4,11696,128,64,30,0.6339928106635442
prefill,2,7,5,11696,128,64,30,0.6442448445449286
prefill,2,8,6,11696,128,64,30,0.6361985470788749
prefill,2,9,7,11696,128,64,30,0.6295962177125276
prefill,2,10,8,11696,128,64,30,0.6507591691617274
prefill,2,11,9,11696,128,64,30,0.6566299929012189
prefill,2,12,10,11696,128,64,30,0.676852590082119
prefill,2,13,11,11696,128,64,30,0.7342686039967674
prefill,2,14,12,11696,128,64,30,0.7250053711368023
prefill,2,15,13,11696,128,64,30,0.7577642581531352
prefill,3,4,1,11696,128,64,30,0.6129389631112199
prefill,3,5,2,11696,128,64,30,0.6162135169705026
prefill,3,6,3,11696,128,64,30,0.5964833593401145
prefill,3,7,4,11696,128,64,30,0.6015973757295048
prefill,3,8,5,11696,128,64,30,0.5913323965509678
prefill,3,9,6,11696,128,64,30,0.5862490564951656
prefill,3,10,7,11696,128,64,30,0.6095295350300467
prefill,3,11,8,11696,128,64,30,0.6215821012100345
