phase,source_layer,target_layer,delta,n_train,feature_dimension,output_dimension,epochs,final_bce_loss
prefill,0,1,1,11696,128,64,30,0.7505195181607874
prefill,0,2,2,11696,128,64,30,0.7193917870195391
prefill,0,3,3,11696,128,64,30,0.6790931475146198
prefill,1,2,1,11696,128,64,30,0.7266493187720408
prefill,1,3,2,11696,128,64,30,0.6776277285920286
prefill,1,4,3,11696,128,64,30,0.680060602816283
prefill,2,3,1,11696,128,64,30,0.6621717818784648
prefill,2,4,2,11696,128,64,30,0.6504886645298813
prefill,2,5,3,11696,128,64,30,0.6536185138039647
prefill,3,4,1,11696,128,64,30,0.6129389631112199
prefill,3,5,2,11696,128,64,30,0.6162135169705026
prefill,3,6,3,11696,128,64,30,0.5964833593401145
prefill,4,5,1,11696,128,64,30,0.6118173118166004
prefill,4,6,2,11696,128,64,30,0.5910427390142928
prefill,4,7,3,11696,128,64,30,0.6040369526632181
prefill,5,6,1,11696,128,64,30,0.5701552763193968
prefill,5,7,2,11696,128,64,30,0.5889195610658252
prefill,5,8,3,11696,128,64,30,0.580469406009862
prefill,6,7,1,11696,128,64,30,0.5750630165255347
prefill,6,8,2,11696,128,64,30,0.5683869612689872
prefill,6,9,3,11696,128,64,30,0.5737396843130057
prefill,7,8,1,11696,128,64,30,0.531986396387729
prefill,7,9,2,11696,128,64,30,0.5363124658324324
prefill,7,10,3,11696,128,64,30,0.5692270861278643
prefill,8,9,1,11696,128,64,30,0.5103768588906273
prefill,8,10,2,11696,128,64,30,0.5433093666541103
prefill,8,11,3,11696,128,64,30,0.5501805257699395
prefill,9,10,1,11696,128,64,30,0.5157558454860578
prefill,9,11,2,11696,128,64,30,0.5255406302401208
prefill,9,12,3,11696,128,64,30,0.5532260403832071
prefill,10,11,1,11696,128,64,30,0.5008700044389952
prefill,10,12,2,11696,128,64,30,0.5243891181600078
prefill,10,13,3,11696,128,64,30,0.5756853619939488
prefill,11,12,1,11696,128,64,30,0.5245513522592354
prefill,11,13,2,11696,128,64,30,0.5723714481137193
prefill,11,14,3,11696,128,64,30,0.5656622329423594
prefill,12,13,1,11696,128,64,30,0.5660062287965976
prefill,12,14,2,11696,128,64,30,0.5617634978568342
prefill,12,15,3,11696,128,64,30,0.6043493112526253
prefill,13,14,1,11696,128,64,30,0.5645233267961547
prefill,13,15,2,11696,128,64,30,0.6031188955874515
prefill,14,15,1,11696,128,64,30,0.6040790001931823
decode,0,1,1,5995,128,64,30,0.7885196559224356
decode,0,2,2,5995,128,64,30,0.7714504304580434
decode,0,3,3,5995,128,64,30,0.7189173911987891
decode,1,2,1,5995,128,64,30,0.7635836970020673
decode,1,3,2,5995,128,64,30,0.7114650075986447
decode,1,4,3,5995,128,64,30,0.7141275255853082
decode,2,3,1,5995,128,64,30,0.6971525984967719
decode,2,4,2,5995,128,64,30,0.6904262449663813
decode,2,5,3,5995,128,64,30,0.675768739904733
decode,3,4,1,5995,128,64,30,0.6525920059603388
decode,3,5,2,5995,128,64,30,0.6376856866133421
decode,3,6,3,5995,128,64,30,0.6136640784440188
decode,4,5,1,5995,128,64,30,0.6274339961548265
decode,4,6,2,5995,128,64,30,0.6049787564711138
decode,4,7,3,5995,128,64,30,0.6057102301500558
decode,5,6,1,5995,128,64,30,0.5902434427903234
decode,5,7,2,5995,128,64,30,0.5989231843367728
decode,5,8,3,5995,128,64,30,0.5853076112876842
decode,6,7,1,5995,128,64,30,0.5761192661310057
decode,6,8,2,5995,128,64,30,0.5600125347305279
decode,6,9,3,5995,128,64,30,0.5655710465317473
decode,7,8,1,5995,128,64,30,0.5406885528584338
decode,7,9,2,5995,128,64,30,0.5452425483667025
decode,7,10,3,5995,128,64,30,0.5776884152056079
decode,8,9,1,5995,128,64,30,0.5250541765556622
decode,8,10,2,5995,128,64,30,0.5556457833014895
decode,8,11,3,5995,128,64,30,0.5693455792050047
decode,9,10,1,5995,128,64,30,0.5373067774903884
decode,9,11,2,5995,128,64,30,0.5508527642294603
decode,9,12,3,5995,128,64,30,0.5743000404550395
decode,10,11,1,5995,128,64,30,0.5290631044000462
decode,10,12,2,5995,128,64,30,0.5456168783914058
decode,10,13,3,5995,128,64,30,0.5955357057040089
decode,11,12,1,5995,128,64,30,0.543497315151081
decode,11,13,2,5995,128,64,30,0.5899192116576697
decode,11,14,3,5995,128,64,30,0.5977914660746501
decode,12,13,1,5995,128,64,30,0.5865102266450044
decode,12,14,2,5995,128,64,30,0.5944421646692437
decode,12,15,3,5995,128,64,30,0.638426936279246
decode,13,14,1,5995,128,64,30,0.594039321204242
decode,13,15,2,5995,128,64,30,0.6338855428234351
decode,14,15,1,5995,128,64,30,0.6292591374053669
