prompt_index,sample_id,domain,decode_step,context_tokens,elapsed_ms
0,humaneval-HumanEval_149,code,0,230,15.84700870513916
0,humaneval-HumanEval_149,code,1,231,15.395881652832031
0,humaneval-HumanEval_149,code,2,232,15.786408424377441
0,humaneval-HumanEval_149,code,3,233,15.18407917022705
0,humaneval-HumanEval_149,code,4,234,15.645166397094727
0,humaneval-HumanEval_149,code,5,235,16.100051879882812
0,humaneval-HumanEval_149,code,6,236,15.636726379394531
0,humaneval-HumanEval_149,code,7,237,15.91996955871582
0,humaneval-HumanEval_149,code,8,238,15.751407623291016
0,humaneval-HumanEval_149,code,9,239,15.34620189666748
0,humaneval-HumanEval_149,code,10,240,15.654126167297363
0,humaneval-HumanEval_149,code,11,241,15.172639846801758
0,humaneval-HumanEval_149,code,12,242,15.69256591796875
0,humaneval-HumanEval_149,code,13,243,15.792608261108398
0,humaneval-HumanEval_149,code,14,244,15.361842155456543
0,humaneval-HumanEval_149,code,15,245,15.87432861328125
0,humaneval-HumanEval_149,code,16,246,15.261520385742188
0,humaneval-HumanEval_149,code,17,247,15.643006324768066
0,humaneval-HumanEval_149,code,18,248,15.644886016845703
0,humaneval-HumanEval_149,code,19,249,15.259481430053711
1,wikitext2-00002,general,0,95,15.316122055053711
1,wikitext2-00002,general,1,96,15.76380729675293
1,wikitext2-00002,general,2,97,16.033491134643555
1,wikitext2-00002,general,3,98,15.472043991088867
1,wikitext2-00002,general,4,99,15.79944896697998
1,wikitext2-00002,general,5,100,15.273521423339844
1,wikitext2-00002,general,6,101,15.764328002929688
1,wikitext2-00002,general,7,102,15.717846870422363
1,wikitext2-00002,general,8,103,15.331521987915039
1,wikitext2-00002,general,9,104,15.857647895812988
1,wikitext2-00002,general,10,105,15.431802749633789
1,wikitext2-00002,general,11,106,15.899930000305176
1,wikitext2-00002,general,12,107,15.731927871704102
1,wikitext2-00002,general,13,108,15.258600234985352
1,wikitext2-00002,general,14,109,15.580965042114258
1,wikitext2-00002,general,15,110,17.18146514892578
1,wikitext2-00002,general,16,111,15.51496410369873
1,wikitext2-00002,general,17,112,15.835247993469238
1,wikitext2-00002,general,18,113,15.355603218078613
1,wikitext2-00002,general,19,114,15.83288860321045
3,mt_bench-97281954,conversation,0,176,15.682846069335938
3,mt_bench-97281954,conversation,1,177,15.64588737487793
3,mt_bench-97281954,conversation,2,178,15.354283332824707
3,mt_bench-97281954,conversation,3,179,15.929768562316895
3,mt_bench-97281954,conversation,4,180,15.288841247558594
3,mt_bench-97281954,conversation,5,181,15.70380687713623
3,mt_bench-97281954,conversation,6,182,15.642525672912598
3,mt_bench-97281954,conversation,7,183,15.27876091003418
3,mt_bench-97281954,conversation,8,184,15.685287475585938
3,mt_bench-97281954,conversation,9,185,15.40184211730957
3,mt_bench-97281954,conversation,10,186,15.547445297241211
3,mt_bench-97281954,conversation,11,187,15.854047775268555
3,mt_bench-97281954,conversation,12,188,15.25144100189209
3,mt_bench-97281954,conversation,13,189,15.635286331176758
3,mt_bench-97281954,conversation,14,190,15.57076644897461
3,mt_bench-97281954,conversation,15,191,15.18828010559082
3,mt_bench-97281954,conversation,16,192,15.627004623413086
3,mt_bench-97281954,conversation,17,193,15.284961700439453
3,mt_bench-97281954,conversation,18,194,15.866969108581543
3,mt_bench-97281954,conversation,19,195,15.798487663269043
4,gsm8k-00024,math,0,95,15.750367164611816
4,gsm8k-00024,math,1,96,15.23552131652832
4,gsm8k-00024,math,2,97,15.850448608398438
4,gsm8k-00024,math,3,98,15.298921585083008
4,gsm8k-00024,math,4,99,15.639446258544922
4,gsm8k-00024,math,5,100,15.567564964294434
4,gsm8k-00024,math,6,101,15.17743968963623
4,gsm8k-00024,math,7,102,15.685127258300781
4,gsm8k-00024,math,8,103,15.467964172363281
4,gsm8k-00024,math,9,104,15.45504379272461
4,gsm8k-00024,math,10,105,15.8484468460083
4,gsm8k-00024,math,11,106,15.323922157287598
4,gsm8k-00024,math,12,107,15.588245391845703
4,gsm8k-00024,math,13,108,15.576285362243652
4,gsm8k-00024,math,14,109,15.189358711242676
4,gsm8k-00024,math,15,110,15.693806648254395
4,gsm8k-00024,math,16,111,15.276362419128418
4,gsm8k-00024,math,17,112,15.734726905822754
4,gsm8k-00024,math,18,113,15.77852725982666
4,gsm8k-00024,math,19,114,15.237601280212402
