phase,capacity,lookahead,bandwidth_scale,effective_inter_moe_layer_ms,expert_transfer_ms,eligible_waves,stalled_waves,total_demanded_experts,resident_hit_experts,cold_demand_experts,compulsory_miss_experts,capacity_miss_experts,deadline_feasible_cold_experts,late_cold_experts,total_demanded_bytes,resident_hit_bytes,cold_demand_bytes,compulsory_miss_bytes,capacity_miss_bytes,deadline_feasible_demanded_bytes,late_bytes,resident_hit_fraction,deadline_feasible_cold_fraction,late_cold_fraction,reactive_stall_ms,oracle_stall_ms,oracle_stall_reduction,oracle_wave_stall_fraction,all_trace_cold_demand_experts,all_trace_compulsory_miss_experts,all_trace_capacity_miss_experts,all_trace_demanded_experts
decode,8,1,0.5,0.9773803949356079,0.566645939406511,120180,115806,961440,373901,587539,960,586579,119640,467899,12097714913280,4704763379712,7392951533568,12079595520,7380871938048,1505419591680,5887531941888,0.3888968630387752,0.2036290356895457,0.7963709643104543,332926.5885929946,217567.55404679867,0.3464999146920743,0.9636045931103345,634469,1024,633445,1025536
decode,8,2,0.5,0.9773803949356079,0.566645939406511,112168,103842,897344,355310,542034,896,541138,133242,408792,11291200585728,4470834462720,6820366123008,11274289152,6809091833856,1676572360704,5143793762304,0.39595740318094286,0.24581852798901913,0.7541814720109808,307141.36512025277,190534.39183525875,0.3796524549512885,0.9257720562014121,634469,1024,633445,1025536
decode,8,3,0.5,0.9773803949356079,0.566645939406511,104156,90116,833248,332105,501143,832,500311,142241,358902,10484686258176,4178847989760,6305838268416,10468982784,6295369285632,1789805985792,4516032282624,0.3985668132416759,0.2838331574021786,0.7161668425978214,283970.6460119376,167425.73887611312,0.41041181112404534,0.8652021967049426,634469,1024,633445,1025536
decode,8,6,0.5,0.9773803949356079,0.566645939406511,80120,50705,640960,248540,392420,640,391780,167894,224526,8065143275520,3127356948480,4937786327040,8053063680,4929733263360,2112595427328,2825190899712,0.3877621068397404,0.427842617603588,0.572157382396412,222363.19954184574,107125.40865331094,0.5182412877938852,0.6328632051922117,634469,1024,633445,1025536
decode,8,9,0.5,0.9773803949356079,0.566645939406511,56084,23796,448672,163040,285632,448,285184,177898,107734,5645600292864,2051517972480,3594082320384,5637144576,3588445175808,2238474878976,1355607441408,0.363383496184295,0.6228223728433789,0.3771776271566211,161852.21296455056,51237.65400603529,0.683429388653107,0.42429213322872833,634469,1024,633445,1025536
decode,8,12,0.5,0.9773803949356079,0.566645939406511,32048,2283,256384,92693,163691,256,163435,156184,7507,3226057310208,1166347862016,2059709448192,3221225472,2056488222720,1965249527808,94459920384,0.36153972166749876,0.9541392013000104,0.045860798699989616,92754.84046740326,3124.7364343248328,0.9663118774332542,0.07123689465801299,634469,1024,633445,1025536
decode,8,15,0.5,0.9773803949356079,0.566645939406511,8012,0,64096,21595,42501,64,42437,42501,0,806514327552,271727984640,534786342912,805306368,533981036544,534786342912,0,0.33691650024962555,1.0,0.0,24083.019070717313,0.0,1.0,0.0,634469,1024,633445,1025536
decode,8,1,1.0,0.9773803949356079,0.28494399785995483,120180,90211,961440,373901,587539,960,586579,341453,246086,12097714913280,4704763379712,7392951533568,12079595520,7380871938048,4296473051136,3096478482432,0.3888968630387752,0.5811580167444204,0.41884198325557964,167415.71155864,59065.51482266188,0.6471925228954796,0.7506323847561991,634469,1024,633445,1025536
decode,8,2,1.0,0.9773803949356079,0.28494399785995483,112168,65018,897344,355310,542034,896,541138,357135,184899,11291200585728,4470834462720,6820366123008,11274289152,6809091833856,4493798277120,2326567845888,0.39595740318094286,0.6588793322928082,0.3411206677071918,154449.33493602276,44208.933246195316,0.7137641721506416,0.5796483845660081,634469,1024,633445,1025536
decode,8,3,1.0,0.9773803949356079,0.28494399785995483,104156,45569,833248,332105,501143,832,500311,360924,140219,10484686258176,4178847989760,6305838268416,10468982784,6295369285632,4541474930688,1764363337728,0.3985668132416759,0.7202016190987403,0.27979838090125975,142797.68991953135,34215.561059474945,0.7603913545187185,0.4375072007373555,634469,1024,633445,1025536
