phase,layer_id,left_domain,right_domain,jensen_shannon_divergence,hotset_jaccard
prefill,0,code,conversation,0.049227833501839166,0.06666666666666667
prefill,0,code,general,0.08316013366391062,0.14285714285714285
prefill,0,code,math,0.08065446297889185,0.14285714285714285
prefill,0,conversation,general,0.022531360875454244,0.3333333333333333
prefill,0,conversation,math,0.02170364381710643,0.3333333333333333
prefill,0,general,math,0.03047725262939334,0.23076923076923078
prefill,1,code,conversation,0.06413872839186702,0.23076923076923078
prefill,1,code,general,0.09084051841829383,0.23076923076923078
prefill,1,code,math,0.09667484720376239,0.14285714285714285
prefill,1,conversation,general,0.016320533776110438,0.23076923076923078
prefill,1,conversation,math,0.020340523139782005,0.3333333333333333
prefill,1,general,math,0.023357910759728668,0.14285714285714285
prefill,2,code,conversation,0.09053837028927231,0.23076923076923078
prefill,2,code,general,0.13731272427502444,0.0
prefill,2,code,math,0.1347409749629503,0.06666666666666667
prefill,2,conversation,general,0.03613257629925941,0.06666666666666667
prefill,2,conversation,math,0.026485818613555367,0.23076923076923078
prefill,2,general,math,0.05890559874264012,0.06666666666666667
prefill,3,code,conversation,0.082367489509828,0.23076923076923078
prefill,3,code,general,0.14950977086989048,0.06666666666666667
prefill,3,code,math,0.108836270898523,0.14285714285714285
prefill,3,conversation,general,0.03632395788905661,0.06666666666666667
prefill,3,conversation,math,0.02789417396623793,0.45454545454545453
prefill,3,general,math,0.05648183827797979,0.14285714285714285
prefill,4,code,conversation,0.12094198840446334,0.3333333333333333
prefill,4,code,general,0.21575412883394035,0.0
prefill,4,code,math,0.1556372169593636,0.14285714285714285
prefill,4,conversation,general,0.05239575927508831,0.23076923076923078
prefill,4,conversation,math,0.0464478079501367,0.3333333333333333
prefill,4,general,math,0.10116881657744925,0.14285714285714285
prefill,5,code,conversation,0.13720836291608024,0.3333333333333333
prefill,5,code,general,0.23563222680295365,0.0
prefill,5,code,math,0.18143114363558055,0.14285714285714285
prefill,5,conversation,general,0.05918109470427833,0.0
prefill,5,conversation,math,0.06265564205530279,0.23076923076923078
prefill,5,general,math,0.10489858289406365,0.0
prefill,6,code,conversation,0.13123016560397732,0.3333333333333333
prefill,6,code,general,0.23540662866723608,0.06666666666666667
prefill,6,code,math,0.14829664582616872,0.3333333333333333
prefill,6,conversation,general,0.05670984589211797,0.06666666666666667
prefill,6,conversation,math,0.06787051811712863,0.45454545454545453
prefill,6,general,math,0.11325036549446568,0.06666666666666667
prefill,7,code,conversation,0.12588256828427521,0.23076923076923078
prefill,7,code,general,0.2206954923191889,0.0
prefill,7,code,math,0.1424123142914711,0.14285714285714285
prefill,7,conversation,general,0.06074545631604311,0.14285714285714285
prefill,7,conversation,math,0.04422940378001458,0.3333333333333333
prefill,7,general,math,0.09760991599204374,0.06666666666666667
prefill,8,code,conversation,0.09628276301280778,0.3333333333333333
prefill,8,code,general,0.17417315818223258,0.0
prefill,8,code,math,0.10846655616993832,0.14285714285714285
prefill,8,conversation,general,0.041784853890300566,0.14285714285714285
prefill,8,conversation,math,0.04052746570904352,0.3333333333333333
prefill,8,general,math,0.08224071693595597,0.0
prefill,9,code,conversation,0.09862417876522855,0.3333333333333333
prefill,9,code,general,0.18468942610439393,0.06666666666666667
prefill,9,code,math,0.13596575053051613,0.06666666666666667
prefill,9,conversation,general,0.037935760277507426,0.14285714285714285
prefill,9,conversation,math,0.02996864955007165,0.3333333333333333
prefill,9,general,math,0.058371854927739886,0.14285714285714285
prefill,10,code,conversation,0.08892482478044728,0.23076923076923078
prefill,10,code,general,0.15394200243339265,0.06666666666666667
prefill,10,code,math,0.11673113158200243,0.06666666666666667
prefill,10,conversation,general,0.035590526630567706,0.23076923076923078
prefill,10,conversation,math,0.02292808366587195,0.45454545454545453
prefill,10,general,math,0.0588388421870525,0.23076923076923078
prefill,11,code,conversation,0.12118235812242908,0.3333333333333333
prefill,11,code,general,0.20859959032855324,0.06666666666666667
prefill,11,code,math,0.16802879517351316,0.14285714285714285
prefill,11,conversation,general,0.04890942854198778,0.23076923076923078
prefill,11,conversation,math,0.032120136376769116,0.45454545454545453
prefill,11,general,math,0.05951240335580287,0.3333333333333333
prefill,12,code,conversation,0.12910095266514832,0.23076923076923078
prefill,12,code,general,0.21935312504879376,0.06666666666666667
prefill,12,code,math,0.17738899733078287,0.14285714285714285
prefill,12,conversation,general,0.043044513395923106,0.3333333333333333
prefill,12,conversation,math,0.042472563899783586,0.23076923076923078
prefill,12,general,math,0.07213096943505161,0.3333333333333333
prefill,13,code,conversation,0.14801145846185967,0.23076923076923078
prefill,13,code,general,0.24203205883609807,0.0
prefill,13,code,math,0.20236381119092983,0.14285714285714285
prefill,13,conversation,general,0.04900737754823496,0.14285714285714285
prefill,13,conversation,math,0.04167930680212392,0.45454545454545453
prefill,13,general,math,0.07457349667174537,0.23076923076923078
prefill,14,code,conversation,0.13208273308136056,0.06666666666666667
prefill,14,code,general,0.23829753555363464,0.06666666666666667
prefill,14,code,math,0.18406766477557596,0.0
prefill,14,conversation,general,0.04457207331595206,0.14285714285714285
prefill,14,conversation,math,0.03521652168954374,0.23076923076923078
prefill,14,general,math,0.06249457303040414,0.06666666666666667
prefill,15,code,conversation,0.1371146007609622,0.06666666666666667
prefill,15,code,general,0.2286637413703115,0.0
prefill,15,code,math,0.17685207841448397,0.06666666666666667
prefill,15,conversation,general,0.04642813214898302,0.06666666666666667
prefill,15,conversation,math,0.037441583262959155,0.3333333333333333
prefill,15,general,math,0.07301631667163341,0.14285714285714285
