phase,domain,layer_id,num_experts,n_tokens,n_selections,entropy,normalized_entropy,gini,max_to_median,utilization_variance,top_1_coverage,top_2_coverage,top_4_coverage,top_8_coverage,top_16_coverage
prefill,__all__,0,64,13918,111344,4.071565390824669,0.9790045329996475,0.20243990470972842,4.194048357098574,713428.4375,0.06075765196148872,0.09842470182497486,0.15270692628251187,0.23648333093835322,0.3832806437706567
prefill,__all__,1,64,13918,111344,4.0686062360924575,0.9782930066900833,0.23058859255999425,2.7093807480073573,601346.28125,0.03968781434114097,0.07673516309814629,0.14326771087799972,0.23701322029027158,0.3927288403506251
prefill,__all__,2,64,13918,111344,4.072788752848234,0.9792986893870822,0.2202577148297169,3.0423605024832017,567822.46875,0.04676498060066101,0.0762052737462279,0.13325370024428798,0.22996299755712027,0.38391830722805
prefill,__all__,3,64,13918,111344,4.0498339245287704,0.9737792198902577,0.259728858312976,2.5476042314872434,672324.46875,0.03676893231786176,0.071786535421756,0.13558880586291133,0.2380640178186521,0.412146141687024
prefill,__all__,4,64,13918,111344,4.023832050170151,0.967527090691758,0.28792638130478515,3.558537403555854,921305.4375,0.04763615461991665,0.09115893088087369,0.1543415002155482,0.2641902572208651,0.43820053168558704
prefill,__all__,5,64,13918,111344,4.0246933045422155,0.9677341785936783,0.2828040240156632,3.598510704312752,939632.21875,0.052081836470757294,0.0944909469751401,0.16422079321741628,0.26135220577669205,0.42602205776692054
prefill,__all__,6,64,13918,111344,3.9787501125142946,0.9566871760434631,0.3271454905518034,4.11085141903172,1223085.15625,0.0552881161086363,0.09548785745078316,0.16924127029745653,0.29422330794654405,0.46474888633424344
prefill,__all__,7,64,13918,111344,4.005551370960386,0.9631315164850895,0.3040560111007329,3.547361729179911,1006451.9375,0.05011495904583992,0.09601774680270153,0.15539229774392874,0.26124443167121714,0.44044582554964795
prefill,__all__,8,64,13918,111344,4.013350378774788,0.9650067814680384,0.2958898773171433,3.6138147566718994,951324.875,0.05168666475068257,0.09168882023279207,0.15248239689610577,0.25978948124730566,0.4324435982181348
prefill,__all__,9,64,13918,111344,4.041503049659424,0.9717760679135455,0.25333678734372755,3.804665629860031,820865.46875,0.05492886909038655,0.09608959620635149,0.1553473918666475,0.24781757436413276,0.40705381520333384
prefill,__all__,10,64,13918,111344,4.073903276221088,0.9795666756109109,0.22813476702830868,3.021222679759265,561919.9375,0.04283122575082627,0.07643878430809024,0.13009232648369018,0.22946903290702686,0.3921540451214255
prefill,__all__,11,64,13918,111344,4.023125723950172,0.9673572551359557,0.2838626800725679,3.3998057623826483,958726.3125,0.04716015232073574,0.09040451214254921,0.16565778129041528,0.27534487713751976,0.43715871533266276
prefill,__all__,12,64,13918,111344,4.033144504772751,0.9697662627040371,0.2785334750862193,3.123809523809524,837327.09375,0.0427144704698951,0.08330938353211668,0.1530661733007616,0.2551013076591464,0.4277913493318005
prefill,__all__,13,64,13918,111344,4.039145188767898,0.9712091222109938,0.2748829079249892,3.1957708049113234,790608.3125,0.0420768070125018,0.07589991378071562,0.14066316999568904,0.2531074867078603,0.4349403649949705
prefill,__all__,14,64,13918,111344,4.055872796137181,0.9752312615772608,0.24793152302773386,2.4581196581196583,639069.09375,0.03874479091823538,0.07527123149877855,0.1355169564592614,0.23334890070412415,0.39776727978157783
prefill,__all__,15,64,13918,111344,4.05166836599824,0.9742203098253918,0.25409373203764907,3.157282741738066,728531.1875,0.04633388417876132,0.08305791061934185,0.14617761172582266,0.2516076304066676,0.41325082626814197
prefill,code,0,64,4426,35408,3.9269232497658435,0.9442254497314592,0.3460526222887483,7.254947613504075,204536.46875,0.08800271125169454,0.1464075915047447,0.21509263443289653,0.32275192046995027,0.49056710347943966
prefill,code,1,64,4426,35408,3.824105720091805,0.9195030597019277,0.40793305891323994,8.669833729216151,327284.0625,0.1030840488025305,0.16499096249435155,0.2864606868504293,0.384037505648441,0.5400756891098057
prefill,code,2,64,4426,35408,3.686989375994563,0.8865335480929417,0.5102854580885675,12.182344428364688,437646.3125,0.11887144148215092,0.18916629010393132,0.2906122910076819,0.43608788974243107,0.6207919114324446
prefill,code,3,64,4426,35408,3.710517985047602,0.8921909826929141,0.5063368447808405,8.37190082644628,353067.03125,0.0858280614550384,0.1668831902394939,0.2710122006326254,0.40649005874378674,0.5988477180298237
prefill,code,4,64,4426,35408,3.4942987702459827,0.8402012512030471,0.6048712508472661,12.922178988326849,586260.59375,0.09379236330772707,0.18501468594667872,0.3445549028468143,0.5106473113420696,0.6976389516493448
prefill,code,5,64,4426,35408,3.4249511149923118,0.8235266648144224,0.6266283396407591,15.658715596330275,703820.90625,0.12050948938093087,0.22582467239042026,0.37581902394939,0.5175666516041573,0.7167871667419792
prefill,code,6,64,4426,35408,3.3888017451084083,0.814834578703961,0.6503526745368279,15.403041825095057,646920.9375,0.11440917306823317,0.21272028920018074,0.3470402169001356,0.529343651152282,0.7413296430185269
prefill,code,7,64,4426,35408,3.444205098843831,0.8281562693177462,0.6294366739154993,15.74436090225564,610519.96875,0.11827835517397198,0.2094159511974695,0.3463341617713511,0.4966109353818346,0.7191877541798464
prefill,code,8,64,4426,35408,3.5674984053156598,0.857802042954698,0.5677742318120199,10.823855755894591,535636.0625,0.11020108450067781,0.22000677812923633,0.31944758246723903,0.45549028468142794,0.6597379123361952
prefill,code,9,64,4426,35408,3.5676372604485467,0.8578354305566344,0.5682596447130592,14.0,554453.0625,0.11624491640307275,0.21687189335743334,0.3394430637144148,0.47359353818346134,0.669424988703118
prefill,code,10,64,4426,35408,3.710361615948138,0.89215338387219,0.49688717945097155,11.854166666666666,389119.21875,0.11248870311793945,0.1690860822413014,0.2616640307275192,0.4106134206958879,0.6227406235878897
prefill,code,11,64,4426,35408,3.493848726371126,0.8400930385253075,0.5972299692159964,15.643263757115749,633804.125,0.11641436963398102,0.21464075915047448,0.3581394035246272,0.5087268413917758,0.7070436059647537
prefill,code,12,64,4426,35408,3.509422215113534,0.8438376710216428,0.5997108704247628,16.053388090349078,544712.625,0.11039877993673745,0.19272480795300498,0.31244351558969724,0.4868956168097605,0.7215600994125622
prefill,code,13,64,4426,35408,3.434520909404327,0.8258277139711793,0.629589358337099,15.454545454545455,643983.71875,0.10802643470402169,0.198401491188432,0.34624943515589696,0.5504123361952101,0.7433913239945775
prefill,code,14,64,4426,35408,3.525959522718956,0.8478140529669758,0.585572999039765,11.95364238410596,569757.1875,0.10195436059647538,0.19941821057388162,0.3372684139177587,0.4782252598282874,0.7056032535020335
