phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,0,1,6,6765,0.06075765196148872
prefill,__all__,0,2,41,4194,0.03766704986348613
prefill,__all__,0,3,21,3410,0.030625808305791064
prefill,__all__,0,4,58,2634,0.023656416151745942
prefill,__all__,0,5,53,2383,0.021402141112228767
prefill,__all__,0,6,54,2354,0.021141687023997702
prefill,__all__,0,7,40,2296,0.020620778847535565
prefill,__all__,0,8,61,2295,0.02061179767207932
prefill,__all__,0,9,25,2272,0.020405230636585718
prefill,__all__,0,10,29,2141,0.01922869665181779
prefill,__all__,0,11,13,2088,0.01875269435263687
prefill,__all__,0,12,19,2070,0.018591033194424487
prefill,__all__,0,13,22,2028,0.01821382382526225
prefill,__all__,0,14,24,1993,0.01789948268429372
prefill,__all__,0,15,17,1877,0.01685766633136945
prefill,__all__,0,16,49,1876,0.016848685155913205
prefill,__all__,0,17,60,1870,0.016794798103175742
prefill,__all__,0,18,39,1851,0.016624155769507112
prefill,__all__,0,19,18,1844,0.016561287541313408
prefill,__all__,0,20,0,1786,0.01604037936485127
prefill,__all__,0,21,46,1776,0.015950567610288836
prefill,__all__,0,22,7,1764,0.01584279350481391
prefill,__all__,0,23,12,1741,0.015636226469320304
prefill,__all__,0,24,20,1715,0.015402715907457967
prefill,__all__,0,25,8,1705,0.015312904152895532
prefill,__all__,0,26,55,1700,0.015267998275614312
prefill,__all__,0,27,33,1698,0.015250035924701824
prefill,__all__,0,28,59,1673,0.015025506538295732
prefill,__all__,0,29,5,1658,0.014890788906452077
prefill,__all__,0,30,38,1638,0.014711165397327202
prefill,__all__,0,31,36,1638,0.014711165397327202
prefill,__all__,0,32,26,1620,0.014549504239114816
prefill,__all__,0,33,42,1606,0.014423767782727403
prefill,__all__,0,34,30,1602,0.014387843080902428
prefill,__all__,0,35,43,1587,0.014253125449058773
prefill,__all__,0,36,44,1514,0.013597499640752981
prefill,__all__,0,37,47,1496,0.013435838482540595
prefill,__all__,0,38,16,1487,0.013355007903434402
prefill,__all__,0,39,62,1466,0.013166403218853283
prefill,__all__,0,40,14,1464,0.013148440867940796
prefill,__all__,0,41,32,1410,0.012663457393303636
prefill,__all__,0,42,51,1399,0.012564664463284955
prefill,__all__,0,43,10,1370,0.012304210375053887
prefill,__all__,0,44,45,1367,0.012277266848685155
prefill,__all__,0,45,48,1363,0.01224134214686018
prefill,__all__,0,46,31,1359,0.012205417445035206
prefill,__all__,0,47,37,1327,0.011918019830435408
prefill,__all__,0,48,57,1302,0.011693490444029314
prefill,__all__,0,49,3,1295,0.011630622215835608
prefill,__all__,0,50,27,1292,0.011603678689466877
prefill,__all__,0,51,2,1266,0.011370168127604541
prefill,__all__,0,52,15,1262,0.011334243425779565
prefill,__all__,0,53,63,1257,0.011289337548498347
prefill,__all__,0,54,1,1256,0.011280356373042104
prefill,__all__,0,55,50,1208,0.010849259951142406
prefill,__all__,0,56,4,1207,0.010840278775686161
prefill,__all__,0,57,52,1190,0.010687598792930018
prefill,__all__,0,58,11,1127,0.010121784739186665
prefill,__all__,0,59,56,1113,0.009996048282799253
prefill,__all__,0,60,9,1065,0.009564951860899555
prefill,__all__,0,61,35,1035,0.009295516597212243
prefill,__all__,0,62,28,1025,0.009205704842649806
prefill,__all__,0,63,23,787,0.007068185084063802
prefill,__all__,0,64,34,487,0.004373832447190688
prefill,__all__,1,1,47,4419,0.03968781434114097
prefill,__all__,1,2,25,4125,0.03704734875700532
prefill,__all__,1,3,18,4083,0.03667013938784308
prefill,__all__,1,4,11,3325,0.029862408392010348
prefill,__all__,1,5,15,2867,0.025749030033050724
prefill,__all__,1,6,42,2694,0.024195286679120562
prefill,__all__,1,7,5,2516,0.02259663744790918
prefill,__all__,1,8,27,2361,0.021204555252191407
prefill,__all__,1,9,21,2302,0.020674665900273028
prefill,__all__,1,10,32,2264,0.020333381232935765
prefill,__all__,1,11,40,2217,0.019911265986492312
prefill,__all__,1,12,37,2197,0.019731642477367438
prefill,__all__,1,13,29,2195,0.01971368012645495
prefill,__all__,1,14,17,2096,0.018824543756286824
prefill,__all__,1,15,62,2073,0.018617976720793218
prefill,__all__,1,16,31,1994,0.017908463859749965
prefill,__all__,1,17,23,1992,0.017890501508837475
prefill,__all__,1,18,53,1976,0.017746802701537577
prefill,__all__,1,19,59,1971,0.01770189682425636
prefill,__all__,1,20,48,1958,0.01758514154332519
prefill,__all__,1,21,45,1903,0.017091176893231787
prefill,__all__,1,22,60,1903,0.017091176893231787
prefill,__all__,1,23,19,1886,0.016938496910475644
prefill,__all__,1,24,9,1840,0.016525362839488432
prefill,__all__,1,25,14,1832,0.016453513435838483
prefill,__all__,1,26,35,1802,0.016184078172151173
prefill,__all__,1,27,41,1773,0.015923624083920104
prefill,__all__,1,28,12,1729,0.01552845236384538
prefill,__all__,1,29,1,1676,0.015052450064664463
prefill,__all__,1,30,49,1667,0.01497161948555827
prefill,__all__,1,31,44,1651,0.014827920678258371
prefill,__all__,1,32,8,1645,0.014774033625520908
prefill,__all__,1,33,7,1617,0.014522560712746085
prefill,__all__,1,34,63,1612,0.014477654835464865
prefill,__all__,1,35,39,1609,0.014450711309096134
prefill,__all__,1,36,20,1597,0.01434293720362121
prefill,__all__,1,37,61,1591,0.014289050150883748
prefill,__all__,1,38,51,1549,0.013911840781721512
prefill,__all__,1,39,3,1513,0.013588518465296738
prefill,__all__,1,40,34,1489,0.013372970254346889
prefill,__all__,1,41,13,1482,0.013310102026153183
prefill,__all__,1,42,24,1421,0.012762250323322316
prefill,__all__,1,43,30,1417,0.012726325621497342
prefill,__all__,1,44,52,1365,0.012259304497772669
prefill,__all__,1,45,16,1357,0.012187455094122718
prefill,__all__,1,46,54,1335,0.011989869234085357
prefill,__all__,1,47,50,1327,0.011918019830435408
prefill,__all__,1,48,55,1280,0.011495904583991953
prefill,__all__,1,49,58,1225,0.01100193993389855
prefill,__all__,1,50,0,1208,0.010849259951142406
prefill,__all__,1,51,2,1202,0.010795372898404943
prefill,__all__,1,52,4,1167,0.010481031757436414
prefill,__all__,1,53,36,1115,0.01001401063371174
prefill,__all__,1,54,33,1007,0.00904404368443742
prefill,__all__,1,55,57,950,0.008532116683431528
prefill,__all__,1,56,6,921,0.00827166259520046
prefill,__all__,1,57,46,899,0.008074076735163098
prefill,__all__,1,58,22,894,0.008029170857881879
prefill,__all__,1,59,56,792,0.007113090961345021
prefill,__all__,1,60,28,782,0.007023279206782584
prefill,__all__,1,61,26,771,0.006924486276763903
prefill,__all__,1,62,38,748,0.006717919241270297
prefill,__all__,1,63,10,622,0.005586291133783589
prefill,__all__,1,64,43,548,0.004921684150021555
prefill,__all__,2,1,40,5207,0.04676498060066101
prefill,__all__,2,2,60,3278,0.02944029314556689
prefill,__all__,2,3,34,3220,0.028919384969104758
prefill,__all__,2,4,5,3132,0.02812904152895531
prefill,__all__,2,5,45,3059,0.02747341572064952
prefill,__all__,2,6,14,2705,0.024294079609139246
prefill,__all__,2,7,61,2613,0.023467811467164822
prefill,__all__,2,8,16,2391,0.021473990515878717
prefill,__all__,2,9,22,2324,0.02087225176031039
prefill,__all__,2,10,9,2299,0.020647722373904297
prefill,__all__,2,11,58,2218,0.019920247161948557
prefill,__all__,2,12,35,2159,0.019390357810030175
prefill,__all__,2,13,38,2130,0.01912990372179911
prefill,__all__,2,14,4,2052,0.0184293720362121
prefill,__all__,2,15,24,1990,0.01787253915792499
prefill,__all__,2,16,29,1970,0.017692915648800114
prefill,__all__,2,17,62,1943,0.017450423911481536
prefill,__all__,2,18,57,1939,0.01741449920965656
prefill,__all__,2,19,63,1918,0.017225894525075443
prefill,__all__,2,20,32,1882,0.016902572208650667
prefill,__all__,2,21,26,1872,0.016812760454088232
prefill,__all__,2,22,23,1851,0.016624155769507112
prefill,__all__,2,23,59,1846,0.016579249892225895
prefill,__all__,2,24,10,1834,0.01647147578675097
prefill,__all__,2,25,30,1803,0.016193059347607414
prefill,__all__,2,26,28,1801,0.016175096996694928
prefill,__all__,2,27,15,1779,0.015977511136657567
prefill,__all__,2,28,47,1768,0.015878718206638887
prefill,__all__,2,29,46,1766,0.015860755855726397
prefill,__all__,2,30,12,1749,0.015708075872970254
prefill,__all__,2,31,19,1721,0.01545660296019543
prefill,__all__,2,32,21,1720,0.015447621784739187
prefill,__all__,2,33,36,1703,0.015294941801983044
prefill,__all__,2,34,48,1652,0.014836901853714614
prefill,__all__,2,35,41,1620,0.014549504239114816
prefill,__all__,2,36,20,1616,0.01451357953728984
prefill,__all__,2,37,1,1609,0.014450711309096134
prefill,__all__,2,38,44,1591,0.014289050150883748
prefill,__all__,2,39,54,1576,0.014154332519040093
prefill,__all__,2,40,56,1571,0.014109426641758873
prefill,__all__,2,41,33,1542,0.013848972553527806
prefill,__all__,2,42,39,1505,0.013516669061646789
prefill,__all__,2,43,0,1469,0.013193346745222014
prefill,__all__,2,44,7,1462,0.013130478517028308
prefill,__all__,2,45,8,1453,0.013049647937922116
prefill,__all__,2,46,27,1433,0.012870024428797242
prefill,__all__,2,47,53,1378,0.012376059778703838
prefill,__all__,2,48,3,1336,0.0119988504095416
prefill,__all__,2,49,25,1238,0.011118695214829716
prefill,__all__,2,50,50,1197,0.010750467021123724
prefill,__all__,2,51,13,1177,0.010570843511998851
prefill,__all__,2,52,6,1158,0.01040020117833022
prefill,__all__,2,53,49,1113,0.009996048282799253
prefill,__all__,2,54,18,1101,0.009888274177324328
prefill,__all__,2,55,11,1080,0.00969966949274321
prefill,__all__,2,56,52,1067,0.009582914211812042
prefill,__all__,2,57,37,990,0.008891363701681277
prefill,__all__,2,58,17,940,0.00844230492886909
prefill,__all__,2,59,31,856,0.007687886190544619
prefill,__all__,2,60,43,701,0.006295803994826843
prefill,__all__,2,61,42,692,0.006214973415720649
prefill,__all__,2,62,2,658,0.005909613450208363
prefill,__all__,2,63,55,509,0.00457141830722805
prefill,__all__,2,64,51,412,0.00370024428797241
prefill,__all__,3,1,52,4094,0.03676893231786176
prefill,__all__,3,2,15,3899,0.035017603103894235
prefill,__all__,3,3,9,3646,0.03274536571346458
prefill,__all__,3,4,43,3458,0.03105690472769076
prefill,__all__,3,5,31,2955,0.02653937347320017
prefill,__all__,3,6,30,2894,0.025991521770369307
prefill,__all__,3,7,62,2825,0.02537182066388849
prefill,__all__,3,8,23,2736,0.0245724960482828
prefill,__all__,3,9,20,2643,0.023737246730852132
prefill,__all__,3,10,12,2592,0.023279206782583703
prefill,__all__,3,11,19,2474,0.022219428078746946
prefill,__all__,3,12,61,2424,0.02177036930593476
prefill,__all__,3,13,38,2400,0.02155482109498491
prefill,__all__,3,14,49,2344,0.021051875269435263
prefill,__all__,3,15,59,2284,0.02051300474206064
prefill,__all__,3,16,42,2222,0.01995617186377353
prefill,__all__,3,17,54,2152,0.01932748958183647
prefill,__all__,3,18,37,2063,0.01852816496623078
prefill,__all__,3,19,40,2012,0.01807012501796235
prefill,__all__,3,20,22,2012,0.01807012501796235
prefill,__all__,3,21,33,1973,0.017719859175168846
prefill,__all__,3,22,45,1972,0.0177108779997126
prefill,__all__,3,23,48,1955,0.017558198016956458
prefill,__all__,3,24,56,1867,0.016767854576807014
prefill,__all__,3,25,25,1860,0.016704986348613306
prefill,__all__,3,26,18,1846,0.016579249892225895
prefill,__all__,3,27,29,1820,0.016345739330363557
prefill,__all__,3,28,28,1808,0.016237965224888632
prefill,__all__,3,29,39,1741,0.015636226469320304
prefill,__all__,3,30,0,1707,0.015330866503808018
prefill,__all__,3,31,57,1659,0.01489977008190832
prefill,__all__,3,32,58,1610,0.014459692484552379
prefill,__all__,3,33,55,1604,0.014405805431814916
prefill,__all__,3,34,46,1521,0.013660367868946689
prefill,__all__,3,35,4,1507,0.013534631412559275
prefill,__all__,3,36,47,1503,0.0134987067107343
prefill,__all__,3,37,11,1449,0.01301372323609714
prefill,__all__,3,38,36,1448,0.013004742060640897
prefill,__all__,3,39,50,1424,0.012789193849691047
prefill,__all__,3,40,44,1387,0.01245689035781003
prefill,__all__,3,41,24,1385,0.012438928006897543
prefill,__all__,3,42,63,1376,0.01235809742779135
prefill,__all__,3,43,10,1373,0.012331153901422618
prefill,__all__,3,44,3,1300,0.011675528093116828
prefill,__all__,3,45,35,1250,0.011226469320304642
prefill,__all__,3,46,6,1238,0.011118695214829716
prefill,__all__,3,47,32,1231,0.01105582698663601
prefill,__all__,3,48,14,1180,0.01059778703836758
prefill,__all__,3,49,34,1160,0.010418163529242708
prefill,__all__,3,50,41,1137,0.010211596493749102
prefill,__all__,3,51,51,1129,0.010139747090099151
prefill,__all__,3,52,2,1101,0.009888274177324328
prefill,__all__,3,53,8,1097,0.009852349475499353
prefill,__all__,3,54,7,1097,0.009852349475499353
prefill,__all__,3,55,27,1007,0.00904404368443742
prefill,__all__,3,56,5,839,0.007535206207788476
prefill,__all__,3,57,1,787,0.007068185084063802
prefill,__all__,3,58,21,725,0.006511352205776692
prefill,__all__,3,59,60,664,0.005963500502945826
prefill,__all__,3,60,53,587,0.00527194999281506
prefill,__all__,3,61,16,522,0.004688173588159218
prefill,__all__,3,62,13,484,0.004346888920821957
prefill,__all__,3,63,17,448,0.0040235666043971835
prefill,__all__,3,64,26,437,0.003924773674378503
prefill,__all__,4,1,17,5304,0.04763615461991665
prefill,__all__,4,2,21,4846,0.04352277626095703
prefill,__all__,4,3,19,3929,0.03528703836758155
prefill,__all__,4,4,34,3106,0.027895530967092973
prefill,__all__,4,5,26,3072,0.027590171001580687
prefill,__all__,4,6,25,3065,0.02752730277338698
prefill,__all__,4,7,62,3063,0.027509340422474493
prefill,__all__,4,8,47,3031,0.027221942807874693
prefill,__all__,4,9,55,2724,0.024464721942807875
prefill,__all__,4,10,23,2723,0.02445574076735163
prefill,__all__,4,11,43,2530,0.022722373904296593
prefill,__all__,4,12,49,2404,0.021590745796809887
prefill,__all__,4,13,8,2280,0.020477080040235667
prefill,__all__,4,14,52,2276,0.02044115533841069
prefill,__all__,4,15,6,2271,0.020396249461129473
prefill,__all__,4,16,45,2167,0.019462207213680128
prefill,__all__,4,17,58,2167,0.019462207213680128
prefill,__all__,4,18,35,2120,0.01904009196723667
prefill,__all__,4,19,59,2073,0.018617976720793218
prefill,__all__,4,20,48,2051,0.018420390860755857
prefill,__all__,4,21,42,1987,0.017845595631556257
prefill,__all__,4,22,41,1925,0.017288762753269148
prefill,__all__,4,23,37,1871,0.016803779278631987
prefill,__all__,4,24,61,1858,0.01668702399770082
prefill,__all__,4,25,39,1840,0.016525362839488432
prefill,__all__,4,26,7,1814,0.016291852277626095
prefill,__all__,4,27,36,1730,0.015537433539301624
prefill,__all__,4,28,14,1630,0.014639315993677253
prefill,__all__,4,29,50,1612,0.014477654835464865
prefill,__all__,4,30,10,1603,0.014396824256358673
prefill,__all__,4,31,51,1593,0.014307012501796236
prefill,__all__,4,32,27,1516,0.013615461991665469
prefill,__all__,4,33,24,1465,0.01315742204339704
prefill,__all__,4,34,11,1454,0.01305862911337836
prefill,__all__,4,35,60,1443,0.012959836183359679
prefill,__all__,4,36,5,1388,0.012465871533266273
prefill,__all__,4,37,4,1387,0.01245689035781003
prefill,__all__,4,38,56,1373,0.012331153901422618
prefill,__all__,4,39,1,1231,0.01105582698663601
prefill,__all__,4,40,38,1218,0.010939071705704843
prefill,__all__,4,41,13,1216,0.010921109354792355
prefill,__all__,4,42,28,1198,0.010759448196579969
prefill,__all__,4,43,9,1178,0.010579824687455094
prefill,__all__,4,44,29,1144,0.010274464721942808
prefill,__all__,4,45,2,1130,0.010148728265555396
prefill,__all__,4,46,57,1118,0.010040954160080471
prefill,__all__,4,47,40,1093,0.009816424773674379
prefill,__all__,4,48,16,1072,0.009627820089093261
prefill,__all__,4,49,12,1058,0.00950208363270585
prefill,__all__,4,50,33,1047,0.009403290702687167
prefill,__all__,4,51,22,977,0.008774608420750108
prefill,__all__,4,52,20,932,0.008370455525219141
prefill,__all__,4,53,53,930,0.008352493174306653
prefill,__all__,4,54,3,915,0.008217775542462998
prefill,__all__,4,55,18,892,0.008011208506969392
