phase,domain,layer_id,window_size,hotset_size,n_windows,mean_jaccard,min_jaccard,mean_static_coverage,mean_lagged_coverage,mean_oracle_coverage,mean_lagged_oracle_ratio
prefill,__all__,0,256,8,54,0.3068038879359634,0.14285714285714285,0.23594118514150944,0.21572818396226415,0.2807432930424528,0.771413593710023
prefill,__all__,0,512,8,27,0.3026563180409334,0.14285714285714285,0.23679762620192307,0.21015812800480768,0.26109900841346156,0.808818271362103
prefill,__all__,1,256,8,54,0.27786846277412314,0.06666666666666667,0.23660451061320756,0.20474646226415094,0.2796930277122642,0.737650694851253
prefill,__all__,1,512,8,27,0.3870676332214794,0.06666666666666667,0.2372107872596154,0.2104210486778846,0.26034780649038464,0.8103158548392742
prefill,__all__,2,256,8,54,0.24666360892775985,0.0,0.2282208136792453,0.19088111733490565,0.30249484080188677,0.6360943747475571
prefill,__all__,2,512,8,27,0.31806654883577956,0.06666666666666667,0.23011192908653846,0.19697453425480768,0.2699538010817308,0.7284978378159969
prefill,__all__,3,256,8,54,0.2677088111050375,0.0,0.23699145047169812,0.2014666863207547,0.30142614976415094,0.6736137523481219
prefill,__all__,3,512,8,27,0.2751120674197597,0.0,0.23890099158653846,0.1924767127403846,0.27438589242788464,0.7123659655677517
prefill,__all__,4,256,8,54,0.2668505498694178,0.0,0.26345997936320753,0.2162993808962264,0.34285635318396224,0.6355973023752102
prefill,__all__,4,512,8,27,0.26759394451702145,0.06666666666666667,0.26465782752403844,0.2116417518028846,0.30834021935096156,0.7009076940262879
prefill,__all__,5,256,8,54,0.22269470571357364,0.0,0.26000515919811323,0.2123562794811321,0.35161777712264153,0.6066036890325431
prefill,__all__,5,512,8,27,0.23269550961858654,0.06666666666666667,0.2630051832932692,0.205322265625,0.31094125600961536,0.6685970847748278
prefill,__all__,6,256,8,54,0.316892750855015,0.06666666666666667,0.29263708726415094,0.24696897110849056,0.3760779038915094,0.6561444480799222
prefill,__all__,6,512,8,27,0.34115798731183344,0.14285714285714285,0.29573880709134615,0.23307917668269232,0.33913949819711536,0.6957968558093661
prefill,__all__,7,256,8,54,0.24081118043382194,0.0,0.26019862912735847,0.21699955778301888,0.33854473761792453,0.6430224422696852
prefill,__all__,7,512,8,27,0.27841389379850917,0.06666666666666667,0.2619065504807692,0.21581092247596154,0.3030818058894231,0.719986660583928
prefill,__all__,8,256,8,54,0.22901919883051958,0.0,0.25984854068396224,0.20608232606132076,0.326549602004717,0.6315462580780159
prefill,__all__,8,512,8,27,0.28086272701657317,0.06666666666666667,0.2622633713942308,0.21712552584134615,0.29224571814903844,0.7484619158988383
prefill,__all__,9,256,8,54,0.24856736554849762,0.0,0.24742961379716982,0.20997936320754718,0.30903596698113206,0.6765952860405832
prefill,__all__,9,512,8,27,0.3073900458515843,0.14285714285714285,0.24968073918269232,0.21851524939903846,0.28146597055288464,0.777887111539095
prefill,__all__,10,256,8,54,0.27747849634642086,0.0,0.22896705483490565,0.1992832399764151,0.29048127948113206,0.6915490164627222
prefill,__all__,10,512,8,27,0.2771211694288617,0.0,0.2306847205528846,0.19249549278846154,0.2650146484375,0.7350373895194066
prefill,__all__,11,256,8,54,0.31249421438100683,0.0,0.27475493808962265,0.23258770636792453,0.34391583136792453,0.6777923140917935
prefill,__all__,11,512,8,27,0.4022054868208714,0.0,0.2778132512019231,0.23170823317307693,0.3133544921875,0.745141032166878
prefill,__all__,12,256,8,54,0.273291488385828,0.0,0.25393388856132076,0.21603220813679244,0.33669295400943394,0.6480987413619551
prefill,__all__,12,512,8,27,0.27142344834652526,0.0,0.2566387469951923,0.21132249098557693,0.3035137469951923,0.705809141441049
