phase,domain,layer_id,tokens_per_half,split_half_jensen_shannon_divergence,split_half_hotset_jaccard
prefill,code,0,2213,0.004110590974419859,0.7777777777777778
prefill,conversation,0,951,0.015183291603290195,0.3333333333333333
prefill,general,0,2783,0.0026990877830863087,0.7777777777777778
prefill,math,0,1011,0.001894326389419651,0.7777777777777778
prefill,code,1,2213,0.0030922283371113872,0.7777777777777778
prefill,conversation,1,951,0.01306861359824514,0.23076923076923078
prefill,general,1,2783,0.0019919950860643404,0.7777777777777778
prefill,math,1,1011,0.002976086046528014,0.6
prefill,code,2,2213,0.0028088893145858853,0.7777777777777778
prefill,conversation,2,951,0.016826170940704318,0.45454545454545453
prefill,general,2,2783,0.0026444654762354763,0.6
prefill,math,2,1011,0.003418099000434484,0.6
prefill,code,3,2213,0.0033747327404818114,0.7777777777777778
prefill,conversation,3,951,0.020109003379326647,0.23076923076923078
prefill,general,3,2783,0.002886030705187941,0.45454545454545453
prefill,math,3,1011,0.003629922311946237,0.45454545454545453
prefill,code,4,2213,0.003506703996735523,0.7777777777777778
prefill,conversation,4,951,0.026922425514033316,0.23076923076923078
prefill,general,4,2783,0.003976411703498009,0.7777777777777778
prefill,math,4,1011,0.003806096845114761,1.0
prefill,code,5,2213,0.004992307428646585,0.7777777777777778
prefill,conversation,5,951,0.028604380962719944,0.3333333333333333
prefill,general,5,2783,0.004979193959822269,1.0
prefill,math,5,1011,0.006168247062344262,0.7777777777777778
prefill,code,6,2213,0.002875628712490824,1.0
prefill,conversation,6,951,0.038049014227871616,0.23076923076923078
prefill,general,6,2783,0.005298712075776281,0.7777777777777778
prefill,math,6,1011,0.00630767693890402,0.7777777777777778
prefill,code,7,2213,0.00369274202097712,1.0
prefill,conversation,7,951,0.028430920983463025,0.23076923076923078
prefill,general,7,2783,0.004367086898096086,0.7777777777777778
prefill,math,7,1011,0.004513154763754928,0.7777777777777778
prefill,code,8,2213,0.0030876047252543885,1.0
prefill,conversation,8,951,0.023117399815806756,0.3333333333333333
prefill,general,8,2783,0.0028155023467619834,0.6
prefill,math,8,1011,0.002686953456054998,0.7777777777777778
prefill,code,9,2213,0.0031406559205358958,0.7777777777777778
prefill,conversation,9,951,0.01808353285276519,0.23076923076923078
prefill,general,9,2783,0.0028925010108848425,1.0
prefill,math,9,1011,0.0015726312124232952,0.7777777777777778
prefill,code,10,2213,0.0031270639984589234,0.7777777777777778
prefill,conversation,10,951,0.019594604069897836,0.14285714285714285
prefill,general,10,2783,0.004064800517927388,0.7777777777777778
prefill,math,10,1011,0.0029090617502252327,0.6
prefill,code,11,2213,0.004217052973784099,0.7777777777777778
prefill,conversation,11,951,0.019093995348443214,0.23076923076923078
prefill,general,11,2783,0.004302599583914922,0.6
prefill,math,11,1011,0.0033887733355484955,0.7777777777777778
prefill,code,12,2213,0.0035758047057421823,0.7777777777777778
prefill,conversation,12,951,0.019433639460114952,0.45454545454545453
prefill,general,12,2783,0.006425395845673212,0.6
prefill,math,12,1011,0.0021632686827452044,0.7777777777777778
prefill,code,13,2213,0.003990498125736555,1.0
prefill,conversation,13,951,0.018965866330036017,0.14285714285714285
prefill,general,13,2783,0.0047836720267335,0.7777777777777778
prefill,math,13,1011,0.0030795115056373645,0.7777777777777778
prefill,code,14,2213,0.00318270567824491,0.6
prefill,conversation,14,951,0.02601435232063622,0.06666666666666667
prefill,general,14,2783,0.0034118949334063535,0.6
prefill,math,14,1011,0.005299304272327398,0.7777777777777778
prefill,code,15,2213,0.004263799397255536,1.0
prefill,conversation,15,951,0.02589612908482873,0.23076923076923078
prefill,general,15,2783,0.0033153365393492054,1.0
prefill,math,15,1011,0.0035821247831336616,0.7777777777777778
