phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,0,1,1,4.066015565858883,3.938468911594467,0.1275466542644157,0.03136895375792135,668672
prefill,0,2,2,4.068174187814064,3.960404899814464,0.10776928799959995,0.026490824390562096,668672
prefill,0,3,3,4.047117043599018,3.9177807540170937,0.1293362895819241,0.03195763507420285,668672
prefill,0,4,4,4.014963509857802,3.894963009613813,0.120000500243989,0.02988831653123519,668672
prefill,0,5,5,4.017018231274217,3.8971573119788125,0.11986091929540432,0.029838281131570537,668672
prefill,0,6,6,3.9674837577128637,3.8442204854661144,0.12326327224674927,0.031068374761994456,668672
prefill,0,7,7,3.99440676744784,3.8695258790738443,0.1248808883739958,0.03126393871342912,668672
prefill,0,8,8,4.005109923265591,3.865464685527963,0.13964523773762805,0.034866767807403255,668672
prefill,0,9,9,4.0325797053318215,3.8897854595344925,0.14279424579732902,0.0354101483991819,668672
prefill,0,10,10,4.064971125170451,3.927125270051914,0.13784585511853686,0.03391066034023963,668672
prefill,0,11,11,4.011780804347814,3.8864450361036105,0.12533576824420356,0.03124192829986361,668672
prefill,0,12,12,4.0250562526870866,3.9052827559016463,0.11977349678544025,0.029756974627492643,668672
prefill,0,13,13,4.030283811186793,3.9290862490637677,0.10119756212302544,0.0251092892868073,668672
prefill,0,14,14,4.050408322261869,3.9392551027179965,0.11115321954387225,0.02744247263490733,668672
prefill,0,15,15,4.050924298537109,3.9539008123506223,0.09702348618648671,0.023950950211911966,668672
prefill,1,2,1,4.068174187814064,3.9112202924504116,0.15695389536365223,0.038580918150898466,668672
prefill,1,3,2,4.047117043599018,3.8753743684302413,0.1717426751687765,0.042435806357616304,668672
prefill,1,4,3,4.014963509857802,3.851258638347142,0.16370487151066015,0.04077368850519344,668672
prefill,1,5,4,4.017018231274217,3.8559373123212906,0.1610809189529263,0.040099623571245455,668672
prefill,1,6,5,3.9674837577128637,3.8025539964627892,0.1649297612500744,0.04157036835486669,668672
prefill,1,7,6,3.99440676744784,3.8203435467997893,0.1740632206480508,0.04357673887060471,668672
prefill,1,8,7,4.005109923265591,3.8155569301506054,0.18955299311498575,0.04732778793757365,668672
prefill,1,9,8,4.0325797053318215,3.8298752567649035,0.20270444856691805,0.05026669362515142,668672
prefill,1,10,9,4.064971125170451,3.85630404283154,0.20866708233891096,0.0513329802140135,668672
prefill,1,11,10,4.011780804347814,3.829094883699234,0.18268592064858025,0.04553736346975694,668672
prefill,1,12,11,4.0250562526870866,3.853193570210014,0.1718626824770726,0.04269820635732453,668672
prefill,1,13,12,4.030283811186793,3.888498495632346,0.14178531555444707,0.03517998289869708,668672
prefill,1,14,13,4.050408322261869,3.8942820005608207,0.156126321701048,0.03854582286011659,668672
prefill,1,15,14,4.050924298537109,3.918533131931737,0.13239116660537187,0.03268171825703622,668672
