phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
prefill,__domain_balanced__,1,8,domain_oracle,60,0.29236756791897567,0.00012907389480477574,1.0,3.983955720937689,0.0
prefill,__domain_balanced__,1,8,previous_window,60,0.2843590938251282,4.84027105517909e-05,1.0,4.041449324733657,0.002017703049803729
prefill,__domain_balanced__,1,8,static,60,0.2261212259300516,8.067118425298483e-05,1.0,5.513486819912016,0.0
prefill,__domain_balanced__,1,8,transition,60,0.5685255180771811,0.010988959809538467,1.0,1.8484211427951265,0.5156011967904972
prefill,__domain_balanced__,1,16,domain_oracle,60,0.47028647681438956,0.036090863032744204,2.0,4.563423372061022,0.0
prefill,__domain_balanced__,1,16,previous_window,60,0.45649127612278634,0.025290153156030996,2.0,4.65503793802441,0.001553611881399306
prefill,__domain_balanced__,1,16,static,60,0.3843254456004893,0.008605127758682225,2.0,5.696549920579582,0.0
prefill,__domain_balanced__,1,16,transition,60,0.7777260297689518,0.23264340342268752,2.0,2.625463334601979,0.41953534824233324
prefill,__domain_balanced__,1,32,domain_oracle,60,0.7270833379658845,0.19097942738013235,4.0,5.6039736187936535,0.0
prefill,__domain_balanced__,1,32,previous_window,60,0.7118801247364651,0.15895202221680463,4.0,5.7042399334055025,0.0010001477092812766
prefill,__domain_balanced__,1,32,static,60,0.6601486310598833,0.10251832124722758,4.0,6.158113890428811,0.0
prefill,__domain_balanced__,1,32,transition,60,0.9281830109118111,0.6304435769115586,4.0,4.327654269901936,0.26893946878795105
prefill,__domain_balanced__,2,8,domain_oracle,56,0.2946792625875892,0.00013829345871940258,1.0,3.9781703500488748,0.0
prefill,__domain_balanced__,2,8,previous_window,56,0.2869775595900101,5.1860047019775966e-05,1.0,4.0252318690856415,0.0020010718388846545
prefill,__domain_balanced__,2,8,static,56,0.22698082515894066,8.64334116996266e-05,1.0,5.5396352583538695,0.0
prefill,__domain_balanced__,2,8,transition,56,0.5522100275447013,0.009255904681753685,1.0,1.9392032773373649,0.5029112574438094
prefill,__domain_balanced__,2,16,domain_oracle,56,0.4740149733651023,0.0380810346212399,2.0,4.54046447494716,0.0
prefill,__domain_balanced__,2,16,previous_window,56,0.4604543080043054,0.027050114540591454,2.0,4.625436893699055,0.001537715143170869
prefill,__domain_balanced__,2,16,static,56,0.38558597837668623,0.00920787497954048,2.0,5.704250036973707,0.0
prefill,__domain_balanced__,2,16,transition,56,0.7615316721749907,0.22220028732249178,2.0,2.7103943489041598,0.40747734755218873
prefill,__domain_balanced__,2,32,domain_oracle,56,0.7303421456904253,0.19957990552259136,4.0,5.583798645948937,0.0
