delta,mi355x_selection_gain,nvidia_selection_gain,selection_gain_difference,mi355x_complete_gain,nvidia_complete_gain,complete_gain_difference,mi355x_gate_pass,nvidia_gate_pass
1,0.3934005841684626,0.3931652109472816,0.00023537322118100112,0.22403827566400528,0.22378311623249916,0.0002551594315061134,True,True
2,0.37594569379830445,0.37569578532471287,0.00024990847359157575,0.21299241234295133,0.21258327210851286,0.0004091402344384709,True,True
3,0.36143855747855075,0.3611889020996084,0.00024965537894233725,0.1953145182144276,0.19420182095291946,0.0011126972615081443,True,True
4,0.3469415786766212,0.3466802538598612,0.0002613248167600002,0.18324930428177852,0.18160433216855723,0.001644972113221288,True,True
5,0.336012747195706,0.335203750278472,0.0008089969172340172,0.17531064451425002,0.17403458836343383,0.0012760561508161905,True,True
6,0.32184519494131736,0.32232203696139494,-0.0004768420200775836,0.1680452911690993,0.16696579431986094,0.0010794968492383594,True,True
7,0.31530601245237244,0.314875643919094,0.0004303685332784357,0.16098152990785958,0.1596496345305748,0.0013318953772847864,True,True
8,0.30621868869518615,0.30595545676926467,0.00026323192592148104,0.14289122919805972,0.1403422888831142,0.0025489403149455137,True,True
9,0.28715081787588365,0.2869644380221194,0.00018637985376424027,0.1302967240737178,0.12871125988376225,0.00158546418995556,True,True
10,0.25825892882203866,0.2579538213447864,0.0003051074772522644,0.10539133181656236,0.10464367757162114,0.0007476542449412205,True,True
11,0.23703246233542932,0.23654141828292893,0.000491044052500389,0.10016510492280584,0.09992919911673186,0.00023590580607397993,True,True
12,0.21429987492095087,0.2136011431279599,0.0006987317929909587,0.08835937223852817,0.0864912072174681,0.0018681650210600753,True,True
13,0.18860244197233142,0.18892642771173848,-0.0003239857394070622,0.07504900547546843,0.07468439739945894,0.00036460807600949274,True,True
14,0.16999955604334077,0.16946028857236325,0.0005392674709775169,0.06546366717006057,0.06525032289863619,0.0002133442714243733,True,True
15,0.12507814723743774,0.12558320728544348,-0.0005050600480057399,0.04657302386079213,0.046129893404948205,0.000443130455843925,True,True
