phase,layer_id,left_domain,right_domain,jensen_shannon_divergence,hotset_jaccard
prefill,0,code,conversation,0.06075362067447253,0.23076923076923078
prefill,0,code,general,0.09493724841303847,0.14285714285714285
prefill,0,code,math,0.08880897358109258,0.23076923076923078
prefill,0,conversation,general,0.03021503638227628,0.3333333333333333
prefill,0,conversation,math,0.03314236869076237,0.3333333333333333
prefill,0,general,math,0.041173233175341856,0.23076923076923078
prefill,1,code,conversation,0.08928193563082826,0.14285714285714285
prefill,1,code,general,0.09325150836437546,0.14285714285714285
prefill,1,code,math,0.10927411057034293,0.06666666666666667
prefill,1,conversation,general,0.037469756332943804,0.14285714285714285
prefill,1,conversation,math,0.037752310136720264,0.0
prefill,1,general,math,0.028953111076194922,0.23076923076923078
prefill,2,code,conversation,0.13280190529600744,0.06666666666666667
prefill,2,code,general,0.16216276023437892,0.0
prefill,2,code,math,0.1373991692722144,0.06666666666666667
prefill,2,conversation,general,0.07113379375208054,0.14285714285714285
prefill,2,conversation,math,0.04494763267614155,0.23076923076923078
prefill,2,general,math,0.0782189275994234,0.06666666666666667
prefill,3,code,conversation,0.12136841607548648,0.0
prefill,3,code,general,0.1563830281184608,0.0
prefill,3,code,math,0.12524479880289194,0.0
prefill,3,conversation,general,0.09372888910853046,0.06666666666666667
prefill,3,conversation,math,0.05994435949394579,0.23076923076923078
prefill,3,general,math,0.06805744444878649,0.14285714285714285
prefill,4,code,conversation,0.17266538872806178,0.0
prefill,4,code,general,0.237615680303252,0.0
prefill,4,code,math,0.17225730541385587,0.06666666666666667
prefill,4,conversation,general,0.12524540922063288,0.06666666666666667
prefill,4,conversation,math,0.08580848647683811,0.06666666666666667
prefill,4,general,math,0.11585908800546582,0.06666666666666667
prefill,5,code,conversation,0.2024189982965595,0.06666666666666667
prefill,5,code,general,0.26968405953322117,0.0
prefill,5,code,math,0.19918699689712055,0.14285714285714285
prefill,5,conversation,general,0.13031605599039445,0.0
prefill,5,conversation,math,0.12853987286287338,0.0
prefill,5,general,math,0.1219316262201769,0.0
prefill,6,code,conversation,0.20200490837730056,0.14285714285714285
prefill,6,code,general,0.26238622578808124,0.06666666666666667
prefill,6,code,math,0.17014352252173592,0.3333333333333333
prefill,6,conversation,general,0.16890564074370273,0.06666666666666667
prefill,6,conversation,math,0.16241305466446823,0.14285714285714285
prefill,6,general,math,0.13509001720683886,0.14285714285714285
prefill,7,code,conversation,0.20980504253607932,0.06666666666666667
prefill,7,code,general,0.23106653504891217,0.06666666666666667
prefill,7,code,math,0.15178001569151578,0.14285714285714285
prefill,7,conversation,general,0.14877718390498573,0.06666666666666667
prefill,7,conversation,math,0.12933702265603478,0.06666666666666667
prefill,7,general,math,0.10924940596171703,0.14285714285714285
prefill,8,code,conversation,0.15574037483609054,0.0
prefill,8,code,general,0.17197152905194688,0.0
prefill,8,code,math,0.10834903774993221,0.06666666666666667
prefill,8,conversation,general,0.11197232955650485,0.06666666666666667
prefill,8,conversation,math,0.10833739189348429,0.06666666666666667
prefill,8,general,math,0.09332291366913906,0.06666666666666667
prefill,9,code,conversation,0.1299598661225583,0.06666666666666667
prefill,9,code,general,0.18655030129824457,0.0
prefill,9,code,math,0.12390979931110377,0.06666666666666667
prefill,9,conversation,general,0.08476852048556457,0.14285714285714285
prefill,9,conversation,math,0.05703274198683753,0.23076923076923078
prefill,9,general,math,0.07891185766925607,0.06666666666666667
prefill,10,code,conversation,0.12878322226716185,0.0
prefill,10,code,general,0.1476410716211341,0.06666666666666667
prefill,10,code,math,0.10454276702949744,0.06666666666666667
prefill,10,conversation,general,0.09136178882401377,0.14285714285714285
prefill,10,conversation,math,0.056837031438735086,0.3333333333333333
prefill,10,general,math,0.07325328599528037,0.14285714285714285
prefill,11,code,conversation,0.16057136484317922,0.0
prefill,11,code,general,0.224242789678813,0.0
prefill,11,code,math,0.17616073400513632,0.06666666666666667
prefill,11,conversation,general,0.09875945393707394,0.14285714285714285
prefill,11,conversation,math,0.05574104988580765,0.3333333333333333
prefill,11,general,math,0.07854544345564696,0.3333333333333333
prefill,12,code,conversation,0.1688957376266428,0.06666666666666667
prefill,12,code,general,0.23004921350298232,0.0
prefill,12,code,math,0.1866776796638374,0.06666666666666667
prefill,12,conversation,general,0.08379105045727117,0.23076923076923078
prefill,12,conversation,math,0.07262921489964867,0.23076923076923078
prefill,12,general,math,0.0941233824179111,0.23076923076923078
prefill,13,code,conversation,0.20582355132669816,0.14285714285714285
prefill,13,code,general,0.27323233409235215,0.0
prefill,13,code,math,0.21440144500292485,0.06666666666666667
prefill,13,conversation,general,0.11515573943520739,0.06666666666666667
prefill,13,conversation,math,0.07088665635092914,0.14285714285714285
prefill,13,general,math,0.11301477614097258,0.14285714285714285
prefill,14,code,conversation,0.18840848173091795,0.06666666666666667
prefill,14,code,general,0.2694511845474879,0.0
prefill,14,code,math,0.21124888359982652,0.0
prefill,14,conversation,general,0.08893807456511547,0.06666666666666667
prefill,14,conversation,math,0.07681809313982212,0.0
prefill,14,general,math,0.0734933429332951,0.06666666666666667
prefill,15,code,conversation,0.20525552180854256,0.0
prefill,15,code,general,0.2496214717485708,0.0
prefill,15,code,math,0.20679131471664597,0.0
prefill,15,conversation,general,0.09251833527823877,0.14285714285714285
prefill,15,conversation,math,0.07895182981443405,0.14285714285714285
prefill,15,general,math,0.08989092963016962,0.23076923076923078
