phase,domain,layer_id,num_experts,n_tokens,n_selections,entropy,normalized_entropy,gini,max_to_median,utilization_variance,top_1_coverage,top_2_coverage,top_4_coverage,top_8_coverage,top_16_coverage
prefill,__all__,0,64,1672,13376,4.0657304421314535,0.9776015244090569,0.20076069078947367,4.594736842105263,11454.46875,0.06526614832535885,0.1066836124401914,0.15348385167464115,0.23287978468899523,0.37836423444976075
prefill,__all__,1,64,1672,13376,4.091513413716641,0.9838010186166121,0.20449872906698566,2.2,5925.46875,0.033717105263157895,0.06332236842105263,0.11632775119617225,0.2090311004784689,0.37088815789473684
prefill,__all__,2,64,1672,13376,4.0967419427735035,0.9850582141068586,0.19368878962320574,2.071090047393365,5258.875,0.032670454545454544,0.059061004784688995,0.10892643540669857,0.19856459330143542,0.3592254784688995
prefill,__all__,3,64,1672,13376,4.066663109503303,0.9778257835077511,0.2398909427332536,2.1145584725536994,7725.5625,0.03311901913875598,0.061079545454545456,0.11430921052631579,0.21269437799043062,0.3868122009569378
prefill,__all__,4,64,1672,13376,4.04915829603043,0.9736167655762511,0.2604968787380383,2.7195767195767195,9824.8125,0.03842703349282297,0.07505980861244019,0.13561602870813397,0.23773923444976078,0.4111094497607656
prefill,__all__,5,64,1672,13376,4.049067615089274,0.9735949614188997,0.2605436042165072,2.8672086720867207,9455.25,0.039548444976076555,0.07027511961722488,0.1261214114832536,0.22383373205741627,0.39974581339712917
prefill,__all__,6,64,1672,13376,4.008052652959887,0.9637329476745139,0.2930925725179426,4.020942408376963,13845,0.05741626794258373,0.08821770334928229,0.14428827751196172,0.24686004784688995,0.42456638755980863
prefill,__all__,7,64,1672,13376,4.045975602774275,0.9728514896133637,0.2650432677930622,2.6889460154241647,9928.5625,0.03909988038277512,0.07132177033492823,0.1320275119617225,0.23714114832535885,0.40998803827751196
prefill,__all__,8,64,1672,13376,4.038050312343217,0.9709458600796149,0.2723207610645933,2.5524296675191818,10166.4375,0.03730562200956938,0.07094796650717704,0.12492523923444976,0.22480562200956938,0.41013755980861244
prefill,__all__,9,64,1672,13376,4.066632668567899,0.9778184640099934,0.23089628812799043,2.8943488943488944,8193.4375,0.04403409090909091,0.07304126794258373,0.12552332535885166,0.22211423444976078,0.3894288277511962
prefill,__all__,10,64,1672,13376,4.099209017158893,0.9856514201037428,0.19451583059210525,1.9238578680203047,5258.65625,0.02833433014354067,0.05577153110047847,0.10974880382775119,0.2061901913875598,0.3670005980861244
prefill,__all__,11,64,1672,13376,4.052878234581759,0.9745112217263202,0.25917922024521534,2.4893617021276597,9543.875,0.034988038277511964,0.06795753588516747,0.1326255980861244,0.23886064593301434,0.4111094497607656
prefill,__all__,12,64,1672,13376,4.061026809444586,0.976470539817139,0.24617318331339713,2.558904109589041,8905.09375,0.03491327751196172,0.06900418660287082,0.13419557416267944,0.2372159090909091,0.4063995215311005
prefill,__all__,13,64,1672,13376,4.071246105404045,0.9789277610841537,0.23749859823564592,2.1515151515151514,7670.59375,0.03184808612440192,0.06085526315789474,0.11513157894736842,0.21919856459330145,0.39869916267942584
prefill,__all__,14,64,1672,13376,4.0821188914043605,0.9815421134913708,0.21664968974282298,1.7829099307159353,6334.40625,0.028857655502392346,0.05577153110047847,0.10683313397129186,0.20439593301435408,0.37335526315789475
prefill,__all__,15,64,1672,13376,4.056306461286669,0.9753355360040229,0.25295772278708134,2.413625304136253,8973.03125,0.03708133971291866,0.07020035885167464,0.12724282296650719,0.22794557416267944,0.4024372009569378
prefill,code,0,64,338,2704,3.895742940964719,0.936728170251331,0.3704118897928994,7.420289855072464,1304.15625,0.09467455621301775,0.14755917159763313,0.21671597633136094,0.3224852071005917,0.49038461538461536
prefill,code,1,64,338,2704,3.8601905662273848,0.9281796311304347,0.38436113165680474,8.0,1669,0.10059171597633136,0.16715976331360946,0.2629437869822485,0.3605769230769231,0.5114644970414202
prefill,code,2,64,338,2704,3.6725328345348314,0.8830574846475483,0.5100429918639053,10.184615384615384,2605.09375,0.1224112426035503,0.20303254437869822,0.29031065088757396,0.41531065088757396,0.6042899408284024
prefill,code,3,64,338,2704,3.70642269440241,0.8912062734421112,0.49828957100591714,7.1940298507462686,2081.875,0.08912721893491124,0.1752958579881657,0.27255917159763315,0.39497041420118345,0.584689349112426
prefill,code,4,64,338,2704,3.4741562603523692,0.835358001347285,0.6062777366863905,11.25,3620.9375,0.09985207100591716,0.19489644970414202,0.3672337278106509,0.5118343195266272,0.6945266272189349
prefill,code,5,64,338,2704,3.4237217998624176,0.8232310770074911,0.620388775887574,13.791666666666666,4126.75,0.1224112426035503,0.23261834319526628,0.3753698224852071,0.5022189349112426,0.7030325443786982
prefill,code,6,64,338,2704,3.377700757316785,0.8121653553646371,0.647524500739645,13.416666666666666,3817.4375,0.11908284023668639,0.22300295857988164,0.34726331360946744,0.5173816568047337,0.7237426035502958
prefill,code,7,64,338,2704,3.4749475961027825,0.8355482773744182,0.6102533284023669,14.818181818181818,3244.375,0.1205621301775148,0.20894970414201183,0.32211538461538464,0.45710059171597633,0.6815828402366864
prefill,code,8,64,338,2704,3.6094444651030364,0.867887938361378,0.5340814534023669,10.87719298245614,2930.53125,0.11464497041420119,0.22485207100591717,0.29548816568047337,0.41531065088757396,0.6135355029585798
prefill,code,9,64,338,2704,3.637322814766993,0.8745912644961045,0.5270201553254438,12.307692307692308,2906.59375,0.11834319526627218,0.21597633136094674,0.3187869822485207,0.4430473372781065,0.6227810650887574
prefill,code,10,64,338,2704,3.7744627250687364,0.9075664425794849,0.4448502218934911,10.258064516129032,2004.625,0.11760355029585799,0.16605029585798817,0.2488905325443787,0.3768491124260355,0.5613905325443787
prefill,code,11,64,338,2704,3.526881638739724,0.8480357750020235,0.5723927514792899,13.061224489795919,3609.34375,0.11834319526627218,0.22189349112426035,0.3757396449704142,0.4914940828402367,0.658284023668639
prefill,code,12,64,338,2704,3.5344081803745544,0.8498455257172924,0.5781712278106509,11.555555555555555,3147.59375,0.11538461538461539,0.20525147928994084,0.33321005917159763,0.46671597633136097,0.6675295857988166
prefill,code,13,64,338,2704,3.418315415065318,0.8219311162515055,0.6285595414201184,13.86046511627907,4007.5,0.11020710059171597,0.21634615384615385,0.35909763313609466,0.5617603550295858,0.7289201183431953
prefill,code,14,64,338,2704,3.4851907191404785,0.8380112278427014,0.5958995931952663,10.428571428571429,3568.21875,0.10798816568047337,0.20857988165680474,0.3631656804733728,0.496301775147929,0.6738165680473372
prefill,code,15,64,338,2704,3.480871919779167,0.8369727761058418,0.5992279955621301,12.0,3599.875,0.10428994082840237,0.20673076923076922,0.3613165680473373,0.5033284023668639,0.6852810650887574
prefill,conversation,0,64,224,1792,3.9922392649006055,0.9599306315857175,0.27181570870535715,6.0,378.21875,0.08705357142857142,0.12611607142857142,0.17912946428571427,0.26339285714285715,0.41685267857142855
prefill,conversation,1,64,224,1792,4.056730619257911,0.9754375244376337,0.24490792410714285,2.135593220338983,149.09375,0.03515625,0.06473214285714286,0.11941964285714286,0.21037946428571427,0.38002232142857145
prefill,conversation,2,64,224,1792,3.9963877819583136,0.9609281390834172,0.31590053013392855,2.549019607843137,247,0.03627232142857143,0.07142857142857142,0.13671875,0.25669642857142855,0.4453125
prefill,conversation,3,64,224,1792,3.882009863680635,0.9334260631690156,0.4036865234375,4.75,460.65625,0.06361607142857142,0.11495535714285714,0.18638392857142858,0.30301339285714285,0.50390625
prefill,conversation,4,64,224,1792,3.9276883657073016,0.9444094212272003,0.36155482700892855,3.28,321.90625,0.04575892857142857,0.08426339285714286,0.14787946428571427,0.2578125,0.4614955357142857
prefill,conversation,5,64,224,1792,3.911471155611026,0.9405100064633751,0.38405064174107145,4.6,415.0625,0.06417410714285714,0.10658482142857142,0.17522321428571427,0.2857142857142857,0.4877232142857143
prefill,conversation,6,64,224,1792,3.7939445748864404,0.9122508372660424,0.4508579799107143,5.708333333333333,677.4375,0.07645089285714286,0.14285714285714285,0.24051339285714285,0.36104910714285715,0.5362723214285714
prefill,conversation,7,64,224,1792,3.8867658078049985,0.934569626002843,0.395751953125,3.3207547169811322,402.6875,0.049107142857142856,0.09821428571428571,0.16964285714285715,0.29185267857142855,0.48549107142857145
prefill,conversation,8,64,224,1792,3.969348890929092,0.9544266600835847,0.32706124441964285,4.333333333333333,319.5,0.06529017857142858,0.09821428571428571,0.15904017857142858,0.26171875,0.44029017857142855
prefill,conversation,9,64,224,1792,4.014177949233388,0.9652057701008064,0.28775460379464285,1.8928571428571428,196.65625,0.029575892857142856,0.05747767857142857,0.11216517857142858,0.21595982142857142,0.4056919642857143
prefill,conversation,10,64,224,1792,3.9964254292555754,0.9609371913449277,0.3105991908482143,2.814814814814815,240.3125,0.04241071428571429,0.078125,0.13839285714285715,0.24832589285714285,0.4302455357142857
prefill,conversation,11,64,224,1792,3.9945286968067117,0.9604811235952828,0.30787876674107145,2.135593220338983,229.125,0.03515625,0.06640625,0.12667410714285715,0.23214285714285715,0.41908482142857145
prefill,conversation,12,64,224,1792,3.96048682993839,0.9522957848430278,0.33560616629464285,2.689655172413793,283.5,0.04352678571428571,0.08426339285714286,0.14620535714285715,0.2578125,0.4458705357142857
prefill,conversation,13,64,224,1792,3.9906248981022836,0.9595424584233649,0.30984933035714285,2.1016949152542375,230.3125,0.03459821428571429,0.06808035714285714,0.12834821428571427,0.23604910714285715,0.42354910714285715
prefill,conversation,14,64,224,1792,3.9888788499856425,0.9591226225968598,0.3101109095982143,2.2181818181818183,230.25,0.03404017857142857,0.06417410714285714,0.12332589285714286,0.23493303571428573,0.42745535714285715
prefill,conversation,15,64,224,1792,3.9571835567946927,0.9515015155458422,0.33912876674107145,5.12,363.03125,0.07142857142857142,0.10546875,0.16852678571428573,0.27566964285714285,0.46261160714285715
prefill,general,0,64,749,5992,4.036028510920982,0.9704597195986948,0.26124415887850466,3.4457831325301207,2414.953125,0.04773030707610147,0.09529372496662217,0.15787716955941256,0.251502002670227,0.4140520694259012
prefill,general,1,64,749,5992,4.040126873151945,0.9714451674097577,0.261562291388518,4.427672955974843,2447.171875,0.05874499332443257,0.08961949265687584,0.1438584779706275,0.24449265687583444,0.4175567423230975
prefill,general,2,64,749,5992,4.016121082923901,0.9656729949906543,0.29197784546061417,3.3986928104575163,2805.546875,0.043391188251001335,0.08678237650200267,0.15987983978638184,0.27753671562082777,0.4484312416555407
prefill,general,3,64,749,5992,4.018162412504445,0.9661638310010995,0.29681763184245663,2.459016393442623,2515.015625,0.03755006675567423,0.07510013351134846,0.13901869158878505,0.2583444592790387,0.436415220293725
prefill,general,4,64,749,5992,3.9134332151118,0.9409817820486577,0.3828281458611482,5.346666666666667,4859.140625,0.06692256341789052,0.11214953271028037,0.18391188251001336,0.31224966622162886,0.5008344459279038
prefill,general,5,64,749,5992,3.891049382908306,0.9355996080959792,0.40071658044058744,4.945205479452055,4876.765625,0.06024699599465955,0.10080106809078772,0.17823765020026702,0.3097463284379172,0.5068424566088118
prefill,general,6,64,749,5992,3.837246075654472,0.9226626473362238,0.42417494158878505,4.7682926829268295,6007.171875,0.06525367156208278,0.12283044058744993,0.21011348464619492,0.337283044058745,0.5160213618157543
prefill,general,7,64,749,5992,3.8958307397892447,0.9367492814061209,0.3872089869826435,3.4186046511627906,4461.203125,0.04906542056074766,0.09295727636849133,0.1712283044058745,0.3074098798397864,0.4928237650200267
prefill,general,8,64,749,5992,3.914884450540364,0.941330730407983,0.37991280040053405,3.5121951219512195,4123.203125,0.04806408544726302,0.08861815754339118,0.16822429906542055,0.28371161548731644,0.4864819759679573
prefill,general,9,64,749,5992,3.961917569029971,0.9526398048750662,0.34022968124165553,3.593220338983051,3529.015625,0.053070761014686246,0.09796395193591455,0.16438584779706275,0.27520026702269695,0.4569425901201602
prefill,general,10,64,749,5992,3.985901833321231,0.9584068014004613,0.31653141688918557,4.407643312101911,3261.203125,0.05774365821094793,0.09495994659546061,0.16004672897196262,0.2711949265687583,0.45544058744993327
prefill,general,11,64,749,5992,3.9182188225118497,0.9421324773926066,0.37539636181575436,5.097560975609756,4974.390625,0.06975967957276369,0.12182910547396529,0.1947596795727637,0.3072429906542056,0.49382510013351133
prefill,general,12,64,749,5992,3.9408833078016836,0.9475821341479307,0.3471242907209613,5.547169811320755,4862.484375,0.07359813084112149,0.1340120160213618,0.19158878504672897,0.2922229639519359,0.4682910547396529
prefill,general,13,64,749,5992,3.888816404052133,0.9350626901756107,0.40032021862483314,5.0375,5382.296875,0.06725634178905207,0.1164886515353805,0.1999332443257677,0.3267690253671562,0.5136849132176236
prefill,general,14,64,749,5992,3.9326971764181593,0.9456137856227513,0.3720429322429907,3.0229885057471266,3963.765625,0.04389185580774366,0.087283044058745,0.1628838451268358,0.2902202937249666,0.48598130841121495
prefill,general,15,64,749,5992,3.897170400135171,0.9370714016290448,0.3945781875834446,3.6375,4778.859375,0.04856475300400534,0.09712950600801068,0.19058744993324434,0.31108144192256343,0.5016688918558078
prefill,math,0,64,361,2888,3.919062060192239,0.9423352331959046,0.33534236495844877,6.857142857142857,1418.859375,0.0997229916897507,0.1440443213296399,0.20602493074792244,0.29709141274238227,0.4587950138504155
