phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,0,1,6,873,0.06526614832535885
prefill,__all__,0,2,41,554,0.04141746411483253
prefill,__all__,0,3,58,338,0.02526913875598086
prefill,__all__,0,4,21,288,0.0215311004784689
prefill,__all__,0,5,19,271,0.020260167464114832
prefill,__all__,0,6,61,265,0.019811602870813398
prefill,__all__,0,7,22,265,0.019811602870813398
prefill,__all__,0,8,17,261,0.01951255980861244
prefill,__all__,0,9,25,259,0.01936303827751196
prefill,__all__,0,10,12,253,0.018914473684210526
prefill,__all__,0,11,49,250,0.01869019138755981
prefill,__all__,0,12,60,244,0.018241626794258375
prefill,__all__,0,13,53,241,0.018017344497607654
prefill,__all__,0,14,54,236,0.017643540669856458
prefill,__all__,0,15,46,233,0.01741925837320574
prefill,__all__,0,16,13,230,0.017194976076555023
prefill,__all__,0,17,59,228,0.017045454545454544
prefill,__all__,0,18,39,228,0.017045454545454544
prefill,__all__,0,19,7,227,0.016970693779904306
prefill,__all__,0,20,33,225,0.016821172248803827
prefill,__all__,0,21,55,215,0.016073564593301434
prefill,__all__,0,22,40,210,0.015699760765550238
prefill,__all__,0,23,29,210,0.015699760765550238
prefill,__all__,0,24,24,207,0.01547547846889952
prefill,__all__,0,25,26,205,0.015325956937799043
prefill,__all__,0,26,16,202,0.015101674641148326
prefill,__all__,0,27,5,201,0.015026913875598086
prefill,__all__,0,28,30,199,0.014877392344497607
prefill,__all__,0,29,42,198,0.014802631578947368
prefill,__all__,0,30,14,195,0.01457834928229665
prefill,__all__,0,31,44,194,0.01450358851674641
prefill,__all__,0,32,47,190,0.014204545454545454
prefill,__all__,0,33,31,190,0.014204545454545454
prefill,__all__,0,34,38,190,0.014204545454545454
prefill,__all__,0,35,62,187,0.013980263157894737
prefill,__all__,0,36,4,187,0.013980263157894737
prefill,__all__,0,37,20,186,0.013905502392344497
prefill,__all__,0,38,18,184,0.01375598086124402
prefill,__all__,0,39,48,183,0.01368122009569378
prefill,__all__,0,40,45,183,0.01368122009569378
prefill,__all__,0,41,0,180,0.013456937799043063
prefill,__all__,0,42,8,179,0.013382177033492823
prefill,__all__,0,43,43,176,0.013157894736842105
prefill,__all__,0,44,10,176,0.013157894736842105
prefill,__all__,0,45,51,173,0.012933612440191387
prefill,__all__,0,46,36,170,0.01270933014354067
prefill,__all__,0,47,27,169,0.01263456937799043
prefill,__all__,0,48,32,167,0.012485047846889951
prefill,__all__,0,49,37,163,0.012186004784688995
prefill,__all__,0,50,15,158,0.011812200956937798
prefill,__all__,0,51,50,157,0.01173744019138756
prefill,__all__,0,52,2,157,0.01173744019138756
prefill,__all__,0,53,57,152,0.011363636363636364
prefill,__all__,0,54,63,150,0.011214114832535885
prefill,__all__,0,55,1,148,0.011064593301435407
prefill,__all__,0,56,9,148,0.011064593301435407
prefill,__all__,0,57,28,137,0.010242224880382775
prefill,__all__,0,58,3,136,0.010167464114832535
prefill,__all__,0,59,35,123,0.009195574162679425
prefill,__all__,0,60,56,122,0.009120813397129187
prefill,__all__,0,61,52,108,0.008074162679425838
prefill,__all__,0,62,11,102,0.007625598086124402
prefill,__all__,0,63,34,86,0.006429425837320574
prefill,__all__,0,64,23,54,0.004037081339712919
prefill,__all__,1,1,5,451,0.033717105263157895
prefill,__all__,1,2,47,396,0.029605263157894735
prefill,__all__,1,3,11,366,0.02736244019138756
prefill,__all__,1,4,18,343,0.025642942583732058
prefill,__all__,1,5,17,334,0.024970095693779903
prefill,__all__,1,6,37,309,0.023101076555023924
prefill,__all__,1,7,25,301,0.02250299043062201
prefill,__all__,1,8,42,296,0.022129186602870814
prefill,__all__,1,9,40,287,0.02145633971291866
prefill,__all__,1,10,14,273,0.02040968899521531
prefill,__all__,1,11,59,273,0.02040968899521531
prefill,__all__,1,12,62,273,0.02040968899521531
prefill,__all__,1,13,32,271,0.020260167464114832
prefill,__all__,1,14,15,268,0.020035885167464115
prefill,__all__,1,15,29,260,0.019437799043062202
prefill,__all__,1,16,27,260,0.019437799043062202
prefill,__all__,1,17,31,251,0.018764952153110047
prefill,__all__,1,18,9,248,0.01854066985645933
prefill,__all__,1,19,23,244,0.018241626794258375
prefill,__all__,1,20,19,243,0.018166866028708133
prefill,__all__,1,21,45,239,0.01786782296650718
prefill,__all__,1,22,60,238,0.017793062200956937
prefill,__all__,1,23,35,238,0.017793062200956937
prefill,__all__,1,24,53,235,0.01756877990430622
