phase,domain,layer_id,tokens_per_half,split_half_jensen_shannon_divergence,split_half_hotset_jaccard
prefill,code,0,169,0.05900749142090124,0.23076923076923078
prefill,conversation,0,112,0.03807574859989052,0.14285714285714285
prefill,general,0,374,0.019032933650592568,0.45454545454545453
prefill,math,0,180,0.01655506676090426,0.3333333333333333
prefill,code,1,169,0.04558384230832302,0.45454545454545453
prefill,conversation,1,112,0.039204491810930574,0.14285714285714285
prefill,general,1,374,0.013812486838116826,0.3333333333333333
prefill,math,1,180,0.014967705315333972,0.23076923076923078
prefill,code,2,169,0.06093170527362561,0.3333333333333333
prefill,conversation,2,112,0.05532855766076937,0.14285714285714285
prefill,general,2,374,0.04950009997418314,0.23076923076923078
prefill,math,2,180,0.024675289828300688,0.45454545454545453
prefill,code,3,169,0.05913793285671276,0.45454545454545453
prefill,conversation,3,112,0.04494539231835535,0.23076923076923078
prefill,general,3,374,0.030300013117387663,0.3333333333333333
prefill,math,3,180,0.014209013113629505,0.3333333333333333
prefill,code,4,169,0.07737152627123131,0.45454545454545453
prefill,conversation,4,112,0.06258655146756748,0.14285714285714285
prefill,general,4,374,0.035842930734762184,0.45454545454545453
prefill,math,4,180,0.02991649640367573,0.23076923076923078
prefill,code,5,169,0.06691395835213484,0.3333333333333333
prefill,conversation,5,112,0.0651650002412551,0.23076923076923078
prefill,general,5,374,0.06393979606661848,0.14285714285714285
prefill,math,5,180,0.028711457200479903,0.6
prefill,code,6,169,0.0735151482644557,0.6
prefill,conversation,6,112,0.04540599899561016,0.45454545454545453
prefill,general,6,374,0.04778961696900501,0.45454545454545453
prefill,math,6,180,0.035031416063810286,0.6
prefill,code,7,169,0.07481034908104484,0.3333333333333333
prefill,conversation,7,112,0.05131570896913868,0.23076923076923078
prefill,general,7,374,0.03763243928237615,0.6
prefill,math,7,180,0.021555601995355035,0.3333333333333333
prefill,code,8,169,0.0887695266477683,0.14285714285714285
prefill,conversation,8,112,0.035771316502449024,0.3333333333333333
prefill,general,8,374,0.02373399063468634,0.6
prefill,math,8,180,0.017502559077377442,0.45454545454545453
prefill,code,9,169,0.1019441546045744,0.3333333333333333
prefill,conversation,9,112,0.039173285578553714,0.14285714285714285
prefill,general,9,374,0.01709132558236879,0.45454545454545453
prefill,math,9,180,0.009534557758349209,0.7777777777777778
prefill,code,10,169,0.10818644617129973,0.3333333333333333
prefill,conversation,10,112,0.03691857497870947,0.45454545454545453
prefill,general,10,374,0.023237557454963552,0.45454545454545453
prefill,math,10,180,0.009943590993976441,0.6
prefill,code,11,169,0.0998965471023649,0.3333333333333333
prefill,conversation,11,112,0.05532557599074669,0.23076923076923078
prefill,general,11,374,0.02945396560928179,0.3333333333333333
prefill,math,11,180,0.0197956112030657,0.3333333333333333
prefill,code,12,169,0.07948567138593561,0.3333333333333333
prefill,conversation,12,112,0.04962823772970207,0.23076923076923078
prefill,general,12,374,0.042047565215171945,0.23076923076923078
prefill,math,12,180,0.013480307236895092,0.7777777777777778
prefill,code,13,169,0.08918296656551697,0.6
prefill,conversation,13,112,0.046899284155845725,0.23076923076923078
prefill,general,13,374,0.06394360741235278,0.45454545454545453
prefill,math,13,180,0.02855586398175538,0.45454545454545453
prefill,code,14,169,0.09076935224480358,0.3333333333333333
prefill,conversation,14,112,0.050113992265847784,0.23076923076923078
prefill,general,14,374,0.06437523019103406,0.23076923076923078
prefill,math,14,180,0.015292888635631703,0.6
prefill,code,15,169,0.09110435031018756,0.45454545454545453
prefill,conversation,15,112,0.06313745636409616,0.23076923076923078
prefill,general,15,374,0.05128340354394415,0.3333333333333333
prefill,math,15,180,0.016504712225966348,0.6
