phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,0,1,1,4.081568210028198,3.9250190682322863,0.15654914179591195,0.03835514531186296,70400
prefill,0,2,2,4.090709278296035,3.95452462008152,0.13618465821451453,0.03329120916440231,70400
prefill,0,3,3,4.05497349528666,3.8954502736819276,0.15952322160473242,0.03934013916247686,70400
prefill,0,4,4,4.035241618087325,3.880888341247343,0.15435327683998246,0.038251309698065804,70400
prefill,0,5,5,4.034387363527883,3.879000124173099,0.15538723935478416,0.03851569652421905,70400
prefill,0,6,6,3.9706783721394365,3.8135701639078095,0.15710820823162708,0.03956709496643915,70400
prefill,0,7,7,4.00877001147177,3.8564535993013465,0.1523164121704239,0.03799579714838837,70400
prefill,0,8,8,4.008999797265077,3.8375749402656285,0.17142485699944876,0.04276000640269278,70400
prefill,0,9,9,4.050920553773247,3.87764541122215,0.17327514255109744,0.042774263343599656,70400
prefill,0,10,10,4.075507141945451,3.908000719918019,0.16750642202743204,0.041100755364514595,70400
prefill,0,11,11,4.025615593155921,3.867693385715192,0.15792220744072916,0.03922933121314857,70400
prefill,0,12,12,4.03588022414453,3.885422238973502,0.15045798517102815,0.0372800917804542,70400
prefill,0,13,13,4.038024206365372,3.902232093889827,0.1357921124755448,0.03362835523905176,70400
prefill,0,14,14,4.05993443384796,3.919443493055668,0.1404909407922923,0.034604238832284924,70400
prefill,0,15,15,4.037836313137348,3.913880929993449,0.12395538314389842,0.030698466587316082,70400
prefill,1,2,1,4.090709278296035,3.8989907551084113,0.19171852318762328,0.04686681701015006,70400
prefill,1,3,2,4.05497349528666,3.844105506859852,0.21086798842680787,0.052002309921855824,70400
prefill,1,4,3,4.035241618087325,3.8277383345900193,0.20750328349730607,0.05142276550856478,70400
prefill,1,5,4,4.034387363527883,3.82829177000509,0.20609559352279305,0.05108473107613844,70400
prefill,1,6,5,3.9706783721394365,3.7615759826252426,0.2091023895141939,0.052661628547246875,70400
prefill,1,7,6,4.00877001147177,3.796407454228532,0.21236255724323838,0.05297449258389161,70400
prefill,1,8,7,4.008999797265077,3.779133325708574,0.22986647155650308,0.05733761117007714,70400
prefill,1,9,8,4.050920553773247,3.803775127478017,0.2471454262952304,0.06100969471371778,70400
prefill,1,10,9,4.075507141945451,3.8263602571976083,0.24914688474784263,0.06113273172401114,70400
prefill,1,11,10,4.025615593155921,3.806421453356753,0.21919413979916813,0.05444984368895708,70400
prefill,1,12,11,4.03588022414453,3.826353031815962,0.2095271923285682,0.051916107687011666,70400
prefill,1,13,12,4.038024206365372,3.8575045500630587,0.18051965630231326,0.044704946547311344,70400
prefill,1,14,13,4.05993443384796,3.8684944036457183,0.1914400302022421,0.04715347829417959,70400
prefill,1,15,14,4.037836313137348,3.8720758067198875,0.1657605064174601,0.04105181427938229,70400
prefill,2,3,1,4.05497349528666,3.7401889123605354,0.31478458292612466,0.07762925782178792,70400
prefill,2,4,2,4.035241618087325,3.725452366266999,0.30978925182032624,0.07677093000620966,70400
prefill,2,5,3,4.034387363527883,3.7354344053683044,0.2989529581595787,0.07410120328608165,70400
prefill,2,6,4,3.9706783721394365,3.6685850904662893,0.3020932816731472,0.07608102529603189,70400
prefill,2,7,5,4.00877001147177,3.7034787840678534,0.305291227403917,0.07615583496440922,70400
prefill,2,8,6,4.008999797265077,3.691064496703471,0.3179353005616061,0.07930539202783204,70400
prefill,2,9,7,4.050920553773247,3.705081247469752,0.34583930630349524,0.08537301625956642,70400
prefill,2,10,8,4.075507141945451,3.7300446032009256,0.34546253874452537,0.08476553388632223,70400
