phase,domain,source_layer,target_layer,delta,capacity,baseline,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
prefill,code,0,1,1,8,domain_oracle,127,8,0.343503937007874,0.0,1.0,2.9111747851002865,0.0,1.0
prefill,code,0,1,1,8,previous_window,127,8,0.343503937007874,0.0,1.0,2.9111747851002865,0.0,1.0
prefill,code,0,1,1,8,static,127,8,0.21948818897637795,0.0,1.0,4.556053811659193,0.0,1.0
prefill,code,0,1,1,8,transition,127,8,0.4045275590551181,0.0,1.0,2.4720194647201947,0.41369047619047616,0.4374960136864903
prefill,code,0,1,1,16,domain_oracle,127,8,0.46358267716535434,0.0,2.0,4.314225053078556,0.0,1.0
prefill,code,0,1,1,16,previous_window,127,8,0.46358267716535434,0.0,2.0,4.314225053078556,0.0,1.0
prefill,code,0,1,1,16,static,127,8,0.3799212598425197,0.0,2.0,5.2642487046632125,0.0,1.0
prefill,code,0,1,1,16,transition,127,8,0.5728346456692913,0.015748031496062992,2.0,3.491408934707904,0.33482142857142855,0.5142069955656354
prefill,code,0,1,1,32,domain_oracle,127,8,0.71751968503937,0.07086614173228346,4.0,5.574759945130316,0.0,1.0
prefill,code,0,1,1,32,previous_window,127,8,0.71751968503937,0.07086614173228346,4.0,5.574759945130316,0.0,1.0
prefill,code,0,1,1,32,static,127,8,0.6476377952755905,0.015748031496062992,4.0,6.17629179331307,0.0,1.0
prefill,code,0,1,1,32,transition,127,8,0.764763779527559,0.13385826771653545,4.0,5.23037323037323,0.19692460317460317,0.674421201493662
prefill,code,0,2,2,8,domain_oracle,127,8,0.42618110236220474,0.0,1.0,2.346420323325635,0.0,1.0
prefill,code,0,2,2,8,previous_window,127,8,0.42618110236220474,0.0,1.0,2.346420323325635,0.0,1.0
prefill,code,0,2,2,8,static,127,8,0.2263779527559055,0.0,1.0,4.417391304347826,0.0,1.0
prefill,code,0,2,2,8,transition,127,8,0.45767716535433073,0.015748031496062992,1.0,2.18494623655914,0.4523809523809524,0.40350443207586106
prefill,code,0,2,2,16,domain_oracle,127,8,0.5954724409448819,0.031496062992125984,2.0,3.358677685950413,0.0,1.0
prefill,code,0,2,2,16,previous_window,127,8,0.5954724409448819,0.031496062992125984,2.0,3.358677685950413,0.0,1.0
prefill,code,0,2,2,16,static,127,8,0.41633858267716534,0.0,2.0,4.803782505910165,0.0,1.0
prefill,code,0,2,2,16,transition,127,8,0.6043307086614174,0.06299212598425197,2.0,3.3094462540716614,0.36607142857142855,0.47997609391913626
prefill,code,0,2,2,32,domain_oracle,127,8,0.8218503937007874,0.2125984251968504,4.0,4.867065868263473,0.0,1.0
prefill,code,0,2,2,32,previous_window,127,8,0.8218503937007874,0.2125984251968504,4.0,4.867065868263473,0.0,1.0
prefill,code,0,2,2,32,static,127,8,0.6594488188976378,0.007874015748031496,4.0,6.065671641791044,0.0,1.0
prefill,code,0,2,2,32,transition,127,8,0.7913385826771654,0.2047244094488189,4.0,5.054726368159204,0.19196428571428573,0.685282065735584
prefill,code,0,3,3,8,domain_oracle,127,8,0.3779527559055118,0.0,1.0,2.6458333333333335,0.0,1.0
prefill,code,0,3,3,8,previous_window,127,8,0.3779527559055118,0.0,1.0,2.6458333333333335,0.0,1.0
prefill,code,0,3,3,8,static,127,8,0.24015748031496062,0.0,1.0,4.163934426229508,0.0,1.0
prefill,code,0,3,3,8,transition,127,8,0.44291338582677164,0.0,1.0,2.2577777777777777,0.4007936507936508,0.4505875077303651
prefill,code,0,3,3,16,domain_oracle,127,8,0.5393700787401575,0.0,2.0,3.708029197080292,0.0,1.0
prefill,code,0,3,3,16,previous_window,127,8,0.5393700787401575,0.0,2.0,3.708029197080292,0.0,1.0
prefill,code,0,3,3,16,static,127,8,0.4862204724409449,0.0,2.0,4.113360323886639,0.0,1.0
prefill,code,0,3,3,16,transition,127,8,0.6240157480314961,0.05511811023622047,2.0,3.2050473186119874,0.27132936507936506,0.5928550961671702
prefill,code,0,3,3,32,domain_oracle,127,8,0.7775590551181102,0.11811023622047244,4.0,5.144303797468354,0.0,1.0
prefill,code,0,3,3,32,previous_window,127,8,0.7775590551181102,0.11811023622047244,4.0,5.144303797468354,0.0,1.0
prefill,code,0,3,3,32,static,127,8,0.6781496062992126,0.031496062992125984,4.0,5.898403483309144,0.0,1.0
prefill,code,0,3,3,32,transition,127,8,0.7844488188976378,0.1968503937007874,4.0,5.099121706398996,0.14211309523809523,0.7568727029368042
prefill,code,0,4,4,8,domain_oracle,127,8,0.5236220472440944,0.0,1.0,1.9097744360902256,0.0,1.0
prefill,code,0,4,4,8,previous_window,127,8,0.5236220472440944,0.0,1.0,1.9097744360902256,0.0,1.0
prefill,code,0,4,4,8,static,127,8,0.2529527559055118,0.0,1.0,3.953307392996109,0.0,1.0
prefill,code,0,4,4,8,transition,127,8,0.4812992125984252,0.0,1.0,2.077709611451943,0.30853174603174605,0.5454249454249455
prefill,code,0,4,4,16,domain_oracle,127,8,0.6988188976377953,0.08661417322834646,2.0,2.8619718309859157,0.0,1.0
prefill,code,0,4,4,16,previous_window,127,8,0.6988188976377953,0.08661417322834646,2.0,2.8619718309859157,0.0,1.0
prefill,code,0,4,4,16,static,127,8,0.5137795275590551,0.0,2.0,3.89272030651341,0.0,1.0
prefill,code,0,4,4,16,transition,127,8,0.6702755905511811,0.031496062992125984,2.0,2.983847283406755,0.2326388888888889,0.6381389969944479
prefill,code,0,4,4,32,domain_oracle,127,8,0.8759842519685039,0.29133858267716534,4.0,4.5662921348314605,0.0,1.0
prefill,code,0,4,4,32,previous_window,127,8,0.8759842519685039,0.29133858267716534,4.0,4.5662921348314605,0.0,1.0
prefill,code,0,4,4,32,static,127,8,0.7578740157480315,0.05511811023622047,4.0,5.277922077922078,0.0,1.0
prefill,code,0,4,4,32,transition,127,8,0.8828740157480315,0.3228346456692913,4.0,4.530657748049053,0.14037698412698413,0.7589460294380134
prefill,code,0,5,5,8,domain_oracle,127,8,0.514763779527559,0.0,1.0,1.94263862332696,0.0,1.0
prefill,code,0,5,5,8,previous_window,127,8,0.514763779527559,0.0,1.0,1.94263862332696,0.0,1.0
prefill,code,0,5,5,8,static,127,8,0.2155511811023622,0.0,1.0,4.639269406392694,0.0,1.0
prefill,code,0,5,5,8,transition,127,8,0.5127952755905512,0.0,1.0,1.9500959692898272,0.37103174603174605,0.47934252696157503
prefill,code,0,5,5,16,domain_oracle,127,8,0.6958661417322834,0.1732283464566929,2.0,2.8741159830268743,0.0,1.0
prefill,code,0,5,5,16,previous_window,127,8,0.6958661417322834,0.1732283464566929,2.0,2.8741159830268743,0.0,1.0
prefill,code,0,5,5,16,static,127,8,0.4921259842519685,0.0,2.0,4.064,0.0,1.0
prefill,code,0,5,5,16,transition,127,8,0.6446850393700787,0.06299212598425197,2.0,3.102290076335878,0.29811507936507936,0.5544210933676929
prefill,code,0,5,5,32,domain_oracle,127,8,0.8700787401574803,0.4094488188976378,4.0,4.597285067873303,0.0,1.0
prefill,code,0,5,5,32,previous_window,127,8,0.8700787401574803,0.4094488188976378,4.0,4.597285067873303,0.0,1.0
prefill,code,0,5,5,32,static,127,8,0.7362204724409449,0.06299212598425197,4.0,5.433155080213904,0.0,1.0
prefill,code,0,5,5,32,transition,127,8,0.8356299212598425,0.3700787401574803,4.0,4.786808009422851,0.1307043650793651,0.7743334275490787
prefill,code,0,6,6,8,domain_oracle,127,8,0.5049212598425197,0.0,1.0,1.9805068226120857,0.0,1.0
prefill,code,0,6,6,8,previous_window,127,8,0.5049212598425197,0.0,1.0,1.9805068226120857,0.0,1.0
prefill,code,0,6,6,8,static,127,8,0.25688976377952755,0.0,1.0,3.89272030651341,0.0,1.0
prefill,code,0,6,6,8,transition,127,8,0.49803149606299213,0.0,1.0,2.007905138339921,0.27380952380952384,0.595888414936034
prefill,code,0,6,6,16,domain_oracle,127,8,0.7204724409448819,0.031496062992125984,2.0,2.7759562841530054,0.0,1.0
prefill,code,0,6,6,16,previous_window,127,8,0.7204724409448819,0.031496062992125984,2.0,2.7759562841530054,0.0,1.0
prefill,code,0,6,6,16,static,127,8,0.5708661417322834,0.0,2.0,3.503448275862069,0.0,1.0
prefill,code,0,6,6,16,transition,127,8,0.718503937007874,0.07874015748031496,2.0,2.7835616438356166,0.2425595238095238,0.6219361405041713
prefill,code,0,6,6,32,domain_oracle,127,8,0.9183070866141733,0.44881889763779526,4.0,4.355841371918542,0.0,1.0
prefill,code,0,6,6,32,previous_window,127,8,0.9183070866141733,0.44881889763779526,4.0,4.355841371918542,0.0,1.0
prefill,code,0,6,6,32,static,127,8,0.8297244094488189,0.15748031496062992,4.0,4.820877817319098,0.0,1.0
prefill,code,0,6,6,32,transition,127,8,0.9045275590551181,0.4330708661417323,4.0,4.422198041349293,0.1331845238095238,0.7710670687956067
prefill,code,0,7,7,8,domain_oracle,127,8,0.4675196850393701,0.0,1.0,2.1389473684210527,0.0,1.0
prefill,code,0,7,7,8,previous_window,127,8,0.4675196850393701,0.0,1.0,2.1389473684210527,0.0,1.0
prefill,code,0,7,7,8,static,127,8,0.27263779527559057,0.0,1.0,3.667870036101083,0.0,1.0
prefill,code,0,7,7,8,transition,127,8,0.4389763779527559,0.0,1.0,2.2780269058295963,0.37003968253968256,0.4768913626056486
prefill,code,0,7,7,16,domain_oracle,127,8,0.6988188976377953,0.12598425196850394,2.0,2.8619718309859157,0.0,1.0
prefill,code,0,7,7,16,previous_window,127,8,0.6988188976377953,0.12598425196850394,2.0,2.8619718309859157,0.0,1.0
prefill,code,0,7,7,16,static,127,8,0.4311023622047244,0.0,2.0,4.639269406392694,0.0,1.0
prefill,code,0,7,7,16,transition,127,8,0.6535433070866141,0.07086614173228346,2.0,3.0602409638554215,0.28125,0.5759589014346541
prefill,code,0,7,7,32,domain_oracle,127,8,0.8986220472440944,0.5669291338582677,4.0,4.451259583789704,0.0,1.0
prefill,code,0,7,7,32,previous_window,127,8,0.8986220472440944,0.5669291338582677,4.0,4.451259583789704,0.0,1.0
prefill,code,0,7,7,32,static,127,8,0.7903543307086615,0.06299212598425197,4.0,5.0610211706102115,0.0,1.0
prefill,code,0,7,7,32,transition,127,8,0.9084645669291339,0.48031496062992124,4.0,4.403033586132178,0.15302579365079366,0.7397923058009335
prefill,code,0,8,8,8,domain_oracle,127,8,0.4124015748031496,0.0,1.0,2.424821002386635,0.0,1.0
prefill,code,0,8,8,8,previous_window,127,8,0.4124015748031496,0.0,1.0,2.424821002386635,0.0,1.0
prefill,code,0,8,8,8,static,127,8,0.2992125984251969,0.0,1.0,3.3421052631578947,0.0,1.0
prefill,code,0,8,8,8,transition,127,8,0.4389763779527559,0.0,1.0,2.2780269058295963,0.37103174603174605,0.48058995678043337
prefill,code,0,8,8,16,domain_oracle,127,8,0.5836614173228346,0.08661417322834646,2.0,3.426644182124789,0.0,1.0
prefill,code,0,8,8,16,previous_window,127,8,0.5836614173228346,0.08661417322834646,2.0,3.426644182124789,0.0,1.0
prefill,code,0,8,8,16,static,127,8,0.4251968503937008,0.0,2.0,4.703703703703703,0.0,1.0
prefill,code,0,8,8,16,transition,127,8,0.6220472440944882,0.05511811023622047,2.0,3.2151898734177213,0.29017857142857145,0.5668124727109785
prefill,code,0,8,8,32,domain_oracle,127,8,0.8454724409448819,0.33858267716535434,4.0,4.731082654249127,0.0,1.0
prefill,code,0,8,8,32,previous_window,127,8,0.8454724409448819,0.33858267716535434,4.0,4.731082654249127,0.0,1.0
prefill,code,0,8,8,32,static,127,8,0.719488188976378,0.06299212598425197,4.0,5.559507523939809,0.0,1.0
prefill,code,0,8,8,32,transition,127,8,0.8257874015748031,0.29133858267716534,4.0,4.843861740166865,0.13988095238095238,0.7595417891883577
prefill,code,0,9,9,8,domain_oracle,127,8,0.45570866141732286,0.0,1.0,2.1943844492440605,0.0,1.0
prefill,code,0,9,9,8,previous_window,127,8,0.45570866141732286,0.0,1.0,2.1943844492440605,0.0,1.0
prefill,code,0,9,9,8,static,127,8,0.29429133858267714,0.0,1.0,3.3979933110367893,0.0,1.0
prefill,code,0,9,9,8,transition,127,8,0.41929133858267714,0.0,1.0,2.384976525821596,0.40674603174603174,0.44605623653242726
prefill,code,0,9,9,16,domain_oracle,127,8,0.5797244094488189,0.13385826771653545,2.0,3.4499151103565366,0.0,1.0
prefill,code,0,9,9,16,previous_window,127,8,0.5797244094488189,0.13385826771653545,2.0,3.4499151103565366,0.0,1.0
prefill,code,0,9,9,16,static,127,8,0.39960629921259844,0.0,2.0,5.004926108374384,0.0,1.0
prefill,code,0,9,9,16,transition,127,8,0.5895669291338582,0.06299212598425197,2.0,3.3923205342237064,0.3382936507936508,0.5144824912509257
prefill,code,0,9,9,32,domain_oracle,127,8,0.8110236220472441,0.33070866141732286,4.0,4.932038834951456,0.0,1.0
prefill,code,0,9,9,32,previous_window,127,8,0.8110236220472441,0.33070866141732286,4.0,4.932038834951456,0.0,1.0
prefill,code,0,9,9,32,static,127,8,0.6348425196850394,0.0,4.0,6.30077519379845,0.0,1.0
prefill,code,0,9,9,32,transition,127,8,0.8267716535433071,0.3779527559055118,4.0,4.838095238095238,0.19543650793650794,0.6810507702356101
prefill,code,0,10,10,8,domain_oracle,127,8,0.3631889763779528,0.0,1.0,2.7533875338753386,0.0,1.0
prefill,code,0,10,10,8,previous_window,127,8,0.3631889763779528,0.0,1.0,2.7533875338753386,0.0,1.0
prefill,code,0,10,10,8,static,127,8,0.21948818897637795,0.0,1.0,4.556053811659193,0.0,1.0
prefill,code,0,10,10,8,transition,127,8,0.3454724409448819,0.0,1.0,2.8945868945868947,0.4255952380952381,0.4319676795867276
prefill,code,0,10,10,16,domain_oracle,127,8,0.5895669291338582,0.023622047244094488,2.0,3.3923205342237064,0.0,1.0
prefill,code,0,10,10,16,previous_window,127,8,0.5895669291338582,0.023622047244094488,2.0,3.3923205342237064,0.0,1.0
prefill,code,0,10,10,16,static,127,8,0.3198818897637795,0.0,2.0,6.252307692307692,0.0,1.0
prefill,code,0,10,10,16,transition,127,8,0.5462598425196851,0.015748031496062992,2.0,3.661261261261261,0.3308531746031746,0.5176006296655321
prefill,code,0,10,10,32,domain_oracle,127,8,0.7234251968503937,0.05511811023622047,4.0,5.529251700680272,0.0,1.0
prefill,code,0,10,10,32,previous_window,127,8,0.7234251968503937,0.05511811023622047,4.0,5.529251700680272,0.0,1.0
prefill,code,0,10,10,32,static,127,8,0.65748031496063,0.031496062992125984,4.0,6.083832335329341,0.0,1.0
prefill,code,0,10,10,32,transition,127,8,0.7903543307086615,0.23622047244094488,4.0,5.0610211706102115,0.18675595238095238,0.6915313623195224
