phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
prefill,__domain_balanced__,1,8,domain_oracle,60,0.2809478800833143,0.0,1.0,4.274622574426829,0.0
prefill,__domain_balanced__,1,8,previous_window,60,0.2809478800833143,0.0,1.0,4.274622574426829,0.0
prefill,__domain_balanced__,1,8,static,60,0.1979203075100092,0.0,1.0,5.470091242296289,0.0
prefill,__domain_balanced__,1,8,transition,60,0.5486425880048089,0.00918874085553164,1.0,1.9129750702969155,0.5462539321184181
prefill,__domain_balanced__,1,16,domain_oracle,60,0.4470853695493673,0.01870119293387148,2.0,4.8871683975029345,0.0
prefill,__domain_balanced__,1,16,previous_window,60,0.4470853695493673,0.01870119293387148,2.0,4.8871683975029345,0.0
prefill,__domain_balanced__,1,16,static,60,0.35779707956884516,0.0009907613889773813,2.0,5.851985277091396,0.0
prefill,__domain_balanced__,1,16,transition,60,0.7528955282990311,0.2092621429202116,2.0,2.7280118434614695,0.43303853291805977
prefill,__domain_balanced__,1,32,domain_oracle,60,0.7066237242675324,0.14368440676206426,4.0,5.7907384434252585,0.0
prefill,__domain_balanced__,1,32,previous_window,60,0.7066237242675324,0.14368440676206426,4.0,5.7907384434252585,0.0
prefill,__domain_balanced__,1,32,static,60,0.6316095115508482,0.037387558281919885,4.0,6.412571546122257,0.0
prefill,__domain_balanced__,1,32,transition,60,0.9022317543659483,0.5423683506330711,4.0,4.465760671250188,0.262372388909334
prefill,__domain_balanced__,2,8,domain_oracle,56,0.2842103223103688,0.0,1.0,4.252875642257265,0.0
prefill,__domain_balanced__,2,8,previous_window,56,0.2842103223103688,0.0,1.0,4.252875642257265,0.0
prefill,__domain_balanced__,2,8,static,56,0.1977225525451042,0.0,1.0,5.490953888916001,0.0
prefill,__domain_balanced__,2,8,transition,56,0.5375353529640386,0.008307661959291225,1.0,1.9611669007322343,0.5397792612881481
prefill,__domain_balanced__,2,16,domain_oracle,56,0.4506970928180607,0.020036992429148016,2.0,4.868478634079866,0.0
prefill,__domain_balanced__,2,16,previous_window,56,0.4506970928180607,0.020036992429148016,2.0,4.868478634079866,0.0
prefill,__domain_balanced__,2,16,static,56,0.35810792938344305,0.0010615300596186227,2.0,5.855107555924848,0.0
prefill,__domain_balanced__,2,16,transition,56,0.7391604808868569,0.19758888900045152,2.0,2.783367032816454,0.4219549645508215
prefill,__domain_balanced__,2,32,domain_oracle,56,0.7100567706408405,0.1514192345156345,4.0,5.767695427469341,0.0
prefill,__domain_balanced__,2,32,previous_window,56,0.7100567706408405,0.1514192345156345,4.0,5.767695427469341,0.0
prefill,__domain_balanced__,2,32,static,56,0.6329724719509668,0.03924786115560802,4.0,6.40111820865301,0.0
prefill,__domain_balanced__,2,32,transition,56,0.8928502113815842,0.5258384673627751,4.0,4.517983797969644,0.25693987072048446
prefill,__domain_balanced__,3,8,domain_oracle,52,0.2872738045840952,0.0,1.0,4.202307952663343,0.0
prefill,__domain_balanced__,3,8,previous_window,52,0.2872738045840952,0.0,1.0,4.202307952663343,0.0
prefill,__domain_balanced__,3,8,static,52,0.20060674744175533,0.0,1.0,5.406519105921447,0.0
prefill,__domain_balanced__,3,8,transition,52,0.5238247629689771,0.007860603482767169,1.0,1.993861154656779,0.5316738475100264
prefill,__domain_balanced__,3,16,domain_oracle,52,0.45535693924333065,0.02097260602000313,2.0,4.7994619486557,0.0
prefill,__domain_balanced__,3,16,previous_window,52,0.45535693924333065,0.02097260602000313,2.0,4.7994619486557,0.0
prefill,__domain_balanced__,3,16,static,52,0.360415198579305,0.0011431862180508246,2.0,5.826621140969958,0.0
prefill,__domain_balanced__,3,16,transition,52,0.7250643041160731,0.17814347353910767,2.0,2.831165054123292,0.41507289757480714
prefill,__domain_balanced__,3,32,domain_oracle,52,0.7148625393735107,0.15746276535522938,4.0,5.720515294729856,0.0
prefill,__domain_balanced__,3,32,previous_window,52,0.7148625393735107,0.15746276535522938,4.0,5.720515294729856,0.0
prefill,__domain_balanced__,3,32,static,52,0.6361347273847547,0.0413902553374702,4.0,6.370639896950769,0.0
prefill,__domain_balanced__,3,32,transition,52,0.889306889406716,0.5106080805013873,4.0,4.534891262040078,0.24696647994087448
prefill,__domain_balanced__,4,8,domain_oracle,48,0.28808502136318254,0.0,1.0,4.240754273599989,0.0
prefill,__domain_balanced__,4,8,previous_window,48,0.28808502136318254,0.0,1.0,4.240754273599989,0.0
prefill,__domain_balanced__,4,8,static,48,0.2007708740000689,0.0,1.0,5.426181457527842,0.0
prefill,__domain_balanced__,4,8,transition,48,0.5081606566016048,0.007601722872899755,1.0,2.0784120500276915,0.5182507484456959
prefill,__domain_balanced__,4,16,domain_oracle,48,0.45731314407244367,0.022720323188336722,2.0,4.804056113521349,0.0
prefill,__domain_balanced__,4,16,previous_window,48,0.45731314407244367,0.022720323188336722,2.0,4.804056113521349,0.0
prefill,__domain_balanced__,4,16,static,48,0.35929458689197974,0.0012384517362217266,2.0,5.85050814190614,0.0
prefill,__domain_balanced__,4,16,transition,48,0.7082073368699936,0.1630155263081974,2.0,2.9161167303059496,0.4045395548617292
prefill,__domain_balanced__,4,32,domain_oracle,48,0.7152476598404522,0.16153676220170363,4.0,5.7242716222428065,0.0
prefill,__domain_balanced__,4,32,previous_window,48,0.7152476598404522,0.16153676220170363,4.0,5.7242716222428065,0.0
prefill,__domain_balanced__,4,32,static,48,0.6348412705042991,0.0409817878185682,4.0,6.387154549898052,0.0
prefill,__domain_balanced__,4,32,transition,48,0.883653434229577,0.500312027397697,4.0,4.5725621324979215,0.24607670466634765
prefill,__domain_balanced__,5,8,domain_oracle,44,0.28684464355946504,0.0,1.0,4.220211112586444,0.0
prefill,__domain_balanced__,5,8,previous_window,44,0.28684464355946504,0.0,1.0,4.220211112586444,0.0
prefill,__domain_balanced__,5,8,static,44,0.19914149644766913,0.0,1.0,5.480905297598546,0.0
prefill,__domain_balanced__,5,8,transition,44,0.4962304933243706,0.007675151370444952,1.0,2.10896069449264,0.5154228762216495
prefill,__domain_balanced__,5,16,domain_oracle,44,0.45640573119593725,0.02281730317754128,2.0,4.7886868348165335,0.0
prefill,__domain_balanced__,5,16,previous_window,44,0.45640573119593725,0.02281730317754128,2.0,4.7886868348165335,0.0
prefill,__domain_balanced__,5,16,static,44,0.3575402218577894,0.001351038257696429,2.0,5.867072847699779,0.0
prefill,__domain_balanced__,5,16,transition,44,0.6945850528391474,0.15264104223317126,2.0,2.9667603555404627,0.4003581155669357
prefill,__domain_balanced__,5,32,domain_oracle,44,0.7148784869996005,0.16413435591197595,4.0,5.720679203285481,0.0
prefill,__domain_balanced__,5,32,previous_window,44,0.7148784869996005,0.16413435591197595,4.0,5.720679203285481,0.0
prefill,__domain_balanced__,5,32,static,44,0.6330278980262938,0.040479145528938124,4.0,6.404231445374739,0.0
prefill,__domain_balanced__,5,32,transition,44,0.8772531941109747,0.4848776501103714,4.0,4.607928509028292,0.24349759266888354
prefill,__domain_balanced__,6,8,domain_oracle,40,0.28527260202393984,0.0,1.0,4.238396952643013,0.0
prefill,__domain_balanced__,6,8,previous_window,40,0.28527260202393984,0.0,1.0,4.238396952643013,0.0
prefill,__domain_balanced__,6,8,static,40,0.2000160096649352,0.0,1.0,5.471401915505761,0.0
prefill,__domain_balanced__,6,8,transition,40,0.47954985850160925,0.008342103418612495,1.0,2.1997978376258707,0.4955825359738911
prefill,__domain_balanced__,6,16,domain_oracle,40,0.45395055469716245,0.020768324833878086,2.0,4.8002020357317665,0.0
prefill,__domain_balanced__,6,16,previous_window,40,0.45395055469716245,0.020768324833878086,2.0,4.8002020357317665,0.0
prefill,__domain_balanced__,6,16,static,40,0.3572299849720047,0.001486142083466072,2.0,5.8567646162929945,0.0
