delta,mi355x_selection_gain,nvidia_selection_gain,selection_gain_difference,mi355x_complete_gain,nvidia_complete_gain,complete_gain_difference,mi355x_gate_pass,nvidia_gate_pass
1,0.39509844873018596,0.3931652109472816,0.0019332377829043845,0.20827138153123423,0.22378311623249916,-0.015511734701264934,True,True
2,0.3810525515034139,0.37569578532471287,0.005356766178701011,0.1965273589408329,0.21258327210851286,-0.016055913167679958,True,True
3,0.36464910553676816,0.3611889020996084,0.003460203437159748,0.17700028732105683,0.19420182095291946,-0.017201533631862637,True,True
4,0.3489127499780138,0.3466802538598612,0.002232496118152627,0.16177707457197568,0.18160433216855723,-0.01982725759658155,True,True
5,0.3370448309813581,0.335203750278472,0.0018410807028861331,0.15129000397547485,0.17403458836343383,-0.022744584387958983,True,True
6,0.324152475149956,0.32232203696139494,0.0018304381885610455,0.14008850424824706,0.16696579431986094,-0.02687729007161388,True,True
7,0.31922082619635284,0.314875643919094,0.00434518227725883,0.12628561669035482,0.1596496345305748,-0.03336401784021997,True,True
8,0.30940134242777123,0.30595545676926467,0.0034458856585065645,0.11354613002838013,0.1403422888831142,-0.026796158854734076,True,True
9,0.2918845848974219,0.2869644380221194,0.004920146875302511,0.09109873598067607,0.12871125988376225,-0.037612523903086184,True,True
10,0.2670671776751736,0.2579538213447864,0.009113356330387179,0.07797513580805017,0.10464367757162114,-0.026668541763570974,True,True
11,0.24951135702264,0.23654141828292893,0.012969938739711057,0.06956242695046269,0.09992919911673186,-0.030366772166269165,True,True
12,0.22928020356859846,0.2136011431279599,0.015679060440638548,0.053360085190381795,0.0864912072174681,-0.033131122027086304,True,True
13,0.21257669783675934,0.18892642771173848,0.023650270125020856,0.05158712889221332,0.07468439739945894,-0.023097268507245618,True,True
14,0.18707582427534913,0.16946028857236325,0.01761553570298588,0.03942099742219504,0.06525032289863619,-0.02582932547644115,True,True
15,0.14679737169775908,0.12558320728544348,0.021214164412315606,0.019665969579309918,0.046129893404948205,-0.026463923825638287,False,True
