phase,layer_id,left_domain,right_domain,jensen_shannon_divergence,hotset_jaccard
prefill,0,code,conversation,0.045610677868811955,0.06666666666666667
prefill,0,code,general,0.07933409675454427,0.06666666666666667
prefill,0,code,math,0.07513652602596513,0.14285714285714285
prefill,0,conversation,general,0.020991108431217986,0.14285714285714285
prefill,0,conversation,math,0.02313879833836288,0.23076923076923078
prefill,0,general,math,0.027389985148775397,0.23076923076923078
prefill,1,code,conversation,0.059917589218814474,0.23076923076923078
prefill,1,code,general,0.08772125045771284,0.14285714285714285
prefill,1,code,math,0.09190243322301242,0.14285714285714285
prefill,1,conversation,general,0.015687207851745398,0.23076923076923078
prefill,1,conversation,math,0.021167844720645715,0.23076923076923078
prefill,1,general,math,0.023737995126412417,0.06666666666666667
prefill,2,code,conversation,0.08991580362554419,0.23076923076923078
prefill,2,code,general,0.13592434735762432,0.0
prefill,2,code,math,0.136773801906359,0.06666666666666667
prefill,2,conversation,general,0.035830842893455145,0.06666666666666667
prefill,2,conversation,math,0.029634578309809013,0.23076923076923078
prefill,2,general,math,0.05589947563659124,0.06666666666666667
prefill,3,code,conversation,0.08468731221796334,0.14285714285714285
prefill,3,code,general,0.14674467899795038,0.06666666666666667
prefill,3,code,math,0.10838382620847879,0.23076923076923078
prefill,3,conversation,general,0.03412416044590609,0.06666666666666667
prefill,3,conversation,math,0.032831610752280804,0.45454545454545453
prefill,3,general,math,0.05410337500981287,0.06666666666666667
prefill,4,code,conversation,0.11995533237507679,0.23076923076923078
prefill,4,code,general,0.201381447175409,0.0
prefill,4,code,math,0.16043692555776085,0.14285714285714285
prefill,4,conversation,general,0.05116382781315104,0.3333333333333333
prefill,4,conversation,math,0.04823859085392179,0.45454545454545453
prefill,4,general,math,0.10023651500244445,0.14285714285714285
prefill,5,code,conversation,0.14097325961897095,0.3333333333333333
prefill,5,code,general,0.2356737706501575,0.0
prefill,5,code,math,0.19118718646053134,0.23076923076923078
prefill,5,conversation,general,0.061400131834923655,0.0
prefill,5,conversation,math,0.0683128152572823,0.3333333333333333
prefill,5,general,math,0.10870275013833769,0.0
prefill,6,code,conversation,0.13152087224021655,0.3333333333333333
prefill,6,code,general,0.23066010424534686,0.06666666666666667
prefill,6,code,math,0.15442301359225283,0.3333333333333333
prefill,6,conversation,general,0.05530057923904266,0.06666666666666667
prefill,6,conversation,math,0.07272355684759313,0.45454545454545453
prefill,6,general,math,0.11329699655657266,0.06666666666666667
prefill,7,code,conversation,0.12770091704057673,0.23076923076923078
prefill,7,code,general,0.21735395835322535,0.0
prefill,7,code,math,0.145568573161018,0.06666666666666667
prefill,7,conversation,general,0.05958139662233143,0.06666666666666667
prefill,7,conversation,math,0.0472706067296005,0.3333333333333333
prefill,7,general,math,0.09892063846617788,0.14285714285714285
prefill,8,code,conversation,0.09802291623854026,0.3333333333333333
prefill,8,code,general,0.17599830211752876,0.0
prefill,8,code,math,0.12693103998435523,0.06666666666666667
prefill,8,conversation,general,0.04073266532705498,0.06666666666666667
prefill,8,conversation,math,0.04263675493981031,0.3333333333333333
prefill,8,general,math,0.07920131769635091,0.06666666666666667
prefill,9,code,conversation,0.09553847001372645,0.45454545454545453
prefill,9,code,general,0.1885452129605237,0.06666666666666667
prefill,9,code,math,0.14115188318856858,0.06666666666666667
prefill,9,conversation,general,0.04071032504130556,0.14285714285714285
prefill,9,conversation,math,0.03519581301049743,0.23076923076923078
prefill,9,general,math,0.06104453196039719,0.06666666666666667
prefill,10,code,conversation,0.09451596977814516,0.23076923076923078
prefill,10,code,general,0.16597298946844677,0.06666666666666667
prefill,10,code,math,0.12325935752628622,0.0
prefill,10,conversation,general,0.03593210284238606,0.3333333333333333
prefill,10,conversation,math,0.024275139744745454,0.3333333333333333
prefill,10,general,math,0.05650858792002503,0.23076923076923078
prefill,11,code,conversation,0.11711296023099935,0.23076923076923078
prefill,11,code,general,0.20431841107282372,0.0
prefill,11,code,math,0.17311333623574002,0.06666666666666667
prefill,11,conversation,general,0.04913491500463715,0.3333333333333333
prefill,11,conversation,math,0.038831364705902635,0.45454545454545453
prefill,11,general,math,0.06519493834535942,0.3333333333333333
prefill,12,code,conversation,0.12372199219465624,0.14285714285714285
prefill,12,code,general,0.20568081770812452,0.06666666666666667
prefill,12,code,math,0.17071462972142593,0.14285714285714285
prefill,12,conversation,general,0.04145075974819799,0.3333333333333333
prefill,12,conversation,math,0.04382408125566015,0.3333333333333333
prefill,12,general,math,0.07296753653600241,0.23076923076923078
prefill,13,code,conversation,0.13902880468323303,0.23076923076923078
prefill,13,code,general,0.2277868487752424,0.0
prefill,13,code,math,0.1977628312491672,0.14285714285714285
prefill,13,conversation,general,0.048692025752573434,0.14285714285714285
prefill,13,conversation,math,0.044240349131797266,0.45454545454545453
prefill,13,general,math,0.08142306524528815,0.3333333333333333
prefill,14,code,conversation,0.12622550605120433,0.06666666666666667
prefill,14,code,general,0.22709987331068016,0.0
prefill,14,code,math,0.17664561555896058,0.0
prefill,14,conversation,general,0.043865415583697165,0.14285714285714285
prefill,14,conversation,math,0.03518324060788748,0.14285714285714285
prefill,14,general,math,0.06268503352595761,0.14285714285714285
prefill,15,code,conversation,0.13666939512233822,0.06666666666666667
prefill,15,code,general,0.22282533350297062,0.0
prefill,15,code,math,0.18183333752072,0.06666666666666667
prefill,15,conversation,general,0.04534117273871486,0.14285714285714285
prefill,15,conversation,math,0.03798244653667826,0.23076923076923078
prefill,15,general,math,0.06695231869744805,0.14285714285714285
