phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,0,1,6,9215,0.08276153182928582
prefill,__all__,0,2,41,4192,0.03764908751257365
prefill,__all__,0,3,21,3042,0.027320735737893377
prefill,__all__,0,4,53,2359,0.02118659290127892
prefill,__all__,0,5,40,2348,0.02108779997126024
prefill,__all__,0,6,25,2319,0.02082734588302917
prefill,__all__,0,7,54,2236,0.020081908320160942
prefill,__all__,0,8,58,2186,0.019632849547348757
prefill,__all__,0,9,61,2136,0.019183790774536573
prefill,__all__,0,10,29,2094,0.018806581405374334
prefill,__all__,0,11,13,2082,0.018698807299899412
prefill,__all__,0,12,24,2041,0.018330579106193418
prefill,__all__,0,13,19,1941,0.017432461560569046
prefill,__all__,0,14,22,1921,0.01725283805144417
prefill,__all__,0,15,7,1920,0.01724385687598793
prefill,__all__,0,16,18,1920,0.01724385687598793
prefill,__all__,0,17,43,1884,0.016920534559563157
prefill,__all__,0,18,17,1851,0.016624155769507112
prefill,__all__,0,19,46,1824,0.016381664032188534
prefill,__all__,0,20,49,1814,0.016291852277626095
prefill,__all__,0,21,8,1796,0.01613019111941371
prefill,__all__,0,22,0,1725,0.015492527662020405
prefill,__all__,0,23,60,1717,0.015420678258370455
prefill,__all__,0,24,36,1678,0.015070412415576951
prefill,__all__,0,25,38,1675,0.01504346888920822
prefill,__all__,0,26,5,1668,0.014980600661014514
prefill,__all__,0,27,39,1657,0.014881807730995832
prefill,__all__,0,28,59,1643,0.01475607127460842
prefill,__all__,0,29,55,1630,0.014639315993677253
prefill,__all__,0,30,33,1630,0.014639315993677253
prefill,__all__,0,31,20,1625,0.014594410116396034
prefill,__all__,0,32,26,1625,0.014594410116396034
prefill,__all__,0,33,12,1557,0.013983690185371461
prefill,__all__,0,34,32,1523,0.013678330219859175
prefill,__all__,0,35,45,1500,0.013471763184365569
prefill,__all__,0,36,51,1465,0.01315742204339704
prefill,__all__,0,37,14,1459,0.013103534990659577
prefill,__all__,0,38,52,1456,0.013076591464290846
prefill,__all__,0,39,31,1454,0.01305862911337836
prefill,__all__,0,40,30,1436,0.012896967955165973
prefill,__all__,0,41,62,1435,0.012887986779709728
prefill,__all__,0,42,16,1432,0.012861043253340997
prefill,__all__,0,43,27,1412,0.012681419744216124
prefill,__all__,0,44,44,1410,0.012663457393303636
prefill,__all__,0,45,57,1403,0.01260058916510993
prefill,__all__,0,46,47,1369,0.012295229199597644
prefill,__all__,0,47,10,1358,0.012196436269578963
prefill,__all__,0,48,42,1356,0.012178473918666475
prefill,__all__,0,49,37,1299,0.011666546917660583
prefill,__all__,0,50,48,1257,0.011289337548498347
prefill,__all__,0,51,2,1248,0.011208506969392153
prefill,__all__,0,52,4,1247,0.01119952579393591
prefill,__all__,0,53,15,1241,0.011145638741198447
prefill,__all__,0,54,50,1228,0.01102888346026728
prefill,__all__,0,55,3,1187,0.010660655266561287
prefill,__all__,0,56,1,1174,0.01054389998563012
prefill,__all__,0,57,11,1157,0.010391220002873977
prefill,__all__,0,58,56,1146,0.010292427072855295
prefill,__all__,0,59,63,1128,0.010130765914642908
prefill,__all__,0,60,35,1065,0.009564951860899555
prefill,__all__,0,61,9,942,0.008460267279781579
prefill,__all__,0,62,28,837,0.0075172438568759875
prefill,__all__,0,63,34,414,0.003718206638884897
prefill,__all__,0,64,23,355,0.0031883172869665182
prefill,__all__,1,1,18,4230,0.03799037217991091
prefill,__all__,1,2,25,3966,0.03561934185946257
prefill,__all__,1,3,47,3772,0.03387699382095129
prefill,__all__,1,4,11,3354,0.030122862480241413
prefill,__all__,1,5,15,3067,0.02754526512429947
prefill,__all__,1,6,42,2582,0.023189395028021267
prefill,__all__,1,7,5,2537,0.0227852421324903
prefill,__all__,1,8,29,2402,0.0215727834458974
prefill,__all__,1,9,21,2384,0.021411122287685012
prefill,__all__,1,10,37,2239,0.020108851846529673
prefill,__all__,1,11,40,2225,0.01998311539014226
prefill,__all__,1,12,32,2221,0.01994719068831729
prefill,__all__,1,13,27,2193,0.01969571777554246
prefill,__all__,1,14,48,2034,0.018267710877999714
prefill,__all__,1,15,60,2032,0.018249748527087224
prefill,__all__,1,16,17,2024,0.018177899123437275
prefill,__all__,1,17,31,2011,0.01806114384250611
prefill,__all__,1,18,19,1974,0.01772884035062509
prefill,__all__,1,19,53,1960,0.01760310389423768
prefill,__all__,1,20,45,1906,0.017118120419600518
prefill,__all__,1,21,62,1902,0.017082195717775542
prefill,__all__,1,22,59,1881,0.016893591033194426
prefill,__all__,1,23,23,1858,0.01668702399770082
prefill,__all__,1,24,41,1834,0.01647147578675097
prefill,__all__,1,25,35,1791,0.01608528524213249
prefill,__all__,1,26,9,1767,0.01586973703118264
prefill,__all__,1,27,44,1761,0.01581584997844518
prefill,__all__,1,28,12,1726,0.01550150883747665
prefill,__all__,1,29,14,1697,0.015241054749245581
prefill,__all__,1,30,24,1643,0.01475607127460842
prefill,__all__,1,31,1,1639,0.014720146572783446
prefill,__all__,1,32,63,1623,0.014576447765483546
prefill,__all__,1,33,39,1610,0.014459692484552379
prefill,__all__,1,34,8,1610,0.014459692484552379
prefill,__all__,1,35,49,1592,0.01429803132633999
prefill,__all__,1,36,61,1561,0.014019614887196436
prefill,__all__,1,37,34,1550,0.013920821957177755
prefill,__all__,1,38,7,1531,0.013750179623509124
prefill,__all__,1,39,20,1480,0.013292139675240695
prefill,__all__,1,40,54,1463,0.013139459692484553
prefill,__all__,1,41,51,1456,0.013076591464290846
prefill,__all__,1,42,30,1456,0.013076591464290846
prefill,__all__,1,43,16,1447,0.012995760885184653
prefill,__all__,1,44,13,1444,0.012968817358815922
prefill,__all__,1,45,50,1286,0.011549791636729416
prefill,__all__,1,46,36,1255,0.01127137519758586
prefill,__all__,1,47,52,1230,0.011046845811179767
prefill,__all__,1,48,58,1228,0.01102888346026728
prefill,__all__,1,49,3,1225,0.01100193993389855
prefill,__all__,1,50,2,1207,0.010840278775686161
prefill,__all__,1,51,55,1154,0.010364276476505245
prefill,__all__,1,52,4,1138,0.010220577669205345
prefill,__all__,1,53,0,1119,0.010049935335536716
prefill,__all__,1,54,26,1067,0.009582914211812042
prefill,__all__,1,55,22,1025,0.009205704842649806
prefill,__all__,1,56,6,1022,0.009178761316281075
prefill,__all__,1,57,56,964,0.00865785313981894
prefill,__all__,1,58,57,962,0.008639890788906451
prefill,__all__,1,59,46,945,0.008487210806150308
prefill,__all__,1,60,33,882,0.007921396752406955
prefill,__all__,1,61,28,878,0.00788547205058198
