phase,domain,layer_id,window_size,hotset_size,n_windows,mean_jaccard,min_jaccard,mean_static_coverage,mean_lagged_coverage,mean_oracle_coverage,mean_lagged_oracle_ratio
prefill,__all__,0,256,8,54,0.27693354863166186,0.06666666666666667,0.2499907871462264,0.22936320754716982,0.2966815300707547,0.7745166940455352
prefill,__all__,0,512,8,27,0.28277875970183664,0.14285714285714285,0.2509296123798077,0.2261681189903846,0.2771465594951923,0.8186473469588562
prefill,__all__,1,256,8,54,0.2888126548503907,0.06666666666666667,0.2324863649764151,0.20401864681603774,0.27631191037735847,0.7420947745419382
prefill,__all__,1,512,8,27,0.31959664267356575,0.06666666666666667,0.23325758713942307,0.20108736478365385,0.2575120192307692,0.7850393583630755
prefill,__all__,2,256,8,54,0.22507220243069298,0.0,0.21452130011792453,0.18447818396226415,0.2958984375,0.629627555681406
prefill,__all__,2,512,8,27,0.2568969492046415,0.06666666666666667,0.2162804236778846,0.18035419170673078,0.26253568209134615,0.6904432514507877
prefill,__all__,3,256,8,54,0.24892675458713193,0.0,0.22940927181603774,0.19143388856132076,0.2958800117924528,0.6513361225313598
prefill,__all__,3,512,8,27,0.26295755526524756,0.0,0.23162372295673078,0.18382850060096154,0.26785982572115385,0.697972131896341
prefill,__all__,4,256,8,54,0.25456807343599797,0.0,0.2544590212264151,0.20918705778301888,0.33647184551886794,0.6264728906976652
prefill,__all__,4,512,8,27,0.23490611952150414,0.0,0.25635704627403844,0.19971642127403846,0.30142916165865385,0.6796974116985252
prefill,__all__,5,256,8,54,0.23743384498101477,0.0,0.25675302181603776,0.2143001916273585,0.3539854805424528,0.6088622136960273
prefill,__all__,5,512,8,27,0.21458029150336844,0.06666666666666667,0.25961538461538464,0.2045616736778846,0.3118896484375,0.6582564352225826
prefill,__all__,6,256,8,54,0.31924930415496455,0.06666666666666667,0.2804761202830189,0.23934994103773585,0.36928803066037735,0.6482537786359
prefill,__all__,6,512,8,27,0.2959280036203113,0.14285714285714285,0.2834003155048077,0.22260929987980768,0.33059457632211536,0.6843311384713643
prefill,__all__,7,256,8,54,0.2560873089174976,0.0,0.2581994398584906,0.2123931308962264,0.3364442069575472,0.6339128813074496
prefill,__all__,7,512,8,27,0.29499218729987964,0.06666666666666667,0.2602351262019231,0.21056189903846154,0.2997859074519231,0.7110118864740453
prefill,__all__,8,256,8,54,0.24731746241180202,0.0,0.25492887676886794,0.21019125884433962,0.32789467865566035,0.6422092360206304
prefill,__all__,8,512,8,27,0.3239683393529547,0.14285714285714285,0.2572772686298077,0.21587665264423078,0.29439603365384615,0.7364835324340693
prefill,__all__,9,256,8,54,0.24064237649143308,0.0,0.24305350825471697,0.20517025353773585,0.31010465801886794,0.6600213781920987
prefill,__all__,9,512,8,27,0.2958938497400036,0.06666666666666667,0.24561485877403846,0.20777306189903846,0.2813157301682692,0.7452375208049753
prefill,__all__,10,256,8,54,0.26843052126070993,0.0,0.2247936320754717,0.19337780070754718,0.29031544811320753,0.6697048755871441
prefill,__all__,10,512,8,27,0.29248358479127706,0.0,0.22598970853365385,0.1923828125,0.2637376051682692,0.7387622707754716
prefill,__all__,11,256,8,54,0.297942309263064,0.0,0.2681585347877358,0.22513450766509435,0.34059920400943394,0.6593387083117473
prefill,__all__,11,512,8,27,0.3537138075599614,0.0,0.2711838942307692,0.221435546875,0.3095515324519231,0.723503824567772
prefill,__all__,12,256,8,54,0.2822577841445766,0.0,0.2501197670990566,0.21598614386792453,0.33346845518867924,0.6533308581763594
prefill,__all__,12,512,8,27,0.2694382540536387,0.06666666666666667,0.2521221454326923,0.20961350661057693,0.30063100961538464,0.7057778385482523
prefill,__all__,13,256,8,54,0.28145900221371917,0.0,0.24739276238207547,0.20935288915094338,0.34515956662735847,0.6122693784627782
prefill,__all__,13,512,8,27,0.2409419640188871,0.0,0.25049767127403844,0.19898399939903846,0.3064622145432692,0.6566906418105865
prefill,__all__,14,256,8,54,0.23491518963217076,0.0,0.22814711084905662,0.19069686025943397,0.3192622346698113,0.6087857683364836
prefill,__all__,14,512,8,27,0.19881742189434498,0.0,0.23039362980769232,0.16945237379807693,0.2847243088942308,0.609578335090716
prefill,__all__,15,256,8,54,0.2594185688525311,0.0,0.25534345518867924,0.21525832841981132,0.342395710495283,0.6393236825619832
prefill,__all__,15,512,8,27,0.2927790158559389,0.06666666666666667,0.2573805588942308,0.20729417067307693,0.3090256911057692,0.6774314955178161
prefill,code,0,256,8,17,0.4759129759129759,0.23076923076923078,0.3465576171875,0.32861328125,0.363677978515625,0.9028287321852673
prefill,code,0,512,8,8,0.5919191919191918,0.3333333333333333,0.34647042410714285,0.33670479910714285,0.35585239955357145,0.9486461371725267
prefill,code,1,256,8,17,0.5565656565656566,0.3333333333333333,0.382568359375,0.370819091796875,0.39739990234375,0.9312730167097312
prefill,code,1,512,8,8,0.640981240981241,0.45454545454545453,0.3828125,0.37451171875,0.39188058035714285,0.9553454870302079
prefill,code,2,256,8,17,0.7095959595959596,0.45454545454545453,0.422607421875,0.412750244140625,0.429351806640625,0.9615699659156409
prefill,code,2,512,8,8,0.7587301587301587,0.6,0.42396763392857145,0.41709681919642855,0.42710658482142855,0.9770280681131143
prefill,code,3,256,8,17,0.6775252525252525,0.45454545454545453,0.40252685546875,0.395233154296875,0.408416748046875,0.9676308228844722
prefill,code,3,512,8,8,0.7523809523809524,0.6,0.40419224330357145,0.39857700892857145,0.40712193080357145,0.9789251220590807
prefill,code,4,256,8,17,0.7186868686868687,0.45454545454545453,0.49993896484375,0.49407958984375,0.5076904296875,0.9728203063936489
prefill,code,4,512,8,8,0.726984126984127,0.6,0.49818638392857145,0.493408203125,0.502197265625,0.9823728914975115
prefill,code,5,256,8,17,0.6888888888888889,0.6,0.5218505859375,0.51654052734375,0.533843994140625,0.9672807679924174
prefill,code,5,512,8,8,0.7333333333333333,0.6,0.5228445870535714,0.5234026227678571,0.5301688058035714,0.987291814655901
prefill,code,6,256,8,17,0.7472222222222222,0.6,0.513031005859375,0.503448486328125,0.516143798828125,0.9750881788197417
prefill,code,6,512,8,8,0.8730158730158729,0.7777777777777778,0.5123814174107143,0.5106026785714286,0.5129743303571429,0.9954988234098623
prefill,code,7,256,8,17,0.673989898989899,0.45454545454545453,0.50115966796875,0.489776611328125,0.507965087890625,0.9629614752467327
prefill,code,7,512,8,8,0.8476190476190476,0.6,0.5037318638392857,0.5003487723214286,0.5063825334821429,0.9882125641787043
prefill,code,8,256,8,17,0.5254079254079254,0.23076923076923078,0.464019775390625,0.443634033203125,0.476715087890625,0.9288669288295508
prefill,code,8,512,8,8,0.6554112554112554,0.45454545454545453,0.46763392857142855,0.45692661830357145,0.47098214285714285,0.9704182915772895
prefill,code,9,256,8,17,0.6143939393939394,0.3333333333333333,0.486175537109375,0.4732666015625,0.494781494140625,0.9552626566323843
prefill,code,9,512,8,8,0.765079365079365,0.6,0.48716517857142855,0.47998046875,0.48978097098214285,0.9803494871209154
prefill,code,10,256,8,17,0.6085858585858586,0.45454545454545453,0.415008544921875,0.40521240234375,0.427215576171875,0.9488081050786212
prefill,code,10,512,8,8,0.6808080808080809,0.45454545454545453,0.41664341517857145,0.41001674107142855,0.42368861607142855,0.9679330522646676
prefill,code,11,256,8,17,0.628030303030303,0.45454545454545453,0.502288818359375,0.48870849609375,0.516021728515625,0.9470916599352504
prefill,code,11,512,8,8,0.7841269841269841,0.6,0.50244140625,0.4995814732142857,0.5095912388392857,0.9805061960897483
prefill,code,12,256,8,17,0.6964646464646465,0.45454545454545453,0.476654052734375,0.465179443359375,0.483551025390625,0.9610226292224076
prefill,code,12,512,8,8,0.7841269841269841,0.6,0.47537667410714285,0.46875,0.4765625,0.9837987755916214
prefill,code,13,256,8,17,0.702020202020202,0.45454545454545453,0.536376953125,0.523284912109375,0.540069580078125,0.9688705041090455
prefill,code,13,512,8,8,0.8730158730158729,0.7777777777777778,0.5311453683035714,0.5279017857142857,0.5318080357142857,0.9924103107753554
prefill,code,14,256,8,17,0.6212121212121212,0.45454545454545453,0.46826171875,0.46044921875,0.48114013671875,0.9557428412927294
prefill,code,14,512,8,8,0.8268398268398268,0.45454545454545453,0.4645298549107143,0.46365792410714285,0.47133091517857145,0.9834663653638007
prefill,code,15,256,8,17,0.7214646464646465,0.45454545454545453,0.4962158203125,0.486968994140625,0.505950927734375,0.9619985176130268
prefill,code,15,512,8,8,0.8222222222222222,0.6,0.49246651785714285,0.49183872767857145,0.4973842075892857,0.9884184736388938
prefill,conversation,0,256,8,7,0.2380952380952381,0.06666666666666667,0.2620442708333333,0.23933919270833334,0.2952473958333333,0.8085697469572982
prefill,conversation,0,512,8,3,0.28205128205128205,0.23076923076923078,0.2547607421875,0.22412109375,0.271728515625,0.8268967328713152
prefill,conversation,1,256,8,7,0.15714285714285714,0.0,0.19840494791666666,0.16219075520833334,0.2521158854166667,0.645890943697719
prefill,conversation,1,512,8,3,0.18681318681318682,0.14285714285714285,0.2003173828125,0.15966796875,0.220458984375,0.7308404932824308
prefill,conversation,2,256,8,7,0.2201058201058201,0.0,0.20882161458333334,0.16170247395833334,0.2806803385416667,0.5676105981412357
prefill,conversation,2,512,8,3,0.11538461538461539,0.0,0.2059326171875,0.150146484375,0.2491455078125,0.6126091771390052
prefill,conversation,3,256,8,7,0.1956043956043956,0.06666666666666667,0.21484375,0.17301432291666666,0.2837727864583333,0.6107609219462581
prefill,conversation,3,512,8,3,0.2987012987012987,0.14285714285714285,0.2042236328125,0.1767578125,0.2376708984375,0.7447715942812037
prefill,conversation,4,256,8,7,0.2439153439153439,0.0,0.23518880208333334,0.17415364583333334,0.308349609375,0.5699647791097222
prefill,conversation,4,512,8,3,0.23809523809523808,0.14285714285714285,0.223876953125,0.181640625,0.2564697265625,0.7154260894929221
prefill,conversation,5,256,8,7,0.19947089947089947,0.0,0.23152669270833334,0.17228190104166666,0.322998046875,0.5314022313203265
prefill,conversation,5,512,8,3,0.14871794871794872,0.06666666666666667,0.2147216796875,0.1619873046875,0.26123046875,0.6273600215563435
prefill,conversation,6,256,8,7,0.2506308506308506,0.06666666666666667,0.2587076822916667,0.20133463541666666,0.3544108072916667,0.5721906484364553
prefill,conversation,6,512,8,3,0.23809523809523808,0.14285714285714285,0.236328125,0.1868896484375,0.2958984375,0.6323860700419304
prefill,conversation,7,256,8,7,0.1821067821067821,0.06666666666666667,0.2571614583333333,0.1943359375,0.3370768229166667,0.5772032673459881
prefill,conversation,7,512,8,3,0.23809523809523808,0.14285714285714285,0.2391357421875,0.2059326171875,0.270751953125,0.7591022103043399
prefill,conversation,8,256,8,7,0.144011544011544,0.06666666666666667,0.23421223958333334,0.16389973958333334,0.3169759114583333,0.515585652190489
prefill,conversation,8,512,8,3,0.4666666666666667,0.3333333333333333,0.2176513671875,0.2080078125,0.246826171875,0.8431575474108937
prefill,conversation,9,256,8,7,0.1111111111111111,0.0,0.21207682291666666,0.14021809895833334,0.2972005208333333,0.472622866773777
prefill,conversation,9,512,8,3,0.2987012987012987,0.14285714285714285,0.198486328125,0.1700439453125,0.2340087890625,0.7281546252134488
prefill,conversation,10,256,8,7,0.1844932844932845,0.0,0.216064453125,0.16642252604166666,0.2818196614583333,0.5913493947114131
prefill,conversation,10,512,8,3,0.19999999999999998,0.06666666666666667,0.1951904296875,0.16259765625,0.223388671875,0.7283736342232856
prefill,conversation,11,256,8,7,0.20301180301180302,0.0,0.22705078125,0.161376953125,0.3177083333333333,0.5007593840345442
prefill,conversation,11,512,8,3,0.28205128205128205,0.23076923076923078,0.204833984375,0.1695556640625,0.2493896484375,0.6966056644880174
prefill,conversation,12,256,8,7,0.24004884004884006,0.0,0.23063151041666666,0.17822265625,0.30712890625,0.5698754914683251
prefill,conversation,12,512,8,3,0.18681318681318682,0.14285714285714285,0.2171630859375,0.1666259765625,0.2430419921875,0.7044632708925098
prefill,conversation,13,256,8,7,0.16984126984126982,0.0,0.21964518229166666,0.15592447916666666,0.2955729166666667,0.5405820884957874
prefill,conversation,13,512,8,3,0.23076923076923078,0.23076923076923078,0.1993408203125,0.17626953125,0.220947265625,0.7984646092430523
prefill,conversation,14,256,8,7,0.12735042735042734,0.0,0.20662434895833334,0.154541015625,0.2979329427083333,0.5218362764834092
prefill,conversation,14,512,8,3,0.19999999999999998,0.06666666666666667,0.202880859375,0.1474609375,0.2513427734375,0.6028560932611278
prefill,conversation,15,256,8,7,0.2158064158064158,0.06666666666666667,0.23502604166666666,0.17610677083333334,0.310546875,0.5711430454255365
prefill,conversation,15,512,8,3,0.28205128205128205,0.23076923076923078,0.2196044921875,0.1763916015625,0.2601318359375,0.6934220787952131
prefill,general,0,256,8,21,0.36725940725940726,0.14285714285714285,0.259912109375,0.244775390625,0.2833740234375,0.8677270128209219
prefill,general,0,512,8,10,0.46828973495640164,0.23076923076923078,0.2589789496527778,0.2506510416666667,0.26806640625,0.9362306199070548
prefill,general,1,256,8,21,0.36753912753912754,0.14285714285714285,0.23857421875,0.21552734375,0.2576416015625,0.839504494244917
prefill,general,1,512,8,10,0.5773806440473107,0.23076923076923078,0.2365451388888889,0.2255588107638889,0.24495442708333334,0.9252774072905188
prefill,general,2,256,8,21,0.27869130869130865,0.0,0.241943359375,0.208154296875,0.2912353515625,0.7232484686242613
prefill,general,2,512,8,10,0.3664853664853665,0.23076923076923078,0.23695203993055555,0.20157877604166666,0.2649739583333333,0.7695014352804646
prefill,general,3,256,8,21,0.29002997002997005,0.06666666666666667,0.228369140625,0.208154296875,0.2865234375,0.7337916747003408
prefill,general,3,512,8,10,0.32978132978132974,0.06666666666666667,0.22607421875,0.21226671006944445,0.2598198784722222,0.8242035865148971
prefill,general,4,256,8,21,0.32286380286380284,0.06666666666666667,0.2702880859375,0.243310546875,0.3260498046875,0.7459216093520131
prefill,general,4,512,8,10,0.427994227994228,0.14285714285714285,0.2696940104166667,0.2400173611111111,0.2972276475694444,0.8162897862280242
prefill,general,5,256,8,21,0.2755078255078255,0.0,0.2720703125,0.23466796875,0.3420654296875,0.697071299770364
prefill,general,5,512,8,10,0.3324749324749325,0.14285714285714285,0.2687174479166667,0.22694227430555555,0.3055284288194444,0.7480621684028346
prefill,general,6,256,8,21,0.3201509601509601,0.14285714285714285,0.2833984375,0.249169921875,0.3614013671875,0.6945364815018855
prefill,general,6,512,8,10,0.37850297850297854,0.06666666666666667,0.2810329861111111,0.24525282118055555,0.3223198784722222,0.767045667032909
prefill,general,7,256,8,21,0.29134865134865134,0.06666666666666667,0.25810546875,0.228515625,0.3248046875,0.7127577121507072
prefill,general,7,512,8,10,0.3345469345469345,0.14285714285714285,0.2547471788194444,0.2214626736111111,0.2943522135416667,0.753774754309481
prefill,general,8,256,8,21,0.3421511821511821,0.14285714285714285,0.2619384765625,0.2308837890625,0.309033203125,0.7541932027252521
prefill,general,8,512,8,10,0.4253006253006253,0.14285714285714285,0.2608506944444444,0.2366265190972222,0.2852105034722222,0.8347785951576536
prefill,general,9,256,8,21,0.29169497169497166,0.06666666666666667,0.233837890625,0.2066162109375,0.2638671875,0.7846252739782871
prefill,general,9,512,8,10,0.3822029822029822,0.14285714285714285,0.2299262152777778,0.2087673611111111,0.2434353298611111,0.8581783280868397
prefill,general,10,256,8,21,0.42650238650238653,0.14285714285714285,0.26181640625,0.242529296875,0.285107421875,0.8485728972382252
prefill,general,10,512,8,10,0.49584736251402917,0.3333333333333333,0.2584092881944444,0.24427625868055555,0.2675238715277778,0.9143320111699319
prefill,general,11,256,8,21,0.3402863802863803,0.06666666666666667,0.2715087890625,0.2386474609375,0.3133056640625,0.7607309014055492
prefill,general,11,512,8,10,0.4115958115958116,0.14285714285714285,0.2643771701388889,0.23497178819444445,0.2853732638888889,0.8360277524602736
prefill,general,12,256,8,21,0.31000999000999,0.06666666666666667,0.2734130859375,0.2526123046875,0.3207763671875,0.7965735754500538
prefill,general,12,512,8,10,0.4054390054390054,0.23076923076923078,0.2725423177083333,0.24772135416666666,0.296142578125,0.8409530610807543
prefill,general,13,256,8,21,0.3180563880563881,0.0,0.26904296875,0.2431396484375,0.3336181640625,0.7281111661484904
prefill,general,13,512,8,10,0.3567173567173567,0.14285714285714285,0.2625596788194444,0.22029622395833334,0.3056369357638889,0.7276430005927393
prefill,general,14,256,8,21,0.4162282162282162,0.14285714285714285,0.2825927734375,0.264892578125,0.3298583984375,0.8087663013082403
prefill,general,14,512,8,10,0.5365276698610031,0.23076923076923078,0.2798665364583333,0.2715386284722222,0.3068033854166667,0.8855311904181303
prefill,general,15,256,8,21,0.4143811743811744,0.14285714285714285,0.2972412109375,0.268310546875,0.3525390625,0.7664334114270126
prefill,general,15,512,8,10,0.44073210739877405,0.23076923076923078,0.2959526909722222,0.2599826388888889,0.322998046875,0.8126554837001234
prefill,math,0,256,8,7,0.6107744107744107,0.45454545454545453,0.3118489583333333,0.306640625,0.3177897135416667,0.9646902847937863
prefill,math,0,512,8,3,0.6888888888888889,0.6,0.306396484375,0.3037109375,0.307861328125,0.9865217719417403
prefill,math,1,256,8,7,0.6720538720538721,0.45454545454545453,0.2606608072916667,0.256591796875,0.263427734375,0.9730528026057416
prefill,math,1,512,8,3,0.7777777777777778,0.7777777777777778,0.2603759765625,0.258056640625,0.2618408203125,0.985633484162896
prefill,math,2,256,8,7,0.5070707070707071,0.3333333333333333,0.2661946614583333,0.2528483072916667,0.27734375,0.9113181277299008
prefill,math,2,512,8,3,0.4666666666666667,0.3333333333333333,0.2589111328125,0.2528076171875,0.2674560546875,0.9452148688153548
prefill,math,3,256,8,7,0.6053872053872054,0.45454545454545453,0.2906087239583333,0.2816569010416667,0.294921875,0.9552658323250864
prefill,math,3,512,8,3,0.6,0.6,0.2940673828125,0.2850341796875,0.295654296875,0.9643562546718392
prefill,math,4,256,8,7,0.4343434343434343,0.3333333333333333,0.32861328125,0.3057454427083333,0.3388671875,0.9018890696502795
prefill,math,4,512,8,3,0.6161616161616161,0.45454545454545453,0.32568359375,0.3125,0.3272705078125,0.9558761108678724
prefill,math,5,256,8,7,0.635016835016835,0.45454545454545453,0.362548828125,0.3536783854166667,0.3738606770833333,0.9460378500180308
prefill,math,5,512,8,3,0.7777777777777778,0.7777777777777778,0.3599853515625,0.352783203125,0.3619384765625,0.9751959503294845
prefill,math,6,256,8,7,0.8888888888888888,0.7777777777777778,0.403076171875,0.398681640625,0.4046223958333333,0.9848349300934962
prefill,math,6,512,8,3,0.8888888888888888,0.7777777777777778,0.4073486328125,0.3984375,0.4073486328125,0.9782479141835518
prefill,math,7,256,8,7,0.5757575757575758,0.45454545454545453,0.31982421875,0.3033040364583333,0.3311360677083333,0.9155844899322219
prefill,math,7,512,8,3,0.6888888888888889,0.6,0.315673828125,0.3089599609375,0.3193359375,0.9674012158054711
prefill,math,8,256,8,7,0.6053872053872054,0.45454545454545453,0.3352864583333333,0.3262532552083333,0.3388671875,0.9625578847376725
prefill,math,8,512,8,3,0.7777777777777778,0.7777777777777778,0.3323974609375,0.3323974609375,0.3343505859375,0.9941382818423503
prefill,math,9,256,8,7,0.46573426573426574,0.23076923076923078,0.2911783854166667,0.2828776041666667,0.2958984375,0.9561596205867081
prefill,math,9,512,8,3,0.6888888888888889,0.6,0.28955078125,0.286865234375,0.2908935546875,0.9862131886712695
prefill,math,10,256,8,7,0.46262626262626255,0.3333333333333333,0.25390625,0.24527994791666666,0.2615559895833333,0.9371950763909075
prefill,math,10,512,8,3,0.5272727272727272,0.45454545454545453,0.25732421875,0.2506103515625,0.2581787109375,0.9712228186404888
prefill,math,11,256,8,7,0.6592592592592593,0.6,0.3401692708333333,0.336181640625,0.3441569010416667,0.9768631619671956
prefill,math,11,512,8,3,0.7777777777777778,0.7777777777777778,0.335693359375,0.3353271484375,0.3402099609375,0.9855855145590244
prefill,math,12,256,8,7,0.7481481481481481,0.6,0.3505045572916667,0.3480631510416667,0.3558756510416667,0.9782456428290196
prefill,math,12,512,8,3,0.6888888888888889,0.6,0.3497314453125,0.34814453125,0.353271484375,0.9855573197901262
prefill,math,13,256,8,7,0.5757575757575758,0.45454545454545453,0.3224283854166667,0.31201171875,0.3299967447916667,0.9463230343368024
prefill,math,13,512,8,3,0.6888888888888889,0.6,0.316650390625,0.3131103515625,0.32080078125,0.9758620689655173
prefill,math,14,256,8,7,0.5124579124579124,0.3333333333333333,0.2582194010416667,0.2470703125,0.26904296875,0.9175240482944337
prefill,math,14,512,8,3,0.4666666666666667,0.3333333333333333,0.253662109375,0.240966796875,0.2581787109375,0.9332639698675804
prefill,math,15,256,8,7,0.5367003367003367,0.3333333333333333,0.29638671875,0.2850748697916667,0.311767578125,0.9141845698487403
prefill,math,15,512,8,3,0.6161616161616161,0.45454545454545453,0.2940673828125,0.278564453125,0.296142578125,0.9430379746835442
