phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,0,1,1,4.076415086557125,3.9515274242658136,0.12488766229131132,0.030636640194752453,668672
prefill,0,2,2,4.085655244857678,3.9792039081296844,0.10645133672799378,0.02605489948325338,668672
prefill,0,3,3,4.067395067353792,3.941444529594714,0.12595053775907816,0.030965897256943955,668672
prefill,0,4,4,4.036031861234903,3.9203474985716014,0.11568436266330195,0.028662896290394015,668672
prefill,0,5,5,4.02713410858475,3.9100841909428516,0.11704991764189865,0.029065314063512357,668672
prefill,0,6,6,3.9810961859489127,3.860067339215013,0.1210288467338998,0.030400884852032784,668672
prefill,0,7,7,4.009037142350299,3.886107514002406,0.1229296283478929,0.030663130318574542,668672
prefill,0,8,8,4.020653050148931,3.884528719247533,0.13612433090139753,0.0338562738946986,668672
prefill,0,9,9,4.041810110629685,3.9030495709866084,0.13876053964307644,0.03433128619232895,668672
prefill,0,10,10,4.070086895790399,3.935526442188236,0.13456045360216295,0.03306083065237154,668672
prefill,0,11,11,4.020197338082078,3.8987486473445743,0.12144869073750408,0.030209634135881448,668672
prefill,0,12,12,4.034366367047718,3.9199931230260208,0.11437324402169713,0.02834974159904906,668672
prefill,0,13,13,4.039174104726091,3.9427297222119324,0.09644438251415854,0.023877253124917907,668672
prefill,0,14,14,4.0564122667773175,3.9501426521911336,0.10626961458618389,0.026197932457839527,668672
prefill,0,15,15,4.034705254906871,3.938722941919951,0.09598231298692017,0.023789175893379012,668672
prefill,1,2,1,4.085655244857678,3.929246873396335,0.15640837146134334,0.03828232243976125,668672
prefill,1,3,2,4.067395067353792,3.8987978906708816,0.16859717668291063,0.04145089766079653,668672
prefill,1,4,3,4.036031861234903,3.877155426320433,0.15887643491447045,0.03936451454718177,668672
prefill,1,5,4,4.02713410858475,3.8673551557090753,0.159778952875675,0.03967559772471195,668672
prefill,1,6,5,3.9810961859489127,3.818520716851451,0.16257546909746168,0.04083686037811997,668672
prefill,1,7,6,4.009037142350299,3.8376453815964906,0.17139176075380824,0.04275135267350748,668672
prefill,1,8,7,4.020653050148931,3.8327501733292064,0.18790287681972417,0.04673441713971416,668672
prefill,1,9,8,4.041810110629685,3.8440359597264533,0.19777415090323158,0.04893207387034316,668672
prefill,1,10,9,4.070086895790399,3.865495685886859,0.20459120990354007,0.05026703732422623,668672
prefill,1,11,10,4.020197338082078,3.8432285695770037,0.1769687685050747,0.04401992082047929,668672
prefill,1,12,11,4.034366367047718,3.867712308231557,0.1666540588161607,0.04130860800778372,668672
prefill,1,13,12,4.039174104726091,3.9014009440419097,0.13777316068418122,0.034109240431844184,668672
prefill,1,14,13,4.0564122667773175,3.9043790199595856,0.1520332468177319,0.03747973253678112,668672
prefill,1,15,14,4.034705254906871,3.9033214566455015,0.13138379826136992,0.03256341912499938,668672
prefill,2,3,1,4.067395067353792,3.7998975158921233,0.26749755146166887,0.06576630669803614,668672
prefill,2,4,2,4.036031861234903,3.7827033996334603,0.25332846160144307,0.06276671500901686,668672
prefill,2,5,3,4.02713410858475,3.7762957276359463,0.25083838094880395,0.062287069212342595,668672
prefill,2,6,4,3.9810961859489127,3.727298046751966,0.2537981391969466,0.06375081820246266,668672
prefill,2,7,5,4.009037142350299,3.7425694222898085,0.26646772006049035,0.06646676261629085,668672
prefill,2,8,6,4.020653050148931,3.74429719134666,0.27635585880227076,0.06873407263828302,668672
prefill,2,9,7,4.041810110629685,3.743238730594792,0.2985713800348928,0.0738707093758983,668672
prefill,2,10,8,4.070086895790399,3.7723596306408855,0.29772726514951353,0.07315010042106135,668672
prefill,2,11,9,4.020197338082078,3.7566473398709412,0.2635499982111371,0.06555648294042932,668672
prefill,2,12,10,4.034366367047718,3.7898108202286958,0.24455554681902214,0.06061808090026881,668672
prefill,2,13,11,4.039174104726091,3.836584855403821,0.20258924932227007,0.05015610718172008,668672
prefill,2,14,12,4.0564122667773175,3.826798266215077,0.22961400056224068,0.05660519332386825,668672
prefill,2,15,13,4.034705254906871,3.8362155515125895,0.19848970339428185,0.04919558948026883,668672
prefill,3,4,1,4.036031861234903,3.719375474015572,0.3166563872193313,0.07845735566677219,668672
prefill,3,5,2,4.02713410858475,3.707617244784438,0.3195168638003123,0.07934100409499391,668672
prefill,3,6,3,3.9810961859489127,3.6520121058431556,0.32908408010575707,0.08266167526101065,668672
prefill,3,7,4,4.009037142350299,3.6695501424285677,0.33948699992173115,0.0846804326992857,668672
prefill,3,8,5,4.020653050148931,3.6567400323711867,0.3639130177777439,0.09051092278759641,668672
prefill,3,9,6,4.041810110629685,3.659871195573296,0.3819389150563888,0.09449699629676206,668672
prefill,3,10,7,4.070086895790399,3.694721093368741,0.37536580242165796,0.09222550083878811,668672
prefill,3,11,8,4.020197338082078,3.6956131713433606,0.3245841667387177,0.08073836666275878,668672
prefill,3,12,9,4.034366367047718,3.7331878712293376,0.3011784958183803,0.07465323384568509,668672
prefill,3,13,10,4.039174104726091,3.790190855974368,0.24898324875172317,0.06164211848664729,668672
prefill,3,14,11,4.0564122667773175,3.776393265633606,0.2800190011437116,0.06903119868685764,668672
prefill,3,15,12,4.034705254906871,3.7919555696644505,0.2427496852424209,0.060165407360846745,668672
prefill,4,5,1,4.02713410858475,3.6919242548676485,0.33520985371710177,0.08323781743511494,668672
prefill,4,6,2,3.9810961859489127,3.64200895691528,0.33908722903363264,0.08517433721657484,668672
prefill,4,7,3,4.009037142350299,3.662064956360397,0.34697218598990176,0.0865475109533381,668672
prefill,4,8,4,4.020653050148931,3.658754066194845,0.3618989839540858,0.09001000072380794,668672
prefill,4,9,5,4.041810110629685,3.6655317751798138,0.3762783354498711,0.09309649022359678,668672
prefill,4,10,6,4.070086895790399,3.7094235867382634,0.3606633090521356,0.08861317172986201,668672
prefill,4,11,7,4.020197338082078,3.6993164158447147,0.32088092223736364,0.07981720678180608,668672
prefill,4,12,8,4.034366367047718,3.7369879519376474,0.29737841511007046,0.07371130632533184,668672
prefill,4,13,9,4.039174104726091,3.7870286135197087,0.2521454912063823,0.06242501181401317,668672
prefill,4,14,10,4.0564122667773175,3.782465815546939,0.2739464512303784,0.0675341738496466,668672
prefill,4,15,11,4.034705254906871,3.794649794627154,0.24005546027971736,0.05949764483731992,668672
prefill,5,6,1,3.9810961859489127,3.600964050186425,0.3801321357624876,0.09548428824808244,668672
prefill,5,7,2,4.009037142350299,3.6211483052179037,0.3878888371323952,0.0967536152346534,668672
prefill,5,8,3,4.020653050148931,3.6221275059303135,0.3985255442186171,0.09911960550882527,668672
prefill,5,9,4,4.041810110629685,3.6372066129687486,0.4046034976609363,0.10010452905663646,668672
prefill,5,10,5,4.070086895790399,3.687156378455264,0.38293051733513517,0.09408411346971284,668672
prefill,5,11,6,4.020197338082078,3.6717682479114404,0.34842909017063795,0.08666964849463422,668672
prefill,5,12,7,4.034366367047718,3.70715783633415,0.3272085307135679,0.08110530897396254,668672
prefill,5,13,8,4.039174104726091,3.7652400825897954,0.2739340221362956,0.06781931529412791,668672
prefill,5,14,9,4.0564122667773175,3.751111481102781,0.30530078567453645,0.07526374677815666,668672
prefill,5,15,10,4.034705254906871,3.7666885070039418,0.2680167479029296,0.06642783821122417,668672
prefill,6,7,1,4.009037142350299,3.600273233179507,0.408763909170792,0.10196061913538522,668672
prefill,6,8,2,4.020653050148931,3.5948984868851235,0.4257545632638071,0.10589189317094559,668672
prefill,6,9,3,4.041810110629685,3.610180524194039,0.43162958643564586,0.10679115906521425,668672
prefill,6,10,4,4.070086895790399,3.6563864187817554,0.41370047700864365,0.10164413871274466,668672
prefill,6,11,5,4.020197338082078,3.65073549700233,0.36946184107974833,0.09190141926117688,668672
prefill,6,12,6,4.034366367047718,3.690958202797735,0.3434081642499831,0.08512071859782122,668672
prefill,6,13,7,4.039174104726091,3.746872311745913,0.2923017929801781,0.07236672285014067,668672
