phase,domain,source_layer,target_layer,delta,capacity,baseline,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
prefill,code,0,1,1,8,domain_oracle,1033,8,0.35503388189738627,0.0,1.0,2.816632583503749,0.0,1.0
prefill,code,0,1,1,8,previous_window,1033,8,0.3452323330106486,0.0,1.0,2.8966000701016474,0.001816860465116279,0.997380784590087
prefill,code,0,1,1,8,static,1033,8,0.3383349467570184,0.0,1.0,2.955650929899857,0.0,1.0
prefill,code,0,1,1,8,transition,1033,8,0.45619554695062925,0.0,1.0,2.1920424403183025,0.2913032945736434,0.56873354896611
prefill,code,0,1,1,16,domain_oracle,1033,8,0.4935866408518877,0.00968054211035818,2.0,4.051973522922285,0.0,1.0
prefill,code,0,1,1,16,previous_window,1033,8,0.4712003872216844,0.002904162633107454,2.0,4.244478685156651,0.001998546511627907,0.9972049397630794
prefill,code,0,1,1,16,static,1033,8,0.45776863504356247,0.0,2.0,4.369019296854348,0.0,1.0
prefill,code,0,1,1,16,transition,1033,8,0.6323814133591481,0.05227492739593417,2.0,3.162648296976655,0.3349079457364341,0.5116931301228828
prefill,code,0,1,1,32,domain_oracle,1033,8,0.7152710551790901,0.08906098741529525,4.0,5.592285569277618,0.0,1.0
prefill,code,0,1,1,32,previous_window,1033,8,0.6904646660212972,0.06389157792836399,4.0,5.793200140203295,0.0013020833333333333,0.9979505117054747
prefill,code,0,1,1,32,static,1033,8,0.66202807357212,0.057115198451113264,4.0,6.04203984646317,0.0,1.0
prefill,code,0,1,1,32,transition,1033,8,0.7981606969990319,0.21200387221684414,4.0,5.011522134627047,0.21002906976744187,0.6585619431425287
prefill,code,0,2,2,8,domain_oracle,1033,8,0.40029041626331074,0.0,1.0,2.498186215235792,0.0,1.0
prefill,code,0,2,2,8,previous_window,1033,8,0.38552758954501454,0.0,1.0,2.593848085373509,0.0015746124031007752,0.9976939942056223
prefill,code,0,2,2,8,static,1033,8,0.3792352371732817,0.0,1.0,2.6368857689853225,0.0,1.0
prefill,code,0,2,2,8,transition,1033,8,0.4866892545982575,0.0,1.0,2.054699154649428,0.3017199612403101,0.5548664513780823
prefill,code,0,2,2,16,domain_oracle,1033,8,0.5707889641819942,0.003872216844143272,2.0,3.5039219843120626,0.0,1.0
prefill,code,0,2,2,16,previous_window,1033,8,0.5450145208131656,0.005808325266214908,2.0,3.669626998223801,0.0012718023255813954,0.998010441890491
prefill,code,0,2,2,16,static,1033,8,0.5047192642787997,0.0,2.0,3.9625988971469672,0.0,1.0
prefill,code,0,2,2,16,transition,1033,8,0.6596079380445304,0.07163601161665054,2.0,3.032104201064025,0.28464147286821706,0.5720010815276287
prefill,code,0,2,2,32,domain_oracle,1033,8,0.792110358180058,0.19264278799612777,4.0,5.049801405438435,0.0,1.0
prefill,code,0,2,2,32,previous_window,1033,8,0.7654888673765731,0.11907066795740562,4.0,5.225418906101802,0.0010598352713178294,0.9982712611500264
prefill,code,0,2,2,32,static,1033,8,0.7202323330106486,0.12584704743465633,4.0,5.553763440860215,0.0,1.0
