phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
prefill,__domain_balanced__,1,8,domain_oracle,60,0.29454178458646196,0.0,1.0,3.9294059048616554,0.0
prefill,__domain_balanced__,1,8,previous_window,60,0.2855127817777073,3.2268473701193935e-05,1.0,4.001483318462719,0.0020184767976316816
prefill,__domain_balanced__,1,8,static,60,0.2211094990038715,0.0,1.0,5.663250306868114,0.0
prefill,__domain_balanced__,1,8,transition,60,0.5656379573434057,0.011098615146601357,1.0,1.8571709879176939,0.51596980179437
prefill,__domain_balanced__,1,16,domain_oracle,60,0.4684313502182642,0.0345328556180361,2.0,4.570470837858535,0.0
prefill,__domain_balanced__,1,16,previous_window,60,0.45491505415472683,0.024832634506295234,2.0,4.651625023289265,0.0016025597889352458
prefill,__domain_balanced__,1,16,static,60,0.3802989849759801,0.005228190374143591,2.0,5.731314355366954,0.0
prefill,__domain_balanced__,1,16,transition,60,0.7722793446535107,0.22154442517094006,2.0,2.6453786932163945,0.4189278877963229
prefill,__domain_balanced__,1,32,domain_oracle,60,0.7272661077572463,0.17443685481553392,4.0,5.591647683093699,0.0
prefill,__domain_balanced__,1,32,previous_window,60,0.7114689108687824,0.1478572826963627,4.0,5.699948953881231,0.000999311744839603
prefill,__domain_balanced__,1,32,static,60,0.6558944768339049,0.09335337078933746,4.0,6.195892703351944,0.0
prefill,__domain_balanced__,1,32,transition,60,0.9236110879926948,0.6140864549467634,4.0,4.3502911480466695,0.2695150550639378
prefill,__domain_balanced__,2,8,domain_oracle,56,0.2975716203984885,0.0,1.0,3.9037560088083305,0.0
prefill,__domain_balanced__,2,8,previous_window,56,0.2883552799754497,3.4573364679850644e-05,1.0,3.981065925110807,0.0019974014753659335
prefill,__domain_balanced__,2,8,static,56,0.22174140426627806,0.0,1.0,5.696193679777304,0.0
prefill,__domain_balanced__,2,8,transition,56,0.5505270970741434,0.006554308480262908,1.0,1.9383855030416812,0.505658362682969
prefill,__domain_balanced__,2,16,domain_oracle,56,0.4724050127222394,0.036826621338782284,2.0,4.54445063820079,0.0
prefill,__domain_balanced__,2,16,previous_window,56,0.4592676232746615,0.026542629304963213,2.0,4.616230558781923,0.0015823693115641598
prefill,__domain_balanced__,2,16,static,56,0.38165955802282486,0.005559216527437526,2.0,5.735740771881774,0.0
prefill,__domain_balanced__,2,16,transition,56,0.7567482606633057,0.20783260405490353,2.0,2.726335564359927,0.40849826394282973
prefill,__domain_balanced__,2,32,domain_oracle,56,0.7311672471037344,0.18300683316270674,4.0,5.5654067314226054,0.0
prefill,__domain_balanced__,2,32,previous_window,56,0.7153933388524828,0.15496814072243162,4.0,5.671130473196248,0.0009895675851902624
prefill,__domain_balanced__,2,32,static,56,0.6569896372229557,0.09614780223851552,4.0,6.192245767314999,0.0
prefill,__domain_balanced__,2,32,transition,56,0.9172751593279761,0.6000299606225107,4.0,4.386871000926892,0.26369875823333305
prefill,__domain_balanced__,3,8,domain_oracle,52,0.30129513548808334,0.0,1.0,3.843944562293939,0.0
prefill,__domain_balanced__,3,8,previous_window,52,0.2917065092093586,3.7232854270608387e-05,1.0,3.93209656754145,0.0019717324949034653
prefill,__domain_balanced__,3,8,static,52,0.22470816939075294,0.0,1.0,5.584313548847387,0.0
prefill,__domain_balanced__,3,8,transition,52,0.5379272386546885,0.008710252246352385,1.0,1.9649834512415423,0.49898855348262894
prefill,__domain_balanced__,3,16,domain_oracle,52,0.47707721838016565,0.039559331630660215,2.0,4.494266139756428,0.0
prefill,__domain_balanced__,3,16,previous_window,52,0.4639592302221048,0.02847267145791779,2.0,4.566430102294651,0.0015505909935596167
prefill,__domain_balanced__,3,16,static,52,0.38642225406021813,0.005986848568009643,2.0,5.648811483614744,0.0
prefill,__domain_balanced__,3,16,transition,52,0.7489110974389486,0.20149591521878962,2.0,2.7343981844938985,0.4002638078170634
prefill,__domain_balanced__,3,32,domain_oracle,52,0.7349463098421055,0.19061204778064514,4.0,5.537213545686408,0.0
prefill,__domain_balanced__,3,32,previous_window,52,0.7195762220056519,0.16286637833989667,4.0,5.637675655841514,0.0009678783822519386
prefill,__domain_balanced__,3,32,static,52,0.6620590273043173,0.09950575844493739,4.0,6.139067656255192,0.0
prefill,__domain_balanced__,3,32,transition,52,0.9115382883486837,0.5784536680165528,4.0,4.408959113079664,0.25582226395371577
prefill,__domain_balanced__,4,8,domain_oracle,48,0.3043842268042984,0.0,1.0,3.821011837050857,0.0
prefill,__domain_balanced__,4,8,previous_window,48,0.2949968786963709,4.0335592126492416e-05,1.0,3.8972655134855922,0.0019306736937898053
prefill,__domain_balanced__,4,8,static,48,0.22529951226816813,0.0,1.0,5.596943568397568,0.0
prefill,__domain_balanced__,4,8,transition,48,0.5213935641188094,0.009055152547963163,1.0,2.0580577011029457,0.47984005081342307
prefill,__domain_balanced__,4,16,domain_oracle,48,0.4802066220028692,0.04278155032280328,2.0,4.476164636202944,0.0
prefill,__domain_balanced__,4,16,previous_window,48,0.46714633065978745,0.03067016282201608,2.0,4.543136637964403,0.0015319464639534524
prefill,__domain_balanced__,4,16,static,48,0.38597811371295626,0.006465584819280535,2.0,5.676483959594575,0.0
prefill,__domain_balanced__,4,16,transition,48,0.7313082787702522,0.18365094977756594,2.0,2.8174356794796793,0.3880039122626862
prefill,__domain_balanced__,4,32,domain_oracle,48,0.7360397522648335,0.19599316237034423,4.0,5.532888996801596,0.0
prefill,__domain_balanced__,4,32,previous_window,48,0.7210694989347033,0.16896973981826688,4.0,5.6287548742506806,0.0009672378933072178
prefill,__domain_balanced__,4,32,static,48,0.6614341093564553,0.10273298489439242,4.0,6.151045580953944,0.0
prefill,__domain_balanced__,4,32,transition,48,0.9034744186772321,0.5595546490590032,4.0,4.457020765913232,0.25188900111910656
prefill,__domain_balanced__,5,8,domain_oracle,44,0.30485043290214303,0.0,1.0,3.7975213224510416,0.0
prefill,__domain_balanced__,5,8,previous_window,44,0.2951653303206055,4.400246413799173e-05,1.0,3.8987458385566103,0.001888692880721594
prefill,__domain_balanced__,5,8,static,44,0.22522839786055399,0.0,1.0,5.6295459421947776,0.0
prefill,__domain_balanced__,5,8,transition,44,0.5106569893579583,0.007180904282180062,1.0,2.0923591889528024,0.4700253829765932
prefill,__domain_balanced__,5,16,domain_oracle,44,0.48128715550684403,0.04452112740206692,2.0,4.464300868881318,0.0
prefill,__domain_balanced__,5,16,previous_window,44,0.46684782314367634,0.03163403947107808,2.0,4.546245170243361,0.001527821378474123
prefill,__domain_balanced__,5,16,static,44,0.385342148843362,0.006833352936706988,2.0,5.692549392919836,0.0
prefill,__domain_balanced__,5,16,transition,44,0.7200877596789917,0.17637666968139734,2.0,2.8573454763850723,0.3829608425324286
prefill,__domain_balanced__,5,32,domain_oracle,44,0.7360698109689255,0.1993376583366597,4.0,5.534684697993604,0.0
prefill,__domain_balanced__,5,32,previous_window,44,0.7209189848760956,0.1727404466116342,4.0,5.630353840460982,0.0009614604384024707
prefill,__domain_balanced__,5,32,static,44,0.6621833192782532,0.10478309311783005,4.0,6.141523874155359,0.0
prefill,__domain_balanced__,5,32,transition,44,0.8976408798907746,0.5415969682923651,4.0,4.487465898879206,0.24809731562913126
prefill,__domain_balanced__,6,8,domain_oracle,40,0.303654001429105,0.0,1.0,3.8006982471842905,0.0
prefill,__domain_balanced__,6,8,previous_window,40,0.29443306052186374,4.84027105517909e-05,1.0,3.8969348211645944,0.0018847229699901144
prefill,__domain_balanced__,6,8,static,40,0.22494403661130885,0.0,1.0,5.581106556850696,0.0
prefill,__domain_balanced__,6,8,transition,40,0.49506039560673276,0.007610413292072894,1.0,2.1442570560265435,0.4552455832918061
prefill,__domain_balanced__,6,16,domain_oracle,40,0.47980608150794,0.04609121255648075,2.0,4.475751432980172,0.0
prefill,__domain_balanced__,6,16,previous_window,40,0.4669651165922315,0.03283675842602788,2.0,4.542207408341288,0.00150386795994715
prefill,__domain_balanced__,6,16,static,40,0.38537849487908427,0.007202070611791046,2.0,5.679436012720492,0.0
prefill,__domain_balanced__,6,16,transition,40,0.7086646215287082,0.17389387148994345,2.0,2.894372788240321,0.37328007853034134
prefill,__domain_balanced__,6,32,domain_oracle,40,0.7367960560568565,0.20011454875820206,4.0,5.5207986685781565,0.0
prefill,__domain_balanced__,6,32,previous_window,40,0.7221719705676467,0.17494674668260643,4.0,5.6157105000321135,0.0009550699490110729
prefill,__domain_balanced__,6,32,static,40,0.664191043828129,0.10321584342933003,4.0,6.1116446175972055,0.0
prefill,__domain_balanced__,6,32,transition,40,0.8912920735141577,0.5170932372485743,4.0,4.512671983879268,0.24083446716603313
prefill,__domain_balanced__,7,8,domain_oracle,36,0.30011692021844616,0.0,1.0,3.828820122370192,0.0
prefill,__domain_balanced__,7,8,previous_window,36,0.2896071031430537,5.378078950198989e-05,1.0,3.9522731114005714,0.0019151252382382349
prefill,__domain_balanced__,7,8,static,36,0.21938149849535396,0.0,1.0,5.670992916766628,0.0
prefill,__domain_balanced__,7,8,transition,36,0.48413808248155565,0.008711518520124743,1.0,2.1582293694353782,0.4526284268742432
prefill,__domain_balanced__,7,16,domain_oracle,36,0.47668086328554626,0.04845928303652971,2.0,4.493270167032609,0.0
prefill,__domain_balanced__,7,16,previous_window,36,0.46335609910835174,0.033723687791070364,2.0,4.563084263729685,0.0014907187119691395
prefill,__domain_balanced__,7,16,static,36,0.38059881698716497,0.00640351559601205,2.0,5.723444938754088,0.0
prefill,__domain_balanced__,7,16,transition,36,0.6979786120449097,0.16167490995582304,2.0,2.927667298009609,0.3713421047823908
prefill,__domain_balanced__,7,32,domain_oracle,36,0.7341409023154275,0.195202196595833,4.0,5.529740186967123,0.0
prefill,__domain_balanced__,7,32,previous_window,36,0.7199578219997942,0.17234173921953533,4.0,5.624486525080718,0.000950865583508652
prefill,__domain_balanced__,7,32,static,36,0.6611089514390546,0.1037691460546436,4.0,6.1348105523250425,0.0
prefill,__domain_balanced__,7,32,transition,36,0.8848178879043248,0.4991151278851798,4.0,4.542542890047494,0.23519570905205806
prefill,__domain_balanced__,8,8,domain_oracle,32,0.29920110286817947,0.0,1.0,3.8480625248372604,0.0
prefill,__domain_balanced__,8,8,previous_window,32,0.2879679313805461,3.0251694094869314e-05,1.0,3.989398439159046,0.0019340398636405875
prefill,__domain_balanced__,8,8,static,32,0.2167950534533882,0.0,1.0,5.7630928781886706,0.0
prefill,__domain_balanced__,8,8,transition,32,0.46657881174684984,0.006647125230901936,1.0,2.2336491155148748,0.435519297734906
prefill,__domain_balanced__,8,16,domain_oracle,32,0.47433187293849655,0.049412578810484206,2.0,4.522566412792267,0.0
prefill,__domain_balanced__,8,16,previous_window,32,0.4620578145446032,0.03417617196073374,2.0,4.574809690972396,0.0014891938456751176
prefill,__domain_balanced__,8,16,static,32,0.37915149381012203,0.00702244488094434,2.0,5.743323625544694,0.0
prefill,__domain_balanced__,8,16,transition,32,0.6861753758988701,0.1450397387510288,2.0,2.960358104114788,0.3646314236645307
prefill,__domain_balanced__,8,32,domain_oracle,32,0.7313140700571583,0.19295682693722205,4.0,5.547715162702382,0.0
prefill,__domain_balanced__,8,32,previous_window,32,0.7174194016771046,0.17081684493068838,4.0,5.641041603216027,0.0009684791924255237
prefill,__domain_balanced__,8,32,static,32,0.6601820483979881,0.1018359771472434,4.0,6.140524614036339,0.0
prefill,__domain_balanced__,8,32,transition,32,0.8808985526660477,0.48609642757043137,4.0,4.554008382814843,0.23457854498253955
prefill,__domain_balanced__,9,8,domain_oracle,28,0.298807215122153,0.0,1.0,3.8648508909202177,0.0
prefill,__domain_balanced__,9,8,previous_window,28,0.2870984977081747,3.4573364679850644e-05,1.0,4.027318241689355,0.0019142348519374283
prefill,__domain_balanced__,9,8,static,28,0.21444721674072684,0.0,1.0,5.847768890133701,0.0
prefill,__domain_balanced__,9,8,transition,28,0.451502105740657,0.007354566991553802,1.0,2.319095271979516,0.42298161661016814
prefill,__domain_balanced__,9,16,domain_oracle,28,0.4749325882644969,0.05139098549766365,2.0,4.506814804087558,0.0
prefill,__domain_balanced__,9,16,previous_window,28,0.46215136882701324,0.034546852473702885,2.0,4.572997452194954,0.0015014507536304843
prefill,__domain_balanced__,9,16,static,28,0.3769078741608987,0.007956504563148116,2.0,5.800665142279324,0.0
prefill,__domain_balanced__,9,16,transition,28,0.6606293562708462,0.12658431077937352,2.0,3.081167636035851,0.35230378131503076
prefill,__domain_balanced__,9,32,domain_oracle,28,0.7318504876725587,0.19521147757455923,4.0,5.542708737329909,0.0
prefill,__domain_balanced__,9,32,previous_window,28,0.7179956109680435,0.17257614574732563,4.0,5.634559637196314,0.0009734824442895071
prefill,__domain_balanced__,9,32,static,28,0.6564770942388971,0.10248699153933763,4.0,6.178580628643526,0.0
prefill,__domain_balanced__,9,32,transition,28,0.8720892573120078,0.45827725232213595,4.0,4.598917604617481,0.23293100198904157
prefill,__domain_balanced__,10,8,domain_oracle,24,0.30186990527730334,0.0,1.0,3.7986657527646064,0.0
prefill,__domain_balanced__,10,8,previous_window,24,0.289586028519439,4.0335592126492416e-05,1.0,3.976453313530241,0.0018700113961817135
prefill,__domain_balanced__,10,8,static,24,0.21471685693674536,0.0,1.0,5.798778003705226,0.0
prefill,__domain_balanced__,10,8,transition,24,0.43101515653378125,0.006434137918958604,1.0,2.4381954603450406,0.40581792664597155
prefill,__domain_balanced__,10,16,domain_oracle,24,0.4801155688717598,0.05176802454559629,2.0,4.437179991868034,0.0
prefill,__domain_balanced__,10,16,previous_window,24,0.46627244322044054,0.035222376611381986,2.0,4.524158649170439,0.0015054865581430805
prefill,__domain_balanced__,10,16,static,24,0.37974520669448314,0.0078708429325789,2.0,5.731001836681336,0.0
prefill,__domain_balanced__,10,16,transition,24,0.6345347450960658,0.10931608520759369,2.0,3.2223482362334397,0.3300347524753336
prefill,__domain_balanced__,10,32,domain_oracle,24,0.7348482064085534,0.2003038554432864,4.0,5.518473072500452,0.0
prefill,__domain_balanced__,10,32,previous_window,24,0.7216158327962384,0.17879742597708448,4.0,5.604084450317996,0.0009644990490643397
prefill,__domain_balanced__,10,32,static,24,0.6588531909521912,0.10719366125854081,4.0,6.154236132162466,0.0
prefill,__domain_balanced__,10,32,transition,24,0.8522954288877146,0.4094561821069522,4.0,4.713375938264067,0.2144909513348562
prefill,__domain_balanced__,11,8,domain_oracle,20,0.30951900884485584,0.0,1.0,3.7438340833322252,0.0
prefill,__domain_balanced__,11,8,previous_window,20,0.2964403738399735,4.84027105517909e-05,1.0,3.934440457934697,0.0018857245690843249
