train_checkpoint,eval_checkpoint,phase,domain,source_layer,target_layer,delta,capacity,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
base,base,prefill,code,0,1,1,8,1033,8,0.45619554695062925,0.0,1.0,2.1920424403183025,0.2913032945736434,0.56873354896611
base,base,prefill,code,0,1,1,16,1033,8,0.6323814133591481,0.05227492739593417,2.0,3.162648296976655,0.3349079457364341,0.5116931301228828
base,base,prefill,code,0,1,1,32,1033,8,0.7981606969990319,0.21200387221684414,4.0,5.011522134627047,0.21002906976744187,0.6585619431425287
base,base,prefill,code,0,2,2,8,1033,8,0.4866892545982575,0.0,1.0,2.054699154649428,0.3017199612403101,0.5548664513780823
base,base,prefill,code,0,2,2,16,1033,8,0.6596079380445304,0.07163601161665054,2.0,3.032104201064025,0.28464147286821706,0.5720010815276287
base,base,prefill,code,0,2,2,32,1033,8,0.8299854791868344,0.25556631171345595,4.0,4.819361422947952,0.19207243217054262,0.6832495745775309
base,base,prefill,code,0,3,3,8,1033,8,0.4728944820909971,0.0,1.0,2.1146366427840326,0.3062015503875969,0.5505587435820022
base,base,prefill,code,0,3,3,16,1033,8,0.670619554695063,0.08325266214908035,2.0,2.982316853121617,0.2813711240310077,0.5740827900519715
base,base,prefill,code,0,3,3,32,1033,8,0.8491045498547919,0.345595353339787,4.0,4.710845090494513,0.17320736434108527,0.7121379999055554
base,base,prefill,code,0,4,4,8,1033,8,0.550701839303001,0.01452081316553727,1.0,1.8158646451329379,0.2479408914728682,0.6190503725387515
base,base,prefill,code,0,4,4,16,1033,8,0.7357212003872217,0.09486931268151017,2.0,2.718421052631579,0.23043846899224807,0.6360691320981803
base,base,prefill,code,0,4,4,32,1033,8,0.8973862536302033,0.4220716360116166,4.0,4.457389428263214,0.14053415697674418,0.7581727523796373
base,base,prefill,code,0,5,5,8,1033,8,0.5813165537270087,0.0,1.0,1.720233139050791,0.2323158914728682,0.6473013205571411
base,base,prefill,code,0,5,5,16,1033,8,0.7461277831558567,0.16844143272023232,2.0,2.6805060006487187,0.23328488372093023,0.6350485081451442
base,base,prefill,code,0,5,5,32,1033,8,0.882865440464666,0.46079380445304935,4.0,4.530701754385965,0.1325702519379845,0.771662124352825
base,base,prefill,code,0,6,6,8,1033,8,0.5575992255566312,0.002904162633107454,1.0,1.7934027777777777,0.17332848837209303,0.717373797606366
base,base,prefill,code,0,6,6,16,1033,8,0.7886011616650532,0.21200387221684414,2.0,2.536136259014884,0.1749031007751938,0.7128746000184524
base,base,prefill,code,0,6,6,32,1033,8,0.9183204259438529,0.5663117134559535,4.0,4.355778099881407,0.14901283914728683,0.745790521166966
base,base,prefill,code,0,7,7,8,1033,8,0.5396902226524686,0.001936108422071636,1.0,1.8529147982062781,0.27410368217054265,0.5887552154994056
base,base,prefill,code,0,7,7,16,1033,8,0.7525411423039691,0.24782187802516942,2.0,2.6576620035375464,0.23576792635658914,0.632720690796118
base,base,prefill,code,0,7,7,32,1033,8,0.8996853823814134,0.5343659244917716,4.0,4.445998655010087,0.12811894379844962,0.7768269373118102
base,base,prefill,code,0,8,8,8,1033,8,0.521297192642788,0.001936108422071636,1.0,1.9182915506035283,0.2716812015503876,0.5974031567054867
base,base,prefill,code,0,8,8,16,1033,8,0.7191432720232332,0.17909002904162633,2.0,2.7810869931011273,0.2761627906976744,0.5867272030368258
base,base,prefill,code,0,8,8,32,1033,8,0.8771781219748306,0.49080348499515974,4.0,4.560077252034763,0.16512233527131784,0.722641739873863
base,base,prefill,code,0,9,9,8,1033,8,0.5229912875121007,0.003872216844143272,1.0,1.91207774178621,0.2705910852713178,0.5968953527093099
base,base,prefill,code,0,9,9,16,1033,8,0.7308809293320426,0.22846079380445306,2.0,2.7364238410596027,0.29844961240310075,0.5620226946341961
base,base,prefill,code,0,9,9,32,1033,8,0.8857696030977735,0.5324298160696999,4.0,4.5158469945355195,0.21656976744186046,0.6550041896261696
base,base,prefill,code,0,10,10,8,1033,8,0.49818489835430785,0.012584704743465635,1.0,2.007286859363614,0.32703488372093026,0.5337542732891571
base,base,prefill,code,0,10,10,16,1033,8,0.6741287512100678,0.17618586640851888,2.0,2.9667923173577453,0.27077277131782945,0.5881714650715574
