checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,code,0,1,1,8,0.45619554695062925,0.3383349467570184,0.11786060019361083,0.0,0.0,0.0
base,prefill,code,0,1,1,16,0.6323814133591481,0.45776863504356247,0.17461277831558564,0.05227492739593417,0.0,0.05227492739593417
base,prefill,code,0,1,1,32,0.7981606969990319,0.66202807357212,0.1361326234269119,0.21200387221684414,0.057115198451113264,0.15488867376573087
base,prefill,code,0,2,2,8,0.4866892545982575,0.3792352371732817,0.10745401742497579,0.0,0.0,0.0
base,prefill,code,0,2,2,16,0.6596079380445304,0.5047192642787997,0.1548886737657308,0.07163601161665054,0.0,0.07163601161665054
base,prefill,code,0,2,2,32,0.8299854791868344,0.7202323330106486,0.10975314617618581,0.25556631171345595,0.12584704743465633,0.12971926427879962
base,prefill,code,0,3,3,8,0.4728944820909971,0.3681026137463698,0.10479186834462728,0.0,0.0,0.0
base,prefill,code,0,3,3,16,0.670619554695063,0.5181510164569216,0.15246853823814133,0.08325266214908035,0.000968054211035818,0.08228460793804453
base,prefill,code,0,3,3,32,0.8491045498547919,0.7061955469506292,0.14290900290416264,0.345595353339787,0.06485963213939981,0.2807357212003872
base,prefill,code,0,4,4,8,0.550701839303001,0.40174249757986447,0.14895934172313652,0.01452081316553727,0.0,0.01452081316553727
base,prefill,code,0,4,4,16,0.7357212003872217,0.5925701839303001,0.14315101645692152,0.09486931268151017,0.00968054211035818,0.08518877057115198
base,prefill,code,0,4,4,32,0.8973862536302033,0.8215150048402711,0.07587124878993223,0.4220716360116166,0.21200387221684414,0.2100677637947725
base,prefill,code,0,5,5,8,0.5813165537270087,0.4739835430784124,0.10733301064859635,0.0,0.0,0.0
base,prefill,code,0,5,5,16,0.7461277831558567,0.6314133591481123,0.11471442400774445,0.16844143272023232,0.012584704743465635,0.1558567279767667
base,prefill,code,0,5,5,32,0.882865440464666,0.832647628267183,0.050217812197483,0.46079380445304935,0.3543078412391094,0.10648596321393994
base,prefill,code,0,6,6,8,0.5575992255566312,0.4915295256534366,0.06606969990319461,0.002904162633107454,0.0,0.002904162633107454
base,prefill,code,0,6,6,16,0.7886011616650532,0.6796950629235237,0.10890609874152957,0.21200387221684414,0.05324298160696999,0.15876089060987414
base,prefill,code,0,6,6,32,0.9183204259438529,0.843054211035818,0.07526621490803487,0.5663117134559535,0.271055179090029,0.29525653436592453
base,prefill,code,0,7,7,8,0.5396902226524686,0.42255566311713455,0.11713455953533403,0.001936108422071636,0.0,0.001936108422071636
base,prefill,code,0,7,7,16,0.7525411423039691,0.6153194578896418,0.13722168441432725,0.24782187802516942,0.005808325266214908,0.2420135527589545
base,prefill,code,0,7,7,32,0.8996853823814134,0.8292594385285575,0.07042594385285583,0.5343659244917716,0.33204259438528555,0.202323330106486
base,prefill,code,0,8,8,8,0.521297192642788,0.40646176185866406,0.11483543078412389,0.001936108422071636,0.0,0.001936108422071636
base,prefill,code,0,8,8,16,0.7191432720232332,0.5537270087124879,0.16541626331074533,0.17909002904162633,0.001936108422071636,0.17715392061955468
base,prefill,code,0,8,8,32,0.8771781219748306,0.7744433688286544,0.1027347531461762,0.49080348499515974,0.17231364956437561,0.31848983543078413
base,prefill,code,0,9,9,8,0.5229912875121007,0.4220716360116166,0.10091965150048404,0.003872216844143272,0.0,0.003872216844143272
base,prefill,code,0,9,9,16,0.7308809293320426,0.5962003872216844,0.13468054211035818,0.22846079380445306,0.03388189738625363,0.19457889641819942
base,prefill,code,0,9,9,32,0.8857696030977735,0.7856969990319458,0.10007260406582774,0.5324298160696999,0.23233301064859632,0.3000968054211035
base,prefill,code,0,10,10,8,0.49818489835430785,0.3278073572120039,0.17037754114230397,0.012584704743465635,0.0,0.012584704743465635
base,prefill,code,0,10,10,16,0.6741287512100678,0.51851403678606,0.15561471442400776,0.17618586640851888,0.006776379477250726,0.16940948693126814
base,prefill,code,0,10,10,32,0.8402710551790901,0.7143030009680542,0.12596805421103585,0.4181994191674734,0.09293320425943853,0.32526621490803487
base,prefill,code,0,11,11,8,0.5407792836398838,0.4365924491771539,0.10418683446272992,0.01936108422071636,0.0,0.01936108422071636
base,prefill,code,0,11,11,16,0.744433688286544,0.5865198451113263,0.15791384317521773,0.20038722168441434,0.001936108422071636,0.1984511132623427
base,prefill,code,0,11,11,32,0.8697967086156825,0.8148596321393998,0.054937076476282654,0.452081316553727,0.29235237173281703,0.15972894482091
base,prefill,code,0,12,12,8,0.5198451113262342,0.3367618586640852,0.18308325266214903,0.012584704743465635,0.0,0.012584704743465635
base,prefill,code,0,12,12,16,0.718054211035818,0.5675217812197483,0.15053242981606973,0.20329138431752178,0.04259438528557599,0.1606969990319458
base,prefill,code,0,12,12,32,0.8570909970958374,0.8033639883833494,0.05372700871248792,0.4782187802516941,0.3659244917715392,0.11229428848015494
