phase,layer_id,left_domain,right_domain,jensen_shannon_divergence,hotset_jaccard
prefill,0,code,conversation,0.04922968488420293,0.06666666666666667
prefill,0,code,general,0.08321768522508094,0.14285714285714285
prefill,0,code,math,0.08059890952077206,0.14285714285714285
prefill,0,conversation,general,0.022640381541202764,0.3333333333333333
prefill,0,conversation,math,0.02168279682765522,0.3333333333333333
prefill,0,general,math,0.030236743909404708,0.23076923076923078
prefill,1,code,conversation,0.06404303893772939,0.23076923076923078
prefill,1,code,general,0.09079852826924055,0.23076923076923078
prefill,1,code,math,0.09652508408325333,0.14285714285714285
prefill,1,conversation,general,0.016340913524054555,0.23076923076923078
prefill,1,conversation,math,0.02014730541661115,0.3333333333333333
prefill,1,general,math,0.023344066268832023,0.14285714285714285
prefill,2,code,conversation,0.0901601482945675,0.23076923076923078
prefill,2,code,general,0.13706654027041126,0.0
prefill,2,code,math,0.13382859913666764,0.06666666666666667
prefill,2,conversation,general,0.03606932037138147,0.06666666666666667
prefill,2,conversation,math,0.026146804495469474,0.23076923076923078
prefill,2,general,math,0.05894102397052614,0.06666666666666667
prefill,3,code,conversation,0.08249510383302242,0.23076923076923078
prefill,3,code,general,0.14979223438034583,0.06666666666666667
prefill,3,code,math,0.10880172544687872,0.14285714285714285
prefill,3,conversation,general,0.036268018158696985,0.06666666666666667
prefill,3,conversation,math,0.028159444883423278,0.45454545454545453
prefill,3,general,math,0.056543283803873134,0.14285714285714285
prefill,4,code,conversation,0.12085943197768685,0.3333333333333333
prefill,4,code,general,0.21584680186150013,0.0
prefill,4,code,math,0.15637355212260018,0.14285714285714285
prefill,4,conversation,general,0.0521561385086058,0.23076923076923078
prefill,4,conversation,math,0.046442479807909325,0.3333333333333333
prefill,4,general,math,0.10126028915238808,0.14285714285714285
prefill,5,code,conversation,0.13762630229327932,0.3333333333333333
prefill,5,code,general,0.2360671006183877,0.0
prefill,5,code,math,0.18131929011012876,0.14285714285714285
prefill,5,conversation,general,0.05913568982404735,0.0
prefill,5,conversation,math,0.06263203605255323,0.23076923076923078
prefill,5,general,math,0.1053626795154187,0.0
prefill,6,code,conversation,0.13086595932152217,0.3333333333333333
prefill,6,code,general,0.2349545382397996,0.06666666666666667
prefill,6,code,math,0.14749165328313876,0.3333333333333333
prefill,6,conversation,general,0.05670646791664589,0.06666666666666667
prefill,6,conversation,math,0.0675211339541048,0.45454545454545453
prefill,6,general,math,0.1133673888821589,0.06666666666666667
prefill,7,code,conversation,0.12578606350602553,0.23076923076923078
prefill,7,code,general,0.22055369417114223,0.0
prefill,7,code,math,0.1431468185179315,0.14285714285714285
prefill,7,conversation,general,0.06047827936942439,0.14285714285714285
prefill,7,conversation,math,0.04441834417682133,0.3333333333333333
prefill,7,general,math,0.09738675361078461,0.06666666666666667
prefill,8,code,conversation,0.09613505968747427,0.3333333333333333
prefill,8,code,general,0.17431100827680288,0.0
prefill,8,code,math,0.10946444884031659,0.14285714285714285
prefill,8,conversation,general,0.04195124947992611,0.14285714285714285
prefill,8,conversation,math,0.04026909727370471,0.3333333333333333
prefill,8,general,math,0.08235856437019416,0.0
prefill,9,code,conversation,0.09858396451229198,0.3333333333333333
prefill,9,code,general,0.18537664787585076,0.06666666666666667
prefill,9,code,math,0.13593256652684332,0.06666666666666667
prefill,9,conversation,general,0.038281093030260824,0.14285714285714285
prefill,9,conversation,math,0.029735737474682444,0.3333333333333333
prefill,9,general,math,0.05832040454931009,0.14285714285714285
prefill,10,code,conversation,0.08925844490226656,0.23076923076923078
prefill,10,code,general,0.15417927447640473,0.06666666666666667
prefill,10,code,math,0.11670354062523373,0.06666666666666667
prefill,10,conversation,general,0.0353540137166346,0.23076923076923078
prefill,10,conversation,math,0.022761012795878454,0.45454545454545453
prefill,10,general,math,0.05860038433975097,0.23076923076923078
prefill,11,code,conversation,0.12102726612659548,0.3333333333333333
prefill,11,code,general,0.20925842879512518,0.06666666666666667
prefill,11,code,math,0.16739336961913542,0.14285714285714285
prefill,11,conversation,general,0.04915751255719085,0.23076923076923078
prefill,11,conversation,math,0.032133459432788815,0.45454545454545453
prefill,11,general,math,0.059958033404106145,0.3333333333333333
prefill,12,code,conversation,0.12842129026325286,0.23076923076923078
prefill,12,code,general,0.21932276438885284,0.06666666666666667
prefill,12,code,math,0.17690755395772473,0.14285714285714285
prefill,12,conversation,general,0.043141452449624876,0.3333333333333333
prefill,12,conversation,math,0.04253715765799947,0.23076923076923078
prefill,12,general,math,0.07194781009509887,0.3333333333333333
prefill,13,code,conversation,0.14788076078370474,0.23076923076923078
prefill,13,code,general,0.24248403842446573,0.0
prefill,13,code,math,0.20200154086160782,0.14285714285714285
prefill,13,conversation,general,0.048841634095662924,0.14285714285714285
prefill,13,conversation,math,0.04166528923737721,0.45454545454545453
prefill,13,general,math,0.07435910461442838,0.23076923076923078
prefill,14,code,conversation,0.13221178781918408,0.06666666666666667
prefill,14,code,general,0.23881876166185037,0.06666666666666667
prefill,14,code,math,0.1842684962889659,0.0
prefill,14,conversation,general,0.044977773842284394,0.14285714285714285
prefill,14,conversation,math,0.03497232528878709,0.3333333333333333
prefill,14,general,math,0.06281778736024182,0.06666666666666667
prefill,15,code,conversation,0.1366985814648251,0.06666666666666667
prefill,15,code,general,0.22834069413025926,0.0
prefill,15,code,math,0.1769833164864011,0.06666666666666667
prefill,15,conversation,general,0.04630231903356256,0.14285714285714285
prefill,15,conversation,math,0.03736526971338901,0.3333333333333333
prefill,15,general,math,0.07246612626131524,0.14285714285714285
