phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,0,1,6,6772,0.060820520189682425
prefill,__all__,0,2,41,4194,0.03766704986348613
prefill,__all__,0,3,21,3410,0.030625808305791064
prefill,__all__,0,4,58,2638,0.023692340853570915
prefill,__all__,0,5,53,2380,0.021375197585860036
prefill,__all__,0,6,54,2355,0.021150668199453944
prefill,__all__,0,7,40,2297,0.02062976002299181
prefill,__all__,0,8,61,2295,0.02061179767207932
prefill,__all__,0,9,25,2277,0.020450136513866936
prefill,__all__,0,10,29,2141,0.01922869665181779
prefill,__all__,0,11,13,2085,0.018725750826268144
prefill,__all__,0,12,19,2071,0.018600014369880728
prefill,__all__,0,13,22,2032,0.018249748527087224
prefill,__all__,0,14,24,1994,0.017908463859749965
prefill,__all__,0,15,17,1876,0.016848685155913205
prefill,__all__,0,16,49,1871,0.016803779278631987
prefill,__all__,0,17,60,1866,0.01675887340135077
prefill,__all__,0,18,39,1850,0.01661517459405087
prefill,__all__,0,19,18,1840,0.016525362839488432
prefill,__all__,0,20,46,1777,0.015959548785745077
prefill,__all__,0,21,0,1767,0.01586973703118264
prefill,__all__,0,22,7,1765,0.015851774680270155
prefill,__all__,0,23,12,1736,0.015591320592039087
prefill,__all__,0,24,20,1714,0.015393734732001724
prefill,__all__,0,25,8,1706,0.015321885328351775
prefill,__all__,0,26,55,1704,0.015303922977439287
prefill,__all__,0,27,33,1698,0.015250035924701824
prefill,__all__,0,28,59,1672,0.015016525362839489
prefill,__all__,0,29,5,1654,0.014854864204627102
prefill,__all__,0,30,36,1636,0.014693203046414714
prefill,__all__,0,31,38,1634,0.014675240695502228
prefill,__all__,0,32,26,1621,0.01455848541457106
prefill,__all__,0,33,42,1604,0.014405805431814916
prefill,__all__,0,34,30,1601,0.014378861905446185
prefill,__all__,0,35,43,1584,0.014226181922690042
prefill,__all__,0,36,44,1516,0.013615461991665469
prefill,__all__,0,37,47,1502,0.013489725535278057
prefill,__all__,0,38,16,1488,0.013363989078890645
prefill,__all__,0,39,14,1467,0.013175384394309528
prefill,__all__,0,40,62,1464,0.013148440867940796
prefill,__all__,0,41,32,1411,0.012672438568759879
prefill,__all__,0,42,51,1400,0.012573645638741198
prefill,__all__,0,43,10,1370,0.012304210375053887
prefill,__all__,0,44,45,1367,0.012277266848685155
prefill,__all__,0,45,48,1360,0.01221439862049145
prefill,__all__,0,46,31,1356,0.012178473918666475
prefill,__all__,0,47,37,1323,0.011882095128610432
prefill,__all__,0,48,27,1314,0.01180126454950424
prefill,__all__,0,49,57,1301,0.011684509268573071
prefill,__all__,0,50,3,1294,0.011621641040379365
prefill,__all__,0,51,2,1271,0.01141507400488576
prefill,__all__,0,52,1,1260,0.011316281074867079
prefill,__all__,0,53,15,1260,0.011316281074867079
prefill,__all__,0,54,63,1255,0.01127137519758586
