phase,domain,layer_id,window_size,hotset_size,n_windows,mean_jaccard,min_jaccard,mean_static_coverage,mean_lagged_coverage,mean_oracle_coverage,mean_lagged_oracle_ratio
prefill,__all__,0,256,8,54,0.30514516929611263,0.14285714285714285,0.23601488797169812,0.21571897110849056,0.28071565448113206,0.7714051772032259
prefill,__all__,0,512,8,27,0.3026563180409334,0.14285714285714285,0.23687274639423078,0.21077786959134615,0.26108022836538464,0.8114246885881767
prefill,__all__,1,256,8,54,0.27512403738818836,0.06666666666666667,0.23661372346698112,0.20442401238207547,0.27973909198113206,0.7362536756469173
prefill,__all__,1,512,8,27,0.37951279489741024,0.06666666666666667,0.2372107872596154,0.2093224158653846,0.26038536658653844,0.8056269056244075
prefill,__all__,2,256,8,54,0.25025749931410307,0.0,0.22834058077830188,0.19230910966981132,0.30270673643867924,0.6395406073321234
prefill,__all__,2,512,8,27,0.30924460155229383,0.06666666666666667,0.23023399939903846,0.19598858173076922,0.2701416015625,0.7256290638510552
prefill,__all__,3,256,8,54,0.2595442293555501,0.0,0.23674270341981132,0.20035193101415094,0.30159198113207547,0.6702878909031865
prefill,__all__,3,512,8,27,0.2751120674197597,0.0,0.2386474609375,0.19211989182692307,0.27437650240384615,0.7109413753768401
prefill,__all__,4,256,8,54,0.25656649430234335,0.0,0.26322965801886794,0.2158848024764151,0.3427826503537736,0.634153375675527
prefill,__all__,4,512,8,27,0.2473475242706012,0.06666666666666667,0.26443246694711536,0.21152907151442307,0.308349609375,0.7002715468701554
prefill,__all__,5,256,8,54,0.22892746666331573,0.0,0.2597840507075472,0.21251289799528303,0.35153486143867924,0.60742139563719
prefill,__all__,5,512,8,27,0.23397628013012628,0.06666666666666667,0.26277982271634615,0.20452411358173078,0.3109130859375,0.666550471206825
prefill,__all__,6,256,8,54,0.31023190645832155,0.06666666666666667,0.2927844929245283,0.24683999115566038,0.37640956662735847,0.6557573518422181
prefill,__all__,6,512,8,27,0.34115798731183344,0.14285714285714285,0.29588904747596156,0.2330322265625,0.3394775390625,0.694804443609137
prefill,__all__,7,256,8,54,0.23867327640912545,0.0,0.2601341391509434,0.21756154186320756,0.33860001474056606,0.6450416891806207
prefill,__all__,7,512,8,27,0.2754459215997678,0.06666666666666667,0.26186899038461536,0.21502216045673078,0.3030254657451923,0.7181496990661234
prefill,__all__,8,256,8,54,0.23134433700471438,0.0,0.2597471992924528,0.2070220371462264,0.3265956662735849,0.6341821357601851
prefill,__all__,8,512,8,27,0.28086272701657317,0.06666666666666667,0.2621319110576923,0.21783916766826922,0.2922175480769231,0.7501298587619148
prefill,__all__,9,256,8,54,0.24663219380200513,0.0,0.24727299528301888,0.21121388561320756,0.3091004569575472,0.6796319858555435
prefill,__all__,9,512,8,27,0.30667281436512206,0.14285714285714285,0.24952110877403846,0.21732271634615385,0.28148475060096156,0.7746727990462691
prefill,__all__,10,256,8,54,0.26966241305863947,0.0,0.2291973761792453,0.19881338443396226,0.2904260023584906,0.6892415683116235
prefill,__all__,10,512,8,27,0.27547153700999855,0.0,0.23091008112980768,0.1927208533653846,0.2650146484375,0.7356692285269962
prefill,__all__,11,256,8,54,0.31690364143194333,0.0,0.27468123525943394,0.23130711969339623,0.34389740566037735,0.6753161779807632
prefill,__all__,11,512,8,27,0.4022054868208714,0.0,0.27773813100961536,0.23194298377403846,0.3132793719951923,0.7459473043417415
prefill,__all__,12,256,8,54,0.26474447983881944,0.0,0.2539246757075472,0.21677844929245282,0.33687721108490565,0.6497920769404603
prefill,__all__,12,512,8,27,0.2457977919516381,0.0,0.25661996694711536,0.20698429987980768,0.3036639873798077,0.6935745263888832
prefill,__all__,13,256,8,54,0.29178745782519366,0.0,0.25200840212264153,0.2128998378537736,0.347278522995283,0.6201839613323632
prefill,__all__,13,512,8,27,0.25972318280010587,0.0,0.2551457331730769,0.20137845552884615,0.3084904597355769,0.6627636508762907
prefill,__all__,14,256,8,54,0.2296407994521202,0.0,0.23221919221698112,0.19229989681603774,0.3217036409198113,0.6079058396406929
prefill,__all__,14,512,8,27,0.2097372712757328,0.0,0.2345909705528846,0.17395958533653846,0.28585111177884615,0.6252169048446193
prefill,__all__,15,256,8,54,0.25212313891559174,0.0,0.2496959758254717,0.2069759728773585,0.3334316037735849,0.6308659559487655
prefill,__all__,15,512,8,27,0.26273555504324736,0.0,0.2523381159855769,0.19927509014423078,0.29971078725961536,0.6676228995423189
prefill,code,0,256,8,17,0.5016705516705516,0.23076923076923078,0.32415771484375,0.309600830078125,0.34173583984375,0.9053328376601283
prefill,code,0,512,8,8,0.5665223665223665,0.3333333333333333,0.323974609375,0.313232421875,0.33297293526785715,0.9418090709305071
prefill,code,1,256,8,17,0.548989898989899,0.3333333333333333,0.38897705078125,0.37890625,0.404144287109375,0.9355836732161481
prefill,code,1,512,8,8,0.6536796536796537,0.3333333333333333,0.38978794642857145,0.3853236607142857,0.39773995535714285,0.967882300319564
prefill,code,2,256,8,17,0.6734848484848485,0.45454545454545453,0.43951416015625,0.42718505859375,0.445098876953125,0.9604207199122647
prefill,code,2,512,8,8,0.7841269841269841,0.6,0.4403599330357143,0.4345005580357143,0.442138671875,0.9831576051361645
prefill,code,3,256,8,17,0.6936868686868687,0.45454545454545453,0.408905029296875,0.4014892578125,0.417266845703125,0.9620829755923709
prefill,code,3,512,8,8,0.7062049062049062,0.45454545454545453,0.4091796875,0.4032505580357143,0.41524832589285715,0.9711037093023319
prefill,code,4,256,8,17,0.6964646464646465,0.45454545454545453,0.512115478515625,0.506561279296875,0.51837158203125,0.9769902394934726
prefill,code,4,512,8,8,0.7587301587301587,0.6,0.5109165736607143,0.506103515625,0.5142647879464286,0.9839173175809928
prefill,code,5,256,8,17,0.6964646464646465,0.45454545454545453,0.520111083984375,0.511322021484375,0.52850341796875,0.9673161095934877
prefill,code,5,512,8,8,0.726984126984127,0.6,0.5206124441964286,0.5150669642857143,0.5244140625,0.9823898326736307
prefill,code,6,256,8,17,0.7888888888888889,0.6,0.531036376953125,0.519134521484375,0.53350830078125,0.9725764383261595
prefill,code,6,512,8,8,0.9047619047619048,0.7777777777777778,0.5309012276785714,0.5252511160714286,0.5312151227678571,0.988926039911455
prefill,code,7,256,8,17,0.6045454545454545,0.3333333333333333,0.501251220703125,0.48785400390625,0.50994873046875,0.955731274625475
