phase,domain,layer_id,tokens_per_half,split_half_jensen_shannon_divergence,split_half_hotset_jaccard
prefill,code,0,2213,0.004090113532680596,0.7777777777777778
prefill,conversation,0,951,0.015229279404102819,0.3333333333333333
prefill,general,0,2783,0.0027308849137519875,0.7777777777777778
prefill,math,0,1011,0.0019793420529273034,1.0
prefill,code,1,2213,0.0030707935866445897,0.7777777777777778
prefill,conversation,1,951,0.013237288454498865,0.23076923076923078
prefill,general,1,2783,0.0019341812480630433,0.7777777777777778
prefill,math,1,1011,0.002889987460997599,0.6
prefill,code,2,2213,0.0027166372871115676,0.7777777777777778
prefill,conversation,2,951,0.01677980995463893,0.45454545454545453
prefill,general,2,2783,0.0026266156442297382,0.6
prefill,math,2,1011,0.0035239541832534434,0.6
prefill,code,3,2213,0.0032860964071768847,0.7777777777777778
prefill,conversation,3,951,0.01989628535104746,0.23076923076923078
prefill,general,3,2783,0.0029694926441880608,0.45454545454545453
prefill,math,3,1011,0.003415660035911169,0.6
prefill,code,4,2213,0.003595236374077832,0.7777777777777778
prefill,conversation,4,951,0.02674678969462669,0.23076923076923078
prefill,general,4,2783,0.00397941355795061,0.7777777777777778
prefill,math,4,1011,0.003870192522509312,1.0
prefill,code,5,2213,0.004920180538282269,0.7777777777777778
prefill,conversation,5,951,0.028784368092897996,0.3333333333333333
prefill,general,5,2783,0.0050361530057174125,1.0
prefill,math,5,1011,0.006139898890604524,0.7777777777777778
prefill,code,6,2213,0.002877694169296925,1.0
prefill,conversation,6,951,0.03796132425679519,0.23076923076923078
prefill,general,6,2783,0.00527897511038364,0.7777777777777778
prefill,math,6,1011,0.006272322797990464,0.7777777777777778
prefill,code,7,2213,0.003703547699020085,1.0
prefill,conversation,7,951,0.02847187972561758,0.23076923076923078
prefill,general,7,2783,0.004490030093189835,0.7777777777777778
prefill,math,7,1011,0.004473242463025662,0.7777777777777778
prefill,code,8,2213,0.0030623206969955913,1.0
prefill,conversation,8,951,0.02297995953656189,0.3333333333333333
prefill,general,8,2783,0.002906967467284228,0.6
prefill,math,8,1011,0.002681354821362678,0.7777777777777778
prefill,code,9,2213,0.003272606228673882,0.7777777777777778
prefill,conversation,9,951,0.01824275828727039,0.23076923076923078
prefill,general,9,2783,0.002970746713617494,1.0
prefill,math,9,1011,0.001598166835125786,0.7777777777777778
prefill,code,10,2213,0.0031265775199660296,0.7777777777777778
prefill,conversation,10,951,0.019459058871136317,0.14285714285714285
prefill,general,10,2783,0.004011574328148284,0.7777777777777778
prefill,math,10,1011,0.002888991897792355,0.6
prefill,code,11,2213,0.0042160956984245365,0.7777777777777778
prefill,conversation,11,951,0.01876112496411038,0.14285714285714285
prefill,general,11,2783,0.0043268359608574225,0.6
prefill,math,11,1011,0.0034241442856438294,0.7777777777777778
prefill,code,12,2213,0.003465848893849784,0.7777777777777778
prefill,conversation,12,951,0.0188748228828869,0.3333333333333333
prefill,general,12,2783,0.006385706585694422,0.6
prefill,math,12,1011,0.002218857747197475,0.7777777777777778
prefill,code,13,2213,0.004082949113936115,1.0
prefill,conversation,13,951,0.01874915262175216,0.14285714285714285
prefill,general,13,2783,0.004741540967926283,0.7777777777777778
prefill,math,13,1011,0.0031996956276062675,0.7777777777777778
prefill,code,14,2213,0.003000465975370626,0.6
prefill,conversation,14,951,0.025767074047531542,0.06666666666666667
prefill,general,14,2783,0.003400721341764848,0.6
prefill,math,14,1011,0.005488229118382419,0.7777777777777778
prefill,code,15,2213,0.004328460492710154,1.0
prefill,conversation,15,951,0.025848123106446873,0.23076923076923078
prefill,general,15,2783,0.0033004473816775435,1.0
prefill,math,15,1011,0.003478672125863117,0.7777777777777778
