phase,source_layer,target_layer,delta,marginal_entropy_nats,conditional_entropy_nats,entropy_reduction_nats,normalized_entropy_reduction,train_transition_observations
prefill,0,1,1,4.06616763514066,3.9386509988788623,0.12751663626179788,0.03136039821865011,668672
prefill,0,2,2,4.067903492105293,3.9604102835016355,0.1074932086036573,0.026424719468461512,668672
prefill,0,3,3,4.047137343517592,3.9179965936568153,0.12914074986077706,0.031909159215371144,668672
prefill,0,4,4,4.014985661181162,3.894958941482023,0.1200267196991387,0.029894682030776727,668672
prefill,0,5,5,4.017320331755117,3.89757659892343,0.11974373283168749,0.02980686700165952,668672
prefill,0,6,6,3.9674635697658265,3.844435944855703,0.12302762491012365,0.031009137890429368,668672
prefill,0,7,7,3.9945496653073462,3.8697650558509213,0.12478460945642489,0.03123871773085685,668672
prefill,0,8,8,4.005148765650882,3.865718924553404,0.13942984109747858,0.03481264973058239,668672
prefill,0,9,9,4.03258241929527,3.8899923261737426,0.1425900931215276,0.03535949877657962,668672
prefill,0,10,10,4.06487398573923,3.9270762748210446,0.1377977109181856,0.033899626753897016,668672
prefill,0,11,11,4.0116989858946726,3.886632953447137,0.12506603244753567,0.031175328180721905,668672
prefill,0,12,12,4.024639294735418,3.9051391072339183,0.1195001875014996,0.029692148475968107,668672
prefill,0,13,13,4.03029556636249,3.929419001871416,0.10087656449107385,0.025029569873983006,668672
prefill,0,14,14,4.0505730224093695,3.9395170475588603,0.11105597485050911,0.027417349159267985,668672
prefill,0,15,15,4.050842714403586,3.9539404354866026,0.09690227891698378,0.0239215110901315,668672
prefill,1,2,1,4.067903492105293,3.911218858458649,0.15668463364664387,0.038517293724083336,668672
prefill,1,3,2,4.047137343517592,3.8753849752245015,0.17175236829309082,0.042437988562011905,668672
prefill,1,4,3,4.014985661181162,3.8511855174382545,0.16380014374290708,0.04079719270895702,668672
prefill,1,5,4,4.017320331755117,3.8562518969845883,0.16106843477052912,0.04009350051011748,668672
prefill,1,6,5,3.9674635697658265,3.802680016107898,0.1647835536579283,0.04153372822718934,668672
prefill,1,7,6,3.9945496653073462,3.8204243501907125,0.17412531511663376,0.04359072478905737,668672
prefill,1,8,7,4.005148765650882,3.815782452277703,0.18936631337317955,0.047280719007800794,668672
prefill,1,9,8,4.03258241929527,3.830027883349894,0.2025545359453762,0.05022948445546574,668672
prefill,1,10,9,4.06487398573923,3.8561841621223776,0.20868982361685262,0.0513398015163564,668672
prefill,1,11,10,4.0116989858946726,3.829210533160779,0.1824884527338937,0.045489069188773115,668672
prefill,1,12,11,4.024639294735418,3.8528642198913565,0.1717750748440614,0.042680862125646465,668672
prefill,1,13,12,4.03029556636249,3.888374400462224,0.14192116590026593,0.03521358758021703,668672
prefill,1,14,13,4.0505730224093695,3.8942224402574324,0.1563505821519371,0.03859962066772872,668672
prefill,1,15,14,4.050842714403586,3.9183488648918976,0.13249384951168874,0.03270772499770978,668672
prefill,2,3,1,4.047137343517592,3.7703406783110758,0.2767966652065166,0.06839319788587585,668672
prefill,2,4,2,4.014985661181162,3.752377762271389,0.26260789890977243,0.06540693319251265,668672
prefill,2,5,3,4.017320331755117,3.760591320008578,0.2567290117465393,0.06390553666263839,668672
prefill,2,6,4,3.9674635697658265,3.7070486923350403,0.2604148774307862,0.06563762284177868,668672
