phase,domain,source_layer,target_layer,delta,capacity,baseline,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
prefill,code,0,1,1,8,domain_oracle,1033,8,0.3621732817037754,0.0,1.0,2.7611092549281655,0.0,1.0
prefill,code,0,1,1,8,previous_window,1033,8,0.3528557599225557,0.0,1.0,2.8340192043895747,0.001695736434108527,0.9974982381959127
prefill,code,0,1,1,8,static,1033,8,0.3419651500484027,0.0,1.0,2.924274593064402,0.0,1.0
prefill,code,0,1,1,8,transition,1033,8,0.4686592449177154,0.0,1.0,2.133746449780532,0.2938468992248062,0.5658213018678161
prefill,code,0,1,1,16,domain_oracle,1033,8,0.5105275895450145,0.03581800580832527,2.0,3.917515999051908,0.0,1.0
prefill,code,0,1,1,16,previous_window,1033,8,0.4901984511132623,0.001936108422071636,2.0,4.0799802517896815,0.0016351744186046512,0.9975653545420988
prefill,code,0,1,1,16,static,1033,8,0.4681752178121975,0.0,2.0,4.2719048849832,0.0,1.0
prefill,code,0,1,1,16,transition,1033,8,0.6513794772507261,0.07744433688286544,2.0,3.0704068363366153,0.3409035852713178,0.5057530742058972
prefill,code,0,1,1,32,domain_oracle,1033,8,0.7337850919651501,0.14617618586640851,4.0,5.4511873350923485,0.0,1.0
prefill,code,0,1,1,32,previous_window,1033,8,0.7150290416263311,0.09196515004840271,4.0,5.594178371974953,0.0011506782945736435,0.9981455540475751
prefill,code,0,1,1,32,static,1033,8,0.6657792836398838,0.08228460793804453,4.0,6.0079970919665575,0.0,1.0
prefill,code,0,1,1,32,transition,1033,8,0.824298160696999,0.271055179090029,4.0,4.852613035819143,0.2208999515503876,0.6437201403479941
prefill,code,0,2,2,8,domain_oracle,1033,8,0.4134801548886738,0.0,1.0,2.4184957565115597,0.0,1.0
prefill,code,0,2,2,8,previous_window,1033,8,0.4000484027105518,0.0,1.0,2.499697519661222,0.0014534883720930232,0.9977801268498944
prefill,code,0,2,2,8,static,1033,8,0.40984995159728943,0.0,1.0,2.439917330971361,0.0,1.0
prefill,code,0,2,2,8,transition,1033,8,0.49564375605033884,0.001936108422071636,1.0,2.017578125,0.2378875968992248,0.6349804373060255
prefill,code,0,2,2,16,domain_oracle,1033,8,0.5914811229428848,0.012584704743465635,2.0,3.381342062193126,0.0,1.0
prefill,code,0,2,2,16,previous_window,1033,8,0.5663117134559535,0.01452081316553727,2.0,3.5316239316239315,0.0013323643410852713,0.9979491617483209
prefill,code,0,2,2,16,static,1033,8,0.5208131655372701,0.000968054211035818,2.0,3.840148698884758,0.0,1.0
prefill,code,0,2,2,16,transition,1033,8,0.6727976766698935,0.10939012584704744,2.0,2.972661870503597,0.26368701550387597,0.5969336929601924
prefill,code,0,2,2,32,domain_oracle,1033,8,0.8186108422071636,0.26040658276863504,4.0,4.886326681448633,0.0,1.0
prefill,code,0,2,2,32,previous_window,1033,8,0.8002178121974831,0.1868344627299129,4.0,4.998639044306668,0.0008478682170542636,0.998578811369509
prefill,code,0,2,2,32,static,1033,8,0.739593417231365,0.17037754114230397,4.0,5.408376963350785,0.0,1.0
prefill,code,0,2,2,32,transition,1033,8,0.8418441432720233,0.33010648596321396,4.0,4.751473336208136,0.19152737403100775,0.6838836602995817
prefill,code,0,3,3,8,domain_oracle,1033,8,0.3887947725072604,0.0,1.0,2.572051042639278,0.0,1.0
prefill,code,0,3,3,8,previous_window,1033,8,0.38165537270087124,0.0,1.0,2.620164870006341,0.0013323643410852713,0.9979523921384386
prefill,code,0,3,3,8,static,1033,8,0.36302032913843174,0.0,1.0,2.7546666666666666,0.0,1.0
